"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ee9fee-b299-4a24-a658-b61604603e9f","","folder-normal","","","step","TRUE","FALSE","Below Ground"
"c7f8442c-6c07-4001-97bb-48882a602ef2","","folder-normal","","","step","TRUE","FALSE","Below Ground","Site/Early Works"
"115f27f5-3d08-4d26-b9e6-b1543ed1750a","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Sanitary Waste & Vents"
"247c36e2-9f99-4bfd-819a-aab3b8c5efa6","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Sanitary Fixture"
"a308c28c-8448-48f0-b645-28b37bba3d6f","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Stormwater Above Ground"
"8a94ed60-e2f8-4560-b976-5ea8f2ba01d7","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Downpipe Installation"
"8257cde6-f540-4a58-a009-250311dc76e5","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Recycled Water"
"e37568d1-d809-45bc-80b5-a34fb3c08bd6","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Penetrations"
"99a003f6-b6f8-4e8c-81dd-6a53c0e3bb72","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Commision"
"0613c7b3-9505-4ee0-9725-282e6b05b659","","folder-normal","","","step","TRUE","FALSE","Roof"
"d4fc0844-6ab9-4f94-9e32-fabae10d10a1","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 1"
"312b2141-8e33-4d44-b47b-0762c1470ced","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 1","Stormwater Above Ground"
"a8b805a8-38a8-407d-95d0-00b3463d4119","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 1","Downpipe Installation"
"c86b1dad-11e2-479c-90fe-f32bf0c50b26","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 2"
"e99f2ab5-a741-4301-ba08-be77fa232fb9","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 2","Stormwater Above Ground"
"984171f2-f47e-4263-9738-2110d67c2614","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 2","Downpipe Installation"
"48a97995-02d0-4d2a-8f3e-d19d5e8fb866","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 3"
"e850fe40-4d25-4c68-8768-912d82494e75","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 3","Stormwater Above Ground"
"47963e8d-2cd5-4377-983c-ae1a95ebb0d1","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 3","Downpipe Installation"
"ce4841b7-2dee-48e4-a23b-05c239d57549","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 4"
"3ba9d2c9-ff08-4ccf-a510-1f52a2615a15","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 4","Stormwater Above Ground"
"ed4d05b5-85f1-419d-8846-f9b1e691ac70","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 4","Downpipe Installation"
"d8eb89a7-0b84-4caf-a70b-ceb50c24493f","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 5"
"205409a4-054a-4c9b-83da-305e41f42ce9","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 5","Stormwater Above Ground"
"bd8b1baa-5617-4d24-9488-e04dea92e62c","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 5","Downpipe Installation"
"bdfea937-60a5-481a-b22e-9a2f27ec655d","","folder-normal","","","step","TRUE","FALSE","Roof","Zone 8"
"754fa944-dca3-4e7a-920e-f187a3e666bd","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 8","Stormwater Above Ground"
"fc07df25-af62-4355-a7b1-c3970bea5d03","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Roof","Zone 8","Downpipe Installation"
