"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"N17 - Offsite QA (Factory) - Apartment Overview"
,"Scope",,
,"Rows"
,,"N17 - Ground Floor","grouping","ground floor","n17","apartments"
"N17 - Sub Structure - Roof Truss"
,"Scope",,
,"Rows"
,,"Roof Truss","dynamic","n17","roof truss","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N17 - Sub Structure - Facades"
,"Scope",,
,"Rows"
,,"Facades","dynamic","n17","sub structure","facades"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N17 - Sub Structure - Decks(Balcony)"
,"Scope",,
,"Rows"
,,"Decks(Balcony)","dynamic","decks(balcony)","n17","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N17 - Sub Structure - Corridor"
,"Scope",,
,"Rows"
,,"Corridor","dynamic","n17","corridor","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N17 - Sub Structure - Base Plate"
,"Scope",,
,"Rows"
,,"Base Plate","dynamic","base plate","n17","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N17 - Sub Structure - Community"
,"Scope",,
,"Rows"
,,"Community","dynamic","community","n17","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N18 - Sub Structure - Facades"
,"Scope",,
,"Rows"
,,"Facades","dynamic","n18","sub structure","facades"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N18 - Sub Structure - Decks(Balcony)"
,"Scope",,
,"Rows"
,,"Decks(Balcony)","dynamic","n18","decks(balcony)","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N18 - Sub Structure - Corridor"
,"Scope",,
,"Rows"
,,"Corridor","dynamic","n18","corridor","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N18 - Sub Structure - Base Plate"
,"Scope",,
,"Rows"
,,"Base Plate","dynamic","n18","base plate","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

"N18 - Sub Structure - Community"
,"Scope",,
,"Rows"
,,"Community","dynamic","n18","community","sub structure"
,"Columns"
,,"Preparatory Steel works (Bending,Drilling & Cutting)",,"inspect - preparatory steel works (bending,drilling & cutting)"
,,"Length/Width/ Drill Holes Dimension/Location",,"inspect section length/width/ drill holes dimension/location"
,,"Fit-Up as per Drawing",,"inspect - fit-up as per drawing"
,,"Full Welding",,"inspect - full welding"
,,"MPI/UT",,"inspect - mpi/ut"
,,"Blasting",,"inspect - blasting"
,,"D.F.T - Painting/Hot-Dip Galvanizing as per Painting Specification",,"inspect - d.f.t - painting/hot-dip galvanizing as per painting specification"
,,"TAG/Part Mark",,"inspect - tag/part mark"
,,"TLC Inspector Name",,"tlc inspector name"

