"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d1f91e1c-f2f2-4073-bc90-b94585193774","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs"
"0ce3ccc0-4a3b-4d3e-8244-11ccd5295e27","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001"
"bd4526c6-3e8c-4ab4-9810-d7152b3a3ce8","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix"
"f33efb29-59e6-408b-924c-5db3c41797e4","","checklist-sectioned","work-in-progress","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1"
"5df3dcbf-bb87-5fa8-bd08-1e5b0c3155ef","","checkpoint-group","work-in-progress","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Flush Boxes"
"403215f2-74d2-5ca3-b784-1307c7218cb5","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes","Intumescent Pad In Place"
"a5f70ee1-7726-5778-9f77-ca50496cd0bb","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes","Flush Boxes Not back to back on Acoustic Walls"
"80214eef-b4b1-52d1-b927-a3eba8e6f367","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling"
"cc3d157d-bad4-5a83-9b82-a460a5625fc9","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling","Details"
"060053bc-57bf-5dfb-897a-6d564b31f389","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling","Circuits clearly labelled"
"e4d8abaf-4256-5cb5-b755-8ea6645a63c7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling","No Horizontal cabling"
"0391df89-ae60-5549-ac58-1b62c95c5484","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling","Separation between Data and Power at 300mm or as specified"
"e892b6c1-d1f4-57b9-be2a-20a302bad65e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cabling","Light Control cabling Required"
"ee07c50a-955b-51cd-a562-8f1b9147348d","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires"
"a20e25aa-29c2-5590-859b-b27094e63b95","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","300mm Separation Between Power & Data"
"d8150b04-041f-5733-a34e-f41b199fac76","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","Supported every 6 Meters or Adequately to avoid Sagging"
"6cc789e1-d098-5900-8202-e0d35924e5e4","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","Correctly Secured at Each End"
"c1d65ee2-cbb0-5237-99ab-37a2ada4c57c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","Turn Buckle Installed and Accessible"
"9915169a-509c-5a03-b130-b839df037d65","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","Number of cables per cat wire. 8 maximum or as per electrical spec"
"28201cec-fd34-5460-949f-10619012f421","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","Separation between services maintained"
"0947f241-9a79-5407-bc3c-3b2d13285684","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cat Wires","All cables secured via cable ties with ends cut"
"f14414b1-93bc-5886-bc11-63b0cc386a61","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cable Tray"
"c30d439e-eb78-5d66-b0bc-e3faa0c6d92e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Cable Tray","Minimum 25% spare capacity left on cable tray"
"b20f70db-29d1-5dd3-8d0e-5e3a60409304","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights"
"4b421ccb-58fa-5de3-8cba-21da2f60b51c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Setout Correct"
"81a46040-4ceb-5d7a-b19a-8b45dcc2fb0c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Cabling in correct location"
"4c55f73a-7fa3-5ae5-a79a-93c7456f2ab7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Control Cabling installed"
"21cdbccd-93cc-5909-b5d8-aac6855d0bdb","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","PIR Sensors"
"020fdb69-129a-5180-a012-ae09f8c11534","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Occupancy Sensors"
"2f1364d7-b846-51e6-9dc3-8dcb7b2ddc64","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Light Level Sensors"
"545b8ab7-bde9-53af-9913-0da543451fc9","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Emergency/ Exit Lighting"
"8e6a6295-53c7-5958-bcae-6abc247dc3f2","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Lights","Nogging installed for Electrical Services"
"eadb705a-8a4d-5c26-889e-b1528cceb74d","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Seismic Bracing"
"22f2b753-ea66-5101-b6a4-01eaf80a9cea","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Seismic Bracing","For Lighting"
"2d351eeb-e206-5dad-b20d-728b9a922a95","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Seismic Bracing","Cable Tray"
"b58a2c20-1c72-5165-b323-80eef32c1829","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Seismic Bracing","Switchboard"
"5a0e2d3c-1efd-5d45-83ca-59f7b57ef185","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Ducts and Conduits"
"44dcdcac-dbc2-5581-a771-5a68cdfc5659","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Ducts and Conduits","Correct size installed"
"e9a05d02-3df5-53f5-8e4f-6688e77d844a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Ducts and Conduits","Location as per plan"
"eadb5da5-4d6e-5cd1-bd1d-056fb9a9b84c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Ducts and Conduits","separation from other services"
"b21e6c17-7c56-5578-ab2a-56cee3bc033c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Ducts and Conduits","Clean inside and in good condition"
"555ec01e-6c51-4b62-9a29-7e27d2979a81","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal Second Fix"
"b4611a8d-8d35-4133-b6f5-ea437e09e414","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix"
"7a8ead93-2a44-442a-9ec5-13e0d482a90c","","checklist-sectioned","work-in-progress","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1"
"0943e7f9-6ea2-5be0-bbae-f9b270ad7451","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes"
"716637f4-916e-50b5-9227-58866fdbf678","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes","Fire Rated or Acoustic"
"2e45ee11-1464-575c-a802-baa3c6f3806c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes","Height as per plan"
"44aaa008-9a8c-537b-885a-eb8625283452","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes","Location as per plan"
"6882cf9c-1981-5e1b-9178-936378a94907","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes","Intumescent Pad In Place"
"43c079c9-465e-5694-9120-1a32f19f440f","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Flush Boxes","Flush Boxes Not back to back on Acoustic Walls"
"3f7a1ebc-a94d-5bfc-bd03-a0ec470f7d21","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling"
"36fb99de-b47c-5aac-90b5-a46c352a9dbe","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling","Details"
"5db2ed3c-1b2e-5a1c-9d97-6c337ed04213","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling","Circuits clearly labelled"
"0b53dea6-d3e9-55e6-9441-cf4ca57239d4","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling","No Horizontal cabling"
"a7a2e8f1-f03c-531f-8432-2397371cfa0e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling","Separation between Data and Power at 300mm or as specified"
"530af2fe-0d3c-53a3-af1b-e17cebf9942c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cabling","Light Control cabling Required"
"75851836-d531-50f5-b0a8-7fe214477091","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires"
"5bd7502c-cfd1-552f-a17a-68200d626a6d","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","300mm Separation Between Power & Data"
"b85b8d36-1b7d-58cd-b36c-20a7da30a0cb","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","Supported every 6 Meters or Adequately to avoid Sagging"
"221b7f6a-7255-541e-b106-ac54684ce2e1","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","Correctly Secured at Each End"
"09ee4203-49c4-5761-b667-f2a211c281f1","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","Turn Buckle Installed and Accessible"
"7fb5b865-4d55-5a04-b0ce-77f9865db5e7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","Number of cables per cat wire. 8 maximum or as per electrical spec"
"6832b77c-36d2-5f46-9e76-9235fa14e79e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","Separation between services maintained"
"7348cedb-1441-561b-afc3-c9f9fb3cbe2f","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cat Wires","All cables secured via cable ties with ends cut"
"518ed4e5-793c-5dd0-b14a-c705cd39e808","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cable Tray"
"77b85f13-c85d-5a96-92cb-57c31f1a2556","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Cable Tray","Minimum 25% spare capacity left on cable tray"
"eb222e94-17c6-51f3-b732-ccd867f81c3f","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights"
"858976e9-b830-57ad-a3b7-31940ca2241a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Setout Correct"
"4b2efdfe-28ab-5f67-826e-09f2f4f5bc4a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Cabling in correct location"
"c93aec81-d0ed-5cc4-bd68-5eec892ff08a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Control Cabling installed"
"4607591c-c232-5dae-9637-e6e12390bafa","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","PIR Sensors"
"819223e3-c2c9-55f6-8f8c-212e5a18f385","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Occupancy Sensors"
"f4c68197-c40b-5b42-aca2-3a30d012f21a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Light Level Sensors"
"c1b413f3-b903-5773-9917-c0ad0561c34e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Emergency/ Exit Lighting"
"20d38968-c449-5187-a501-8b1f9e99b486","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Lights","Nogging installed for Electrical Services"
"c3a53cba-6210-5b5c-b41c-93971fa34445","","checkpoint-group","not-applicable","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Seismic Bracing"
"d592d59f-c6cf-5e56-994b-5dfea433af3d","","checkpoint-status","not-applicable","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Seismic Bracing","For Lighting"
"952a4e67-1fba-5480-be0f-97324d7dd8fc","","checkpoint-status","not-applicable","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Seismic Bracing","Cable Tray"
"cb0b783b-35d9-58dc-b91e-7b1df23c7ea7","","checkpoint-status","not-applicable","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Seismic Bracing","Switchboard"
"5e468f2f-855a-57ba-9b30-8cbb9a8ecec2","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Ducts and Conduits"
"d20b8bdf-6914-514e-af85-dc18ca808170","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Ducts and Conduits","Correct size installed"
"2911d4c0-7124-561a-a0e1-c3338156b622","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Ducts and Conduits","Location as per plan"
"a5b4ec8d-f24a-54eb-b645-c73cdf256882","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Ducts and Conduits","separation from other services"
"acf6ffc6-a791-5061-ace0-8e21dd094802","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External First Fix","Area 1","Ducts and Conduits","Clean inside and in good condition"
"3785c122-d2e2-49c1-a92e-e13c7f9a4c13","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Second Fix"
"a4eedef5-17ec-44a9-af22-5e548f70503c","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Conduits"
"a75f8c60-9196-46dc-bf48-e0c93e447cd2","","checklist-flat","not-started","QA - Conduit Installation","checklist-flat","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Conduits","Conduit"
"ca46376f-231c-56d6-bee4-ea88c3b2cb25","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Conduits","Conduit","Installed as plan"
"20f2d6db-c0f5-59eb-b92e-51a3ad4a37c8","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Conduits","Conduit","Suitable fixings installed and spaced evenly"
"464cbda1-f278-4289-af09-7fbbce5b717e","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Termination Box"
"8cfdc21b-13c7-44da-9fce-c1c806eb58d6","","checklist-flat","not-started","QA - External Box Installation","checklist-flat","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Termination Box","Termination Box 1"
"81177578-d8dc-5250-b84a-4bfff9b47b63","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Termination Box","Termination Box 1","Fixed securely"
"fe824422-b281-578e-8af0-8b28f67b2705","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","External Termination Box","Termination Box 1","Lid securely fixed"
"d488452c-1715-4d7c-8d51-ae19880b1cd7","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001"
"9943a6c0-174b-4343-8cc9-98889dd46f18","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix"
"4e29aad9-d0d1-4ce1-8c6f-7485219def7d","","checklist-sectioned","not-started","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1"
"b93d0655-3a29-58cd-9f4f-380a3ba30f3a","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes"
"2461a7c2-65f7-5f74-8c88-6d53b1ac5806","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes","Fire Rated or Acoustic"
"eb7ecf1a-0c37-5101-8d43-e1b14733520d","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes","Height as per plan"
"50409530-c0d0-5c89-b6cd-764558be87f8","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes","Location as per plan"
"e9c5b1d1-51b6-56ce-be43-07f40ea6614d","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes","Intumescent Pad In Place"
"1dbb6feb-3298-5d5a-bda4-ab24844b1941","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Flush Boxes","Flush Boxes Not back to back on Acoustic Walls"
"4002241b-52cb-539e-ae1a-dc67af323476","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Cabling"
"c9099ed5-9ddb-58a9-be9b-5d69bd0bb6ee","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Cabling","Details"
"5513aff8-a512-57d3-b5f3-f7447a22face","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Cabling","Circuits clearly labelled"
"daff5b8c-8bc2-53c2-a40c-9483c2324d62","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Cabling","No Horizontal cabling"
"63a70a39-73c0-523c-8128-79b8bcfd53ee","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-200001","Internal First Fix","Area 1","Cabling","Separation between Data and Power at 300mm or as specified"
