"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f12e6f2a-b2fc-4966-80d0-d4a467ec75d3","","","","folder","TRUE","FALSE","First Fix to Walls"
"f6b5697e-7648-49d4-a8e5-d1c06a534566","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0"
"e661aac3-3b25-4bb4-aef6-4b5650f7c8a5","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1"
"2f088115-8901-49bb-9658-793076ac43a9","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004"
"99c3313e-68cd-4dfc-b1b7-9d9dcb8d05aa","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Gilcom"
"a0399a15-79fd-45c6-9165-e87b2eab45aa","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Rauland"
"cd006b6f-f46f-4567-abf3-dc26d1c2e53b","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Premier Fire"
"b3c67a64-e8cc-4098-8717-09965bad9956","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Data Talk"
"55f16ece-1a77-4a53-bae5-b08690199f0c","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - VAE"
"039d6310-9302-47ea-af27-31bc4452889e","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Contego"
"42d6b728-b21b-4bb4-9ebc-84d9a2754ba3","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - LCL"
"7bd8cd62-d2c7-43a1-af20-7f428dc03db3","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Alpha"
"146c4aff-27ab-45ff-bfa9-813c3d821704","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - LCL - Part 2"
"e3f851e1-8d6d-4d94-b49f-0fb6df8ddebc","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.709","QA - Contract Coatings"
"69aa67d0-cd29-41c1-a912-a16dde2920c5","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71"
"e5c3a4ee-eb61-44a6-b013-f8d875a036bb","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Hanlon Plumbing"
"56054dfa-e33a-4e3b-8469-35c4a11ae553","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - HelRimu"
"9fdc86db-e705-47eb-b83d-d89ebb4495ce","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Gilcom"
"f2281301-397d-4561-bcaa-edd6fc84232f","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Rauland"
"5258cac6-5307-41f5-9747-7cbd43648d22","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Premier Fire"
"665ae0d5-be14-4173-84ed-2cc2111fb1ae","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Data Talk"
"ecb04f65-5649-4b99-bb19-3fedd3fb7b7d","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - VAE"
"96f8ee19-9cbd-40da-a722-96484bf8448b","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Contego"
"144c3d1a-bce0-42b0-8e4d-3681ac5ec517","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - LCL"
"7db3baef-dd95-43c3-bee5-0768892086e5","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Alpha"
"7b410296-a69f-45b4-bb6a-9e557d8bbe48","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - LCL - Part 2"
"217c86dc-f17a-4ba8-bd44-9d97d6814a18","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Bay Treatment - EDM - 1.71","QA - Contract Coatings"
"f7fc63f6-b102-4d99-b7e1-77eb74a0a80a","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711"
"3e1b5ecb-da93-4d26-8104-9fb9567e97b3","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Hanlon Plumbing"
"6136893d-a8b2-4eb9-bd14-6b6609600e84","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - HelRimu"
"9d355694-b352-4053-9749-77d932cd7cfc","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Gilcom"
"ebe80068-7755-4ff0-adce-2c8e3ffeb8b4","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Rauland"
"dfcd4217-fe93-41a1-bf35-73b32344cd94","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Premier Fire"
"331bb720-1b76-44e8-a688-1c7cc2701c4a","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Data Talk"
"9925479a-ee5d-42b6-b426-655e7e286ba2","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - VAE"
"d2e8a151-122f-4fb3-8fd5-bf92e1b08d37","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Contego"
"ff5ad7f1-3685-4bbf-a7d7-1bdad2237155","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - LCL"
"0694bc2c-c23b-49c6-a84e-608c46ab8d97","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Alpha"
"bee065be-55f2-4e92-ad54-ff23138fac54","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - LCL - Part 2"
"c4983a06-fd15-43f8-b295-299bd1f37c8f","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Patient Bay- Treatment - EDM - 1.711","QA - Contract Coatings"
"5b3ad486-767d-4b7f-b3a0-707fe665320e","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712"
"5fbefe1a-cb81-43d6-9db6-66a577ffd92a","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Hanlon Plumbing"
"fdf11067-b3a3-4636-91f0-a7e6e5e3a65e","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - HelRimu"
"b9479236-c181-43ed-9837-751d17b83850","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Gilcom"
"e0818b31-b5ee-4ad7-a757-bfe08b9e99e9","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Rauland"
"2da3b839-ff20-48d8-a4e0-7df98025e7dc","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Premier Fire"
"5f984642-8898-4c14-a81b-17fb3abc2707","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Data Talk"
"c857f538-5ecb-4beb-86d1-c90099cab948","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - VAE"
"df31983d-c0e4-495a-b7a4-825ca59517e5","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Contego"
"832f4589-78a4-46eb-8cc4-25ecb67a8fe5","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - LCL"
"8ad0bebf-39ab-46fd-bc1b-53796d340c28","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Alpha"
"c193adb3-92e8-4f13-97db-28774b12d807","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - LCL - Part 2"
"4ab127e0-3a03-43db-afd3-62e9ecb5ca17","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Consult - EDM - 1.712","QA - Contract Coatings"
"257ed06d-809b-4214-8ba8-87c3e6ebe241","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713"
"2d673256-315b-4672-9ba4-87ae96605a02","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Hanlon Plumbing"
"0d2f05fb-5533-4e93-bd79-4d70f71d6fa8","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - HelRimu"
"ae8dfd71-08de-4da6-a773-62c0ae821776","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Gilcom"
"21ed12b2-ab71-4447-97a8-4a2a4c3fde68","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Rauland"
"776aa131-6b18-4e76-85ca-0f5ce0984957","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Premier Fire"
"722074eb-9cc0-4afa-a7f7-a580dd6fe486","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Data Talk"
"ee9a7246-c5c0-491d-a463-b306f3b9a565","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - VAE"
"4ff4758f-c2ac-4b58-9bc5-92b09ce3f781","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Contego"
"c43ca403-b472-4604-990f-b220d4a05f17","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - LCL"
"1a5c1416-4050-4ab1-b389-2cd71b8b64c1","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Alpha"
"0f121438-a3d2-47ae-8e24-0ef56f64f176","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - LCL - Part 2"
"4252c008-56a6-4836-bbf1-250687986f39","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Plaster Room - EDM - 1.713","QA - Contract Coatings"
"0e28bbbc-2d1a-43d6-8618-a58af2d1322a","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801"
"236f1166-ca8a-4b04-8d83-a86f416a8cef","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Hanlon Plumbing"
"ab78717e-3fae-4368-a5c8-6e13a043168b","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - HelRimu"
"c9993885-74d4-454d-b08c-faed45b6a927","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Gilcom"
"eb746492-4319-4965-9762-98421056f1e3","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Rauland"
"44c7099f-3869-472b-ad3d-e65bc9358bfc","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Premier Fire"
"389b4722-2043-48d2-82ff-9cb225c01375","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Data Talk"
"4c990b1e-2418-474d-ae11-70853ee9d620","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - VAE"
"ba9e8104-0c0d-4812-b046-2106b072bbfd","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Contego"
"3876336b-77c5-48e8-8d19-915e54a9f7f6","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - LCL"
"eb0a8f68-c424-451c-85b8-8ce85eed39d2","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Alpha"
"7d7ebe84-26d2-4671-8c10-9ebb1e9e1274","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - LCL - Part 2"
"cd13c574-c75c-4451-9014-5f2ba47dfaf7","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Airlock - EDM - 1.801","QA - Contract Coatings"
"59028eae-61bf-4a2c-ac2e-a087f758ea16","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802"
"d9aa6f1e-634b-46f8-8f68-3d288598dab5","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Hanlon Plumbing"
"866828e3-27f3-414a-8fe7-1d8c24344eaf","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - HelRimu"
"4fc26600-caa4-45f8-9ef1-fcc34c9943cd","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Gilcom"
"35a5a7ed-a886-49ed-b45e-ad28ec4bd82d","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Rauland"
"9cbc6198-7179-4383-b4cb-7b992d6a2466","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Premier Fire"
"1443f693-4a55-4be6-aa2f-e2342f3c43a2","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Data Talk"
"426e86ba-5044-49f2-a82e-afc71578239d","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - VAE"
"f4000968-7572-4f59-bc91-0ba48cc9b6a1","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Contego"
"d5b2678e-4f90-4bce-b1cb-eb8db8adf1dc","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - LCL"
"50c33dc1-4697-4a48-85b8-49a4a78eeb3a","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Alpha"
"b97a4e31-43ee-4a60-bd95-3c95098bf8ce","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - LCL - Part 2"
"e3e53a1c-1f39-4fbb-a652-a355dd6f9cc6","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","Waiting - EDM - 1.802","QA - Contract Coatings"
"c1eb43fe-6b4c-4f37-bf6a-edbbdf783c1e","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804"
"46d9c0b0-693d-4bcd-9479-30d650739a78","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Hanlon Plumbing"
"30bba8ee-2019-42c2-8b3a-4066869f0e05","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - HelRimu"
"08cb8d52-c489-4430-b43a-06642bf0c08a","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Gilcom"
"8379f94a-57aa-42bd-b4b2-cca0406fa930","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Rauland"
"0c34d563-978b-4e71-8581-ff795f2b1264","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Premier Fire"
"c9846170-6a6b-4149-89bf-423bec419b8a","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Data Talk"
"aed29d9c-e8ab-424f-8d23-a1fcc29d25b2","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - VAE"
"b679099e-e7a7-4110-b138-b46274f25814","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Contego"
"4f26f648-66dc-4520-b08f-2eb38f5eff28","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - LCL"
"67466aa6-10a0-4b1c-b6ff-cb067a884ce5","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Alpha"
"92a22a3c-0450-4281-bc60-f6eb5f56ed5e","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - LCL - Part 2"
"b0bd3767-ec01-46f1-a060-321262b608b9","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.804","QA - Contract Coatings"
"543a0b2c-22e2-49f2-afaa-cfea604e72f7","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805"
"1c94517b-a6b9-4698-8fb4-e0e21d212679","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Hanlon Plumbing"
"10d14335-7e2b-409c-aff8-a3f1c72219c7","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - HelRimu"
"1d50ab8f-a4ef-4002-8a5d-d501c066fa5c","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Gilcom"
"bb21c454-30e7-4520-a64a-a7aeb0802a97","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Rauland"
"bca37694-c76c-476a-af02-799bb3c5e859","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Premier Fire"
"96bc8efa-7c33-4fd6-9b04-facbdabedca2","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Data Talk"
"25f80ab6-317d-4d5b-9ab5-bb059f9fdcc3","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - VAE"
"41d4e1ed-055d-4097-bf0b-b3d51809af6a","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Contego"
"afd7ddc2-e4c5-4d20-b0b3-1d14ac9ba84f","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - LCL"
"dfcc2af4-4a03-484c-bfd0-459c53b5da0a","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Alpha"
"f210108a-9a48-48a4-8326-591f9b4ef489","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - LCL - Part 2"
"bce16e8d-7274-42fa-b506-1d4bb314526d","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","STD Parenting Room - EDM - 1.805","QA - Contract Coatings"
"61c4e7f6-c2ec-4ac6-bec3-26704c433b15","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806"
"166dbe07-01a4-425d-8c2c-8c4a96a1a109","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Hanlon Plumbing"
"1b0d2e6f-e539-498d-b531-e2961a02736e","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - HelRimu"
"1eab12ff-d713-4b0e-b2ca-169493f63980","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Gilcom"
"6eb33c29-90b8-4d60-9019-a3a2285d72d5","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Rauland"
"94d1b618-4a83-45dd-a881-0632d75826d1","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Premier Fire"
"438cfbcb-682e-44d3-af69-16b629a2a434","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Data Talk"
"f643c965-4277-4734-ac8a-7b3970dd724f","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - VAE"
"a04e229c-6a9d-4488-9743-13cd82c53df1","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Contego"
"9348ab17-41b4-47ef-84bb-ad1473b080c4","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - LCL"
"98a95c41-8952-4582-8d28-3e2198b6eba9","","","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Alpha"
"6aa46bed-a484-4a6c-935e-38516f6f8936","","","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - LCL - Part 2"
"cc4c80ef-0066-4c35-8a52-450fd2c21b77","","","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","TRLY/WCH - EDM - 1.806","QA - Contract Coatings"
"0a3f0cb5-d6c9-4504-bf68-d867a91d8ee9","","","","folder","TRUE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809"
"d8f8fb42-6da5-4107-acc4-5c34ed0f4dea","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Hanlon Plumbing"
"40f546ec-03e1-4860-bf8b-f03d5347aaa8","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - HelRimu"
"f9028e32-7633-4578-8425-a8ee6932743d","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Gilcom"
"723317dd-8295-4841-8f89-1100a9788019","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Rauland"
"c62f6b8a-c534-4ec3-bd60-5ddad9ee7fc1","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Premier Fire"
"561159c8-bfce-4df0-bb65-1f367459b308","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Data Talk"
"a7ffae2d-67bd-4ab2-9e9a-c75ba5ecf6a4","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - VAE"
"08704fdf-fd0b-430d-ac02-4dad6768b2f3","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 1","Zone 2","WC ACC - EDM - 1.809","QA - Contego"
