ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Outstations"
,"Scope",,
,"Rows"
,,"OS-A1-01","grouping","outstations","os-a1-01"
,,"Fan Wall Unit FWU-A2-10","grouping","fan wall unit fwu-a2-10"
,,"l3","expanded","fan wall unit fwu-a2-10","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-10"
,,"Fan Wall Unit FWU-A2-11","grouping","fan wall unit fwu-a2-11"
,,"l3","expanded","fan wall unit fwu-a2-11","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-11"
,,"Industrial Water Contoller IWP-RF-01","grouping","industrial water contoller iwp-rf-01"
,,"l3","expanded","industrial water contoller iwp-rf-01","l3"
,,"l4","expanded","l4","industrial water contoller iwp-rf-01"
,,"Industrial Water MCC A-MCC-IWP-01-01","grouping","industrial water mcc a-mcc-iwp-01-01"
,,"l3","expanded","l3","industrial water mcc a-mcc-iwp-01-01"
,,"l4","expanded","l4","industrial water mcc a-mcc-iwp-01-01"
,,"Industrial Water MCC A-MCC-IWP-01-02","grouping","industrial water mcc a-mcc-iwp-01-02"
,,"l3","expanded","industrial water mcc a-mcc-iwp-01-02","l3"
,,"l4","expanded","l4","industrial water mcc a-mcc-iwp-01-02"
,,"MCC A-MCC-RF-AA System AA","grouping","mcc a-mcc-rf-aa system aa"
,,"l3","expanded","l3","mcc a-mcc-rf-aa system aa"
,,"l4","expanded","l4","mcc a-mcc-rf-aa system aa"
,,"MCC A-MCC-RF-AB System AB","grouping","mcc a-mcc-rf-ab system ab"
,,"l3","expanded","mcc a-mcc-rf-ab system ab","l3"
,,"l4","expanded","mcc a-mcc-rf-ab system ab","l4"
,,"MCC A-MCC-RF-AC System AC","grouping","mcc a-mcc-rf-ac system ac"
,,"l3","expanded","mcc a-mcc-rf-ac system ac","l3"
,,"l4","expanded","l4","mcc a-mcc-rf-ac system ac"
,,"MCC A-MCC-RF-AD System AD","grouping","mcc a-mcc-rf-ad system ad"
,,"l3","expanded","l3","mcc a-mcc-rf-ad system ad"
,,"l4","expanded","l4","mcc a-mcc-rf-ad system ad"
,,"MCC A-MCC-RF-AE System AE","grouping","mcc a-mcc-rf-ae system ae"
,,"l3","expanded","mcc a-mcc-rf-ae system ae","l3"
,,"l4","expanded","mcc a-mcc-rf-ae system ae","l4"
,,"MCC A-MCC-RF-AF System AF","grouping","mcc a-mcc-rf-af system af"
,,"l3","expanded","mcc a-mcc-rf-af system af","l3"
,,"l4","expanded","l4","mcc a-mcc-rf-af system af"
,,"MCC A-MCC-RF-AG System AG","grouping","mcc a-mcc-rf-ag system ag"
,,"l3","expanded","l3","mcc a-mcc-rf-ag system ag"
,,"l4","expanded","l4","mcc a-mcc-rf-ag system ag"
,,"MCC A-MCC-RF-AH System AH","grouping","mcc a-mcc-rf-ah system ah"
,,"l3","expanded","mcc a-mcc-rf-ah system ah","l3"
,,"l4","expanded","mcc a-mcc-rf-ah system ah","l4"
,,"Mechanical Services MCC CA-MCC-G-01 Café","grouping","mechanical services mcc ca-mcc-g-01 café"
,,"l3","expanded","mechanical services mcc ca-mcc-g-01 café","l3"
,,"l4","expanded","l4","mechanical services mcc ca-mcc-g-01 café"
,,"Mechanical Services MCC A-MCC-G-01 NE Office","grouping","mechanical services mcc a-mcc-g-01 ne office"
,,"l3","expanded","mechanical services mcc a-mcc-g-01 ne office","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-g-01 ne office"
,,"Mechanical Services MCC A-MCC-G-02 FOH","grouping","mechanical services mcc a-mcc-g-02 foh"
,,"l3","expanded","mechanical services mcc a-mcc-g-02 foh","l3"
,,"l4","expanded","mechanical services mcc a-mcc-g-02 foh","l4"
,,"Mechanical Services MCC A-MCC-G-03 BOH","grouping","mechanical services mcc a-mcc-g-03 boh"
,,"l3","expanded","mechanical services mcc a-mcc-g-03 boh","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-g-03 boh"
,,"Mechanical Services MCC A-MCC-FO-01 Fuel","grouping","mechanical services mcc a-mcc-fo-01 fuel"
,,"l3","expanded","mechanical services mcc a-mcc-fo-01 fuel","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-fo-01 fuel"
,,"Mechanical Services MCC A-MCC-FO-02 Fuel","grouping","mechanical services mcc a-mcc-fo-02 fuel"
,,"l3","expanded","mechanical services mcc a-mcc-fo-02 fuel","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-fo-02 fuel"
,,"Mechanical Services MCC A-MCC-RF-01","grouping","mechanical services mcc a-mcc-rf-01"
,,"l3","expanded","mechanical services mcc a-mcc-rf-01","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-rf-01"
,,"Mechanical Services MCC A-MCC-RF-02","grouping","mechanical services mcc a-mcc-rf-02"
,,"l3","expanded","mechanical services mcc a-mcc-rf-02","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-rf-02"
,,"Mechanical Services MCC A-MCC-RF-05","grouping","mechanical services mcc a-mcc-rf-05"
,,"l3","expanded","mechanical services mcc a-mcc-rf-05","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-rf-05"
,,"Mechanical Services MCC A-MCC-RF-06","grouping","mechanical services mcc a-mcc-rf-06"
,,"l3","expanded","mechanical services mcc a-mcc-rf-06","l3"
,,"l4","expanded","l4","mechanical services mcc a-mcc-rf-06"
,,"Goods Lift LFT-03","grouping","goods lift lft-03"
,,"l3","expanded","l3","goods lift lft-03"
,,"l4","expanded","l4","goods lift lft-03"
,,"Goods Lift LFT-04","grouping","goods lift lft-04"
,,"l3","expanded","goods lift lft-04","l3"
,,"l4","expanded","goods lift lft-04","l4"
,,"Passenger Lift LFT-01","grouping","passenger lift lft-01"
,,"l3","expanded","passenger lift lft-01","l3"
,,"l4","expanded","l4","passenger lift lft-01"
,,"Passenger Lift LFT-02","grouping","passenger lift lft-02"
,,"l3","expanded","passenger lift lft-02","l3"
,,"l4","expanded","passenger lift lft-02","l4"
,"Columns"
,,"Tests conducted by",,"tests conducted by"
,,"Tests witnesses/approved by",,"tests witnesses/approved by"

