"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"883fbdd8-484c-4738-8090-c6c51fb5f51d","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"89663762-af85-5690-adbc-a2af4d9cd90a","","checkpoint-status","not-started","Job Details Checklist:3d098030-e418-4675-b5b1-7520caf5ee77","","TRUE","TRUE","Job Details","Project details entered below"
"a551f5d6-8996-496d-a4e4-47423b805579","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"e9b8cf87-f7fb-429e-a54a-6bd37edba0a4","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels"
"b751ea7f-e569-4df4-8ce8-14492158a487","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels","Building C"
"373b155f-ff1d-4202-8bcb-6fab8906a5fa","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01"
"4c768774-9eb8-5588-9099-85a3f88390f9","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Precast Element Details"
"fba11190-e271-5e94-b7e4-dc202dec3bed","","checkpoint-group","work-in-progress","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-10","Test Results, Certificates and Documentation (Reo & Yard QA)"
"dcb62b95-04b8-56ae-9f4a-5e98d259460f","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:1e3071dd-4e8a-4340-b0a5-2bb273e9bf8c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-10","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"5c31eab0-4ccc-5dfb-8667-866b290e3d4c","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:d2c59a81-31c5-4cf1-ad9f-ffb5eae98a87","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-10","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"4989edd3-8181-5c22-8e17-d00efd49de51","","checkpoint-status","not-started","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:61db57d7-8ee6-41f7-b4b7-0b4ef3f0109a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-10","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"8116be19-7910-44ac-9d73-79e454691eac","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11"
"e04e8ea0-0063-5a57-b4af-fe84b411bd5d","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Precast Element Details"
"4c06688d-a756-51fa-b829-4bf4b29c4a2e","","checkpoint-status","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9:1932e93b-d3e9-402f-83d0-e322d0c77950","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Precast Element Details","Concrete Details Complete"
"82f8d7ef-bc51-5ab3-934c-618b1008b766","","checkpoint-group","work-in-progress","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)"
"a46c0218-f2a6-5275-a8de-3da29ed36f8c","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:21d3dbc3-941c-48c6-a5ee-c5b912086cbb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"6f303655-2c4f-5725-82d4-6fd4d352357b","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:bb308721-634f-4bbe-84b3-d179a4e31d53","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"cf529839-e8a1-50e3-9bf6-f919239d4b65","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:61dd630f-70fb-4725-9653-100c8b5910fa","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"59909eb9-2508-5015-95ea-b94c20f3d8b9","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:6f468d98-e7a3-4541-956f-64ebaa447fb1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"ae36f6fa-e4b9-5ba1-834f-0f9e846b6a38","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:5f0cdd3a-3cf3-4908-a9a4-9f9c9b156a08","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"ea207173-cbe1-5d4b-9805-ee8e0d2f6b70","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:2f4fa979-ff3c-4149-a392-16a2624a489a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"ef5b09b4-3114-544d-b6f8-39e655b4c59d","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:e8337ee1-4b43-4477-897a-dbee87ff9293","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"5c7c2e9e-c2d8-5d26-84df-30751b5141f5","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:60e24774-6ebd-4386-b1a7-eea778d30cad","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"480d191b-4677-57e8-ad5a-30e6888e743d","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:b6cb4e1e-70c6-44ed-9da7-8c45faeb52bb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"79c9ff81-3d27-572e-9793-768d5f15a81c","","checkpoint-group","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)"
"8ddef0de-1f48-5d7e-abeb-8f8680f5d2cd","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:d40db9c7-f72c-4b19-90ab-3ec27f928208","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)","Sides Straight & Magnets Fastened"
"0fa54bc4-fed4-509b-9932-2331e05bc960","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:2b3fa28c-1d02-48bd-b200-601d54771389","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)","Mould Face Clean"
"ca7215dd-1851-562f-a443-6541b7bf56a0","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:e6e2a50f-eba6-40cb-9fce-8a4a426d4cf9","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)","Length/Width/Thickness/Cutouts"
"5e1d1af2-dae5-5e51-a0a9-9885ed9ebf8a","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:13fc42e5-8241-4772-aec1-1a316f3a7e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)","Edge Details & Rebates"
"27f772e5-a50b-5544-8541-f3df1b618aa0","","checkpoint-status","not-applicable","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:27cc08be-13b6-47e1-ac43-9706d28bba35","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Formwork Set  Up Checks (Tables QA)","MF Weld plates in correct location and siliconed to table"
"91b0bfeb-b525-500a-8d7d-f093e3e249f9","","checkpoint-group","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)"
"93491f9b-bc71-5ce3-a967-420b69935005","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:047df753-120f-4610-94b6-da1a778ffb3a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Main Reinforcing"
"0c6909a9-446b-55ae-8bba-06c9a0e39c75","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:02e1bc10-24ee-4489-a785-f76908e00040","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Starters"
"dd69970d-c054-5408-8238-753da8009473","","checkpoint-status","not-applicable","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:cf30138b-9391-404e-9b21-a90eaaddc739","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Stirrups"
"961eabce-6330-579f-bbff-648518f57c80","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:2c93000e-df16-4f5a-abd6-6dd011d50995","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Lifters"
"7f3c6b0c-1088-5af7-9330-66dfe1ac4c7e","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:8b61f742-fb4b-49f1-adb7-6a95ea675e1e","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Mould Cleaned & Oiled"
"22506a7c-b010-5629-9cec-235264787a24","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:d055ca06-4e18-49ac-a1e8-81e7ac04fd05","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Tie wire Trimmed"
"f3d1042d-5685-512c-8c89-3a46c5bf430f","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:e6f91a9a-a7f7-4310-8447-569cab61266c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","General Photos Attached"
"11e9fd09-0e96-59a4-82f4-3232520aa2dc","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:3405a17f-5544-4ff9-b719-a98f61a86cc4","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Concrete Docket Attached"
"699a4a7f-51c6-53b3-b4da-c563421d09bd","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:952645dd-8ca5-4f13-8211-12855b63e93e","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Prepour Checks (Tables QA)","Shop Drawing Checked Off (attach photo)"
"c2544559-1cfb-530e-84a9-237ba397e8a8","","checkpoint-group","pass","1. Standard:6fb22540-791f-4672-893d-f31573baf76a","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Post Pour (Table Supervisor)"
"c77c1453-f76c-54e7-b420-47eb36ac376c","","checkpoint-status","pass","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:011988be-f85f-4982-ac4e-b38005829f51","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Post Pour (Table Supervisor)","Confirm formwork has not shifted during placing of concrete"
"e1adb4b6-8450-5ea2-a849-8d0ae041c9fe","","checkpoint-status","not-applicable","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:76ff4f8e-3455-4f9a-b0ba-666b97833255","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Post Pour (Table Supervisor)","Face lifters placed in correct location"
"2e0e64be-97d2-508a-98e4-8023cf980904","","checkpoint-status","not-applicable","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:ad8ff1a0-6dec-49f7-9e37-900190a90c67","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Post Pour (Table Supervisor)","Roughening Lines Correct"
"f26018a1-f6bf-563c-a91a-d799f26136c4","","checkpoint-group","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)"
"b9ab8c81-75a5-59f2-9ba4-90f35f779155","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:d3e6b064-135b-4970-bc0f-2546302171e5","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Panel correctly labeled (check against shop drawing)"
"581a56b9-b6c9-5801-99c4-6f73ca90ce76","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:e6c5e5c5-6852-4003-9d16-39c4cb350dbe","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Grout holes for Drossbach Ducts have been drilled (top and bottom)"
"0282ebae-b020-56bb-88d9-92ee61d546b0","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:56b159f9-3248-40e1-93d6-65d10aef0265","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Bottom of Drossbach Duct is clear (any slurry/grout has been removed)"
"a5ddc93e-80dc-52dc-b13a-ac643958fe7f","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:3f743f29-ffa5-4c98-861f-2f4538934a04","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","All lifters have been cleared/cleaned out (including top lifters for install)"
"b781fdb8-bb8e-5308-8656-1076af93456a","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:6e151f2c-1aea-4e9f-8a39-67f32a7a864b","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","All Inserts have been exposed and nail plates removed (caps that came with Ancon fixings should be put back on)"
"ead133a6-c7b3-5eed-82a3-f8e1283227c4","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:2d6e8696-933b-4cc6-8c77-5022cd7b9a52","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Stitch joints have been jet washed"
"72820b3d-5ab2-5c19-8f2d-22cde104dc82","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:93b9787d-01fd-4329-b273-ffa611d0b113","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","MF roughening's jet washed"
"9a7b2473-3913-5d2e-a57d-8b6ec4791b0e","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:914e3e46-ff77-4c1e-9cd6-68e95560cf07","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","NF chamfers and square edges rounded with cup stone"
"5ac8f666-8aa9-5952-a809-531d8841a83a","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:29141e77-230c-4730-9ee5-c7e1154f64c7","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Weld plates cleaned (NF weld plates to be cleaned with cup stone)"
"8365a342-7d02-5332-8de7-50599f3fef68","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:7df3d99b-fd2f-4f5c-b342-49e0c0c77e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Grade 300 starters bent up for transport (only bend starter down if transport height is increased by bending up)"
"8467b8c7-b9dc-5781-b024-d1cf7f016598","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:b9226aa3-a7b3-4984-a07e-0eccc606f8b7","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Grade 500 starters are straight"
"61b52e68-2dd4-5763-b45a-cb925312b086","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:5a662ac8-5324-46be-9f10-a95e8560313c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","NF Quality acceptable (attach photo)"
"5ef5129f-2b7f-552a-994b-44fd99ddbfa9","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:62092cdc-b8a7-4c62-8b45-f6a626b21b4d","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","MF Quality acceptable (attach photo)"
"21ea3021-a72b-5ff3-b5e0-58eb32f53986","","checkpoint-status","not-applicable","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:ce5dad22-2dfd-48f0-965a-ea2f8b68cfd1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Structural repairs required (if yes photograph before)"
"899b4ba0-cb7e-5fac-b8da-328f7685d22f","","checkpoint-status","pass","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:d3e25f44-1624-4154-bf04-eba35b26b459","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Demould Inspection (Yard QA)","Shop drawing checked off"
"5f0a3064-55f5-58e0-b714-55a8af9f26af","","checkpoint-group","pass","1. Standard:4617a534-6160-4bc3-a752-3471546931a2","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Overall Panel Quality (Yard QA)"
"7cfa61d6-ce5d-5a30-a46b-4a2a58b214da","","checkpoint-status","pass","1. Standard:4617a534-6160-4bc3-a752-3471546931a2:2f318a3d-ca93-4700-8e8d-01f94e206b03","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Overall Panel Quality (Yard QA)","Overall Panel Quality Ratings Recorded Below"
"adcb63ec-5c2c-5186-b2f0-2eb5791cfe55","","checkpoint-group","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Loading Out (Yard QA)"
"529957fe-f4fa-5e29-8779-0809925d010a","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:0bd8001d-5ed9-4869-ab96-060ed89d02c2","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Loading Out (Yard QA)","Load Docket Given to Driver"
"3b73face-9b3e-5942-b214-7b77dd1a2fcf","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:e02acfd2-7889-4046-b780-ce16fe02e827","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Loading Out (Yard QA)","Photo take of Panel on Truck"
"74e3ec55-faf5-595c-9f59-d2edaddbe426","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:4c41b5af-368a-4395-8e1b-949e64f5a502","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Loading Out (Yard QA)","No remedial work required on site"
"579bad52-a8ed-5d89-a197-14bef048430e","","checkpoint-group","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-11","Test Results, Certificates and Documentation (Reo & Yard QA)"
"9f7f8ba8-a190-59ae-925a-328510977e25","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:1e3071dd-4e8a-4340-b0a5-2bb273e9bf8c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"cced7763-faa9-5233-ac67-a6b29588fcee","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:d2c59a81-31c5-4cf1-ad9f-ffb5eae98a87","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"98349399-ac37-5546-9136-ffb25eb00c86","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:61db57d7-8ee6-41f7-b4b7-0b4ef3f0109a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-11","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"0153301e-e6f7-4666-ad8a-3db2f1c25dcc","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-12"
"0f63604d-d108-5ba6-8068-d5b8437c463a","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-12","Precast Element Details"
"38da57b5-a2ac-568e-be2a-88ce28cdfd3b","","checkpoint-status","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9:1932e93b-d3e9-402f-83d0-e322d0c77950","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Precast Element Details","Concrete Details Complete"
"d16e40c4-627e-5977-9b5e-8b56916df494","","checkpoint-group","work-in-progress","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)"
"f0943e5b-6830-5734-b0a6-214de42797cd","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:21d3dbc3-941c-48c6-a5ee-c5b912086cbb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"c70d09be-aed8-546b-9d27-d2616fed787f","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:bb308721-634f-4bbe-84b3-d179a4e31d53","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"628f4b8c-04f2-5f2d-b4d4-28416457f2cf","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:61dd630f-70fb-4725-9653-100c8b5910fa","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"640b9829-08fb-50bd-abb6-d9a3085bf3c9","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:6f468d98-e7a3-4541-956f-64ebaa447fb1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"1460cd4f-e652-5b77-8827-abd2d17a5977","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:5f0cdd3a-3cf3-4908-a9a4-9f9c9b156a08","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"ad1869e7-5c94-5c2d-9317-38e1725a64ed","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:2f4fa979-ff3c-4149-a392-16a2624a489a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"a14ab4b6-3667-5d81-98c3-b0fe75fc527b","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:e8337ee1-4b43-4477-897a-dbee87ff9293","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"1c9303bd-816a-591f-b595-38722783bd26","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:60e24774-6ebd-4386-b1a7-eea778d30cad","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"4a969074-893d-5e26-8ac9-07d7ff31b6d4","","checkpoint-status","not-started","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:b6cb4e1e-70c6-44ed-9da7-8c45faeb52bb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"197214f0-16f8-56d5-b74b-cbd5bb2b9cd0","","checkpoint-group","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)"
"def0c1c5-fc82-56c2-97d4-4d235bb39055","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:d40db9c7-f72c-4b19-90ab-3ec27f928208","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)","Sides Straight & Magnets Fastened"
"97a07db7-2c9e-50ba-bc90-5151eb748931","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:2b3fa28c-1d02-48bd-b200-601d54771389","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)","Mould Face Clean"
"bfdf32d7-84a2-5ec6-a690-c3bd52e5f0de","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:e6e2a50f-eba6-40cb-9fce-8a4a426d4cf9","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)","Length/Width/Thickness/Cutouts"
"06068aff-abdd-5ede-9c66-1610a60055a4","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:13fc42e5-8241-4772-aec1-1a316f3a7e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)","Edge Details & Rebates"
"3527bcd4-3238-5c54-926b-296d61e0eda5","","checkpoint-status","not-applicable","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:27cc08be-13b6-47e1-ac43-9706d28bba35","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-12","Formwork Set  Up Checks (Tables QA)","MF Weld plates in correct location and siliconed to table"
