"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"599f4f8b-22f3-4d0e-b3f3-728ee02a2fd7","","fail","","folder","TRUE","FALSE","Site QA"
"ed704b45-014f-485e-b3ef-3fec5ea2d7b6","","fail","","folder","TRUE","FALSE","Site QA","Doors"
"8df70a0f-179e-4702-8704-0c7c1355c78d","","fail","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)"
"b57776c5-d087-49bd-b43d-1d6eefec67dc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02"
"a37b4d08-ac8e-4274-b240-e2fd385e4550","","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Standard"
"2042c8e7-c547-4937-af95-e909b7e8778e","","pass","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated"
"9bd9c07e-f9c5-4f09-b702-9a96042a1188","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.227.D3"
"cd962d02-3e86-4ab3-a3e2-92cb8715b356","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.229.D1"
"8ef67205-c1b1-4435-bec6-8328697b1ecb","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.234.D2"
"fba7bfd7-4453-4cf5-8304-97edb9f83d08","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.235.D1"
"8c4ebdb0-0adc-4fc2-8f4f-5b9ee84ea0d8","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.242.D2"
"be3837d4-d17f-4957-9324-c87272964516","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.245.D2"
"d625c450-8465-4970-8f2c-3da7721a50f1","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.246.D2"
"2000ca2a-4993-4f44-82e4-3327d481a797","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.247.D1"
"58dd1bd2-077c-4b50-954a-98c57014580b","","work-in-progress","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.251.D1"
"8aeeb70c-2309-4e19-b3a5-82c2787369a1","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.251.D2"
"8397e593-a83a-4313-a16e-a55ae5e40384","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.256.D1"
"02e3b7e3-6ff1-4bc4-9072-5ef60b8b93d5","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.257.D1"
"d8b46251-723c-4d78-a40d-33cb9562afc2","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.261.D2"
"46852a0e-9ecf-4e01-9623-4c10b66a34d9","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.266.D2"
"4d4dcaa9-b357-4418-b540-7a25d844ac53","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.272.D2"
"a1b1439e-c21d-425d-9007-8f431b832a5b","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.273.D1"
"c730d9be-f242-4699-a96b-fc43617194c9","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.282.D2"
"45754eee-0813-4a52-ba12-0388fd101d61","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.317.D5"
"713c6505-c89c-4f39-b56b-043fdf082458","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Lead Lined","02.B.448.D1"
"413064f3-1a2a-4f91-bcb5-2e409169d7e4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated"
"309177d8-781d-41e3-a100-3777e19f09d5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.001.D1"
"3b0c24c5-c34e-487b-b119-60bba41e55d5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.012.D1"
"929a37aa-60f8-47f4-9154-fd4ab80fc80a","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.062.D1"
"bf9fd9d9-6d9a-4650-8105-f2fd4b1b93e3","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.065.D1"
"816cb7ed-f650-45a6-96ba-e6f50b2a8fda","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.156.D1"
"aaf889ba-f3c8-4220-811e-d3c2a0106d17","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.156.D2"
"54f266d5-5b7d-40ea-a1cb-0507a9cba3e8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.165.D1"
"4010eb23-0ec2-4566-8b7c-f3da8cc03876","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.224.D1"
"a9b6a84c-3fd5-42fa-a3b8-bbb88513068f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.225.D1"
"21357f9c-d5a0-4d60-82ee-8fee272fc8e5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.228.D2"
"6a26d1b7-c911-450c-be7e-a3355a467f4b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.230.D2"
"f8230223-64c7-42da-8eed-5825a36b70c7","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.232.D1"
"7d89e997-09ce-4495-b775-f609a8355896","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.232.D2"
"676212c8-1393-469d-8ca5-4a81b6776deb","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.266.D2"
"26389510-fff5-4278-9477-3f4d914dab98","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.270.D1"
"8995cfab-01a5-4fb1-bc95-b9ff92f262e8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.270.D3"
"cadf9265-8409-49e0-a4c2-6289b07e1be0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.270.D4"
"f4374092-9b59-4a48-8a39-132512c6f08e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.296.D1"
"c0283b7e-c711-477c-8fa9-4f7c1c547993","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.310.D2"
"48ca5287-ff90-4d2b-84c5-e4ee37c4ce7f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.317.D1"
"d5dea7ae-0b13-4ec3-9efe-9597d84470a2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.317.D10"
"f9821d65-1d0f-4703-a17f-631c1768bcb6","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.317.D3"
"d6389149-3cf4-4fcd-a2e4-c5b6e266a75e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.317.D4"
"56124fe9-73c9-41d7-b80f-e7c55a7253f9","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.317.D9"
"9beff8c2-4a13-4da4-91ca-bf16bce40f1f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.321.D2"
"e02ae345-7e7c-46fe-aa5a-e27c56290c99","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.361.D1"
"657c6dbe-bd07-4086-825b-b67ff7cfb7c2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.362.D1"
"1fe26eb4-3f6a-47ad-86e4-23e16a58f62f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.363.D1"
"ad34d74e-58a7-4142-85b8-69b4596f0e12","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.363.D2"
"f2833505-ed4b-48b9-818a-9c1bafdbbdf0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.366.D1"
"c5e67905-6006-4c7d-8410-0766f8358bd1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.366.D2"
"d7c67b20-ba8c-4cce-ba30-baf2cfce2a18","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.368.D1"
"1c51c763-53d7-4d91-be9d-e659e25cf3e1","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.380.D1"
"33a484e2-3814-4ac3-8f34-e20db9ff9b1b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.381.D1"
"3d1bb6e2-4e71-4979-b0d2-56c85dca6ac4","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.382.D1"
"ed49c370-195d-4e88-bc11-6f440a27576f","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.382.D2"
"1e6a56d3-cccd-48db-a3a7-86f9081aad4c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.383.D2"
"206c8bcd-3f85-4bbf-bc31-74eab98efb9c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.384.D1"
"8c088b7c-95b9-4d08-8bf0-7753c28562b5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.400.D1"
"96a2be17-895f-4fb7-9bad-9761c3ace6f5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.400.D2"
"3ac37272-5aa0-404e-af4d-dbd6684fc061","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.400.D3"
"67c5477a-3b27-4096-accd-c0bcda1b620b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.401.D1"
"44b22afe-2aeb-4022-a92c-1e65762aab49","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.401.D2"
"c608fd6d-1373-4e37-add5-a63055abec41","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.401.D3"
"15724a24-8ada-4e6c-a2c6-9190d53116cd","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.402.D1"
"df1ecab6-3e95-48d2-9f23-11e701b9a1bc","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.404.D1"
"a655e7e9-a69b-4ef1-8ba6-4d581ee47201","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.405.D1"
"19606a35-2f99-44ed-a14f-32a301868233","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.406.D1"
"223f953e-6a1a-4742-bc89-f9f0e6a58d75","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.407.D1"
"5a5c62a0-a3e7-4d3d-a539-8d2690b45e44","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.408.D1"
"9f4b8a4e-1c04-4a13-8541-8935d8180366","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.410.D1"
"3056db3b-db2c-4981-b2b4-39494483ed11","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.417.D1"
"28d4efa1-30a8-48be-a7ab-d48eedf75fe8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.421.D1"
"6fc1eadb-4228-4090-b4b7-c975b30e6311","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.429.D1"
"a64c5a32-a56c-45f8-94da-b5d205b6b49a","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.433.D1"
"a4b44996-683b-4466-a289-90298ae2404f","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.433.D2"
"86f962e8-24de-4ebd-b04b-67b8cc1e2482","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.433.D3"
"4cf259b3-2ccc-4456-8d1c-b18b4fd2cb7f","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.434.D1"
"cb35d82f-415b-444f-8379-31d158c2d120","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.441.D1"
"cf59bc4e-aaf7-4d72-af73-d9bd45836735","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.441.D2"
"f947527e-81c4-4f8d-b5c5-ea746f8fcef5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.441.D3"
"c3ba68e1-3108-42cf-8915-13988849be0e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.442.D1"
"461de72b-0c60-49d4-b56f-28c1d4f1114d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.442.D2"
"7ab9a14c-4ca9-498a-9c46-bc2ead3d35af","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.442.D3"
"097a25c2-1a59-4123-bd01-6d68c9e00315","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.444.D1"
"686de4b1-c353-4e4f-a7f9-354236fa9bd8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.494.D2"
"b626d989-f358-4911-8e40-e2871036dcb6","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.495.D1"
"6ba3d4a3-54f7-4379-8ce1-427f275cdb00","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.495.D2"
"23825918-acd0-4b02-9fa1-487ee56f1a17","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.501.D1"
"224cd8b6-eab3-43ca-a64e-bbe45ecdceb4","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.560.D1"
"bf5c4de6-271f-4087-aca4-f0ee07f5274f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 02","Fire Rated","02.B.560.D2"
"87c72bad-c7e3-4528-9c7b-f35de2296e99","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03"
"ffded378-f657-4a43-85a4-f205dfce295b","","pass","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Standard"
"2c3ddad9-52f4-4171-98e5-d2122785678b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated"
"4da3f39f-6218-4f43-9f50-1c4bc09e7224","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.014.D1"
"ece79b31-951a-4849-af6d-2f280c70d79c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.015.D1"
"7e733925-6a2c-499e-87f8-10acc904db2d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.015.D2"
"6f33fab4-84d1-4c99-83f4-31577d276f8e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.018.D1"
"aeca5dc9-944c-4b61-83a5-75e34f889b8c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.018.D2"
"84dfa451-d6f7-4b7f-8f9f-1b39720eb8dd","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.020.D1"
"e5ba69a6-8d31-414f-b2ce-3b22792613b0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.032.D1"
"a83ad41f-7814-490c-be52-a220eb0167b2","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.033.D1"
"ca57f8d3-f0b8-47a0-a48b-34b4d8e84445","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.036.D1"
"d49cb8dc-836d-4575-9a0c-29b6cffcdc93","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.041.D1"
"cd471531-d4bb-4071-8689-36f8851178e4","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.041.D2"
"aab00229-d2c9-44c7-a345-31a0ecb1b241","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.046.D1"
"6ff51276-fe36-4522-bf59-37e4a1cbb8e1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.047.D1"
"98c5d097-6208-4cf8-bcc1-756f528bf115","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.048.D1"
"c2af90d7-3b39-4d67-88de-57b1dee548de","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.049.D1"
"73e6a1d8-36df-4197-b09a-ce21e1ff7ad0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.050.D1"
"4983bd14-223d-4b19-86ca-282af73d3f09","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.052.D1"
"3dbc99be-389d-4586-b88a-3d62824653c0","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.060.D1"
"8a2aed71-6ce4-4429-9ff2-bad9f06cea81","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.077.D1"
"a775c15b-8bc2-4761-ab00-9779c724b394","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.077.D2"
"a6496d36-e8a9-4f8d-9fb8-c4590667a9ff","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.077.D3"
"a0500e70-585b-40c1-a1f0-ab5941431c4f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.078.D1"
"834e076e-c28a-4fcb-a091-78ab7bb11d02","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.086.D1"
"000abbb2-144e-431b-b6ad-180f086d1e1a","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.096.D1"
"355eb3de-007b-45dd-a7ca-ca698a17acb1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.202.D1"
"c328ca1d-7b57-42c8-9114-a003d6189c4c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.250.D3"
"b24e326b-f547-4a4c-94eb-942e10f71218","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.317.D2"
"160d5bfe-170b-4d7b-9d97-c55dfa693b6b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.330.D3"
"73512946-a0f8-463e-ac8c-28b29b2939b9","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.367.D2"
"58a29a8d-f89c-48f4-85cd-699ddb09f916","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.446.D1"
"7754b454-95f6-4773-9632-2ec921fc4e92","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.446.D2"
"9d8bf49e-eea4-4a4e-8d42-554fdd7156a0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.510.D1"
"fb2dd67a-fab5-4cfc-972f-4210e105e986","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.510.D2"
"d7af08f4-ecc0-438b-8f75-4e0d1a6cc76b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.513.D1"
"c9684744-0585-4744-9636-8e0216dd87f0","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.515.D1"
"535b6e5c-e130-4916-bcc2-d13f78eedfd4","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.518.D2"
"a3ea7d59-9948-4c5d-b97b-9f8423b0f31d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.520.D1"
"2366b371-63c4-4d31-9724-d47e04ce4c6d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.520.D2"
"337209c0-b1cf-4f1e-8412-185272f744b8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.R06-L6.D1"
"3ffa6709-2918-49bc-80e0-e179f35da806","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.SA3-L3.D1"
"c7ca95ca-9c23-44c5-a695-02c13ad62b5a","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.469.D2"
"e386c3b1-c8cc-4965-a2ca-d0381ae746da","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","Fire Rated","03.B.090.D2"
"73ae7888-8a24-4a9a-b3f0-eec562bd3c64","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Level 03","03.B.469.D4"
