"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"85d4133d-8800-4c3e-b871-577cc9ab0a46","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"cdc311dc-72da-5aa1-bfcc-0d7e01d3f989","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"53ef8565-564c-5c90-8dcf-5795f4dc64e7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"3c2daaa4-19db-50da-b6c0-9b346cda75f9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"ae8ecdd4-a0af-5704-942b-a3a9c3f16b46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"a16198d9-cd06-5035-8902-42adac6f41c0","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"fdefab4b-f342-59b8-9c6f-3ce5b86abe69","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"ce7a483e-c0ee-4204-a563-3e398f17b1c4","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"b1835d45-c1b1-407f-a642-781e927d0bc8","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System"
"045e3414-e79f-4d55-9193-2562e9a55ab6","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01"
"d17337f9-6c79-49ca-9c96-898c49006db5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist"
"21d25413-64f0-541c-b612-12d5449214bf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 2 photos required"
"bad5a059-28fa-58e2-9dc8-e7a6b5e70e5a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"698a2761-dd57-5129-ada5-6d28f5682375","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"4a427f4a-8023-59e3-b898-d92e716e53c7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"26e591cd-dd28-52ce-8c52-c97a953d62c0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"f9816e98-e3df-44d3-a3b9-a3679f18a357","","folder-normal","not-started","","step","TRUE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02"
"a36b5237-0ef2-479f-9482-62492169b5ec","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Pre-Fit Off Checklist"
"0e861cf5-3ad1-5bdb-9023-f3cafc7c79aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c1fca727-3c11-5a36-9a13-220672714390","","holdpoint","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"65f9ab10-83c7-59ed-95dc-cbed780aeead","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"eef7350a-a930-4f07-a459-61d5500a82f7","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02"
"072321d4-fc4a-5ee4-88ec-59982f0183fd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 2 photos required"
"eb0696f8-068e-5abe-996a-1f91aa7e721f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"a0f945be-9fb8-5aec-a8be-d18e0c401419","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"6c7fc621-e08e-5cb5-933e-cf452a6181df","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"f94de7b5-8cd5-5a75-83b5-12b0f77b790e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 71m - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"1ad8b9bd-0e17-446c-98d2-fa44714db4cb","","folder-normal","not-started","","step","TRUE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03"
"0e2b3ec9-dfb3-4e81-98f5-19b80991d16e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Pre-Fit Off Checklist"
"18af3849-0ecb-53ad-89a5-de4e6e6d401b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"55023d82-d275-572b-b090-202acc984b7a","","holdpoint","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Pre-Fit Off Checklist","EMAIL PM"
"edd98bb0-ae04-592a-a2e6-8e88a0345e2b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"93cae14b-8596-4f5d-b5d5-c12636f69b2a","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03"
"31c40960-f254-51cc-a961-8307dbbd1a1a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 2 photos required"
"c64dfcfd-2150-5a99-a509-25e7fdcdcf4e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"1cf23278-f8de-5662-a8fd-f426c8c569d8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"b1a794d9-6738-5170-959a-8d1a6d2700aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"7025670b-ee27-5d38-8695-d2d926f0eed7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 21m - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"7d3b61a4-03a5-4bc2-951e-f91972368d14","","folder-normal","not-started","","step","TRUE","FALSE","QA","5No AP Type 01 Abseil Anchors"
"14bb84f4-d8d2-463c-8306-7aec2a2328ed","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Pre-Fit Off Checklist"
"2693dbc1-64f0-53f0-ae03-2ccafb3f1b6f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"44789364-d256-513e-ba45-174e7c6a5988","","holdpoint","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Pre-Fit Off Checklist","EMAIL PM"
"c5b6ffdb-50f5-5d50-a2d7-385b3fe340b5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"b05a4673-12e9-4038-ae2d-99b4facf1665","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 01"
"6274c9f8-de5c-5a0e-9cc8-97d9cc8998de","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"48aa5f0e-cb85-5b04-9b2d-7367026433c1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"790dfe45-df68-43b5-8656-c5a08f9681a2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 02"
"9f69a549-e4f3-5e18-8461-387de3636a57","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"5908ecac-c85d-530d-b603-55b48603506c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"df25c281-4ebb-4cd2-8faf-afe48959ac26","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 03"
"1596ef4d-79a8-5618-ac18-b80a596d8678","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"051f99f4-c1e5-5e9f-ac8b-859812a18be1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"00b66ccf-db46-4816-be45-579e107c4247","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 04"
"2685825f-ad94-526b-8d55-f8ee7a6db80f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"29ca0d9e-4d44-5a23-b5b8-85a7b09401c0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"05072926-83c5-4e60-b056-ad1f817e347f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 05"
"744e6aeb-e48d-5ef1-bbd3-97c4c1e6cde4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"128b7e16-d53a-5e3e-bbc3-172a845dc7a7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","5No AP Type 01 Abseil Anchors","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"8fd767a5-7cb5-4984-8374-6031e6b66579","","folder-normal","not-started","","step","TRUE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors"
"7e838063-f580-4557-9522-2d6adefcdf7b","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist"
"60283716-e596-555e-a495-e72ba2c63b39","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"72c568fc-374b-522f-8557-a1bf785ab36d","","holdpoint","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"55621a9f-4c10-51d2-952a-b5665512a2f3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"488ff259-3133-4a6e-9ebd-9e21a70d6d07","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 06"
"e440f054-e7d4-551a-8492-2495513bac5d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"4a53f069-b757-540d-8792-f9331a45ffab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"4de9b7f4-5745-4424-9614-926762571a41","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 07"
"4d1936aa-b89d-5ff6-be6f-6fef10184366","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"7ab4fb7a-22b6-5212-ba81-65146af42044","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"b44bf8b5-4d76-44d9-afbf-53de0ad6e54e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 08"
"0066d0b2-908f-560a-ac93-8f0ff6a76063","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"16126a40-8b96-50a1-a132-a314d35bb21a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"97cbc90a-99c9-4ee1-a516-93d90ff8b619","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 09"
"de9e0c8c-71b4-56ae-bde2-4b28708c4116","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"b222520b-a886-50af-a0ad-7db2a8c3cbfb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","4No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"86ad25dd-6353-4461-81a6-9dc9534c8517","","folder-normal","not-started","","step","TRUE","FALSE","QA","2No AP Type 03 Access Anchors"
"af48ebcd-c7e4-4940-a789-0cd1af192785","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2No AP Type 03 Access Anchors","Pre-Fit Off Checklist"
"2e91525d-d6ce-5638-b7ca-63af92a2087d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a33230f9-8817-531c-a087-28f3f3ae43a8","","holdpoint","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Pre-Fit Off Checklist","EMAIL PM"
"78c4f42a-b570-5569-b38a-ecdee3ceebcd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"19a023a5-269d-4fab-ad22-bd941be40cb1","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 10"
"069ee8f5-d9c2-5edb-9853-cecc22c96cd7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"c8241309-b960-5a67-a563-c1c6b44863e8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"9aa20a47-167c-4e6b-bc89-1e6d0140cb0e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 11"
"40a1037e-f7fa-5c87-aad9-7a5dcd8965d5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"a69f7f72-6149-5bd3-8140-9e19701e8e9a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No AP Type 03 Access Anchors","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"888dc316-d022-4331-a9fa-eceb14c06117","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Fit Off Checklist - Supply Evidence of 2No Tradesman Pro PPE Kits"
"59d10980-45c4-541c-a10e-85c2e553ac97","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fit Off Checklist - Supply Evidence of 2No Tradesman Pro PPE Kits","Photos taken of installed item"
"3993c322-f382-5dfe-9e7d-94204e464c92","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fit Off Checklist - Supply Evidence of 2No Tradesman Pro PPE Kits","Installed as per PBI drawings supplied and manufacturer's requirements"
"32a9fccf-b564-4e63-8aa5-6558046c9bd6","","folder-normal","not-started","","step","TRUE","FALSE","Roof Access Requirements"
"ce61ec66-fb2c-4254-ad34-34a85852c281","","checklist-flat","not-started","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"f0514c7f-3887-5ada-bd92-6161ecbf411b","","checkpoint-status","not-started","","","TRUE","TRUE","Roof Access Requirements","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"65c32607-4bf8-4126-a57b-4d5dfe0b9ef6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Data Plate & Access Point"
"7a273bfc-0a07-4bdd-8eb3-58960581e506","","checklist-flat","work-in-progress","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","Data Plate & Access Point","Data Plate, Access Point"
"452d9620-8312-5f4e-8b65-ad4fef33d904","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","Details of Data Plate"
"6e46ab7b-45bb-5edf-9cd5-4ffe0841a493","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","1 photo required of Data Plate"
"6a161b4d-33d9-5b2e-9526-0e749be6cb4d","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","Details of Access Point"
"aeae0137-9223-5181-ad62-6dc30732f3a2","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","1 photo required of Access Area"
"9e433143-4089-5541-8f5f-3d51cf3dca58","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"bdc48ee6-b471-52b2-b6dc-780bb4cf430d","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point","1 photo required of carriages/travellers"
"fa1abfad-9efb-430e-a389-f92333b6eea9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Installation Certification PC"
"25d950f3-23b7-4279-85bb-33f30be76635","","checklist-flat","no-status-not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"a1bf106a-6aab-5caf-8ef0-fa2eb76772d4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"b3c876f4-e52e-5a46-8ced-524da26845ac","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review to PM"
"3f2eefcd-f70e-5657-afec-9e0e9d567115","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"940f45d1-293d-5759-b6be-0aa3e5ba77f2","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Additional information required"
"def5fa8a-6339-5d99-a0a8-ccbb936bffb1","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
"cd8f55ab-23cd-537c-99a4-93768e49ac24","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Send to PBI Admin"
