"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e165698e-5a7f-4c94-b00f-d41b6ed9d3e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"09bb6d48-54b8-419f-aeff-2ed4760c089f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations"
"82ea0af4-59f7-47d4-9420-61eb36e4d425","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A"
"cd9a533c-8f20-456d-9654-2b17a069f052","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings"
"1b201aef-dbb9-4a9d-964d-5661923ed023","Child Concrete - Pre Pour(37a3351c-6c92-59ff-9e57-48aba8f6ec77) -- Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17"
"37a3351c-6c92-59ff-9e57-48aba8f6ec77","Child Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour"
"633665b6-4bea-5544-9eea-d5bbac132617","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Services Fit Out","Trades QA received & attached as applicable"
"dd5566dc-3cf9-58f3-979b-4085bddfbf9b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 10","Internal Painting, Framing & Carpet"
"da88b7cb-2165-5d95-84c6-84693afb85eb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Internal Painting, Framing & Carpet","All studs are set out correct, and are plumb level, square & installed as per manufacturer's recommendations"
"572d3e06-1dbc-5681-84f2-714da76a3ae0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Internal Painting, Framing & Carpet","Painting completed as per specs, correct paint product and colour used"
"0c06dc13-6bf8-5f95-abfa-e9e1099779da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Internal Painting, Framing & Carpet","Carpet installed as per specifications"
"45d66fe9-9957-52a8-b435-6a2764a4237d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Internal Painting, Framing & Carpet","Trades QA received & attached as applicable"
"e9026b73-cf55-5c9c-a168-39409d56a78a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 10","Fire System"
"74665f56-6124-5e8e-85ad-13f5d19cf5df","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Fire System","Smoke detectors & sensors fit off completed"
"a0d848ec-1c6e-53f9-99e1-08230c5c9f48","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Fire System","Smoke detectors & sensors tested as per manufacturer's instructions"
"c140df5f-130f-5677-8cc4-abed0ac4f41d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Fire System","Sprinkler rough fit off completed"
"e84f9b91-8635-5123-8cce-a45cf24450c8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Fire System","Sprinklers commissioned"
"b9a5996a-3d02-5196-ab8d-4490a7992275","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Fire System","Trades QA received & attached as applicable"
"ab3468cb-3f1c-56c6-96d3-d05e8a93d066","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 10","Scarbro Final Sign - Off"
"92733ef9-82f2-5f43-ac9b-9db50ef1ed95","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 10","Scarbro Final Sign - Off","All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved"
"c4bdb9da-708c-4889-9557-7e565a4e352f","","checklist-sectioned","not-started","QA - Interior Fitout","checklist","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11"
"d9e4cf26-72ef-541c-83dc-0202d657bdba","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Plumbing First Fix"
"c5e039fd-3189-5b4b-a1e5-30d19b1d42f2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Plumbing First Fix","Plumbing first fix complete"
"22d70ac1-9a12-5b97-935a-4d83ff59c749","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Plumbing First Fix","Trades QA received & attached as applicable"
"0065847d-e1fa-558d-bb01-8a772bf7360a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Electrical First Fix"
"9d763226-1c86-5324-8968-19e9e2213581","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Electrical First Fix","Electrical first fix complete"
"6c01cd64-b0c3-57d1-9df7-cacbf657e31f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Electrical First Fix","Trades QA received & attached as applicable"
"9d453d1b-1f59-513c-aacd-0036843244ae","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Mechanical First Fix"
"5db8e165-c769-56d9-93f0-1a413aef0d12","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Mechanical First Fix","Electrical first fix complete"
"41cfbbca-ac0d-5870-bff5-8fd1fbb711a4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Mechanical First Fix","Trades QA received & attached as applicable"
"7d6bc2af-2bb2-51f7-8a6a-bdf26799046d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Global Fire"
"46b1cb7e-044d-5af7-b9df-8c34d879dd8e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Global Fire","Ensure all penetrations have been installed as per specifications"
"30bb2ce1-2020-5784-8ca0-96f1ff2ba92f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
"845a0ca9-4286-5f6f-91af-8d9286c029ff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Global Fire","Trades QA received & attached as applicable"
"edf7bc99-6773-5a51-ac98-ab84b2390b90","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Ice & Fire"
"fa19a9b5-63b2-5195-a93f-ff564b56aecd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Ice & Fire","Ensure electrical cables have been suitably sealed when passing through a fire element in"
"6f9bf075-0609-5394-8ca3-1d0a2c392232","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Ice & Fire","Check that fire doors have been filled"
"a54bce46-4000-5230-a6be-050dfaa87bd8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Ice & Fire","Trades QA received & attached as applicable"
"58baaada-b07c-5fb4-8e0f-a4cac1ff17d3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Post Wall Linings"
"0da32fda-ee8c-5f14-bd25-1904c35efe95","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Post Wall Linings","Ensure installation guide has been followed for fire rated walls"
"87a53532-2184-59ea-9dea-3550ca90618c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Post Wall Linings","Trades QA received & attached as applicable"
"843f5a4f-4c11-5933-8482-e490dbce95f7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Tiling"
"6bc28b4b-7d9c-54c9-87a3-38802baa0d5e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","Waterproofing completed as per specifications"
"585e5322-5bbb-542f-8acf-eb687c6e4e50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","All floors fall to wastes & don't hold water"
"3f68bc51-f823-5721-af97-79a62aef925a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","Ensure all tiles are fixed correctly"
"9f1d14ca-43b8-579f-ac61-c090ba2c924a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","Grouting done"
"aea58451-7e18-5eac-8710-c3c993fa1ced","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","Silicone sealed"
"57d9d8ac-a485-5855-9284-a8464173d765","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Tiling","Trades QA received & attached as applicable"
"5a762797-c726-5ada-8798-2322aba4df4e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Kitchenette fitout"
"eb15fa0b-8dad-5db2-b639-4ade521f752d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Kitchenette fitout","All kitchen joinery installed as per specifications"
"c8c52271-2c9d-5ba2-b868-875f4411f370","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Kitchenette fitout","Trades QA received & attached as applicable"
"e5511fb0-33ac-560d-92e9-b25446762159","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Hardware fitout"
"ad5cc86e-b90f-57e5-9e02-48038579c3e4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Hardware fitout","Hardware installed correctly to plans"
"6ab89ad6-d8d3-5794-83d5-e7d1a7507a38","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Hardware fitout","QA received"
"c25779e5-cc2a-5221-b185-47297b80754d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Services Fit Out"
"e756d13a-0245-5d81-b4f3-59ab4745e559","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Services Fit Out","Plumbing fitout have been tested & commissioned"
"04396ae3-0ef4-5e95-8701-4374b04b6995","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Services Fit Out","Electrical fitout have been tested & commissioned"
"56bb7b2c-7f17-543b-bd3d-2056b9c27683","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Services Fit Out","Air Conditioning / Mech fitout have been tested & commissioned"
"ecf48f00-f942-50b3-982e-62cb4bfd4ed3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Services Fit Out","Trades QA received & attached as applicable"
"172c2edd-381d-5466-8b9c-be4be561e233","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Internal Painting, Framing & Carpet"
"2cfd8352-acb1-55f8-9e2c-6331101f4e28","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Internal Painting, Framing & Carpet","All studs are set out correct, and are plumb level, square & installed as per manufacturer's recommendations"
"7dd124c3-36b3-5889-aeb4-5283ec72a77d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Internal Painting, Framing & Carpet","Painting completed as per specs, correct paint product and colour used"
"bd3ba0d5-7477-5058-bd10-c2cb478dfd43","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Internal Painting, Framing & Carpet","Carpet installed as per specifications"
"8e4b088b-e00d-5b47-8bb1-fe6d90b8987d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Internal Painting, Framing & Carpet","Trades QA received & attached as applicable"
"4f611de6-b39d-5f7a-ac85-84435c83d3d0","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Fire System"
"82671a5b-450b-54bb-8db5-b4f7b75123de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Fire System","Smoke detectors & sensors fit off completed"
"557ac8d9-0981-5df3-9559-2466e74777e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Fire System","Smoke detectors & sensors tested as per manufacturer's instructions"
"48e67b33-4cf3-51ff-95ef-5fb63d47e5e7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Fire System","Sprinkler rough fit off completed"
"2539609e-5e5a-5a50-8f41-6c41da9ab3a7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Fire System","Sprinklers commissioned"
"9f0968f5-a0cd-5c8d-a62f-94978ffc3bff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Fire System","Trades QA received & attached as applicable"
"1daf7545-b31d-5bab-b6a8-77dc010379ef","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 11","Scarbro Final Sign - Off"
"fa885c15-345a-5e04-8c3d-fd47ffc87564","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 11","Scarbro Final Sign - Off","All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved"
"6d95efdd-b75e-4ec6-888f-e64c78ee7709","","checklist-sectioned","not-started","QA - Interior Fitout","checklist","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12"
"78be25a9-d1e3-5825-973a-45a4d02e7fb9","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Plumbing First Fix"
"9bc4da3f-cf07-596b-bab8-24d079b0f5d5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Plumbing First Fix","Plumbing first fix complete"
"dd8661e3-ad79-5d0b-b249-e2305371b674","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Plumbing First Fix","Trades QA received & attached as applicable"
"065389d4-5cd8-5b91-9554-e4e0739bd104","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Electrical First Fix"
"0792ca1d-b5af-52e9-a8b3-f51e7c053eb0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Electrical First Fix","Electrical first fix complete"
"07e599c1-cde6-5ac2-bbfd-728852bc143b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Electrical First Fix","Trades QA received & attached as applicable"
"7a4d0809-4c05-5619-b121-632cf537ee99","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Mechanical First Fix"
"0d5511ed-563d-5bed-8d7a-d3dd7ec726cc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Mechanical First Fix","Electrical first fix complete"
"a79ee6a9-79c8-598b-a50b-1173d939a0c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Mechanical First Fix","Trades QA received & attached as applicable"
"235a6ba2-4c15-530f-b830-a92d57abba15","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Global Fire"
"b61c0bf5-7b66-53b2-b627-cdd1253c3214","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Global Fire","Ensure all penetrations have been installed as per specifications"
"e9e9c465-de63-5c30-924f-59cb69b60dbf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
"77df625c-8d71-5e42-9409-1d9db661c9c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Global Fire","Trades QA received & attached as applicable"
"2ed64387-37a6-5428-aadc-dbf85a75f7bf","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Ice & Fire"
"3cd6eb02-1363-53f7-bd7b-658a45d6fe07","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Ice & Fire","Ensure electrical cables have been suitably sealed when passing through a fire element in"
"c92a5f77-0ebd-50a1-a8f1-72204ca63291","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Ice & Fire","Check that fire doors have been filled"
"318a2b6b-1143-5082-a838-e1185fc44ef5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Ice & Fire","Trades QA received & attached as applicable"
"678b66ab-9109-5a03-8d90-ff502dd7aab3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Post Wall Linings"
"df5546c8-0f91-531e-b9c5-e916faa9cde7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Post Wall Linings","Ensure installation guide has been followed for fire rated walls"
"373fa43c-9f4e-5a52-91fe-48a3551ad182","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Post Wall Linings","Trades QA received & attached as applicable"
"fcb5d806-fccc-5529-b0e6-43ea2a327b46","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Tiling"
"fa8cae9a-0944-57fd-a41f-40a25f6adc04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","Waterproofing completed as per specifications"
"69146176-ea4f-51a7-bd51-c33f5e0a088e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","All floors fall to wastes & don't hold water"
"11c8f280-b20e-5e9f-8fa2-da44168d9d86","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","Ensure all tiles are fixed correctly"
"05603bd9-cece-5d8a-a40d-005dbcdc33a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","Grouting done"
"05b44a53-2c2d-5a4e-8296-0f1a8709b07c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","Silicone sealed"
"bdb7eb04-17a0-551f-8a01-a8f3da53368f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Tiling","Trades QA received & attached as applicable"
"73e60b23-8997-5427-bd2b-935d9379ff67","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Kitchenette fitout"
"f66154d4-5eb8-51bb-9888-b01bf486aadd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Kitchenette fitout","All kitchen joinery installed as per specifications"
"c094b9fe-9e02-5914-9b33-b033b9aa975f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Kitchenette fitout","Trades QA received & attached as applicable"
"6b5d1cf2-2353-534a-baee-a389d7b31da1","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Hardware fitout"
"4e1a865d-e00a-557f-a002-73df7f188a6a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Hardware fitout","Hardware installed correctly to plans"
"9f2bf826-077d-5bba-8a05-167963e043eb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Hardware fitout","QA received"
"8da650e0-7b1f-5b68-8c9a-35e4b938a681","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Services Fit Out"
"4a32469f-fc60-5196-acad-c9675e4b3db0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Services Fit Out","Plumbing fitout have been tested & commissioned"
"54d81bb4-2190-5fdf-947d-164be89fefcb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Services Fit Out","Electrical fitout have been tested & commissioned"
"6a893993-ea43-51cb-92d0-3724f6a169eb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Services Fit Out","Air Conditioning / Mech fitout have been tested & commissioned"
"dc06efd3-64e0-5890-9c5d-c216d73f479c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Services Fit Out","Trades QA received & attached as applicable"
"bac09d5e-a9b7-5793-bcab-7982c6b3363b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Internal Painting, Framing & Carpet"
"7d8a58de-d8ae-5ed6-82f7-5be8f86a1df6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Internal Painting, Framing & Carpet","All studs are set out correct, and are plumb level, square & installed as per manufacturer's recommendations"
"a83e6800-33e4-5591-b0be-a30a465fe7f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Internal Painting, Framing & Carpet","Painting completed as per specs, correct paint product and colour used"
"2dd34be2-a5b9-5034-9941-ef0a58abb0bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Internal Painting, Framing & Carpet","Carpet installed as per specifications"
"643517e5-40fd-5e7e-8359-2ab7bf8fcf75","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Internal Painting, Framing & Carpet","Trades QA received & attached as applicable"
"f387945d-555f-51b4-9022-d0be9703bf49","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Fire System"
"9ced1dc6-4916-5b5a-bfbd-79dfab5db11d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Fire System","Smoke detectors & sensors fit off completed"
"eae58946-56d7-5f3c-a8a9-49ffaaaf6c6a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Fire System","Smoke detectors & sensors tested as per manufacturer's instructions"
"171dda34-d6b5-531c-81f9-c6388c0be713","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Fire System","Sprinkler rough fit off completed"
"5a73d8d8-3387-5724-9a19-7dcce8e24142","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Fire System","Sprinklers commissioned"
"aadb6011-9259-57da-b43f-37e0e7b12c46","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Fire System","Trades QA received & attached as applicable"
"58807901-86b7-568f-abe0-27092a553638","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Interior Fitout","Block A","Unit 12","Scarbro Final Sign - Off"
"cf95bfac-f918-51c0-86b4-c33a442635cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block A","Unit 12","Scarbro Final Sign - Off","All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved"
"b54da618-fabf-4ba4-9b0c-a6d494a32bf6","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Interior Fitout","Block B"
"faf7755c-161d-4be6-8345-4bf34ad4bfcd","folder-progress has incorrect meta.stepType checklist-sectioned","folder-progress","fail","","checklist","FALSE","FALSE","Site QA","Interior Fitout","Block B","Unit 13"
"dbdda1c0-d988-5d4d-bb2c-dd3a2e37fd02","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","6eab088d1f46a344558f56c6c083e037b6242121a3c19b22cdb2d7fe53160db4","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block B","Unit 13","Plumbing First Fix"
"18cab6f8-cbf7-5ef3-9dce-8abc2c940a24","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Plumbing First Fix","Plumbing first fix complete"
"c84665f8-4bb9-53de-becb-fbfe195b18ff","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Plumbing First Fix","Trades QA received & attached as applicable"
"9ba9f1dd-af12-5402-bb35-54aaeb80102f","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","425472abb2922f2f69723215788d80fa64f3b7dcbe97e11477df8f0227eb2f25","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block B","Unit 13","Electrical First Fix"
"42bb24d5-0a1b-5129-a67c-51623323e7bd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Electrical First Fix","Electrical first fix complete"
"59fbbdc0-9fbe-59a8-9f96-cdf28dc129a8","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Electrical First Fix","Trades QA received & attached as applicable"
"9836ac13-af57-5044-b9c3-7b8f50b86a97","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","b319bc42b81e78043cceada52ae82e3bbd2d170ad2d90cd90e112ac892876368","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block B","Unit 13","Mechanical First Fix"
"5532af9b-18c4-5eb8-9f09-f6306bfc0e58","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Mechanical First Fix","Electrical first fix complete"
"b0040306-fa72-51d5-b8d2-f2c1a249bf31","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Mechanical First Fix","Trades QA received & attached as applicable"
"49e430b9-4188-4355-b3b5-187fa38bc611","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","not-started","_TEMP - Global Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Global Fire"
"fe1b6e0e-f39f-51f1-ad81-07e6e87ae777","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Global Fire","Ensure all penetrations have been installed as per specifications"
"794e94be-3df7-5fdf-9524-18a4ddc10a36","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block B","Unit 13","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
