"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8098532f-cb6f-485c-a62e-5a45da594cef","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"04577b1a-4b9b-4c7d-8bb3-5994b7b49b4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing"
"5bba1af1-bc95-4b69-838b-00775aa19c91","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18"
"fe9aebbf-c968-47b0-a6c3-b60a88b378f1","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Rough-in"
"2ba2a90c-1e5b-418f-8bac-51a624990525","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Laundry Trough & Tapware"
"07ed811b-c48b-4656-9b99-0827d597d90c","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Washing Machine Stops"
"88b399ba-ca99-46ed-8c64-917d56623147","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Toilet & Cistern"
"d0cf9859-da6d-4199-a5a8-9771bea971dc","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Wash Basin & Tapware"
"76e208c4-d34a-43f8-9624-ddb7394c7d8c","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Shower & Tapware"
"1d7ae89f-2d28-4942-8097-f0d764740361","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Hot Water Unit"
"2d3c7bde-3f8e-4d66-8af9-5781fcee6b2b","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Testing"
"acc6a93b-f645-47f0-a540-69a6d0bbaa35","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Testing","TST Test Water Service Pipework"
"4564bfd5-ed2f-48b0-91e4-9b9f5296fc2f","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Testing","TST Test Gas Services Pipework"
"e2ce097f-6ab2-4f54-aa94-f2a17bb03555","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Commissioning"
"92e0dda8-de58-4278-8981-1a78361bde9a","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Commissioning","COM Commission Water Meter"
"81861c4f-d166-403b-9da7-36af4c9bb48c","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Commissioning","COM Commission Hot Water Unit"
"415151df-ad98-4fb0-a174-885530d85a08","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Commissioning","COM Commission Gas Appliance"
"23c4d8c1-0fe8-4a49-8db4-02d4d8a509d7","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Commissioning","COM Commissioning Final Handover"
"cc614d5c-bda9-4d7c-90cb-535563800dbb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 25"
"92627395-07d2-47f2-938d-f344dd9223cd","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 25","Rough-in"
"404949fd-aeb0-4737-afd4-0da8f68d61d5","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"d52a9d8b-971c-45a4-b927-8080f6db263b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Rough-in","WG Install Water/Gas Rough-ins"
"aabadce9-b83e-485c-a93b-6b19f10fb9a5","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 25","Fit-off"
"f4250590-1231-4633-9d10-e000ee1e705e","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"14c77532-8dea-46c4-b46e-5ad8f6bfc810","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Dishwasher"
"9a1a9cd2-da92-4cba-bf95-6395e2fcc96b","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Gas Appliance"
"89d878cf-c246-4627-9804-04103262fe62","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Laundry Trough & Tapware"
"0b95eb7c-9852-465f-b32a-0f6611783f1f","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Washing Machine Stops"
"b0a941d3-8965-42ee-b433-6d62315c5076","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Toilet & Cistern"
"5197d717-322b-4841-9c93-e3cddc70d8ba","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Wash Basin & Tapware"
"f8c30efa-66c1-4ed6-855c-eb3d7e83f875","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Shower & Tapware"
"8d37d2b8-5fc7-4d5d-ba21-fe59eef935eb","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Fit-off","FO Fit-off Hot Water Unit"
"437c1bcc-3428-4ecd-b489-f376026720b7","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 25","Testing"
"7ce8c52e-f739-4a6f-bfb4-1e115cb8f161","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Testing","TST Test Water Service Pipework"
"af2bcdc7-4e39-4eec-88db-a914e178ae72","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Testing","TST Test Gas Services Pipework"
"2d84e718-9867-4ceb-a711-5c3f98d2c562","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 25","Commissioning"
"7d650b28-e101-4241-8bd7-557bd986250f","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Commissioning","COM Commission Water Meter"
"e3170539-0eb9-4b9f-b916-64cc0ad859e3","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Commissioning","COM Commission Hot Water Unit"
"44d74e3b-53ee-4868-9543-5f070219ce84","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Commissioning","COM Commission Gas Appliance"
"6447c956-c8d5-434d-89b2-c4f4710a6f5e","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 25","Commissioning","COM Commissioning Final Handover"
"78934958-31bf-40d7-ba25-af7443a048e1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 26"
"e7b41d43-a201-4d8d-83a9-adb8cada8ff2","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 26","Rough-in"
"ed7b8d5f-edcf-4afc-b2fe-8671581dc8b9","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"1edd5ba4-496f-4fba-bd88-a5c027a1932b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Rough-in","WG Install Water/Gas Rough-ins"
"1062e449-c853-4b24-a305-0fc649e23616","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 26","Fit-off"
"d60a67eb-d3a2-4c3d-a295-20d9cc0158a7","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"93e1e6be-f9e6-41d1-ad49-4a2ce15117b6","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Dishwasher"
"c0028fa7-43b1-4514-93b2-d93a4326db2f","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Gas Appliance"
"c1d7e258-e232-46f6-850f-d7ea3d99b154","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Laundry Trough & Tapware"
"cd71cfce-b0ae-4513-b4a6-a8d3753aecfd","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Washing Machine Stops"
"7ec9a227-f05b-4409-8fdf-23e77029f2aa","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Toilet & Cistern"
"03aa148c-7589-4554-bb70-d8e5f0b4341b","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Wash Basin & Tapware"
"ab04a509-5c66-41b7-8acf-819535397d8b","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Shower & Tapware"
"b17c6bad-7255-41e9-80f7-fe0ff82837c2","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Fit-off","FO Fit-off Hot Water Unit"
"b68856b6-82c3-4de9-a4a0-4a863d6a763c","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 26","Testing"
"aea1a2ad-81ff-408d-935e-ae0768e3d012","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Testing","TST Test Water Service Pipework"
"e911302c-c071-41cd-80be-cb13d5d1eb53","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Testing","TST Test Gas Services Pipework"
"d7d984e0-3036-417c-a050-6ef33fa14f63","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 26","Commissioning"
"05af6791-5598-4755-af10-3207304b877a","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Commissioning","COM Commission Water Meter"
"3b57a24e-234d-43dc-8b32-a41ee4ddc18e","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Commissioning","COM Commission Hot Water Unit"
"56ad2ec7-5778-4eff-a42d-c104c71806ac","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Commissioning","COM Commission Gas Appliance"
"264d359d-096b-42c6-b92f-387da9a2e8c4","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 26","Commissioning","COM Commissioning Final Handover"
"c66666d6-089c-4bd9-ba5e-e1e267d8607e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 27"
"e660d376-0985-43b5-bd16-2b79152fa913","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 27","Rough-in"
"c0674ca6-2cb2-47fe-ad65-d2189e84a82c","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"2f102723-bf6a-4ca4-8aa9-e37a7870ec64","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Rough-in","WG Install Water/Gas Rough-ins"
"7f7f4d14-c66c-4933-8230-1803f21af8ca","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 27","Fit-off"
"e07e3113-d1f6-4b3a-b3b5-98221be57b8f","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"b084845c-1852-455a-88cb-ac8131bf754e","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Dishwasher"
"ab199929-aefb-4d44-97f7-f7532c153edf","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Gas Appliance"
"595227a3-68a4-4955-ba5c-01a0ad3afb26","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Laundry Trough & Tapware"
"2ba048c4-263b-4fb7-8c31-7732a5884c4d","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Washing Machine Stops"
"347dab07-4c95-47a4-8706-7fa7dd2aa191","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Toilet & Cistern"
"0b964674-a82c-4024-8203-54fb3a55767d","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Wash Basin & Tapware"
"7da535e2-3c49-4a67-abbf-d027a6fb1741","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Shower & Tapware"
"488d61d9-a44d-4e9b-a495-4b8c35cd3258","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Fit-off","FO Fit-off Hot Water Unit"
"a8f8e1ef-9050-429c-99ae-e6f5c9751e55","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 27","Testing"
"fca4dd23-ae70-474f-8e04-43f1c8f906c0","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Testing","TST Test Water Service Pipework"
"77a93794-9aa8-4d55-ba18-01c5774cb56a","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Testing","TST Test Gas Services Pipework"
"718d838e-b6f6-445c-8655-f515768658e2","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 27","Commissioning"
"7ec9f628-8fb6-4a22-bbf0-7fae0a31ad58","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Commissioning","COM Commission Water Meter"
"a3b02ff7-5eca-4741-a01a-2d56300744a5","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Commissioning","COM Commission Hot Water Unit"
"af5a390b-a45c-4db7-943a-72c27998851f","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Commissioning","COM Commission Gas Appliance"
"e0c29b29-3318-4f39-acec-0357a7864a97","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 27","Commissioning","COM Commissioning Final Handover"
"4fd4f858-bc8a-462d-b15f-dd61ef1c2943","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 37"
"380a4974-d734-4f27-b0f0-163f57a9e8f7","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 37","Rough-in"
"bcadc0e5-2c3e-4757-ab20-5bcb7d5a2311","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"8691d745-5653-43f0-af34-707c87243f79","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Rough-in","WG Install Water/Gas Rough-ins"
"97711646-86c1-4f24-9d03-09e1b8aeb2b4","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 37","Fit-off"
"5e438892-3d80-4540-b50f-fd9441a66f99","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"14617a10-0027-4f97-880c-4acb1cb9ac4a","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Dishwasher"
"b1256546-d070-4e2b-a82c-b93a81756bcc","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Gas Appliance"
"2b8703d4-70d7-493f-b499-d77dbfa6d276","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Laundry Trough & Tapware"
"0d2cd414-a64d-4d90-bd0b-b27a85fdef5a","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Washing Machine Stops"
"4d2cf346-fe83-4935-a6f3-0cd135058e2e","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Toilet & Cistern"
"b333eaca-6c65-4ced-a5d9-83d8d8798593","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Wash Basin & Tapware"
"2cd5ac61-9e86-4814-824c-505aa5e72068","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Shower & Tapware"
"9be4abd5-7145-46f2-a0c7-df8feb5beb53","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Fit-off","FO Fit-off Hot Water Unit"
"9dd6e592-711c-44f2-97c0-ba9a6b424c16","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 37","Testing"
"fa8639d8-9397-4abe-8f1a-5bf3980734be","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Testing","TST Test Water Service Pipework"
"52cd3b9c-a623-4c9c-9c45-4ed04b929cfb","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Testing","TST Test Gas Services Pipework"
"b416d28c-3df7-41f2-8972-f03a33be2282","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 37","Commissioning"
"2f8f0c24-b376-46de-8624-85e27e5767ce","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Commissioning","COM Commission Water Meter"
"528ec264-d64f-4ff9-8299-f20ccd1e784a","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Commissioning","COM Commission Hot Water Unit"
"c74af750-3041-43fa-a1bd-623ea6a8921c","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Commissioning","COM Commission Gas Appliance"
"27980a39-5f45-495a-885a-1c949055d09e","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 37","Commissioning","COM Commissioning Final Handover"
"1505bf3f-e7d5-41e5-adc7-7b79862c2ce9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 38"
"0d3b71b5-9b3d-4f50-9828-2eac68bc9b2f","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 38","Rough-in"
"142e8bad-6fd9-44c1-b971-64e1c66f5c48","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"81920d8f-1efd-40e3-affb-c7426e5cdfbe","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Rough-in","WG Install Water/Gas Rough-ins"
"2c4c4d70-4f7c-4f18-8247-1c7d2a7bec43","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 38","Fit-off"
"130245c9-5409-4552-b647-1477a7202b78","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"c7833ad6-fcdc-4c9f-961c-4f98ee26946b","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Dishwasher"
"57a0fcc6-aa52-4eba-8e37-c3dd67db1e33","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Gas Appliance"
"6727c7ed-d6e7-4136-a1f8-169874b08787","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Laundry Trough & Tapware"
"289b78e8-ab76-424b-bfd8-4661cd6e47b6","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Washing Machine Stops"
"475a0e5a-85af-4bb4-9f69-32bf439256ec","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Toilet & Cistern"
"95921e0d-5e0e-462f-a85c-d1fe5d30f4f4","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Wash Basin & Tapware"
"f31e30bc-5c01-4c32-a251-dd01c3324aea","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Shower & Tapware"
"28008ac9-abbb-4f01-b485-342490a5839d","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Fit-off","FO Fit-off Hot Water Unit"
"ab7ad6c4-179b-4bad-8502-9ae2f51c7d60","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 38","Testing"
"e8b3a5b8-592c-4011-8079-2b25d9a9a1ca","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Testing","TST Test Water Service Pipework"
"a96b39df-18c4-42aa-bc04-a94cfb246451","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Testing","TST Test Gas Services Pipework"
"524084f7-d45d-411d-ab0e-fb3360ae8a9e","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 38","Commissioning"
"ef286e9d-4a4b-4783-acc6-5019bf987154","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Commissioning","COM Commission Water Meter"
"0f15faf9-1d32-4518-9315-d1caff4bc01b","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Commissioning","COM Commission Hot Water Unit"
"f8616cf1-6b1b-45a6-af2a-166ca5bbac9a","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Commissioning","COM Commission Gas Appliance"
"c7031ece-0881-40ea-8c1e-12627834a79e","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 38","Commissioning","COM Commissioning Final Handover"
"3f7c77ba-155a-4e97-9ea8-43cc3fd5857f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 39"
"13067425-9fdf-4e87-a10b-fff7a6c615fa","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 39","Rough-in"
"658459e2-d58d-4b3a-a276-98ad9ccf4083","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"146c9c25-befa-470d-9983-89c1611da591","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Rough-in","WG Install Water/Gas Rough-ins"
"3fa847fb-3a5d-4bf7-b4a7-87969de296af","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 39","Fit-off"
"c164fc64-1b76-497a-a981-ddbc9e0fb9f1","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"2c7331c7-4b8d-41a3-bd91-5ee4b8fe6878","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Dishwasher"
"eeb23d25-1758-4f3d-869f-5cc1270effb8","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Gas Appliance"
"ea845b9d-225a-4c3c-9d2b-298ca19e44ef","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Laundry Trough & Tapware"
"29401d79-5a0e-434a-9f7a-c0fb728c7047","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Washing Machine Stops"
"16864e59-7874-43d1-846d-46c03d46c9df","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Toilet & Cistern"
"c8a2b503-616d-41e1-bf39-00b001e7c83a","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Wash Basin & Tapware"
"effe97eb-1873-4837-94c0-1a5b33c32842","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Shower & Tapware"
"187e3969-9f3d-44f2-ad6c-267db7b471d6","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Fit-off","FO Fit-off Hot Water Unit"
"70cb4c15-86cd-44e1-957f-0c2a816fd5b1","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 39","Testing"
"91f47135-25b8-4198-8d19-a474eb0f8023","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Testing","TST Test Water Service Pipework"
"f3171baf-057c-4bad-8c05-12afa6b8a72a","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 39","Testing","TST Test Gas Services Pipework"
