"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d4cd0c-6ca6-4820-873a-9696a88fa175","","folder-normal","work-in-progress","","step","FALSE","FALSE","Project QA"
"fcbe85ba-d898-4d27-b258-8f1403c64eaa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding"
"1f5e1ac6-71f8-4e06-8cb8-41a0d35002c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof"
"44c7b785-d428-4726-ab04-a558e38df940","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection"
"e7e5dd3c-2794-5464-8e37-2e5dce3f87e5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Defect Period","Commissioning"
"ba557572-ed73-541e-ac4d-b70f0d2e3e43","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Defect Period","SBC QA"
"949ca1b6-14c9-4dc0-bfb0-36bb177b050c","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Lockout"
"8821bb56-e065-5f2a-a78d-2d0cc011de07","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Lockout","Installation Completed"
"d7ed2324-d0b7-5812-aebf-a3eb37f42b59","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Lockout","SubCon QA /Consultant Inspection."
"aaf7a191-618a-541d-af89-8046037dde43","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Lockout","Commissioning"
"16312a0b-11e7-5852-b395-e449d4da8c59","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Air Plenium","Lockout","SBC QA"
"1a049127-8c34-447e-9ad8-e18d6f6ca4c1","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room"
"cc259d45-cb79-4f77-a2c8-0e68cc155b53","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Wall Construction Complete"
"7fda19a3-dd66-592f-8bcc-c8b43c0014ea","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Wall Construction Complete","Installation Completed"
"3a01d5de-ddbd-5ccb-a949-8b32c892d2b4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Wall Construction Complete","SubCon QA /Consultant Inspection."
"5c6b2887-cff9-507f-b5c4-03916a775c5e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Wall Construction Complete","Commissioning"
"6429757c-159f-5ca0-a803-b87fa3820223","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Wall Construction Complete","SBC QA"
"50ca104a-6130-4ac4-baae-09cca272630a","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Council Framing"
"6119e2d4-9314-5809-bfe4-1fd1e585c3b1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Council Framing","Installation Completed"
"f9fd77dc-7abc-54a2-8e21-1a1e4e81aef0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Council Framing","SubCon QA /Consultant Inspection."
"8514eed5-8bff-5723-816d-f64a69750294","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Council Framing","Commissioning"
"a7dfd9fc-a120-5e1f-91f8-85a914686dce","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Council Framing","SBC QA"
"7b27dc99-948d-431a-859b-0a76c389e8cc","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Gib Wall"
"0da8a729-aed5-58e6-912f-e94d2ad43a1a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Gib Wall","Installation Completed"
"07a2835a-964d-5b10-b5d9-5cd56d803e2c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Gib Wall","SubCon QA /Consultant Inspection."
"96d594f7-350e-58e5-89b8-06342c7c3eae","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Gib Wall","Commissioning"
"fcf4940f-4484-59d4-90b2-7a3aa52ba64a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Gib Wall","SBC QA"
"bd5f36e2-2ebc-475a-9205-420694ccac7e","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Stopping"
"2de89c74-f7d7-5cc7-bfb4-5c8bc30d95bf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Stopping","Installation Completed"
"8e268937-8e9b-5a61-866a-5d006459a9ea","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Stopping","SubCon QA /Consultant Inspection."
"102b74a8-c9e8-55e3-828d-8bbd78cd71c4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Stopping","Commissioning"
"b2a575f4-e52b-5d1f-9604-a2d199ef84f8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Stopping","SBC QA"
"50f7f23f-2906-48e2-8bc3-9b5dae4ea12f","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Light Checks"
"7d7f6a49-ae57-5d0b-b79a-837e359445aa","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Light Checks","Installation Completed"
"c87264bb-63be-51cc-876a-8d103507b858","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Light Checks","SubCon QA /Consultant Inspection."
"2e11a330-7470-5c44-a9fd-f76b5590035f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Light Checks","Commissioning"
"a7881265-4c80-5a7f-9ea2-b3ad2c957f71","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Light Checks","SBC QA"
"6993695e-5230-4685-a39e-fab1c9494619","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Seal and x1 Colour Coat"
"312d2d00-fcbf-59a8-94d2-b8ed1195d2ad","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Seal and x1 Colour Coat","Installation Completed"
"021682a6-ce85-5646-9ff8-489b8e9b5dfc","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Seal and x1 Colour Coat","SubCon QA /Consultant Inspection."
"ec5d3618-2412-5f76-a09e-76d42fe8fc3c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Seal and x1 Colour Coat","Commissioning"
"42bfd370-0f95-5539-8e89-626b150f4705","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Seal and x1 Colour Coat","SBC QA"
"a0e24570-3b31-4323-866b-3d637bba0295","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Mechanical Electrical Trays"
"f9eb7785-80cc-54c4-921a-b05eb1395633","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Mechanical Electrical Trays","Installation Completed"
"54167bf1-904d-5cdc-a81b-9e561408c2b6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Mechanical Electrical Trays","SubCon QA /Consultant Inspection."
"7ea858e0-0786-5df5-858a-ccdeca5f778e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Mechanical Electrical Trays","Commissioning"
"687364bd-2e74-50d8-b434-21770156dd9d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Mechanical Electrical Trays","SBC QA"
"1d5903fb-8f0c-45a7-8b1c-1c7d12c6d8c3","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","E4M First Fix"
"697a55fb-4934-5b82-85fd-19459318a790","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","E4M First Fix","Installation Completed"
"8ab17835-39e2-5b5c-91b3-5c8794b90939","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","E4M First Fix","SubCon QA /Consultant Inspection."
"ac3393b5-c043-56d9-b86d-7beb30163986","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","E4M First Fix","Commissioning"
"55c6b508-888b-524c-8421-f38e0054b2bd","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","E4M First Fix","SBC QA"
"d8de8e8a-5e49-462d-86f2-fd3b41e6d161","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Hydraulic Services"
"4d9c3ded-e375-5485-9fd9-c0000033d655","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Hydraulic Services","Installation Completed"
"486b6013-d30a-5241-9515-cac90050502e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Hydraulic Services","SubCon QA /Consultant Inspection."
"bc6d4497-0734-5122-b2da-b5220672e0a0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Hydraulic Services","Commissioning"
"bb2d16c7-7ce4-5084-a566-51bc35b9e441","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","Hydraulic Services","SBC QA"
"a2bc4b0b-e4c1-48d4-b446-8972a702af8d","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid"
"ce0c5456-691c-4b7b-b18f-56ca1a5ba621","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU1-4"
"bbc0e11d-9f7e-5b58-8cc0-4863a7040cb8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU1-4","Installation Completed"
"fd477894-8087-56a5-a6d2-4628754cdb2d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU1-4","SubCon QA /Consultant Inspection."
"6241e904-a438-5599-8e34-774781e55cee","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU1-4","Commissioning"
"fd764d3e-76f6-59df-b295-b421422a4175","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU1-4","SBC QA"
"a4280c6d-a8b2-4ec9-a1c2-6ea5afbda17e","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix"
"f567c072-e678-54e7-a29b-aa78771e74fe","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Installation Completed"
"35fa0db6-171c-5996-86ae-694dc78c5415","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SubCon QA /Consultant Inspection."
"aa3b9613-08e6-552c-8387-82f04c00b2b0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Commissioning"
"9ef446e6-d73f-5cb0-a05d-9238568daea5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SBC QA"
"0eababca-6258-44c8-97ab-48d8bc73ab28","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 5-8"
"285e8d62-de05-506b-8441-21fd5793372a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 5-8","Installation Completed"
"bfabe15f-b78b-5e55-93da-e8108cf83fab","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 5-8","SubCon QA /Consultant Inspection."
"e291a59c-51e3-55fb-b5c2-e73ec41b3f4f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 5-8","Commissioning"
"a9dd8601-dd2a-51c6-a9c1-6cc1940ac14b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 5-8","SBC QA"
"e8c83a12-ad70-4f28-9c92-1dd21cef5312","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix"
"2dec2658-9c2b-51bb-8e28-48b58f5e17ad","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Installation Completed"
"5ec9b9b0-37c4-534a-84ed-629eee1880d5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SubCon QA /Consultant Inspection."
"86f4d23b-8c51-5077-a1a8-e49331f62542","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Commissioning"
"e7c14654-cc81-5a87-97da-d95e2049ecb0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SBC QA"
"a62e359c-68a6-421f-9102-35b726413e35","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 9-12"
"f847b159-83a1-5f53-adc3-5cae967db7b3","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 9-12","Installation Completed"
"81170d8f-c008-5831-a7c6-09a676ca735b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 9-12","SubCon QA /Consultant Inspection."
"1155c4b0-0b54-58aa-8416-5460ffe373f9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 9-12","Commissioning"
"65d08d24-6437-5450-bc1c-b1bac700a234","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 9-12","SBC QA"
"20835cc1-e615-4862-aadc-db3f15363beb","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix"
"8e932d1b-a65f-5fe5-86ec-365c08af1abf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Installation Completed"
"f24ddfb5-33e7-5119-aa86-7ecda00e3599","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SubCon QA /Consultant Inspection."
"9b12e0a6-84fe-578e-88e3-6cc848a13c31","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Commissioning"
"3f162e77-8118-5776-8f3d-37ce16997f80","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SBC QA"
"dfbd8752-1d08-4c15-99bc-938d63613260","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 13-16"
"7c6b32da-cd8a-54da-834b-7ba3627f7503","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 13-16","Installation Completed"
"a395ae7d-1aaa-5b7d-b020-fe04f9cef0e9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 13-16","SubCon QA /Consultant Inspection."
"bac89b9b-bf96-5726-bfbf-c458f2689ef2","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 13-16","Commissioning"
"f57bb753-89b6-5ade-8f52-f2835cb4bd19","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 13-16","SBC QA"
"056c0915-1812-44b4-9fca-a9576f3ae291","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix"
"c29a548e-7d5d-55c4-9594-be54c23d8ab4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Installation Completed"
"23e05229-3f32-50ff-9ff7-f56364227424","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SubCon QA /Consultant Inspection."
"a212d392-9b60-5db4-aa46-365c6ba7f6db","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Commissioning"
"0356fa7a-3d92-5c3b-9439-3fd2f994097d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SBC QA"
"4178d13f-b31b-47ca-86d2-ba08d73d9c8d","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 17-20"
"26994167-d075-5e6f-a120-615b2e164f34","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 17-20","Installation Completed"
"bc780aa3-8ae2-5be5-b181-ac778aba6d9d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 17-20","SubCon QA /Consultant Inspection."
"a7457adb-ac67-521d-bb35-e965e36e2072","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 17-20","Commissioning"
"06108286-6514-5088-ad80-97c8e86e064f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","AHU 17-20","SBC QA"
"96357558-d525-4c28-a230-32dc26e4bd92","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix"
"1d2b1759-71e5-529e-8575-e09252ce301f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","Installation Completed"
"007d78e4-1a33-5270-a31d-f07fc6752fe9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Internal Services & Fit Out","Level 00","Zone 3 - AHU Services","GL2-8","AHU Plant Room","AHU Install Peroid","E4M Second Fix","SubCon QA /Consultant Inspection."
