"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe3737ec-9cbd-42e2-93e0-83b8cdbdeffe","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"cff6eccc-b398-4773-9c5b-b02791b3435b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"e81d2cda-eb5d-490c-9097-1d3f355d9403","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1"
"63f992cd-82ad-580a-aed0-e807bc92c56e","","checkpoint-group","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Product Detail"
"15bfe167-95f9-5b6b-b09b-76391d04570c","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"2c6f8dd4-ac22-59c9-b767-9f4b4cdf81a8","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
"5f995475-bb25-5bfa-8409-87327f23c632","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"4d37cc21-4e1d-5077-acf7-e772b66c9a56","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"1820f6ea-d5dc-5a23-b6c2-dc59ceae9da5","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
"29388530-27ed-5591-a923-bb1d336f2437","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:b8c4f4f1-454e-4936-a39c-ed94b5d75f1e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Weather steps orientation checked"
"18f2e923-2df6-525f-9d5e-2e85f9c21abe","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26681f59-631d-4176-aa8e-8dcb2fcc9401","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Formwork","Form release applied correctly"
"7b2ff0c5-8e1c-54f2-92ff-82c98ebbf18e","","checkpoint-group","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement"
"5ba2d607-e8c3-5563-9a77-9191ba2152f5","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2f21ec73-92fc-4e82-836f-b3989297918d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Reinforcement mat as per shop drawings"
"e0ffcabc-0567-5eb7-93ff-9868816a46f3","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1e0aeba2-4fe3-4650-8304-d891167a56a9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Reo Mat Orientation"
"db0a6ad0-16e8-53b3-b898-6cfaeda7eb82","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0c210185-a25b-4466-84b2-1a5e37dcaa5d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars Size Correct"
"fcc4bbd2-78f8-5ae5-9633-64f9ba604631","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:9a489e36-4f9d-4f76-b76d-f289d5e9e5b8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars No. Off Correct"
"d4a7c669-8bfd-5bb5-9b6b-5772c094f94c","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:947f18c1-05a0-4f0e-9d2e-8b6895718245","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Additional Bars Correct"
"291a6224-f677-5013-b6f5-e37bebb747fb","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0921695a-8f0a-471f-b834-4beb5804a7a0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Reo Changes Noted"
"fbf47c1e-7e77-58a1-abbd-c94da3c130c5","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1adcf415-b514-4ed5-ab0b-4a5706df10d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Reo Changes Passed By PM"
"476423ff-29ee-5b9c-a6cc-6414f37b8157","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2b194a7c-1046-4ad3-af5a-5e70144d6d87","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","COGS / Laps As Per SD"
"cf3a02ed-b5d7-5617-8117-815ef9b46262","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:5dcaf330-b436-4a1a-a794-710950fb0b0a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Any Splice 40 x Dia Min"
"9df18d0e-faef-5bba-a915-5803238c9181","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:78b57408-913e-4838-8887-f9f714bfe8d9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Reinforcement","Rebar Photos"
"36ecb9ca-2676-53b6-bef5-e7cf59e32241","","checkpoint-group","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins"
"79febfd7-6a18-582d-b8fc-25a985f5a315","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:2a353ad3-4ca2-4a79-a2ff-22f917e27dc8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Location Checked"
"d230eadb-18ec-5106-bc99-96af6cd822a7","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:976aa919-133c-4371-af4a-65684fe4851d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Cross Bars Inserted"
"cff7576d-f249-542d-ae16-2944e2e4d8a9","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:014bcf87-a1fd-4abd-ab69-4cf240288554","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Inserts as Per Lift Design"
"f0bf8245-5de6-56fd-9361-115e6665ba35","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:04949cef-6019-4944-9abf-bc21c636b45d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifter Type correct"
"106b2658-d6f2-5973-808e-f5390778e1ea","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:0e605e4f-634a-42b2-97b8-af21d479bcf2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting V Bars Inserted"
"aeeda289-95a2-5f4e-8a49-f93dc2f37288","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c4ec3f31-2fc9-42de-882d-31d8f5f7c1a6","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plates Per Design"
"a5632fc4-5512-51fc-89cd-17776cc05192","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:140de006-93d1-4cc6-8d8a-175509f130b2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plate Location Checked"
"f5937b7f-a0ab-5ae6-bc19-accc48c5e01f","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e4b203fb-fcb1-4e06-93dc-1fbccdd4ec34","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Additional Cast Plate Bars Inserted"
"81a246a7-4f79-52df-860f-9ca7668d6d02","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:1ef55d89-2b7e-4009-81c3-5e8f3153538a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Starter Bars Correct Per SD"
"6ee44277-30cf-5291-ac50-ae2bd86408c4","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e446f9b8-7a10-4207-93df-b1e230f0ec45","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Pertruding Bars Orientation"
"af2b4adf-8758-5eb8-8ab9-e3b64e6f3c69","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:a417c0c9-137f-42cb-a33e-36be0df4875b","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Size Checked"
"3b925678-b0b2-5e08-ad4a-994c37814a34","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:77f6b57d-9e42-4987-acff-cc1cfadef084","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Exit Orientation Checked"
"d9c79a2d-37ee-56c6-b4aa-2c0e5453b55a","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:84a235aa-1b45-4714-9676-71e05dbd6e80","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Photo"
"46af715e-1971-5c9b-9ae5-a476da3d4810","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:3814317c-2f36-41f8-90ff-3e82d38d9f19","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Insert Photo"
"c74cec4b-3310-5af8-bc75-ad32c75d03a7","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c1b2e65e-761e-4cbd-8e49-2327b604394e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast In Plate Photo"
"1e8f6880-1e5d-5384-a2b4-4f7b051a1316","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:7f6e72fd-61e0-4019-aef5-f1811355e1b7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Fixings / Cast Ins","Penetration Photo"
"fb33e070-7c05-5df5-8704-08e157a1e6cd","","checkpoint-group","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks"
"a0de60b4-d45f-52c4-a9d5-24c7c2dfa17c","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:6c8bbf16-a6ff-4bd9-8ed4-933a91d76417","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks","All SD Dimensions Shown"
"e3542805-8016-507c-88bc-16596e37f102","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:9bfb6b82-4553-425d-8c5d-f7b11ccef887","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks","Photo of For ""Construction"" Shop Drawing"
"72e1e343-0954-5ef3-840b-abaf0a19f014","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:f6a6f3c3-e8de-4f22-bb4b-82a888ed9b8d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks","Panel ID Tag Placed"
"3c4ece7c-a53b-5827-bc8e-f0945ffe2aec","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:788889ae-a4ca-46d9-a1b6-b83c0a5d78c8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks","Product Cleared For Pouring"
"422cb1fd-0b22-5374-9c6f-946709f17b15","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:c23f8dac-cfd1-4d5b-b829-38f3c8573c22","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1","Final Checks","Inspector sign off attached below"
"7efbe33a-df6d-4b42-a6af-bf7c972a5ac0","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist"
"4eab9609-ec44-5981-a24c-7424252428ba","","checkpoint-no-status","no-status-started","Concrete Delivery Checklist:592cb40a-40a3-495c-8cb3-7968eae2adbd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Details"
"3df843dd-ee34-5739-b65a-c4be4e69fc43","","checkpoint-status","pass","Concrete Delivery Checklist:f969e7af-20ef-4487-963d-c470a2d67dfb","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Picture of Concrete Docket"
"245d8cf6-9a3b-5dfe-b7e4-3ba077904755","","checkpoint-status","pass","Concrete Delivery Checklist:3799c218-8671-41b2-ac33-8b7c3a0fd8fd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Load size match order sheet"
"dbb02c6f-79f0-5d39-8128-f5e4ba8413ae","","checkpoint-status","pass","Concrete Delivery Checklist:28400e61-b2ab-48eb-8ac4-1f8a446c2c3a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Mix type match the order sheet"
"b0e29282-87eb-54ea-8622-eaa34e1b14a8","","checkpoint-status","pass","Concrete Delivery Checklist:47a6ad5d-dae3-4128-b7b8-7965ecbb7ad0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Mix color match the order sheet"
"fe6d599b-a246-56cf-9a95-1902f9c95e39","","checkpoint-status","pass","Concrete Delivery Checklist:b9259093-0262-4fae-ba49-be674e4ba849","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","MPa match the order sheet"
"78464f72-79a5-5ba8-b005-ebbb30d6edce","","checkpoint-status","pass","Concrete Delivery Checklist:06c16106-c31c-42a1-9d01-49f1d28796d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Spread / slump within range"
"6fbe48b4-9e92-501b-a726-c898cbc4e179","","checkpoint-status","pass","Concrete Delivery Checklist:2c14a410-ef01-4ef6-8ca3-963c09661c04","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Water Added (N/A if no)"
"8a9b019f-ff01-5af1-baf4-26931db16329","","checkpoint-status","not-applicable","Concrete Delivery Checklist:033ab66e-528f-48f9-b427-2be90e1cd10f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Concrete test taken (N/A if no)"
"5424c3c7-0814-56d5-a0c6-905b29ae61b8","","checkpoint-status","pass","Concrete Delivery Checklist:76cb840b-5fea-44e1-93a7-8f38b56287b3","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Picture of spread check before dispatch"
"5f313359-798a-59c9-90d8-94fec4eed834","","checkpoint-status","pass","Concrete Delivery Checklist:644e4a08-4619-4900-8321-8dcea55cdb2f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist","Inspector sign off attached below"
"691ce775-20c4-41f5-b383-71d6956785f2","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009"
"3cd5dad3-5582-4edf-8584-4e77055c2851","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1"
"f38dfaeb-1ee9-59c2-9eb6-e09ac27aea22","","checkpoint-group","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Product Detail"
"014cefba-0566-5ffd-af1f-71d747a6a37c","","checkpoint-status","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420:d90bfa34-8b4c-4a15-bb28-723c46deeef4","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Product Detail","Details"
"8394fdc2-fd2f-5707-87d0-c17e969b34fe","","checkpoint-group","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork"
"a0c2469c-1c13-57e0-8459-8b3934fdd4bd","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:3f0cdcab-4b3f-476d-b56b-b16ee107e388","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Check Length"
"2dc04ab6-dde6-56d9-b7a1-39fc52a31db9","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:52ec7df5-ba4b-4cfb-a76e-660dcfff8f63","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Check Width"
"fe94f56f-5ed3-57fc-8e79-17a9e902d962","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:478266b9-d083-4b39-8262-306e351e2909","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Check Thickness"
"0780ce38-1583-57ba-8c9b-e4a5d6947b7e","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:dcc56b68-3340-44ea-92f1-17fa5704ae43","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Check Diagnonal"
"ce022775-2045-5483-898b-6190a559aac9","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:5320e261-0158-45f1-80f6-3ac8bfd372dd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Sideform Trueness"
"18060469-d043-55b3-86d8-dd21f8775fa6","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:826c421c-3819-4e01-a290-04d4799f9553","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Magnets / Forms Secure"
"93d3e276-5f37-567b-9a93-cd8866b3e90c","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"cbbd787f-ddef-52aa-b449-923986371004","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
"1f4d4861-848a-5442-bb23-ae0c467f6482","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"afbd176b-41bc-59fc-88e6-2af7bc0fb619","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"62c7c0cf-c62b-57d2-8a79-285cd8b3eef1","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
"ee906b9c-3e75-58fd-86cc-a4d34e5c312d","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:b8c4f4f1-454e-4936-a39c-ed94b5d75f1e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Weather steps orientation checked"
"7c3cf5f5-cb3a-577f-a79c-d00ce76990bd","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26681f59-631d-4176-aa8e-8dcb2fcc9401","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Formwork","Form release applied correctly"
"8c9a2328-0327-5e7b-ba77-eed6747dd98e","","checkpoint-group","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement"
"e7221319-66f3-5814-a806-192cdd1b025c","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2f21ec73-92fc-4e82-836f-b3989297918d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Reinforcement mat as per shop drawings"
"1d7f35b4-e0f4-5018-bcd9-703638b942c4","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1e0aeba2-4fe3-4650-8304-d891167a56a9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Reo Mat Orientation"
"1715a9bb-7635-50de-8183-62f9ece567ff","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0c210185-a25b-4466-84b2-1a5e37dcaa5d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars Size Correct"
"0b790cb6-142e-5d59-8fa4-5af6806e68c8","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:9a489e36-4f9d-4f76-b76d-f289d5e9e5b8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars No. Off Correct"
"676a56d3-dcba-51ef-807e-859f8f87b7f1","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:947f18c1-05a0-4f0e-9d2e-8b6895718245","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Additional Bars Correct"
"00b367c7-64a9-5e93-bffb-f4010a3451c8","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0921695a-8f0a-471f-b834-4beb5804a7a0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Reo Changes Noted"
"96a6c0e9-3f2b-5c97-9305-113dd3746eb2","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1adcf415-b514-4ed5-ab0b-4a5706df10d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","Reo Changes Passed By PM"
"50db3f70-c8ab-5f44-bd3f-633a23027178","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2b194a7c-1046-4ad3-af5a-5e70144d6d87","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1","Reinforcement","COGS / Laps As Per SD"
