"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15daf0f2-1738-4077-ae28-db3c14bb55b9","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up"
"b9e2961c-b8bc-4ca9-ba68-6c7c7217ce4a","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","Management Plans"
"b3791d2f-737d-4491-b2c5-e3a2a31baf74","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 4","R11-SW-041 Line 4 Pits (N1.04.10 to N1.17.06)"
"31e61e1e-27ac-44ec-b0eb-860fa984c59e","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 4","R11-SW-041 Line 4 Pits (N1.04.10 to N1.17.06)","R11-SW-041 Line 4 Pits (N1.04.10 to N1.17.06)"
"9266688f-55fa-415d-98fe-668aca80879e","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 4","R11-SW-041 Line 4 Pits (N1.04.10 to N1.17.06)","HP856 - (N1.04.10 to N1.17.06) - Inspection of pit foundation - N1.17.06"
"c8241a77-ae9c-4429-936a-a8030f69c96e","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 6"
"85b20991-c634-4373-85c0-953e582a95d0","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 6","R11-SW-042 Line 6 Pits (N1.06.01 to N1.04.06)"
"a966a814-c03d-400a-a10a-a90bced3bf81","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 6","R11-SW-042 Line 6 Pits (N1.06.01 to N1.04.06)","R11-SW-042 Line 6 Pits (N1.06.01 to N1.04.06)"
"bce55dd6-b80f-4939-802a-c3e5e0471493","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 6","R11-SW-042 Line 6 Pits (N1.06.01 to N1.04.06)","HP858 - (N1.06.01 to N1.04.06) - Inspection of pit foundation - N1.06.01"
"468d79ef-2b73-4772-a1e2-85bd92b8c573","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9"
"7abe6663-0773-4019-98e0-937af236ed74","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-043 Line 9 Pits (N1.09.01 to N1.09.02)"
"497a317c-e465-4429-9494-cc848ac4a449","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-044 Line 9 Pits (N1.09.02 to N1.09.03)"
"9a41d76d-e426-44f7-abe8-de100c032c18","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-045 Line 9 Pits (N1.09.03 to N1.09.04)"
"04f0c82a-2819-4393-ae47-e244947e62d5","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)"
"f9ee9f98-1014-48b0-a003-826b1c6d39b0","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)"
"e7b4ee17-d2d0-49fb-b34c-ddd5f71f5b96","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)","HP860 - (N1.09.04 to N1.09.05) - Inspection of pit foundation - N1.09.04"
"b8f0997a-7bde-410b-a6c3-b8189384c24d","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)","HP862 - (N1.09.04 to N1.09.05) - Inspection of pit foundation - N1.09.05"
"7ded0e71-115c-4ce5-8cf9-ed309af7510e","","work-in-progress","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-046 Line 9 Pits (N1.09.04 to N1.09.05)","WP282 - (N1.09.04 to N1.09.05) - Inspection of pit foundation - N1.09.04"
"41aea6c2-819d-491d-bb1c-4e625ddac1fc","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-047 Line 9 Pits (N1.09.05 to N1.09.06)"
"c0c0bde6-036a-463e-b47a-b5458a15e0ac","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-047 Line 9 Pits (N1.09.05 to N1.09.06)","R11-SW-047 Line 9 Pits (N1.09.05 to N1.09.06)"
"eff2934d-f131-492f-87ba-69065f7629d4","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-047 Line 9 Pits (N1.09.05 to N1.09.06)","HP864 - (N1.09.05 to N1.09.06) - Inspection of pit foundation - N1.09.06"
"d4337c92-6878-43df-8d04-a271d25f2ad4","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-048 Line 9 Pits (N1.09.06 to N1.35.06)"
"c3472ef0-58ad-4e85-bec0-bf9311cca621","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-048 Line 9 Pits (N1.09.06 to N1.35.06)","R11-SW-048 Line 9 Pits (N1.09.06 to N1.35.06)"
"bc9853f0-78c1-4c84-8bdf-e824d6dfa642","","work-in-progress","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 9","R11-SW-048 Line 9 Pits (N1.09.06 to N1.35.06)","HP866 - (N1.09.06 to N1.35.06) - Inspection of pit foundation - N1.35.06"
"db970d6e-865f-41e8-930c-b8bb8da31dae","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10"
"2f2fa10f-0cf1-458a-a66f-fb98b95de633","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)"
"af59bdfc-ce4e-4386-9626-5bcbac76da5d","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)","ITC 02 - Line 10 Pits (N1.10.01A to N1.10.01)"
"46372244-6ead-42dc-987c-2fc91b81eccd","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)","SR00708 - Line 10 Pits (N1.10.01 to N1.10.01A)"
"286af6d5-6f8d-4f30-98b3-7eeaf6b03090","","work-in-progress","Submission of Management Plan","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)","Modification Method for PIT-14557-N1-10-01A"
"570aa505-4f27-4f8d-be5c-1dcf56c1fb78","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)","HP916 - (N1.10.01 to N1.10.01A) - Inspection of pit foundation - N1.10.01"
"83f9eb14-8517-4f20-b75c-f25348401b3d","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-049 Line 10 Pits (N1.10.01 to N1.10.01A)","HP918 - (N1.10.01 to N1.10.01A) - Inspection of pit foundation - N1.10.01A"
"5443051c-c1aa-47b7-a2c6-50da3569eea5","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-050 Line 10 Pits (N1.10.01 to N1.10A.01)"
"25fb2a58-ec9f-4417-892e-b56f4e283c1e","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-050 Line 10 Pits (N1.10.01 to N1.10A.01)","ITC 02 - Line 10 Pits (N1.10.01 to N1.10A.01)"
"3f9aefb0-dab6-4495-8ec2-ed208d18894d","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-050 Line 10 Pits (N1.10.01 to N1.10A.01)","SR00709 - Line 10 Pits (N1.10.01 to N1.10A.01)"
"b217b37a-c9cd-449f-b811-70595661fa2d","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-050 Line 10 Pits (N1.10.01 to N1.10A.01)","HP920 - (N1.10.01 to N1.10A.01) - Inspection of pit foundation - N1.10.01"
"3cf9d5da-9fc7-4778-9b82-b20a5860f119","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-050 Line 10 Pits (N1.10.01 to N1.10A.01)","HP1492 - (N1.10.01 to N1.10A.01) - Inspection of pit foundation - N1.10A.01"
"4a0dde3d-b3be-426f-ba2c-fba97211820e","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)"
"4f52008b-510a-48fc-8ee4-dec10999ac1e","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)","ITC 02 - Line 10 Pits (N1.10.01B to N1.10.02)"
"fdf53ebb-be32-485c-b1a6-fa86d5a51837","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)","SR00710 - Line 10 Pits (N1.10.01B to N1.10.02)"
"2802de80-20fd-467d-8d33-24a503ce2e5a","","work-in-progress","Submission of Management Plan","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)","Modification Method for PIT-14557-N1-10-01B"
"51124f78-e724-46c5-bf6e-47aec631b5f2","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)","HP922 - (N1.10.01B to N1.10.02) - Inspection of pit foundation - N1.10.01B"
"4cca8fec-135c-4fbd-ae7a-5c447e179c55","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-051 Line 10 Pits (N1.10.01B to N1.10.02)","HP1493 - (N1.10.01B to N1.10.02) - Inspection of pit foundation - N1.10.02"
"0abdc6b0-7ff8-4811-8a3f-2611544cf338","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-052 Line 10 Pits (N1.10.02 to N1.10.03)"
"5e954749-4706-4b8e-ab2b-82b14750e485","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-052 Line 10 Pits (N1.10.02 to N1.10.03)","ITC 02 - Line 10 Pits (N1.10.02 to N1.10.03)"
"f8c6e312-f808-40a3-95c2-742f2466c5ee","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-052 Line 10 Pits (N1.10.02 to N1.10.03)","SR00711 - Line 10 Pits (N1.10.02 to N1.10.03)"
"6eee0e86-c9a5-45c2-8f93-601266d6d9df","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-052 Line 10 Pits (N1.10.02 to N1.10.03)","HP924 - (N1.10.02 to N1.10.03) - Inspection of pit foundation - N1.10.02"
"8553a76a-6c78-4469-82cc-55d3c5a36ddf","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-052 Line 10 Pits (N1.10.02 to N1.10.03)","HP1494 - (N1.10.02 to N1.10.03) - Inspection of pit foundation - N1.10.02"
"04c1ea7c-b9ee-409a-8e19-d78813a2fdb5","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-053 Line 10 Pits (N1.10.03 to N1.10.04)"
"27822f7e-598c-494a-af7b-cbcd14156464","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-053 Line 10 Pits (N1.10.03 to N1.10.04)","ITC 02 - Line 10 Pits (N1.10.03 to N1.10.04)"
"a010491a-9058-41aa-bf4e-68c5d778bd61","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-053 Line 10 Pits (N1.10.03 to N1.10.04)","SR00712 - Line 10 Pits (N1.10.03 to N1.10.04)"
"6655da3c-7767-448e-a1af-e33beff2ad2f","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-053 Line 10 Pits (N1.10.03 to N1.10.04)","HP926 - (N1.10.03 to N1.10.04) - Inspection of pit foundation - N1.10.03"
"ae6a703d-cb03-441e-84f5-7ab897d99759","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-053 Line 10 Pits (N1.10.03 to N1.10.04)","HP1495 - (N1.10.03 to N1.10.04) - Inspection of pit foundation - N1.10.04"
"9984dc6b-03cc-4feb-a93f-cc0f975dde1f","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-219 Line 10/10B Pits (N1.10.02 to N1.10B.01)"
"d87e6d19-b6e2-44ec-8acf-bc9178b87914","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-219 Line 10/10B Pits (N1.10.02 to N1.10B.01)","ITC 02 - Line 10/10B Pits (N1.10.02 to N1.10B.01)"
"ccb9e832-610b-4e81-9977-a7bb430caf01","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-219 Line 10/10B Pits (N1.10.02 to N1.10B.01)","SR00732 - Line 10/10B Pit (N1.10.02 to N1.10B.01)"
"8ec99c95-ccf8-4096-b6d8-f09ae854b28c","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10","R11-SW-219 Line 10/10B Pits (N1.10.02 to N1.10B.01)","HP1498 - (N1.10.02 to N1.10B.01) - Inspection of pit foundation - N1.10B.01"
"7f8cbff9-7cd9-41bf-8dcf-3c223a9d3ffc","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A"
"cf004638-f879-43d7-af1d-f9ae7e8349dd","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-055 Line 10A Pits (N1.10A.01  to N1.10A.02)"
"2c043ce7-c685-4ef0-8947-2c77db5266b8","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-055 Line 10A Pits (N1.10A.01  to N1.10A.02)","ITC 02 - Line 10A Pits (N1.10A.01 to N1.10A.02)"
"c8c372ae-03a3-4984-980e-df32e5ae68c3","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-055 Line 10A Pits (N1.10A.01  to N1.10A.02)","SR00714 -  Line 10A Pits (N1.10A.01 to N1.10A.02)"
"16918339-fc2c-4b5e-8bc4-a7d1d1fdbd30","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-056 Line 10A Pits (N1.10A.02 to N1.10A.03)"
"af52606f-8d85-4ef3-8692-6e94a4c1c57b","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-056 Line 10A Pits (N1.10A.02 to N1.10A.03)","ITC 02 - Line 10A Pits (N1.10A.02 to N1.10A.03)"
"0a244159-18f6-45ef-9b31-707ae0bb96e5","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-056 Line 10A Pits (N1.10A.02 to N1.10A.03)","SR00715 - Line 10A Pits (N1.10A.02 to N1.10A.03)"
"27b4ecdf-c65a-4c1b-800b-1a179a4baa06","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-057 Line 10A Pits (N1.10A.03 to N1.04.05)"
"11a2e6d2-b14c-40a3-9b6c-a7e59d9e0f82","","work-in-progress","9922ddb6f87ffbb467baa6f5ee1e2e7bc064545b1f219bf5fbb74fed3e7fe9ca","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-057 Line 10A Pits (N1.10A.03 to N1.04.05)","ITC 02 - Line 10A Pits (N1.10A.03 to N1.04.05)"
"2a4f6b7f-f646-45a8-beab-c75b50a126ce","","work-in-progress","SURVEY REQUEST","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 10A","R11-SW-057 Line 10A Pits (N1.10A.03 to N1.04.05)","SR00716"
"6f083528-4910-4a33-b0b5-4c273424ab83","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12"
"dc0ea476-9725-43ec-9653-cc4655d4b425","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12","R11-SW-058 Line 12 Pits (N1.12.01 to N1.12.02)"
"0407cc07-16cd-4567-b630-2f932ba109fb","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12","R11-SW-058 Line 12 Pits (N1.12.01 to N1.12.02)","ITC Line 12 Pits (N1.12.01 to N1.12.02)"
"3b1a6d57-9f07-4980-9939-50a8446d8d8c","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12","R11-SW-059 Line 12 Pits (N1.12.02 to N1.12A.02)"
"a85b6b18-a1e7-411b-b5f1-4110e014b073","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12","R11-SW-059 Line 12 Pits (N1.12.02 to N1.12A.02)","ITC Line 12 Pits (N1.12.02 to N1.12A.02)"
"5864a1cd-9dc0-42da-9b54-2fbfe4b7d5b6","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12A"
"e34b40a8-c0d0-40f1-99d9-4e5a21d7d5db","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12A","R11-SW-060 Line 12A Pits (N1.12A.01 to N1.12A.02)"
"589cf6ed-6264-4437-84ba-99cd37b4db38","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12A","R11-SW-060 Line 12A Pits (N1.12A.01 to N1.12A.02)","ITC Line 12A Pits (N1.12A.01 to N1.12A.02)"
"ab683625-e629-4d58-a2b3-c0a6be9b924b","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12A","R11-SW-061 Line 12A Pits (N1.12A.02 to N1.01.01)"
"600516b1-12ef-472c-bb6d-3f7649829df4","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 12A","R11-SW-061 Line 12A Pits (N1.12A.02 to N1.01.01)","ITC Line 12A Pits (N1.12A.02 to N1.01.01)"
"8aa784a5-6e04-4671-9572-0016682b981c","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 13"
"3a04f3ec-fccf-4c74-8e06-0a682fc25a63","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 13","R11-SW-062 Line 13 Pits (N1.13.01 to N1.13.02)"
"0bf9e8ca-ece0-417b-b67c-c3550caf6721","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 13","R11-SW-062 Line 13 Pits (N1.13.01 to N1.13.02)","ITC Line 13 Pits (N1.13.01 to N1.13.02)"
"b777b4fa-5d9d-48d2-915b-a4f6f6975a3f","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 13","R11-SW-063 Line 13 Pits (N1.13.02 to N1.12.02)"
"cc63dc59-ed80-43f2-8775-7bff20b08638","","work-in-progress","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 13","R11-SW-063 Line 13 Pits (N1.13.02 to N1.12.02)","ITC Line 13 Pits (N1.13.02 to N1.12.02)"
"f6e5ae8f-bc20-4fdb-bd79-aa967321367d","","not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14"
"7f76fc1d-3f24-4dc3-9e53-b00133e2a1fd","","not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14","R11-SW-064 Line 14 Pits (N1.14.01 to N1.14.02)"
"2ea1c797-b72a-43c6-bcd1-66f0d86a5132","","not-started","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14","R11-SW-064 Line 14 Pits (N1.14.01 to N1.14.02)","ITC 02 - Line 14 Pits (N1.14.01 to N1.14.02)"
"925180b7-9869-4e0a-94d1-f6d4a92171e2","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14","R11-SW-065 Line 14 Pits (N1.14.02 to N1.17.01)"
"7c1e41c3-4113-4f7d-99d7-108f6965e646","","not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14A"
"f5cecc5f-e1dc-41eb-8a4f-a29c563e5d06","","not-started","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14A","R11-SW-066 Line 14A Pits (N1.14A.01 to N1.14.02)"
"f134be91-6ad8-46d8-b394-86f9c4ae2c41","","not-started","9385edab561db81a5fd35be883b1de975c84f7917dec191797996529471c44c7","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 14A","R11-SW-066 Line 14A Pits (N1.14A.01 to N1.14.02)","ITC 02 - Line 14A Pits (N1.14A.01 to N1.14.02)"
"108c3a8b-6135-4a1b-b06b-977e9a98849a","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 15"
"1b346617-677f-47a2-8cb3-399705e64f18","","work-in-progress","","folder","TRUE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 15","R11-SW-067 Line 15 Pits (N1.15.01 to N1.15.02)"
"5b9b71b9-e01f-455f-b7ae-d8ea189898c7","","work-in-progress","ITC 02 - R11 Stormwater and Drain Installation (R11) Rev 1","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 15","R11-SW-067 Line 15 Pits (N1.15.01 to N1.15.02)","R11-SW-067 Line 15 Pits (N1.15.01 to N1.15.02)"
"f4b81e4a-e83c-4afc-97c0-03b777b11bb6","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 15","R11-SW-067 Line 15 Pits (N1.15.01 to N1.15.02)","HP1094 - Inspection of pit foundation - N1.15.01"
"44bcd105-4b1d-477d-9d52-26b764fb2dc6","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project QA","Civils QA","Stormwater Construction (R11)","Lines","Line 15","R11-SW-067 Line 15 Pits (N1.15.01 to N1.15.02)","HP1096 - Inspection of pit foundation - N1.15.02"
