"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"68946fea-33a1-4d64-aa8b-cd6695295f77","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1"
"72f7db51-d00a-4358-b2e0-2fcf16fd4d79","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01"
"34a6c912-8b68-4aef-88e7-8bfd5dbecad8","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor"
"14c27a31-947a-4856-bc57-a90841600708","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)"
"c5174fae-b860-4d09-b1e6-873e1ddd1538","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas"
"7f5ff510-ae4c-4e2f-b39e-f0664e90f6d9","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1"
"cd456bee-ec81-48e2-9147-28cde92caf11","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Concierge Desk","Terminated & Tested"
"842275ed-a88d-463c-b608-6f31900db0a9","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Concierge Desk","Fit off"
"95868ea8-dbfe-4d55-a038-d294302d0055","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Craft Room"
"db01fef2-7452-4ac7-a69d-5c6383be337e","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Craft Room","Pre Wire"
"3de052c5-2b95-40fb-8f4b-6a9665944001","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Craft Room","Terminated & Tested"
"ed3a8126-018a-402c-8f16-c7de4c45337d","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Craft Room","Fit off"
"4f0e99f7-0e79-4ea5-8cb2-f45b301a6f68","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Activities Room"
"84a737ed-6784-4b70-8748-720db9114dac","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Activities Room","Pre Wire"
"b5aba8a5-7527-4475-ab0f-9b09ca085ccf","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Activities Room","Terminated & Tested"
"abe93f62-dbc8-4345-8192-cff3af2297e8","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Activities Room","Fit off"
"0a6dd1ce-db39-48ba-a423-b8c41c03eaf7","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lounge Main"
"042ddff4-022c-4a71-8270-19ff17df280c","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lounge Main","Pre Wire"
"c8476d28-245f-413b-99e7-69b8d33c0103","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lounge Main","Terminated & Tested"
"6d269d1e-7603-4140-ac66-ec33414ca516","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lounge Main","Fit off"
"a89d3641-da0c-40af-8df2-e744a22ced7d","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Lounge Main (Pre-wire)"
"f4299ae8-eec7-4768-9e9c-4bd018bffde6","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Lounge Main (Pre-wire)","Pre Wire"
"5e25891f-769c-4ef4-8373-5e8d9701606a","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Lounge Main (Pre-wire)","Terminated & Tested"
"aa2692f2-c7f9-4006-a5f8-3f3238f1a46f","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 4"
"5bbe1100-1b38-4417-9e30-118f8924ccdf","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 4","Pre Wire"
"abaace2f-00b2-46be-a03c-1600c096a54a","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 4","Terminated & Tested"
"d92171a9-830c-4f68-bed4-bc7549363142","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 4","Fit off"
"e2b9ea85-8bc7-4b7a-8814-6db96f575019","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area E"
"7cbe95ac-69e7-4a9e-9d27-3a6d883c579b","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area E","Pre Wire"
"c71df67f-9af0-4e8b-a6dd-cadd3302ab4b","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area E","Terminated & Tested"
"fa5c5ee2-68b6-45fb-b138-59cde35fcb8d","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area E","Fit off"
"8178b56f-e67a-46ca-8e7c-f4e2cf652b70","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool & Games Room"
"f2b5c9a9-c7db-4eae-809c-15bd7a9d4fd8","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool & Games Room","Pre Wire"
"21855fdd-a394-415f-a63e-ef00b9b28b3f","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool & Games Room","Terminated & Tested"
"3edf9549-39e8-4d73-87cc-2aedebf0f35b","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool & Games Room","Fit off"
"1bdea947-5a04-49e0-8acc-6835e95c5858","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Gym"
"64d1e20a-e105-4e69-a8fa-7f79a71d1337","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Gym","Pre Wire"
"fb190b6c-0a46-41cb-ba91-7ce5078abb4a","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Gym","Terminated & Tested"
"b2863049-4c01-46dd-a15e-a9aa8a59eebe","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Gym","Fit off"
"11f3edd1-df5a-44dd-806d-3173732383d2","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool"
"0c93ab7d-e681-4288-8b35-28f8fbff1feb","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool","Pre Wire"
"da9538a5-bf74-4e9d-941a-1c67688a3a4d","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool","Terminated & Tested"
"a24e7b56-c5e3-479c-8bf0-55488258160d","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool","Fit off"
"d4d70a1d-4fe5-46dd-9c77-2abd715ffc9d","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Pool (Pre-wire)"
"112d9888-d0a7-4335-abb0-d3c3c5cedc8a","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Pool (Pre-wire)","Pre Wire"
"848021b6-e5ed-409d-b9ea-647f057bef87","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside Pool (Pre-wire)","Terminated & Tested"
"ed7f87ef-678b-4381-b282-10f3b335c75c","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool Plant"
"02b1748f-eca5-48a6-b5c0-548c81aec55e","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool Plant","Pre Wire"
"cae91597-b52a-4d85-8e7e-6b9f5a4f4e3a","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool Plant","Terminated & Tested"
"a2ab35b2-e444-4001-bb62-c7c84522c58a","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Pool Plant","Fit off"
"0ff717ab-41e8-4d1e-aa8e-811c0fcdb13c","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 5"
"b5db51bb-c6e1-4a39-b5c1-453522f99b96","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 5","Pre Wire"
"9adafce6-718d-478c-bab2-1c38253f80be","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 5","Terminated & Tested"
"f45d47f3-c4a4-4c1f-9cdb-87dc59bfb32e","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Stairwell 5","Fit off"
"43ccbc2e-259b-41b4-ba40-141978758e4e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area F"
"71d4774b-dcca-4077-bdda-7d7e10a863d5","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area F","Pre Wire"
"96b48f98-44e6-4116-ae56-99f37f71c7db","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area F","Terminated & Tested"
"330b5241-8637-483d-920e-0f65b52f9dfb","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Corridor Area F","Fit off"
"a041a810-2312-4da8-b19a-13b35ba62fba","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G56A (Pre-wire)"
"728e790b-37a7-4f1e-a456-0e9a51c2a628","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G56A (Pre-wire)","Pre Wire"
"3abe50c9-1685-432a-986b-4a6cf141f0db","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G56A (Pre-wire)","Terminated & Tested"
"754d97c7-ff9c-4e77-ba29-2203442f2de4","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G51A (Pre-wire)"
"5f47323b-68be-4435-84c0-d206eeda86aa","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G51A (Pre-wire)","Pre Wire"
"14c4f905-2732-4dac-9f70-247a8642b3a3","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G51A (Pre-wire)","Terminated & Tested"
"db0baefb-cd97-4b50-969e-556e3942b13b","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G52A (Pre-wire)"
"94c26401-8d47-47bc-8d17-2a226cf03efa","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G52A (Pre-wire)","Pre Wire"
"5017d2c2-3831-41c0-bf52-4ffa82d06a04","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside ALS G52A (Pre-wire)","Terminated & Tested"
"12f372bb-dc11-4897-92fd-6a07a7edf682","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Elec Room"
"07fb383d-fa3b-4b8d-93c7-c1893f0b9c70","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Elec Room","Pre Wire"
"0fbe9381-50af-47a5-9ef6-b6a9ef45ddf0","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Elec Room","Terminated & Tested"
"8478b250-8091-4b08-944a-bc88951555df","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Elec Room","Fit off"
"7264d1ed-0bb7-4f84-9606-52ec1e9934e8","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lifts 4"
"58ef83aa-6d2e-43bd-9738-de51f0f10991","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lifts 4","Pre Wire"
"b724bab3-8fc0-4b62-b1fa-84b8802e1c41","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lifts 4","Terminated & Tested"
"9f63f8f2-9801-4f46-82ff-9bddbbafa38d","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Lifts 4","Fit off"
"30495a9e-b264-4b8b-a14e-0c1ecba0bb37","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Reflection Room"
"102ce678-6041-43a0-bddd-9ade55163ab8","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Reflection Room","Pre Wire"
"a1365ff6-d78a-447e-b576-5eab25372df2","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Reflection Room","Terminated & Tested"
"fb4f5506-fa41-4633-ac07-082b3e874579","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Reflection Room","Fit off"
"ca5a8191-5772-4a9a-965f-b12f71875292","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Servery/Dining Room"
"3ac82c3d-3454-47fc-a79e-24753167ac21","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Servery/Dining Room","Pre Wire"
"79cc7c2d-6375-4406-8703-a8864da7e874","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Servery/Dining Room","Terminated & Tested"
"8f19ee09-19d9-4154-a7e1-f093288acaa5","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Servery/Dining Room","Fit off"
"9b8aabca-5ecb-420b-92cf-7b7b56c5a716","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Library"
"de0c9893-a631-47d5-bae2-ccafd5727fc3","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Library","Pre Wire"
"c4b0d1a0-113e-44e8-af5b-e64d4887ee4e","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Library","Terminated & Tested"
"88761980-37d9-454c-ba88-23fd26eb620a","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Library","Fit off"
"0a2540c9-e903-4856-9e44-9a6350a7034a","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Cinema"
"af027599-4f01-4de3-8736-b9e31c8af8f9","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Cinema","Pre Wire"
"42a8f140-e8cf-4d00-91c7-7cbb3e88840e","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Cinema","Terminated & Tested"
"59d2c701-f9fc-4b5d-a957-54c1bc965732","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Cinema","Fit off"
"d3c48a7d-ff1a-4cfe-bfad-a9aaa9613a59","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Bar Store"
"ea8846b1-c973-469b-a47b-f7acf55a9144","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Bar Store","Pre Wire"
"6919d40d-e6d2-41d1-9235-f67373c159a1","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Bar Store","Terminated & Tested"
"f7ea2371-7c04-4442-84fd-bd2f50be490e","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Bar Store","Fit off"
"6f76bf8e-eb06-4346-8a8f-3e34645c0100","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","VC Bar"
"3eed7681-8747-4c5e-ae3c-c4d27c13038c","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","VC Bar","Pre Wire"
"f3ca0d97-074c-482b-abb2-1c5b840743e2","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","VC Bar","Terminated & Tested"
"03daee25-02f5-4a13-a011-8b5b3703b49c","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","VC Bar","Fit off"
"5ec04971-e73d-4d90-9d42-d4486e7aa241","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside VC Bar/Lounge (incl Pre-wire)"
"83e8fedf-4962-4e60-a356-2c71f93eeaff","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside VC Bar/Lounge (incl Pre-wire)","Pre Wire"
"12080676-404e-4e17-833a-960b2560621b","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside VC Bar/Lounge (incl Pre-wire)","Terminated & Tested"
"ad7249b3-2beb-4b46-90d2-abb6edb55b47","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Common Areas","Outside VC Bar/Lounge (incl Pre-wire)","Fit off"
"5b9701b0-c1cc-4c68-beef-57f4e23e8fd9","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas"
"febd4790-b30e-4012-82c7-d6e3571c106e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G21A"
"3aa4ff91-e6d1-474e-b681-4a27748500d1","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G21A","Pre Wire"
"1031e1bb-7f31-4b2f-b705-77d10781b068","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G21A","Install DB"
"47d7df1e-c119-4c13-9d2d-6844f9cf8d88","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G21A","Fit off"
"6a60f5da-a2d4-4d91-aed4-ea167100146b","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G22A"
"b4fbf5b1-2d3e-457b-8d28-46f079506204","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G22A","Pre Wire"
"088e145b-a9b4-47d5-b60d-3c741ef1916b","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G22A","Install DB"
"8a9e9595-c4b7-4d7c-a36f-afd6461d4ba7","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G22A","Fit off"
"47ec4a75-b43b-481e-917e-3b7265fb7b7a","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G23A"
"0358ee32-17e5-42d2-a751-48eba4e1d717","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G23A","Pre Wire"
"5c88de3e-d6fe-4ae2-9fec-0e52aa246db6","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G23A","Install DB"
"58e1ab2c-5027-4bc3-9409-687b72ab647f","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G23A","Fit off"
"3a3368c5-04fd-4cfb-98b8-d34d6d7046cd","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G24A"
"3dcd194c-e936-4e40-badc-69d83217cd7b","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","ALS (Assisted Living)","Residential Areas","ALS G24A","Pre Wire"
