"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7c7f120-5948-460d-845a-458e08b63e35","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"58baf044-ce54-48d8-a5f6-88694af1cd4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building"
"7c7457ef-cde4-4701-85f8-405e89ec050a","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level"
"32393b93-48c5-4660-88ac-428f22d2b4b6","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing"
"7640d7c4-014e-4f1e-8921-6eed3f8c3424","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Penetrations (Wall)"
"73d1ec68-6071-46c9-a02b-78c4ffe52be2","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Installation Water Service (Rough-ins)"
"988feef6-ca33-4aad-9d80-498d607999e0","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Fit-off Toilet & Cistern"
"073baf6c-f22d-4d99-9b85-3c2ac4d53d23","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Fit-off Wash Basin & Tapware"
"2c0b49d1-7e6a-4b8b-b06d-c111a99bf679","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Fit-off Shower & Tapware"
"009dc1c9-2069-4e8e-8d5e-95813f761e28","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12"
"3ac274d1-a3d2-46cb-b085-c512634374d4","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Installation Sewer/Trade Wastes & Vents"
"2a4301fe-a5f0-413a-a9c6-a5a1f22eeb9a","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Installation Downpipes & Overflows"
"c85e602a-e9df-4eb8-ade2-bfdf6a2ab153","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Installation Water Service (Rough-ins)"
"001daa03-d591-4daf-af18-7d914e653b4c","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Fit-off Toilet & Cistern"
"42a2d770-9eb6-435f-8fbc-c15c68edb6b4","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Fit-off Wash Basin & Tapware"
"6d6f79b0-443f-4aa5-bb1a-fc6be07b1d51","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Fit-off Shower & Tapware"
"b5893d7c-e3e3-4e96-946d-796a04d14222","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.12","Fit-off Bath & Tapware"
"82f86caf-9914-438e-a1ef-23896dc6d93e","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14"
"21272c9e-52af-40de-a402-160cf12035c7","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Installation Sewer/Trade Wastes & Vents"
"4733ac0f-85c8-4151-b1a5-18d8bcecdb72","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Installation Downpipes & Overflows"
"032ffd22-c152-42bb-90e5-fa1544b700d9","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Installation Water Service (Rough-ins)"
"44e2a8da-6c31-449c-8bfc-7b82cae3e42c","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Fit-off Toilet & Cistern"
"ad29149e-f8a2-4406-a295-9999c3c706a8","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Fit-off Wash Basin & Tapware"
"78b78c1e-9483-4292-a0e0-8fdfa8e52f5b","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.14","Fit-off Shower & Tapware"
"4413174d-ab6b-4531-be1b-1c31dbc759e5","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15"
"ffbcf238-f4d6-4f55-80b3-1c4a2471fde7","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Installation Sewer/Trade Wastes & Vents"
"32328e18-8790-45ca-bbaa-04434f8ab8bb","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Installation Downpipes & Overflows"
"4fd5d92e-79fa-46ba-b7c0-ba6cbafd23ec","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Installation Water Service (Rough-ins)"
"799fcad3-f0a1-440b-91ab-b89913a81b88","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Fit-off Toilet & Cistern"
"12db38e7-2070-454d-8e83-2d4200b8e318","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Fit-off Wash Basin & Tapware"
"055400ba-2892-4f30-bbff-160173e29d75","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Fit-off Shower & Tapware"
"b06b7983-ae41-4f7f-9e6c-c0035af9baf1","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.15","Fit-off Bath & Tapware"
"0d55d7bd-85c1-4da3-a906-48a12d79acc3","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16"
"780c13cd-7347-4b0e-8965-c78030b504c9","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Installation Sewer/Trade Wastes & Vents"
"227e57a3-e233-494c-99b6-09310f479f68","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Installation Downpipes & Overflows"
"9e1c74e8-519a-4a85-9cbf-f2c365843395","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Installation Water Service (Rough-ins)"
"cc1a1339-6e30-4b4a-bff9-8fe0cf3d88e9","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Fit-off Toilet & Cistern"
"0bbda77b-fe2b-46b7-8d60-5a00e2b08204","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Fit-off Wash Basin & Tapware"
"b90fba34-5b36-465d-adf5-14bdc4c40d10","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Fit-off Shower & Tapware"
"1454f4ab-80ab-4f19-9ac3-b143f3e0880f","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.16","Fit-off Bath & Tapware"
"7a013074-31c7-4ea5-922b-896a05f6cf14","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17"
"b0acfe7b-284d-4c4e-9955-bc33913bfd4c","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Installation Sewer/Trade Wastes & Vents"
"79e7940f-65fe-4ccd-a5fc-869d2ad334e8","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Installation Downpipes & Overflows"
"7c184723-0a43-4d52-9a2e-5b6aaa0254d4","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Installation Water Service (Rough-ins)"
"015ac024-467a-4a55-9ccc-8220a925c134","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Fit-off Toilet & Cistern"
"a524af3a-9072-49eb-92d4-d09a9d8ed1bc","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Fit-off Wash Basin & Tapware"
"6496305e-5df5-4f1b-a5a1-b0dcd5f33230","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.17","Fit-off Shower & Tapware"
"f941e8b7-e372-43b7-a662-c2e7188f6258","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18"
"6a133d0a-b347-4cd5-a2b6-ed964a8931d9","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Installation Sewer/Trade Wastes & Vents"
"f52987cd-ed78-4508-bf12-cc02e1cae43c","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Installation Downpipes & Overflows"
"ce01ccf0-4d23-4e0f-910d-1dde54a9317e","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Installation Water Service (Rough-ins)"
"0934dd56-48c3-421d-b37d-712818fb1b26","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Fit-off Toilet & Cistern"
"c6cd1e6c-dfa5-449d-8301-c01b9bc040ac","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Fit-off Wash Basin & Tapware"
"328e4002-6915-408b-b0d8-5af42b1c0ddb","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Fit-off Shower & Tapware"
"7031e6e2-b673-4978-aa98-075e584643b0","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.18","Fit-off Bath & Tapware"
"389c1d2f-6a53-4e80-87ac-b359acec171a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1"
"734bdeaa-8dd2-41eb-b6b5-e99a0996953b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing"
"6bbb726d-7bcf-48de-b6fa-c1575f046751","","pass","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Penetrations (Floor)"
"f06ebc8e-ac14-4ad9-9408-78227a813a81","","pass","Installation Penetration","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Penetrations (Floor)","Installation Penetration"
"85ed4bae-afd4-4b58-ab4d-dc0418de15eb","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Penetrations (Wall)"
"ae33db8e-6a56-45a4-befd-69998b418b35","","not-started","Installation Penetration","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Penetrations (Wall)","Installation Penetration"
"dcbcdde1-81ce-4b28-ba89-4e2e5b45a3e1","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Stacks/Vents (Corridors)"
"7b620a2d-6bfa-4eed-9473-67b0b3f2821e","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Stacks/Vents (Corridors)","Zone 1"
"f2e94efa-0495-48ca-b4e1-2e8c7e501921","","not-started","Installation Sewer/Trade Waste Stacks & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Stacks/Vents (Corridors)","Zone 1","Installation Sewer/Trade Waste Stacks & Vents"
"ecd9c2d1-7426-4b6a-9e08-f548686467ef","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Downpipes (Corridors)"
"d645c0f4-88ac-4e5d-8c2e-f9b41ce4267c","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Downpipes (Corridors)","Zone 1"
"9d11563c-9280-487f-ba53-968e7817d379","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Downpipes (Corridors)","Zone 1","Installation Downpipes & Overflows"
"f6f717a0-4d13-4573-a5fe-dc4ff96c2118","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Water Services (Corridors)"
"cf716ea6-d714-493d-95f8-eaabf1646b00","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Water Services (Corridors)","Zone 1"
"a57e3c48-1fc5-409c-a8fa-8384647efb4f","","not-started","Installation Water Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Water Services (Corridors)","Zone 1","Installation Water Service (Mains/Risers)"
"c53f30b3-770b-4ddf-b951-87654250d829","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Gas Service (Corridors)"
"b44dd0ee-0743-4a85-bc51-6d590d0bc9cc","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Gas Service (Corridors)","Zone 1"
"8d1cdb31-e534-4bde-81f4-10701e8c9514","","not-started","Installation Gas Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - General Plumbing","Gas Service (Corridors)","Zone 1","Installation Gas Service (Mains/Risers)"
"26461e87-15bb-4d8c-9a93-abba08aad9c6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms"
"fb1330b2-9800-42bf-b817-b1c0fa97a3a9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01"
"4b21ef37-ca38-48dd-975b-533e229e6966","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Installation Sewer/Trade Wastes & Vents"
"bc857abc-15ed-4e0a-b989-47ee6d589da0","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Installation Downpipes & Overflows"
"44cc3536-6242-46dd-b5ef-5f7da44e7b45","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Installation Water Service (Rough-ins)"
"fa28b6a6-83f7-49fe-90dc-2f5977515f14","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Fit-off Toilet & Cistern"
"28611b50-f2e4-4a4b-b56a-60e4afdc1cfe","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Fit-off Wash Basin & Tapware"
"586002ce-c120-4096-aa52-e337c10c6f33","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Fit-off Shower & Tapware"
"f6f00628-cb33-4565-b61c-a3c63ef79b63","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.01","Fit-off Bath & Tapware"
"bbdae1ff-941f-458f-bf04-8ef3bd492878","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02"
"a5fcd363-a34b-4861-a46e-fa9f9c434924","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Installation Sewer/Trade Wastes & Vents"
"ff905190-1169-4a4c-9eb7-6d673ee7c9bb","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Installation Downpipes & Overflows"
"95b980d1-e1fc-4482-9036-04ece6c69312","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Installation Water Service (Rough-ins)"
"4793d2f7-0d18-4b06-8a91-8fd2dcf44b4b","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Fit-off Toilet & Cistern"
"390eae45-f35a-4aa2-8b7c-0932a38f64e1","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Fit-off Wash Basin & Tapware"
"8a600b3e-e186-435b-8c1f-4ceb60b81b36","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Fit-off Shower & Tapware"
"51185bec-7508-4af0-a994-4b415d468f47","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.02","Fit-off Bath & Tapware"
"c556fc1f-b9f2-4448-b213-57ccb628ffec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03"
"8680be47-6c27-4226-b12a-718cf8f39193","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Installation Sewer/Trade Wastes & Vents"
"39ffbd05-33df-477f-96a9-a1ed0bc8ddec","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Installation Downpipes & Overflows"
"f80f80f1-dee2-4a62-97a0-d8f497433762","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Installation Water Service (Rough-ins)"
"91aa9c0d-379b-4da9-a04e-23ade58d0f45","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Fit-off Toilet & Cistern"
"49a6be12-9aad-4fbd-b5c8-ee9db6f4f30f","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Fit-off Wash Basin & Tapware"
"98b7ecd6-52da-4c67-b3fc-3475009e296d","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.03","Fit-off Shower & Tapware"
"7c5cdecd-6074-4b52-ae4f-99ea78fe2662","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04"
"6810ad1f-9b63-4dc1-9eb0-a0221b4173b6","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Installation Sewer/Trade Wastes & Vents"
"e026d98b-1940-4a29-8794-946b906a233c","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Installation Downpipes & Overflows"
"b0411b45-5109-43ed-8cb7-781794b9c795","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Installation Water Service (Rough-ins)"
"b1e2c292-098e-4e82-82ee-bc231dd1b028","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Fit-off Toilet & Cistern"
"0953b421-8840-4640-b5fa-7202ad4a3a5a","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Fit-off Wash Basin & Tapware"
"7c1ddd73-ca5a-4f8a-a346-c7d400ef4ddf","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Fit-off Shower & Tapware"
"b1a293db-0a65-4987-b49b-2f9ee5eba815","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.04","Fit-off Bath & Tapware"
"330df065-3640-470a-a1a5-e35bc8cf1bbe","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05"
"e9321717-7dc8-4df3-bbe1-f3e049b72743","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Installation Sewer/Trade Wastes & Vents"
"4b94b777-0b70-4a39-b0ce-9146bc0c3e6c","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Installation Downpipes & Overflows"
"491af592-11ea-4d09-a303-a3c37e1c118c","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Installation Water Service (Rough-ins)"
"b9e66a19-250b-42b2-bdd0-7242dcd8e059","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Fit-off Toilet & Cistern"
"04bf49b7-9719-457b-aff3-2faa99010503","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Fit-off Wash Basin & Tapware"
"9fed0b22-b06a-4c0c-84f8-4b9835b6fbbb","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.05","Fit-off Shower & Tapware"
"89de6b1d-aaaf-4bef-9835-77ca99afb68c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06"
"3f858b70-1ff7-4236-83db-db8d1368248e","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Installation Sewer/Trade Wastes & Vents"
"35b4651b-bd9f-4c80-bbc5-fd37afde766d","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Installation Downpipes & Overflows"
"6720d801-6442-4549-a40b-1ffa1dbe1f81","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Installation Water Service (Rough-ins)"
"33285c7d-e128-4b24-a0ba-34eca3b455b3","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Fit-off Toilet & Cistern"
"f63dfa2f-3d57-4ae8-a3bb-0f77e02d78b2","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Fit-off Wash Basin & Tapware"
"4e412543-eada-4406-baca-5e9412f39074","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Fit-off Shower & Tapware"
"b6231317-6f66-4e45-ae53-7c8b3b7d03ab","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.06","Fit-off Bath & Tapware"
"2a9ef50d-d509-4a24-b900-051ba1423f6d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07"
"91b33b91-15e5-4ccd-9809-365b289227fb","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Installation Sewer/Trade Wastes & Vents"
"6ae7001a-3d44-4121-bec1-47160dddf378","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Installation Downpipes & Overflows"
"67710d19-0d33-4ad3-b06c-fccc1e3c5f53","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Installation Water Service (Rough-ins)"
"3ace1032-2595-4418-a5df-20370000e88c","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Fit-off Toilet & Cistern"
"a9a8adec-5ff7-4305-bbc0-8989d89a984c","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Fit-off Wash Basin & Tapware"
"206c1cbd-c822-46fc-a0ae-e08ce2a7c9a9","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.07","Fit-off Shower & Tapware"
"46fd245b-04e5-410e-a1ca-a8a141709fa4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.08"
"03273dcd-5863-48ae-ac86-a69296806ee1","","work-in-progress","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.08","Installation Sewer/Trade Wastes & Vents"
"9821937f-f335-4955-b2da-d72a83193905","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Level 1","L1 - Guest Rooms","1.08","Installation Downpipes & Overflows"
