Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,
label,6aa55eed-5116-55d0-9a23-aaa398186939,,note,"Records - Site Visits, Emails",,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2 - Locate existing services by hand digging,,,,,,,,,,,,,,,,,,,
label,34130c19-4624-552b-9e2d-9ce7b8a14e0f,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,dd77fc3b-88d5-5bae-a755-188ad935d6b0,,note,Detail - Ensure all services in conflict with the line of trench are exposed by hand digging,,,,,,,,,,,,,,,,,,,
label,22c69f8a-7bd9-5031-a28c-c7a795f2c7bd,,note,Frequency - Prior to Installation,,,,,,,,,,,,,,,,,,,
label,72118617-da5d-5df9-ae95-e97df3d97271,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Potholing",,,,,,,,,,,,,,,,,,,
label,ee94eebc-e991-5cd8-a719-44fd5935f8c2,,note,Conformance Criteria - All conflicts have been located,,,,,,,,,,,,,,,,,,,
label,d4c5161a-5bd7-58d6-84ee-c36c3c8f0202,,note,Records - Permit To Dig,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3 - Material Compliance,,,,,,,,,,,,,,,,,,,
label,9ec8ac48-5a3b-58b6-9e6a-e45e5added50,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,8f8353cd-5fa2-5169-bb44-dd21d0eabb87,,note,Detail - Ensure Subsoil Drainage pipe is TNZ F2 Grade and 110 Diameter,,,,,,,,,,,,,,,,,,,
label,2fdae8ca-d188-57fa-bc85-d43cc9bc75a3,,note,Frequency - Upon delivery to site,,,,,,,,,,,,,,,,,,,
label,2dd78fc8-5573-5162-bf40-93a4546da1c1,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Ensure delivery docket matches materials delivered",,,,,,,,,,,,,,,,,,,
label,29e11b42-ac5f-5343-91b5-db3bc98ce1ce,,note,Conformance Criteria - 110mm diameter Drain flow TNZ F/2 Grade pipe,,,,,,,,,,,,,,,,,,,
label,839a1023-39b1-58e5-b994-c5e64f79b721,,note,Records - Delivery docket,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4 -,,,,,,,,,,,,,,,,,,,
label,8cb9190d-9bcc-554e-8694-96c05efdfab5,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,59e2c3a4-6d15-5369-9b01-4b08aea57c4e,,note,Detail - Free draining granular Fill Comply with NZTA F/5 2013,,,,,,,,,,,,,,,,,,,
label,b3fdbb0a-e7e3-5b00-8bc3-bbe19d681ddc,,note,Frequency - Upon delivery to site,,,,,,,,,,,,,,,,,,,
label,b0b06983-f822-570a-bc26-c93d074e21bf,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Ensure delivery docket matches materials delivered",,,,,,,,,,,,,,,,,,,
label,4e2d2487-995c-56e4-b68d-c7f62ff8d9dd,,note,Conformance Criteria - Ensure clean drainage chip,,,,,,,,,,,,,,,,,,,
label,121a3349-7f80-5258-aab3-3ac42c45d626,,note,Records - Delivery docket,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,5 -,,,,,,,,,,,,,,,,,,,
label,02a3cf18-499c-5119-99a4-7a86b545b3e0,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,2b092d3f-0c2e-5d72-a1f2-bd11ff1c5175,,note,"Detail - Ensure the geotextile filter fabric,strenght Class D in Accordance with TNZ F/7 2003",,,,,,,,,,,,,,,,,,,
label,572a137e-fe50-56da-ba2a-ab75c6355d8a,,note,Frequency - Upon delivery to site,,,,,,,,,,,,,,,,,,,
label,61a4a971-6176-5fc3-93af-d67496719384,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Ensure delivery docket matches materials delivered",,,,,,,,,,,,,,,,,,,
label,4b7cce6e-c74f-50ee-8d90-fa5e9559c089,,note,Conformance Criteria - Strenght Class D in Accordance with TNZ F/7 2003,,,,,,,,,,,,,,,,,,,
label,570cefc8-9e2f-5487-88d3-2f2f60073cb1,,note,Records - Delivery docket,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,6 - Trenching,,,,,,,,,,,,,,,,,,,
label,30e93838-c58e-5af6-8bbf-c60bf0e954a5,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,b791da6a-d94b-5dd3-ac0c-06e197b7f124,,note,Detail - Inspect trench profile,,,,,,,,,,,,,,,,,,,
label,3ed5f2d9-e270-5eec-b4f9-b0a6bc95f726,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,6859158f-4d6b-5db9-8fbb-d0555c5cbc89,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and measurement",,,,,,,,,,,,,,,,,,,
label,78635462-39cf-52c8-920f-456b74ddef36,,note,Conformance Criteria - Record levels of base of trench on dip sheet,,,,,,,,,,,,,,,,,,,
label,fbec8335-9f8e-5320-81b1-3f4f133c8076,,note,Records - Photo & CS-4001 Subsoil Dipsheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,7 -,,,,,,,,,,,,,,,,,,,
label,8f335392-433f-5d31-88f5-c5f52cb41c15,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,8661598f-db35-59f8-aaeb-adea1542b119,,note,"Detail - Ensure the trench is cut in a manner than will ensure that the pipes will be laid true to the depths, grades and lines shown on the drawings.",,,,,,,,,,,,,,,,,,,
label,face15c5-e5b8-5ed6-89b8-b97d38593444,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,cb60aa28-c2d2-5cfa-85de-270461453164,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and measurement",,,,,,,,,,,,,,,,,,,
label,be04c72f-43c1-597c-85c7-676fb9bc6857,,note,Conformance Criteria - Ensure trench line and levels match the design drawings,,,,,,,,,,,,,,,,,,,
label,e7c91aa7-0671-5d1b-b410-1745bc30387a,,note,Records - Photo & CS-4001 Subsoil Dipsheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,8 -,,,,,,,,,,,,,,,,,,,
label,75941425-7241-53ae-a226-e0cd8552b461,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,5db267a8-fcec-543d-b55c-1ee57f66f761,,note,Detail - CPS Engineer to be informed of unsuitable ground or seepage in Trench and instruct testing and remedial works.,,,,,,,,,,,,,,,,,,,
label,59b650aa-ff19-5942-8588-d606e842c3f8,,note,Frequency - As required,,,,,,,,,,,,,,,,,,,
label,977a9265-7f3e-52ed-bd73-66b9e7f4eeff,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual Inspection",,,,,,,,,,,,,,,,,,,
label,4b931163-9425-5af9-9936-31a54aec4382,,note,Conformance Criteria - CPS Engineer to instruct action and record on dip sheet and as built drawing,,,,,,,,,,,,,,,,,,,
label,2be598b5-d10f-5e99-9c78-553037b5e7f0,,note,"Records - Photo, Emails",,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"9 - Bedding, pipe installation and Backfill.",,,,,,,,,,,,,,,,,,,
label,c0134d86-f837-585b-9676-b6bd4ec4c3e9,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,0452a891-3eaa-5f2b-a644-fde02d83d21a,,note,Detail - Upon completion of trenching Geotextile Filter fabricto be placed into the trench. Accordance with with TNZ F/7 :2003,,,,,,,,,,,,,,,,,,,
label,03c35507-deb5-5c2c-b9d8-7a1f77eb3bd9,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,ac6aa259-b428-5886-bdad-c9a7c8566959,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,03112fa8-9f46-5c2d-a151-5d02fa20ade2,,note,Conformance Criteria - Ensure material covers the trench and is pinned in place,,,,,,,,,,,,,,,,,,,
label,22765af2-8c71-54c3-a8bd-5f57af652f1d,,note,Records - Photo & CS-4001 Subsoil Dipsheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,10 -,,,,,,,,,,,,,,,,,,,
label,3ed29aad-e78f-5c8b-badc-74f3f3c6269f,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,b03fe4c0-d49d-55e5-bb0a-4a28536ca2e0,,note,Detail - Ensure 100mm thick Free draining granular Fill bedding is placed in base of trench.,,,,,,,,,,,,,,,,,,,
label,2a865518-c1fd-52f4-a002-5f695a94839f,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,28f8df20-497b-56b3-b195-682541955474,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,953705ee-651c-5caa-8dcd-1d56371d8f83,,note,Conformance Criteria - Record levels of top of bedding on dip sheet,,,,,,,,,,,,,,,,,,,
label,7210e0f7-ef43-5e7a-9a5e-9263c6321129,,note,Records - Photo & CS-4001 Subsoil Dipsheet,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,11 -,,,,,,,,,,,,,,,,,,,
label,232713dd-028b-5437-a15e-0b00e33b1af2,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,47e37887-ed7c-5d29-828d-6ab6ee7fe7bc,,note,Detail - Ensure Subsoil Pipe is laid on the Bedding in the centre of the trench,,,,,,,,,,,,,,,,,,,
label,20081d8d-00fa-5318-a442-413dd9435dd7,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,b1bbc584-4614-5634-8b05-9eb36af956f1,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,d10ed794-e961-511c-8333-e06406d08227,,note,Conformance Criteria - Consistency with Subsoil Details,,,,,,,,,,,,,,,,,,,
label,659258e8-0512-5d35-960c-d06614d1bac3,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,12 -,,,,,,,,,,,,,,,,,,,
label,5252882c-f91d-554a-9d10-203dc06d51ea,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,42c1f5b0-ab4e-5dcf-bbf2-27d4705b9f62,,note,Detail - As built Survey the Pipe before backfill,,,,,,,,,,,,,,,,,,,
label,55c3d484-e45f-52d4-98fc-64c8879f276b,,note,Frequency - 10m intervals,,,,,,,,,,,,,,,,,,,
label,cd0d3da5-7f9d-52c4-82ed-f74aef5b4e1d,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document review",,,,,,,,,,,,,,,,,,,
label,5aa6c5cb-39a4-550a-9991-9ce17c2b291d,,note,Conformance Criteria - Consistency with Subsoil Details,,,,,,,,,,,,,,,,,,,
label,c3a1bb98-2f64-5087-9863-08eba49bb418,,note,Records - As-built receipt,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,13 -,,,,,,,,,,,,,,,,,,,
label,b5aaf815-b0c5-590d-a966-74c9c35b5586,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,e64a206b-186e-57ba-ae7e-eb725b0a8cc9,,note,Detail - Free draining granular Fill into the trench,,,,,,,,,,,,,,,,,,,
label,fba9fd8c-0e52-50ef-9266-650b0a348e1d,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,67c139c2-eedd-52d4-8dfd-83c1f5a04c58,,note,Conformance Criteria - Ensure good coverage,,,,,,,,,,,,,,,,,,,
label,bd0b7524-a677-57ff-a74d-2f9ba281b31d,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,14 -,,,,,,,,,,,,,,,,,,,
label,f693e248-eede-5f1b-a238-03ba49d7f0f0,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,0624373d-e7b8-5051-ad8c-c8ba82fff4f9,,note,Detail - Cover over the trench so that chip does not get contaminated by other construction activities - this might be with the pavement material or by cloth if other work is going to take place,,,,,,,,,,,,,,,,,,,
label,35fc3472-78b1-528e-90fb-29ce96122255,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,15 - SubSoil Flushing eye,,,,,,,,,,,,,,,,,,,
label,5f346ec4-4126-542b-aaa8-6f68e9c01e32,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,7a24fc91-b09d-5bfd-be1f-68029364fb79,,note,Detail - Hynds Round 250mmm Lamphole cover and frame or simislar approved,,,,,,,,,,,,,,,,,,,
label,0065a723-d360-5afa-aa7f-96eee2af2e25,,note,Frequency - Upon delivery to site,,,,,,,,,,,,,,,,,,,
label,16a406d4-5c45-5770-b046-ec8209a43c2b,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,4b30f687-e514-599f-939b-675b6dab47ea,,note,Conformance Criteria - Consistency with Subsoil Details,,,,,,,,,,,,,,,,,,,
label,560fc0db-c2cb-529e-8c1a-178bd46fb62a,,note,Records - Delivery docket,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,16 - Final Inspection,,,,,,,,,,,,,,,,,,,
label,563cf71d-2bd2-5ea4-8fd2-8d1151c86fee,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,954d484e-e40b-59a5-998b-6353359d4a13,,note,Detail - The Engineer needs to inspect the subsoil drain installed,,,,,,,,,,,,,,,,,,,
label,8892f8ba-79e2-5256-80e1-c0a23b5bb53a,,note,Frequency - After subsoil drain has been installed,,,,,,,,,,,,,,,,,,,
label,fdec0952-0152-5f2b-a1f5-04cf105a2f5f,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,e56c1e2d-bc32-564b-9e90-0fd0acb1d990,,note,Conformance Criteria - Engineer acceptance,,,,,,,,,,,,,,,,,,,
label,fcd74e31-7033-50ff-8f49-961b62eea5a1,,note,"Records - Site visits, emails",,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,17 - As-builts,,,,,,,,,,,,,,,,,,,
label,9cde5b56-c3bf-5b0e-8c86-c12d4b969de1,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,ad5aca4b-22e8-5a02-902b-dfe365296f07,,note,Detail - Red pen mark up drawings to be included in QA file,,,,,,,,,,,,,,,,,,,
label,6648132a-3a47-5c97-9988-f137eb73db68,,note,Frequency - At the completion of the Lot of work,,,,,,,,,,,,,,,,,,,
label,68d1c488-2bb2-5f33-98fa-c184dcfa9e64,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Drawings",,,,,,,,,,,,,,,,,,,
label,7761ee2c-1cba-5ac7-8398-a5d2cd5e499c,,note,Records - As-built Drawing,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
