"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6e936bb5-606b-41a3-82ff-7ee237f22eeb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour"
"1c801ddb-0943-4ac6-937c-c18fa3233f16","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Basement - Shotcrete"
"0865ecc3-cc83-4cd5-bd8a-644d8b5c6171","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 2 Balcony","L2.SSO.21","Walls"
"9a45270d-60b6-412d-acd3-d37ca6b629cb","","checklist-flat","not-started","2 Pre-close-up checklist - Ceilings","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 2 Balcony","L2.SSO.21","Ceilings"
"0dcd7ef7-f740-4a51-9cb0-cd9a3b1e14cc","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Level 2 Balcony","L2.SSO.22"
"8e9b71b9-91df-49df-a5c0-1d14b6bc8e08","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 2 Balcony","L2.SSO.22","Walls"
"fa111929-7c95-4444-be4f-6dea278fe644","","checklist-flat","not-started","2 Pre-close-up checklist - Ceilings","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 2 Balcony","L2.SSO.22","Ceilings"
"55c4a30e-c0be-4891-886c-b7e9ee647adc","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony"
"504c538b-f9f2-4b09-9157-919cd49474d0","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.03"
"895294e5-bed5-4fa9-8cdb-942c75862dcf","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.03","Walls"
"6f50f6a3-b63a-49c3-a509-cff6b16932c4","","checklist-flat","not-started","2 Pre-close-up checklist - Ceilings","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.03","Ceilings"
"70ccbcd0-e9ec-473f-9ba9-838292d6d3c1","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.04"
"59ec22cd-0fa3-4007-b614-ba96fd1c949d","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.04","Walls"
"dc28b6d4-e7eb-49b4-ad02-bc3f7ea55037","","checklist-flat","not-started","2 Pre-close-up checklist - Ceilings","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.04","Ceilings"
"ccafa44e-1641-4b80-a8e4-03deb00e5914","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.01"
"ee4db851-69f2-4228-8f58-a05a8915de77","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.01","Walls"
"4865a5b4-25d8-418d-8739-3418809170f1","","checklist-flat","not-started","2 Pre-close-up checklist - Ceilings","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Level 3 Balcony","L3.PF.01","Ceilings"
"4096774b-c68c-43e3-bcaa-7a61208a1e5d","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Stair 1"
"40aafd4e-fe2b-4963-8677-75866d310691","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Stair 1","Walls"
"a2b0bfd1-460a-4260-aa07-ed0b906c3688","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Stair 2"
"eef9e05f-11ba-48e4-84a9-59621db0f787","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Stair 2","Walls"
"00f6b9f5-7c3b-499c-9faa-e60ba0938504","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Stair 3"
"747eebd3-5650-4840-bbdf-3f28fc67bf9d","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Stair 3","Walls"
"966d5b79-648d-4a95-b492-7794415667cf","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","T500","Stair 4"
"f2fae655-38b7-4d96-a850-b89b9dde62da","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","T500","Stair 4","Walls"
"61b8a9de-f564-431b-a3ae-20ef9681e5dc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement"
"8895b9f7-b0ca-4405-b4fa-eb0d696dadf7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1"
"5aa3ee26-b025-4f7e-abfe-54585818fa2f","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.BH.05"
"d7c583ce-038e-4911-a809-2c69cc86c564","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.BH.05","Walls"
"96647dfa-5659-41c4-bbe4-b914304e1ac2","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.BH.06"
"d6f96d3a-a9a0-4e10-b1c0-ce9dfff51ca5","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.BH.06","Walls"
"3664997c-26be-4e00-992b-a89e59c13943","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBK.01"
"744692b5-ea8f-41b4-9b2f-f14dd8b938e0","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBK.01","Walls"
"05986b8f-65e2-4f7a-b8e3-4677180a05d3","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBK.02"
"d6a20e66-21e2-4944-9b08-b0e3e4110814","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBK.02","Walls"
"7ff892ef-5121-4553-89cc-37e25f7f18a4","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.01"
"8da33483-46ca-4dda-a2c8-5e6d6e911738","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.01","Walls"
"ab2c3180-e77c-4f81-90e1-998419b255e3","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.02"
"46503657-154e-4229-94c1-e49aabd0547f","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.02","Walls"
"9e48860f-6ed8-40cc-8aee-912d7fe2cf62","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.03"
"cb835cd8-644f-4e66-8f48-8594d756d847","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.03","Walls"
"3385b3b2-7eba-46ec-b938-f9b99720cbeb","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.04"
"45e51026-b710-4341-b490-53420ceb1a17","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.04","Walls"
"49560952-833d-4b30-833f-1af940bd41e8","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.05"
"17686def-076b-41c8-8da0-8e12ad79599c","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.05","Walls"
"21d4a771-ef9c-418f-bf84-41a634328180","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.06"
"c4c50ab7-a7ea-436d-bcc2-f26fc5440a92","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.06","Walls"
"0525e6d9-cf2b-4709-ac5a-d33d476248bc","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.07"
"ddca6852-0aef-4eeb-9504-53e2384411d9","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.07","Walls"
"d6a44d40-f94f-4f23-a016-89d1b1a76665","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.08"
"b879ca67-a11a-453d-a49e-25694e79b54f","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.FBS.08","Walls"
"6d173f1d-dbb1-4907-9a6a-f034c221c94f","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.PC.01"
"0d2f46ab-af23-4a0d-978c-eff869c42860","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.PC.01","Walls"
"ab88fcbc-de31-4d79-a7f9-816c64ffa43e","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.PC.06"
"2103659d-7867-4a31-891b-1d130bbbe27b","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.PC.06","Walls"
"056ff6bd-3282-4c06-bd40-fa40a48be377","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.05"
"ebce08f1-c5a7-43e7-b9fa-2330fda92777","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.05","Walls"
"d76d3e70-0913-46fe-89dd-9f2661e6d5a4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.06"
"c743db95-4199-4c7f-ba5e-aa4a071cfc27","","checklist-flat","pass","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.06","Walls"
"357dcb53-56b2-4e81-bc68-1e4cb2e83cf5","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.06","Ceilings"
"30ceb12f-5989-4857-a09c-cf67327ddd08","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.11"
"673e351f-781a-4748-b7e4-82970e4eb74c","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.11","Walls"
"70732fb9-f183-47bd-bc26-5c954b525f70","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.12"
"6539a373-d164-4538-9e1a-f537cd5e999c","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.12","Walls"
"0c82d157-fc28-4929-b456-9c1af8abec72","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.13"
"cf59c48e-538f-4880-98b2-d6307d5ac6fe","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.13","Walls"
"f5bb9e0e-50b9-4922-a5d5-fa88d47877bb","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.14"
"668517cc-b460-4376-9164-0856a36d8105","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.14","Walls"
"4248f6af-8642-4ae1-aa95-738d18aa7fb2","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.15"
"36945922-873a-44ed-8b74-7fdb1b5bb5f7","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.SSS.15","Walls"
"e56cebad-fe6f-4a52-9e7e-54c472d90d65","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.ST.01"
"b61f98d5-2d71-4e16-b49c-e1729ecb500f","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","B1.ST.01","Walls"
"f2b5bf4a-9589-4dba-afa3-28ffc81118c1","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","VT.01"
"26ff5740-b2df-44ea-b128-fe1157445f78","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 1","VT.01","Walls"
"9c84d8d9-016d-492d-8a8f-39f363dc0095","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2"
"82d791cd-eda4-45a2-95e1-c88ff1d2c07e","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.AM.01"
"f3f16c2c-ad46-4721-9a2d-591aa4ca0876","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.AM.01","Walls"
"622713d6-4880-4ba9-8f8c-815893663696","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.AM.02"
"38adcda9-c26c-439b-8275-076145c2d19a","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.AM.02","Walls"
"8f641c75-c543-4db3-9a8d-4e4aaa2899c8","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.02"
"ec43f149-bad0-44ce-8539-b8b30f995cea","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.02","Walls"
"d721fb58-fc6d-489e-967d-019d77c8efa1","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.03"
"ca242192-4610-41a0-ad93-000c927949d3","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.03","Walls"
"ea31f0ea-c0b7-4841-8dcb-720f6295664e","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.04"
"4a56adfd-de2b-42dc-bb8a-71dea30e4fd4","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.BH.04","Walls"
"9e4c4b3e-5671-48bd-9393-ea973ccdab31","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.02"
"d6394ae7-2016-409f-bece-76013b16cde6","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.02","Walls"
"2c52ecd4-8b69-4bd3-ab41-eeae9358a353","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.03"
"b492d234-8975-4d3c-a4e9-8dc4bfef31bd","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.03","Walls"
"bf4f1cdc-5bc1-4d98-aefa-b6734fa68a43","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.04"
"e1f537a8-8b44-4f85-9db5-20c77ec9ba0e","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.04","Walls"
"26ee73d7-b161-4de3-885b-1173ed4b9a3d","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.05"
"5af085fe-0322-479c-a1db-12c958f9656c","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.PC.05","Walls"
"4ff22b58-a7e4-41f7-8bc7-03689b256e2b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSO.01"
"6f65d2c1-e65c-4611-b071-9d5c8df08186","","checklist-flat","pass","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSO.01","Walls"
"3a754fd3-5acc-490d-bdd0-e2c2b2e35755","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSO.01","Ceilings"
"16dd1e2d-3a37-4db2-95de-e9d096604d15","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSO.02"
"f1379d58-0c2d-49e2-8f9c-3ba441d0963a","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSO.02","Walls"
"b07f8a53-f38d-4c5a-8d1f-af1d0a878a02","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.01"
"bc855699-1925-40f1-9700-3ec2d4720178","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.01","Walls"
"c4604968-ebfb-4d21-94f1-62edaced928e","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.02"
"0225ef85-b2d2-411c-8af0-43dd38045e3a","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.02","Walls"
"06e552dd-c9a3-4e29-b998-82675d9f15ce","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.03"
"9e7f3ced-2c1f-4f7a-9ac1-e558d25390c3","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.03","Walls"
"92d469b8-11c8-4ba3-a5dd-dbf029d696b3","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.03","Ceilings"
"8555d7b3-242f-4f42-ab8a-5d6a2817a329","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.04"
"84744f9b-c066-46d4-b35e-e13c10e28cf7","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.04","Walls"
"5feb3749-6633-4acf-85c2-070c93e38cc0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.07"
"5ed48c0d-bf3d-450c-aa96-18ca7145c323","","checklist-flat","pass","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.07","Walls"
"63f2a84b-58df-47ca-ad5b-100b7cfa2c89","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.07","Ceilings"
"928d7212-8302-4b0d-80c5-30d242c62712","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.08"
"5c2cde90-972e-4254-b358-0f374d76662a","","checklist-flat","pass","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.08","Walls"
"4b7ad8d7-f073-453e-a11b-430cdea685b9","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.08","Ceilings"
"d716920c-8cd9-448d-b89d-75c0f2fcc94e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.09"
"224a020a-921d-47c5-a4a1-e167f65b9997","","checklist-flat","pass","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.09","Walls"
"1b0452da-6fd0-4a2a-b990-9036f2e62791","","checklist-flat","work-in-progress","4797c58f45f5e22a0f2ec94b003003c185cc7aad6ab00df1436683dd30600c1a","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.09","Ceilings"
"06943860-07c2-43a3-ae94-9daddad43de8","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.10"
"d63a01e4-44c5-4a0d-b270-445a643e593b","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SSS.10","Walls"
"3aebffee-02fc-4ac5-84a2-d839de21a4f2","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.03"
"a80945ac-cbb4-4a95-95bc-733fb73b8920","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.03","Walls"
"5c683c4b-4b92-4651-abc0-9e911154fd16","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.04"
"c784c4a5-77df-488f-8f0c-524388a62b44","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.04","Walls"
"5a923147-d9eb-4d2c-92ef-bf14c5cab9df","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.05"
"872dea3f-b019-46df-a69d-226f57422721","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.05","Walls"
"7942f305-7f16-4bd8-a946-411e474cb4d3","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.06"
"e9b1d34c-9a9d-4900-8b04-6e9c5aa812f6","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.06","Walls"
"1c6f3bf9-2164-412f-aeef-550bf6a3baed","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.07"
"524cabc3-9998-4011-a26a-ba64e201cd56","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.07","Walls"
"c01ad636-7b91-467e-ac4f-54c9bca92c5f","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.08"
"2a3459f1-cebe-49d1-a80d-b5b0df9c9a47","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","B1.SV.08","Walls"
"c5550bb3-abb2-4fa4-bac8-28bc7bc61a58","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SV.01"
"84bd58a0-39cb-48c4-bee7-1405271009d0","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SV.01","Walls"
"3beb481b-6512-4961-adfe-d81fcccb77b4","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SV.02"
"74308b5d-11cf-4acf-bb8d-a3afaf510e01","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SV.02","Walls"
"dba00f8d-12fe-4aff-b392-6a6709b42310","","folder-normal","not-started","","step","TRUE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SR.01"
"cb0b25e2-2879-4d8c-9f08-e03f21050818","","checklist-flat","not-started","1 Pre-close-up checklist - Partitions ","checklist-flat","FALSE","FALSE","Finishes - Pre-Sheeting","Basement","Zone 2","eB1.SR.01","Walls"
