resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,452,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,453,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,454,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,455,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,456,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,457,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,Common Areas,,,,,,,,
,step,,,,,,Lift Lobby,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Stairwell,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Corridor ,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
