"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d937442b-4018-4d42-b8c0-caadabe62c8a","","checklist-flat","not-started","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"f1b556bb-9dec-4aca-8685-15e98b3e01f8","","checkpoint-status","not-started","Job Details:eb09983a-2e71-472e-90cd-231129859fcc","","FALSE","FALSE","Job Details","Project details entered below"
"007d726a-3616-4852-bfb6-5d460fec8746","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"86ef93b4-c72f-49e8-b5f7-d07e54635616","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Barriers BR03"
"4a2e9eac-ddec-403c-8272-31a98f10fe36","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR03","BR03-1"
"39034d2b-fcdb-46b5-801e-69896b03f25f","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-1","Pre-Pour Check"
"26e060a0-bd1b-4c78-8ba2-a305588fe204","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Pre-Pour Check","Marker Position and No."
"4eb70039-f2de-4241-90bd-ed419a718324","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Pre-Pour Check","Make mould to Green Status"
"b0c810c6-3377-459b-a270-c292603884f4","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Concrete Works"
"9dc5047d-e261-4a6d-8d61-855f88208c9c","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Concrete Works","Concrete Works Details"
"4f078a96-366b-4eb4-8f60-d93bc553fa2a","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Concrete Works","Wilco Sample Taken"
"cd11b36c-03c3-4703-a89d-5809623de805","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Concrete Works","Bridgeman Sample Taken"
"866a4533-fbc8-4d92-a09a-9939d716f5ff","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Concrete Works","Supervisor Approval"
"5661abb7-4c13-46cc-82a9-32b93fdbfb53","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Post Pour Check"
"57c0f665-b926-43d8-b904-ea0fdab005ca","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Post Pour Check","Edge Detail"
"b30f1433-dc57-4ff0-b3b2-2785f0229cd8","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Post Pour Check","Bar Projections"
"c6afce73-a93b-42ed-a49f-0d39d3cdef2c","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Post Pour Check","Cast in items"
"1bf020fa-ebe9-46e3-a39f-26d3bec3a60c","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Stripping and Stacking"
"0de73a1c-4b34-455c-9c83-ee391f1f04ae","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-9","Stripping and Stacking","Stripping & Stacking"
"f447e9f8-e2e8-4546-a33b-406ff9269fd6","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR02","BR02-10"
"31c013fe-ad53-46b1-9ae5-831a08605e41","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check"
"18d86d18-be76-47a0-a779-62452b71feb8","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Dimensions"
"a92537eb-8d36-49f6-a898-a9181bfca79f","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Mould Clean"
"0b08da5c-8eff-4420-80d7-4c909901282c","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Mould Oiled"
"a5255cba-8a01-4f1e-ab00-aa7bbe9bf4be","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Mould - Workmanship"
"0584c179-4190-415a-8c46-0a8b42c21484","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Reinforcing"
"8511c16f-907c-4ed1-a1f5-4f6e6a7c12d7","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Cast In Items"
"e54775e3-5883-4a20-b003-30fb6bc8709e","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Marker Position and No."
"d46d3a41-4e39-4ebb-ad0f-f909ea73faa9","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Pre-Pour Check","Make mould to Green Status"
"29e07414-e11c-4194-89e3-d47b518be1ab","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Concrete Works"
"ae7fdd42-6b68-4331-b8dc-c780f88129d3","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Concrete Works","Concrete Works Details"
"e5274948-f76b-47fa-983c-c40021eb14b0","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Concrete Works","Wilco Sample Taken"
"2f13accc-d8d3-4e47-935d-afa206f946c6","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Concrete Works","Bridgeman Sample Taken"
"d9a42c5c-7106-4fd9-84b7-7fa12cafff7a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Concrete Works","Supervisor Approval"
"8b54fb3a-92b9-4659-b91c-61121416b5be","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Post Pour Check"
"f21d7f3a-e5aa-4a9f-bb5c-45bbedf0efa9","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Post Pour Check","Edge Detail"
"df8a6047-5ab9-4535-9290-ef78333727a4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Post Pour Check","Bar Projections"
"24ef7fec-77e8-4c19-9447-2b4a0ad6c1bd","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Post Pour Check","Cast in items"
"d91c1afe-e21c-49a3-b2ae-00506eaf8a1c","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Stripping and Stacking"
"ab5d0ab8-3393-4a93-84aa-1d298243f98a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-10","Stripping and Stacking","Stripping & Stacking"
"f449376e-eb69-4425-86ce-117f93805145","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR02","BR02-11"
"fe6ebd24-c408-485c-af6d-ec6e85af487a","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check"
"1e3eccc0-e0a2-47c3-b211-a32134740140","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Dimensions"
"68dc7c5b-4f2c-4ad2-8c29-c58b0d8df0ed","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Mould Clean"
"b63d8ce7-eaab-40e1-8f1b-f65296510650","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Mould Oiled"
"038281d9-50e0-42d3-87cf-a747c9bc04d6","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Mould - Workmanship"
"4a58591f-ab87-4163-a15d-df542342b0b1","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Reinforcing"
"262b3e44-9b9d-4bb2-908d-13cf5bff77f0","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Cast In Items"
"31a56196-21e9-4c49-b5fb-b11f194e2dab","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Marker Position and No."
"ac30fddb-b3cd-499d-87f8-19bdb0a4b04a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Pre-Pour Check","Make mould to Green Status"
"43bee309-d5e9-4350-89fc-05710d092252","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Concrete Works"
"43284d75-026c-4ea5-bc5c-fb3fc53bbde8","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Concrete Works","Concrete Works Details"
"042450a1-7310-4c83-b480-a0b30f8043e4","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Concrete Works","Wilco Sample Taken"
"bb4295fa-9ac1-4744-8523-37cc7711d6e1","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Concrete Works","Bridgeman Sample Taken"
"9cc3a0e3-a7a7-49f9-90c9-208001312f7c","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Concrete Works","Supervisor Approval"
"643cea74-de83-4adf-9849-bd3075698df9","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Post Pour Check"
"e998881e-d22b-46fa-972f-1abcf7496702","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Post Pour Check","Edge Detail"
"ee017ca6-03b3-42cc-b7bc-d1372f72505b","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Post Pour Check","Bar Projections"
"315eacd6-1e31-45b7-a5e3-d46289b81ad0","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Post Pour Check","Cast in items"
"6e681d16-a706-43dd-a2a6-ec8b695b33c7","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Stripping and Stacking"
"29d69825-dc98-42b1-8725-4aeaac2147bf","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-11","Stripping and Stacking","Stripping & Stacking"
"faf276f6-7d88-4409-933a-75334c687169","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR02","BR02-12"
"eb7f02b2-dc53-40eb-a2c4-2fe9f9d8881f","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check"
"63a7a682-3076-4b6d-8d72-8f1e4d862b10","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Dimensions"
"91d14a71-3363-4677-b8b2-025583db3aed","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Mould Clean"
"a2b02cae-d2f6-42a6-b196-9e8e9d5b008a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Mould Oiled"
"47da13b9-b5ea-44d5-a13a-4592da103928","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Mould - Workmanship"
"516b731e-b781-482a-84e4-365633026de7","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Reinforcing"
"dbbbb3f9-465e-4704-a42c-d996667a7462","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Cast In Items"
"bec0cfcd-5287-4fa1-96f1-0beb27e6ea28","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Marker Position and No."
"8bb456c7-a265-441d-87cc-b403b90910a4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Pre-Pour Check","Make mould to Green Status"
"41960b2b-90b4-44ea-ba93-15207cf02f48","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Concrete Works"
"9a2ec3e4-2435-45fd-9d48-8d87157189e7","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Concrete Works","Concrete Works Details"
"b2f5ea7b-5918-4f51-8e7b-cacd904fe1dd","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Concrete Works","Wilco Sample Taken"
"03c24c48-a3e7-4a81-9c9c-ead1f54dcb35","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Concrete Works","Bridgeman Sample Taken"
"85e34902-361d-412f-8053-cbb1bbd29011","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Concrete Works","Supervisor Approval"
"c892fbc7-1f8d-4a48-b2fe-338ef3fea5e4","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Post Pour Check"
"87d5ae0e-f477-4c0c-abd0-dd54cc4769be","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Post Pour Check","Edge Detail"
"aa9d8a52-43de-435e-bf6e-d7e67e15f867","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Post Pour Check","Bar Projections"
"62407cb3-2f48-4020-945f-cae939ea5e63","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Post Pour Check","Cast in items"
"9f04bccd-f031-48db-9ecf-1d0a6e7e0a0e","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Stripping and Stacking"
"ea5e1458-cb4e-4582-bed8-c2aba9c98460","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-12","Stripping and Stacking","Stripping & Stacking"
"f666312f-f7f7-455f-abb1-f67c9df90b88","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR02","BR02-13"
"c1caf99a-8ee3-4861-94dc-2c60535e3e5f","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check"
"ed18add8-b182-4d5e-87e8-46b2f15d2090","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Dimensions"
"0523f14f-2ca7-4b6c-bab9-a74012cda61e","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Mould Clean"
"ca8074e9-1e3e-424b-9ae3-8004b1aaf823","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Mould Oiled"
"01f4fc98-04e2-4b9f-8280-fbeca8f10308","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Mould - Workmanship"
"5525152c-1692-41bd-b413-c282e680e8a8","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Reinforcing"
"1384ab61-e35c-4d06-9d24-34a149b1761a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Cast In Items"
"770f38fc-7d30-4fd0-9726-2734c461be75","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Marker Position and No."
"2005157d-2400-47e3-8520-6af22abfb0a4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Pre-Pour Check","Make mould to Green Status"
"4db52d2e-aaca-4943-9f82-c00304c41b09","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR02","BR02-13","Concrete Works"
