"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a2ef68f-234f-4489-bf49-dbad693ac7dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0eed8881-9539-426c-ae07-54f99fd3fc01","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Documents for Reference"
"5a392417-1968-41f8-abb0-3ef9d1d26582","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Welder Certificates"
"146e238b-3017-4bf6-956c-4d5f0a72ff59","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Calibrations & Conformity"
"00563a5c-4b02-4e95-9d5f-8cbd2c39a5bf","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Serial Numbers"
"d1532e47-1b04-43ad-8001-12fb6c49ddb8","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast "
"24eca42d-d299-4b34-903f-0909d118411c","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Goodburn Spark Tester"
"64829cba-c0ac-4a08-8bb7-80c892b7810c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings."
"c9a11949-58e8-42c9-811d-dfe8d22e3480","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500"
"9dbd897b-1d95-4bf5-8466-d8dbc9d6856c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25"
"8033b520-fe41-4bc3-ac1e-ab1a4627522e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Prestart"
"75b6cb56-89cb-4c08-9571-0c819abf68f9","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"6eb0e086-ac88-45d2-a26f-fc0f881e09f8","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Welding Record - Phase 1"
"65bac32c-5ea1-4d00-99f5-faf5f997c442","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Welding Record - Phase 2"
"47fd2662-4943-46e7-b63c-1e4ab2377e15","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Electronic Testing - Phase 1"
"24619ad3-b256-40fb-b550-15917bbcb750","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Defect Repair"
"7c61a63f-4909-478a-b94d-1b028e6d52ee","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1251 to 1275","Daily Prestart - Date:30/6/23"
"6f78cd33-a1d4-4d57-9ce0-fc7c38420a11","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300"
"4b66866b-851b-47bb-8816-cdb2748889ad","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Prestart"
"8b2e1d42-ec72-4eaf-97a8-a8ba9cf28c10","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"8aabfa53-e035-4f58-ace2-b528e821aec2","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Welding Record - Phase 1"
"a4579f28-56a4-4f70-b201-cbfdda784071","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Welding Record - Phase 2"
"ce8acd91-6b03-4185-ba67-21f7eceb0112","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Electronic Testing - Phase 1"
"b666cc8f-fbbd-42e9-8985-0c8714f3b041","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Defect Repair"
"3af91d26-4c2a-4235-9d91-9f329b4c76b7","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1276 to 1300","Daily Prestart - Date:5/7/23"
"888119b1-8462-4ccd-aa09-b9bc55d0d04d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325"
"39f596ad-e2eb-4971-9ad9-6369b52ce0b7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Prestart"
"f511616b-d7fe-46b5-8d3b-38e381ae910f","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"41b24ebe-a1f1-4bf4-a5e1-290d78a2576d","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Welding Record - Phase 1"
"4e540163-7d5e-4d25-bcb9-8ff00080e149","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Welding Record - Phase 2"
"033a4334-0881-4292-801d-5648ea754da1","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Electronic Testing - Phase 1"
"af0708bb-6b3c-486a-a4fe-0378721e9a56","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Defect Repair"
"6deeb735-f31c-4ec8-bfd0-535eb5b75760","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1301 to 1325","Daily Prestart - Date:6/7/23"
"6fbee3e5-6f84-453b-9dd1-d6a856013e3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350"
"69756dc6-2757-4e4a-94d3-3811a75ec5d6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Prestart"
"600950f3-d919-43a7-8398-e0703fb1277f","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"ff343ea1-83b9-4ec9-90e6-66277961134c","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Welding Record - Phase 1"
"72cf6bfd-1712-476a-877b-7ed90521d638","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Welding Record - Phase 2"
"d7118d6d-a304-4e9f-a8b6-b01f4aa4dab5","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Electronic Testing - Phase 1"
"06b4d92c-ee7a-461a-b7f0-1202a6867259","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Defect Repair"
"e2fba826-1db1-4d12-977c-a82c34bbe815","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1326 to 1350","Daily Prestart - Date:7:7/23"
"834300eb-cd13-4f5c-a747-f8e69717db8e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375"
"14d14cbb-09db-4982-9ce9-bd234d058c88","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Prestart"
"5a10169d-b01e-4ba2-a28f-cb1d27a38b2b","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"03a01bd2-39d1-49e3-b3c1-06c0918673ea","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Welding Record - Phase 1"
"39e3fdcc-00c8-443a-8234-7dd0f62acbc6","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Welding Record - Phase 2"
"b648f8e8-6c68-4e71-a93a-5ed15a8ad578","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Electronic Testing - Phase 1"
"8bd57383-f203-4380-913a-fb5eded9bf07","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Defect Repair"
"b119df23-7d25-47ff-a523-a9b2bb6ded63","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1351 to 1375","Daily Prestart - Date:10/7/23"
"3a11ee8c-d58b-45db-841e-68a13ee92c72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400"
"63c95a56-44c7-4e4f-ab87-a11b0a4ff5a2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Prestart"
"f353eca5-b472-4c9d-9363-024b5590781e","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"f176c4e3-1fac-4e52-ba79-fcc8f3466b71","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Welding Record - Phase 1"
"af9f9656-0ef3-48ef-a86d-e68c27ab477d","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Welding Record - Phase 2"
"573386f2-74ab-411f-a3c2-57dd5e50b139","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Electronic Testing - Phase 1"
"40c91240-1a19-4c14-bf5c-65e76336612b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Defect Repair"
"5c14d3a4-e428-4dfb-95ca-2d2b450d4ef2","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1376 to 1400","Daily Prestart - Date:11/7/23"
"35b5be13-ac38-4978-a985-0e90d0f9ac72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425"
"c9d4194b-bffa-4a4b-ba05-930316259669","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Prestart"
"87764d3a-cd1c-40fa-886d-f15e0d431141","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"8751c13f-a7cd-4b0e-bf99-f3cdad851328","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Welding Record - Phase 1"
"f382d18b-aba9-4fca-9675-4ce611843a37","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Welding Record - Phase 2"
"d3f9f315-f365-4a4e-ba32-a2ca34697ae8","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Electronic Testing - Phase 1"
"86ef0170-6851-430a-bbe9-5ac6e7e0cba9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Defect Repair"
"2302ed9e-8785-45e7-bd90-994cb0673301","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1401 to 1425","Daily Prestart - Date:12/7/23"
"3155b4da-5c7f-4365-8a2b-208c479b8f80","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450"
"9bf5f8e5-eeef-4185-9692-9c36c2e65c22","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Prestart"
"689cf5d2-f1b9-4b70-aeff-d60844f8b8da","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"136bd6d2-dcd6-4fe0-8987-ed06e7b85f21","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Welding Record - Phase 1"
"8bcfaeec-53db-4cec-bd09-60aae57046e8","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Welding Record - Phase 2"
"268c47f7-21c4-47a6-80ce-01b334c30458","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Electronic Testing - Phase 1"
"b7ab84f9-1a1a-4fc2-bc6c-a76f8a9b9b89","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1426 to 1450","Defect Repair"
"fba68e8d-491c-4b84-9109-6bedbc831d9c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475"
"2cc4ecdb-4562-4533-bf2c-a54b085b1190","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Prestart"
"01977376-67ba-4d8d-8479-f8f4f8c4eb1f","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"2725f6f8-8407-4caf-a1b1-34a18c0e025e","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Welding Record - Phase 1"
"45852470-0722-4ffb-a4c4-e1e6205bdd4c","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Welding Record - Phase 2"
"9407789e-56f6-41ef-8d06-82910109b37a","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Electronic Testing - Phase 1"
"916757eb-1ea6-47eb-96d0-dc9c54d6c452","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Defect Repair"
"fc9621d5-b312-426d-97b9-1f85f86f8fc2","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1451 to 1475","Daily Prestart - Date:13/7/23"
"fcd60553-b54a-4a0c-9f2d-5f9cee3813c7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500"
"085ee111-6b1b-451d-96ce-9f120ea82350","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Prestart"
"4371f10b-4868-4dda-90a7-04ae17dbd232","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"e5c5c418-8582-44f7-bad7-972573f819fc","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Welding Record - Phase 1"
"a6170e3e-2113-47c1-a038-1526ac2b3d49","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Welding Record - Phase 2"
"35196211-bee9-4ad8-a306-7b133b4882ae","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Electronic Testing - Phase 1"
"f5d9615b-fd7f-4507-a42f-909fc118757e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Defect Repair"
"17dd0aa4-22a1-4bb6-bc8d-5f7d26e4e15a","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1001 - 1500","1476 to 1500","Daily Prestart - Date:18/7/23"
"288f08d4-c5ea-42fa-8b3a-336dc18bfa39","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000"
"f931fbe9-4a2c-48ff-aafb-60562721f904","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525"
"7c1117f0-94c7-4c0b-b933-1d354dbbf4c8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Prestart"
"6ee24178-8291-482b-be0f-ea1405de1f6c","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"18c7d9ce-7ebe-492d-9606-3b2a10772e4a","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Welding Record - Phase 1"
"63a92476-731d-4856-b133-8c4bc7a5ed3a","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Welding Record - Phase 2"
"3ac7038d-68e9-47ca-b1fa-e80ae50c8c5d","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Electronic Testing - Phase 1"
"5a3fb0ca-2b6e-4ec0-8bdc-5f5307aa9a05","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1501 to 1525","Defect Repair"
"3de107cf-320a-4fe6-b317-6817ebb2bbc0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550"
"1aeea438-ca72-47f4-8add-9d4f88c2039e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Prestart"
"2dea6c00-f10e-462a-817b-fc5ac567b295","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"202e8713-fb8b-481c-9555-0b627caf0ca3","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Welding Record - Phase 1"
"71f1ad41-4340-435e-9765-e1f6c6b0eb9d","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Welding Record - Phase 2"
"053bef20-a2a9-487c-bb7f-641d6ed13e72","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Electronic Testing - Phase 1"
"22fd5eb4-78a2-488a-ad0d-2c86f1c9df89","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Defect Repair"
"2e2ffff9-d8c8-4eef-bca5-12915fd0f93e","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1526 to 1550","Daily Prestart - Date:19/7/23"
"56120c9e-490e-4bad-8de1-b8b7c8b95bd5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575"
"8070cdbc-7da8-427b-92cf-77f99514f3e0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Prestart"
"d84d6eac-de74-4ad9-a47d-14aac38a4ef5","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"2aeaf3ca-5ad1-4e50-8203-f56acdc77c32","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Welding Record - Phase 1"
"2e88b46a-4c9d-46f6-89c6-d6d23002cb18","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Welding Record - Phase 2"
"03353226-fb45-4c17-a9cf-5ec5126f67c3","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Electronic Testing - Phase 1"
"b1881e29-0925-4bc6-8dab-39b3666be9fa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Defect Repair"
"6ba67de3-aa10-4591-a7db-91f58e48a14b","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1551 to 1575","Daily Prestart - Date:20/7/23"
"2a6b62d6-acaf-4cbe-b332-8d7b9ef9094a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600"
"dd3371a9-0d4a-4047-a4c0-6342580c18ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Prestart"
"dd75e9fb-f334-4981-9db5-26f80a40ba2e","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"b97f1c36-2a18-4080-a3ed-372101caac2d","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Welding Record - Phase 1"
"31620818-6351-4d81-981b-8852909f3fbd","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Welding Record - Phase 2"
"e59875af-049d-4803-9a3f-b9afe854d82b","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Electronic Testing - Phase 1"
"d1bc280c-7e45-48a5-a76c-520312a16ba3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1576 to 1600","Defect Repair"
"77cc0a10-f6ba-4da9-a3ca-e88bd6827a45","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625"
"14cf5806-51ba-4223-b502-9058c47561e0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Prestart"
"6fd30639-1a3b-4337-8c01-c59cdfe9e06d","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"03126abf-2d53-4168-bb92-cefa57491e74","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Welding Record - Phase 1"
"cd2bebcc-3b84-4c4b-82ab-850d75c0565e","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Welding Record - Phase 2"
"c41c2188-b8b2-44be-aef9-07340eb9dc3c","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Electronic Testing - Phase 1"
"3e4ceffc-1f54-4cb0-9d41-ec6ba9c5ad20","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Defect Repair"
"3d44b172-6b8b-49e0-b6f8-7d9a7a371787","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1601 to 1625","Daily Prestart - Date:24/7/23"
"a1626eac-b886-40fd-a528-8f3ad4bf5f59","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650"
"fc4a68db-a692-4a0f-8726-f7be75b2ae5f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Prestart"
"e769f6d2-4ad8-4fd1-b6de-a59d3165752d","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"3f3c7d42-2383-482b-9a0b-ac03e235dd78","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Welding Record - Phase 1"
"d5c6e4f4-7866-4679-9b68-e128e5e83efe","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Welding Record - Phase 2"
"c4bb68a7-6ae6-4e82-be63-f039b3165c55","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Electronic Testing - Phase 1"
"aa9b2064-0224-4057-95c3-1bfaa3cff869","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1501 - 2000","1626 to 1650","Defect Repair"
