"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1c5e793-757f-5880-a852-a8f9e0eae756","","checklist-flat","no-status-not-started","0cf04e6c756f37a201c6f5eae2c46b46dec2e750a569888c5a58be2e010803e9","checklist-flat","FALSE","FALSE","Job Details"
"149208f0-d8dc-4d2a-8073-feedb637a356","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"60f93354-8a20-496a-baa1-2bbb686ef22e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1"
"73534c06-71a1-4cd7-89a9-d4b9d76e5fb5","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01"
"7317c6d4-9453-4715-b2fe-ede2fae1cfc5","","checklist-flat","pass","0d253509d430f673a50088a66451e1dbc9c1729c88f9c10f06562a0298fa562b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Pre-Commencement Checks"
"e36e49ac-5681-4617-bf6c-c2eb42b2f449","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite"
"8ff6eb56-b4ac-4ad2-9b34-71de64fa274d","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement"
"107d9e60-b550-4d8d-a168-5bb2e40f5a12","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1"
"e6e485ed-55a7-427c-af6b-6d50334b95a8","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 160A"
"6e1cc421-b097-4707-aed7-6eb6a541bdf9","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 161A"
"7f67a068-3f17-47de-a2f7-ff7818849cca","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 162A"
"d458bc88-d0f1-4c36-bab2-7aa64d28ce90","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 163A"
"3e78ae0e-0b47-404b-8ef4-ac1c31aba352","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 170A"
"333e7bc6-6124-4bb3-8549-3058d9365407","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 171A"
"62f30805-e1d8-4d35-b288-16e4654bcc5a","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 172A"
"95687db1-d5ef-4907-8642-13d495806300","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 173A"
"9c83425c-4b7b-4495-898d-d81efa82b346","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 174A"
"5c0a117f-facd-4a39-a8a0-ab3f56bed58e","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 175A"
"be01504d-d1c6-41de-976c-daffba6235ed","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 176A"
"e7cbe2f3-b611-4bc8-ac18-9bbf3a8bcd8d","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 177A"
"14825556-f796-4576-9052-bb14787a27cf","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 178A"
"f3b3b748-42fc-4c25-b0e6-4c175d85e87b","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 179A"
"c6ce6227-0ea6-4e81-a243-e7fd7e46dd0c","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 180A"
"e5fbf465-1296-4492-9a2e-347a90eab0a4","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 181A"
"28448c15-6f24-4ac4-a3d9-0d5686205bbf","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 182A"
"492b266c-7ae5-46d1-8405-7f1766532e2c","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 183A"
"f79d742f-c361-4202-ac31-7e7f556b97cd","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 184A"
"0f861f66-9c3b-4bed-9755-b048ac23cbd2","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 185A"
"bf99fb46-c387-4838-b9f3-9e366154710e","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 186A"
"1bc1c267-42c5-478f-b735-f51015e33500","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3"
"3914e21f-ce9c-4970-9dda-98afa838e1ac","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","Plant Deck(Facing B07)"
"4f6eb82a-da8f-4382-8f1e-22148bfd1cb3","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","Plant Deck(Facing B03)"
"d07b11a2-16bd-4315-92a9-60b96c1c55af","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 364A"
"8e518b77-f51f-4398-b3b6-3a3a7c3c9751","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 365A"
"8ae9a7fd-05d9-443e-bb82-498ddb9cb891","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 366A"
"0366dc3b-ea43-4956-8420-4cbc20ccac75","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 367A"
"a9a38ff0-56e1-4363-84ed-f8fe7ae79eb4","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 368A"
"28c2b295-d7c0-46c8-aaf0-482369f96127","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 369A"
"c3dbf2ad-0ff8-4e07-9b45-09d48f24662e","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 370A"
"88012419-889a-43a0-b729-f30b81773cde","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 371A"
"46dc7153-290a-4651-a452-6a9a122c0643","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 372A"
"606fea9e-c346-4261-bda7-f82917466dd7","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 373A"
"08f44c21-3107-4660-8e32-aca9bc064abd","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","Lounge Area"
"3b3c1782-3110-4ae3-9a1e-553aebd8487d","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","Dinning Area"
"8c8f9edb-727c-453f-88bc-e09e59ca2636","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS -374A"
"e4e04dd1-f845-44de-9204-e8a3cda388c7","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 375A"
"f05c590f-80da-4c38-b0d1-51b6111c4580","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 376A"
"7e32d819-bb8b-4d37-900a-289d1c922339","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 377A"
"c36ed1e2-ea1e-4b0f-910f-b66c4292b31d","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 3","ALS - 378A"
"25394c55-8958-4189-946f-25d92dd24a77","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)"
"9f972906-0a70-4cf1-9c2c-48eb1e893213","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level"
"2dd84633-3fc2-4fdf-8608-3aee0f34008c","","checklist-flat","pass","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","North West wing"
"dcbdd4c6-da13-41af-9917-8ec77af5f392","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","Central East - A4-A6 & A9-A11(Facing NE/SE wings)"
"e953f962-b451-4b69-a8aa-fdcba1fd7e6c","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","North - AG-CE(Facing B07/B08)"
"c31a040c-4c42-4bc4-b73d-bc11c9bf1ba8","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","North East wing"
"ae197ad9-2457-4f83-b08e-2d1a2c08f07b","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","East - C4-C15(Facing B09/B10)"
"0ae3517a-f4e8-4f6a-9f56-7d0474083c0a","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","South East wing"
"4a0b66d8-affc-4437-b185-3a0b02cfec4f","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","South - AG-CE(Facing B03/B02)"
"a6184217-c068-4acd-b6a5-7b77706ca85e","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","South West wing"
"8a39dac3-cf1f-4965-ba02-8a7598d1f91d","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Ground Level","West - A4-A11(Facing B04/B05)"
"40c38953-12f4-432d-b8f6-950af871b335","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1"
"afbff0d3-2385-4178-b9ab-b726acfb9d1a","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","North West wing"
"f93949cf-5a91-49b3-8a58-060ee27d20d8","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","Central East - A4-A6 & A9-A11(Facing NE/SE wings)"
"fd6345a5-5d8c-495f-96c1-af7225cfb0a2","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","North - AG-CE(Facing B07/B08)"
"46997b99-2e04-4dbb-9c8f-3497b977d2f2","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","North East wing"
"612de399-0ddd-4a33-98d6-20a8a534a446","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","East - C4-C15(Facing B09/B10)"
"de97690b-8beb-4a46-a9e3-9d2ed8d66e7a","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","South East wing"
"53d60ad8-4196-46a7-829a-626929e75ff0","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","South - AG-CE(Facing B03/B02)"
"bf236c92-9058-426d-a1de-48e90b533a3b","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","South West wing"
"8e996a85-8e0a-49ba-ae2e-53c9056a7ec2","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 1","West - A4-A11(Facing B04/B05)"
"cee1a330-43ad-4bed-a7f1-95b2d0268888","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2"
"8c1a0b38-6dad-4eda-85a1-51553206d292","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","North West wing"
"e33d4ace-22c9-467b-a879-06519b045283","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","Central East - A4-A6 & A9-A11(Facing NE/SE wings)"
"de9cd721-e4a8-473e-bbd1-1bcaafef9b7c","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","North - AG-CE(Facing B07/B08)"
"336b009e-65cd-411a-955b-7fbd71ed0bbc","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","North East wing"
"c34167ac-967d-4a68-a342-c4ef4c9d5faa","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","East - C4-C15(Facing B09/B10)"
"6b9e2006-4a40-4ded-a7b3-a78b9507998e","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","South East wing"
"ec44940d-013e-461f-9763-06f9a0493540","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","South - AG-CE(Facing B03/B02)"
"d7096cee-64ee-47ed-9d3b-01c7f16ca049","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","South West wing"
"7c02b4c3-9ec6-4cfc-8397-b917aee12c76","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 2","West - A4-A11(Facing B04/B05)"
"e247ee54-972a-452d-a62e-12f9b0cc6c5d","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3"
"6ed8e4fc-bfe4-4d68-8341-beffd23d76aa","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","North West wing"
"fc2abb46-2423-4c20-99b0-838b16db2ee6","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","Central East - A4-A6 & A9-A11(Facing NE/SE wings)"
"f0406612-e398-4e78-bafb-9134639b9e39","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","North - AG-CE(Facing B07/B08)"
"ffe6733c-2428-4a0a-bcdc-75daf84ed0c4","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","North East wing"
"46238ef9-62ec-402e-830f-6123ad28b763","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","East - C4-C15(Facing B09/B10)"
"540a7780-3d04-42ae-b5a5-a3eec140ae21","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","South East wing"
"f0f5106e-a76e-44bc-a9df-74696dff537d","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","South - AG-CE(Facing B03/B02)"
"33987c05-7bd8-4b0e-b1a4-7fcce276a074","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","South West wing"
"40327eac-3416-42a8-8355-709f53de8cc6","","checklist-flat","not-started","SYS - F - S - Precast Fire Joint Sealant (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Panel Sealant (Joints)","Level 3","West - A4-A11(Facing B04/B05)"
"e470d2fb-34cd-4391-aaf6-e5d12e28638c","","checklist-flat","not-started","SYS - CST - S - Completion Documents (old version)","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Façade","Completion Documents"
"203fae29-86d4-4de1-b24f-67ff13a47211","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 3"
"8d826fa8-7315-48f0-8059-a98ed9e12955","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Stage 3","B03"
"4f6948df-70aa-4e19-81ec-0352001202fc","","checklist-flat","pass","Pre Commencement Checks","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Pre Commencement Checks"
"2159efd6-39b7-477b-882e-3a60f05c4874","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite"
"43690765-a5c6-48b0-b2cc-65daed1af569","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab"
"58356af8-406a-4ba9-97fa-931f8ec86628","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004"
"c23e175a-1c84-455c-a7f7-2ebca46b166f","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Floor slab"
"caa8f2d6-2c3f-40e4-8a4d-0243cb01affa","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Floor slab","Bentonite QA"
"48cd9888-15e2-483e-840d-c344ec63341c","folder-normal is not dependant but can't have own status","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Strip Footing"
"b0d5141e-7522-403d-80ff-55c2582e96d3","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Strip Footing","Bentonite QA"
"61a2e4bb-116f-4305-8d1c-3078e5a45a7b","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Lift slab"
"9a891088-c526-4434-84e0-acc6033f39eb","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Lift slab","Bentonite QA"
"f37ae744-ed85-42a0-9752-bbaa0d3e99cf","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Lift footing"
"441dc1be-b93e-41be-9678-3529e2063dbd","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Lift footing","Bentonite QA"
"0ca0f83f-eb71-404b-9e2e-150531342185","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Basement Precast Walls"
"e101d0e7-7bc9-4724-b4cd-b45ec1f78e6c","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Basement Precast Walls","Bentonite QA Precast Walls"
"ac5f2a46-97a1-4f10-8c6d-bf1bf1e955f9","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","FWMH"
"a4637d83-60e7-4c6b-9b0a-d09b59e1b55d","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","FWMH","Bentonite QA"
"bca5cc39-c64d-49d5-955f-e2e500319867","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004"," Waterbar B03"
"b31fa34a-6dee-4f09-89ef-7f7e7e709a1c","","checklist-flat","pass","AR250 Waterbar","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004"," Waterbar B03","AR250 Waterbar"
"5345dbc8-94a1-4b5f-a844-e4c2232451e0","","checklist-flat","pass","Add Sikalastic 152 Checklist","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Bentonite","Basement Slab","S1-004","Sikalastic 152 perimeter Termination"
"2c6393d4-2c08-466f-9905-b23af25a0bb9","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Jointing QA"
"ed584ca4-5206-4cea-b010-9913de002488","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Jointing QA","Ground Floor"
"e219fbc2-cbd8-4e3f-aa9e-261c7ee13db4","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Jointing QA","Ground Floor","Sealant QA "
"e8292b41-77a1-4613-adaf-fc4eaada102f","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Jointing QA","Level 1"
"c33198e2-871c-4b50-ae7d-f1e06ce3698d","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Jointing QA","Level 1","Sealant QA "
"ca6c9530-a2a4-406c-a89b-f3609f4d8b28","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Jointing QA","Level 2"
"08ff091f-e502-4af9-a2b3-e4327df092c0","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Jointing QA","Level 2","Sealant QA "
"9290f900-f0eb-4819-96f4-2a2e1229d018","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor"
"2ed2eb75-3d7c-4b30-949e-c061b4b7aa11","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor","Apartment G10"
"31c08ded-84ed-41f7-8601-c6df01dea0a3","","checklist-sectioned","pass","f4e604f101967df9d39c168673422d7f26602b9a2ddc9ef4d6e522932ea28e1e","checklist","FALSE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor","Apartment G10","Sarnafil Perimeter"
"aff539e5-a768-43ee-8211-937d89c2e64e","","checklist-sectioned","pass","2087de8cb5c1fcd4c0809f854722fed0e82680442bca090611ebbdd665ff1dfa","checklist","FALSE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor","Apartment G10","Sarnafil - Decks"
"66c9cd40-3531-474c-ae77-292c860fde16","","checklist-flat","pass","675757b236d3bbedb9cb7c3ef5f1f36c9ce694fcfb539fc7badee63dd9e2956f","checklist-flat","FALSE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor","Apartment G10","Electronic Testing"
"a8037e74-8134-4047-8dfc-124e9992884d","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 3","B03","Sarnafil - Ground Floor","Apartment G11"
