"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"d2e622a3-4b9c-49f0-83b2-1afef7b2e0a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)"
"d4272bb5-d005-42b1-a428-f277e51cf633","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)"
"91558a18-b950-4297-9166-aa9a4f74d7b4","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying"
"ef7cbee3-1ad2-5bad-979a-0bd20d642bdd","","checkpoint-status","not-applicable","Gas Line:755122ba-2ecb-49bd-8a47-549488c99b0c","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 4","All open end of pipes protected and covered"
"52bc7650-7887-5f55-a3c9-74399361c98c","","checkpoint-status","not-applicable","Gas Line:02b49fd8-c065-4766-a058-9760bda17959","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 4","Any clashes with other services checked"
"8988bb0f-62f4-5ec9-9e9e-b03914ede326","","checkpoint-status","not-applicable","Gas Line:663fd275-6433-43fc-b976-d19de4c26430","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 4","Pipework identification and labels applied"
"126d2a4c-0db0-5b4f-861e-bfe5d762d94b","","checkpoint-status","not-applicable","Gas Line:dbb2e4b9-bced-48a5-8d7f-cb9744671a0d","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 4","Area left clean and tidy"
"bfda77a0-6e42-5bfe-8398-763c63c413c3","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 5"
"a605ec37-0ef6-5836-a2e9-4fea59a5b21d","","checkpoint-status","not-applicable","Gas Line:601da57f-5592-4f0f-8b9e-6375ef903d9b","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Correct drawings and revision"
"f117abec-9402-5215-993f-f9546987881b","","checkpoint-status","not-applicable","Gas Line:391543a6-c0e2-407c-8aca-3eb72151911a","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Setout completed, checked and accurate"
"c57e4f18-30ce-5ba2-8b66-fb24d7f3876d","","checkpoint-status","not-applicable","Gas Line:a0f199c7-cd01-4f1e-9878-1018ec7ef718","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Correct pipe size, material, class, level, grades and joints as per spec"
"5e797644-e7e7-5c3d-9763-5f46f605a298","","checkpoint-status","not-applicable","Gas Line:c6b54817-f8db-433e-8640-a568b3440631","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Correct support and brackets"
"f0f3807b-a866-57f5-8d6a-4b585dfc474e","","checkpoint-status","not-applicable","Gas Line:20bbd7f7-cc81-4d40-827f-a7faf6555b00","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Correct Seismic bracing as per spec"
"74da8537-0b29-5ceb-b0e2-99a5fd2750ea","","checkpoint-status","not-applicable","Gas Line:01dee395-3559-41b0-8c13-3c9dfe54aa5f","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Testing completed as per specs"
"d214276c-d14a-5f5b-a267-5256a626ed3b","","checkpoint-status","not-applicable","Gas Line:755122ba-2ecb-49bd-8a47-549488c99b0c","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","All open end of pipes protected and covered"
"2fcded42-1283-5c5f-8ff4-9d7c8bcab651","","checkpoint-status","not-applicable","Gas Line:02b49fd8-c065-4766-a058-9760bda17959","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Any clashes with other services checked"
"eef80e27-f8de-546b-8598-c069bf71ccff","","checkpoint-status","not-applicable","Gas Line:663fd275-6433-43fc-b976-d19de4c26430","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Pipework identification and labels applied"
"0a05ecb0-ff1e-5417-a222-7c9a6b050cf7","","checkpoint-status","not-applicable","Gas Line:dbb2e4b9-bced-48a5-8d7f-cb9744671a0d","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 5","Area left clean and tidy"
"43d3a0ba-8558-5a2a-99fd-7bc8bd49d2d5","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 6"
"f7bcf415-9130-51e7-9933-8e89bbaecc5c","","checkpoint-status","not-applicable","Gas Line:601da57f-5592-4f0f-8b9e-6375ef903d9b","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Correct drawings and revision"
"bbb76e78-df07-5ce7-894d-e50dd48653e0","","checkpoint-status","not-applicable","Gas Line:391543a6-c0e2-407c-8aca-3eb72151911a","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Setout completed, checked and accurate"
"55385ced-a60a-55d1-90b5-541d53f6a155","","checkpoint-status","not-applicable","Gas Line:a0f199c7-cd01-4f1e-9878-1018ec7ef718","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Correct pipe size, material, class, level, grades and joints as per spec"
"8470d062-19ba-5eb2-b3f1-ecfde17ee54c","","checkpoint-status","not-applicable","Gas Line:c6b54817-f8db-433e-8640-a568b3440631","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Correct support and brackets"
"41b3c5e5-32d4-595b-a4cb-13fc90836f0f","","checkpoint-status","not-applicable","Gas Line:20bbd7f7-cc81-4d40-827f-a7faf6555b00","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Correct Seismic bracing as per spec"
"6c0ffe4a-8795-517a-bb8f-26002aa46c81","","checkpoint-status","not-applicable","Gas Line:01dee395-3559-41b0-8c13-3c9dfe54aa5f","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Testing completed as per specs"
"76733ee2-61e9-5134-9812-9bb493670662","","checkpoint-status","not-applicable","Gas Line:755122ba-2ecb-49bd-8a47-549488c99b0c","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","All open end of pipes protected and covered"
"66f3dcb3-368b-5db8-9e1e-f1cea7d339e6","","checkpoint-status","not-applicable","Gas Line:02b49fd8-c065-4766-a058-9760bda17959","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Any clashes with other services checked"
"e3bb5fa8-14a1-56fc-8b5f-41ccb4b9f34b","","checkpoint-status","not-applicable","Gas Line:663fd275-6433-43fc-b976-d19de4c26430","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Pipework identification and labels applied"
"1031fcbc-e8e4-546e-ad92-d96eaa5638e9","","checkpoint-status","not-applicable","Gas Line:dbb2e4b9-bced-48a5-8d7f-cb9744671a0d","","TRUE","TRUE","QA","Lower Ground (LG)","Gas Line - Zone 6","Area left clean and tidy"
"fb49d285-ad88-441d-a1de-b4628659181b","","folder-normal","pass","","step","TRUE","FALSE","QA","Lower Ground Mezz(LGm)"
"c9c8c262-660d-46ff-88bf-4e55d3062af6","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)"
"12da5f4d-748c-4985-b9cb-cb97e6be24d8","","checkpoint-group","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater"
"8d185efa-0dba-4505-85e1-aee09b69a45d","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:66f4ce3d-1897-4304-9cf5-bdf345200fc2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Correct drawings and revision"
"faf5cafd-0106-4c9b-8b4b-4605b38179e2","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:11c70670-8bb6-4175-a6d7-dfe7ab9c90d7","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Setout completed, checked and accurate"
"e51fea07-af3a-4cab-a6ad-bff095e44f5d","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:72037394-d3a5-4b78-8bc3-dd34777eb630","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Correct pipe size, material, class, level, grades and joints as per spec"
"a1717396-747c-4cd0-9f82-36d39691ffbd","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:bd155f7c-122d-479f-aa68-2aec7e2f06c2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Correct support and brackets"
"063b3afe-a7ba-49bf-a9b1-01284712b7a6","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:e3dce7fb-bedf-4060-af71-c4fd2ee98ab9","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Correct Seismic bracing as per spec"
"f64cb53b-f5c8-4c3d-a474-64fead6b1090","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:a31c2ac1-aa8d-44fb-ba3f-0aadf2878c4f","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Testing completed as per specs"
"9b681268-c538-4787-83b7-3db8ce005cca","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:a38ba9b5-debb-479f-9e95-dbd8ab73b233","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","All open end of pipes protected and covered"
"42584b30-aff7-45b2-8f81-87df678f0099","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:5be69d78-1a73-46af-bb50-490244ced891","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Any clashes with other services checked"
"d5099662-b911-4465-b711-27f27be04c4d","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:6f53d427-eb7c-42c6-a98a-ee603b5c5834","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Pipework identification and labels applied"
"f0b6073d-b263-4e19-bb0b-cef742ccc360","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:3976ea0c-01a0-4669-88ed-00420c604e99","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Stormwater","Area left clean and tidy"
"8fa53a81-f7fb-4ca0-9e35-cab543ffe13f","","checkpoint-group","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer"
"63d4ef6d-b4cb-4d60-8dfb-82ce880f627a","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:5cee44fb-92b0-4f08-9856-1fe912bcbc3d","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Correct drawings and revision"
"76e74573-c3ab-4cc9-9b21-41a8f6b2e99a","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:5de11d90-f5e0-46a1-90a0-eac4431b5e36","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Setout completed, checked and accurate"
"b1f3d4de-a132-4547-ae2e-0363903fb50b","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:83e98673-e369-490b-95a8-55fdec2cf7e5","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Correct pipe size, material, class, level, grades and joints as per spec"
"49854a8d-ea6a-4f50-b7cf-e41c6593d3c3","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:1643030a-bb43-40ff-b257-c0c382fb1f64","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Correct support and brackets"
"870b649d-5106-4f6f-b947-a4dbdb279e6f","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:7634f14e-aa38-4e1b-ab6a-14fb847d5ca9","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Correct Seismic bracing as per spec"
"2fc3504b-2283-4036-95e5-8634d92e747a","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:f85b0554-5763-4c27-b1c5-edd96e9be9b0","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Testing completed as per specs"
"fe9ba2a4-f8f6-4e65-b621-d8e23904322e","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:4dc67e80-d59d-4efe-bc11-a31aa3547910","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","All open end of pipes protected and covered"
"15b0d1ec-3db4-4788-aa1b-2438e7a71476","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:13bba1fe-6f95-4301-8844-862cbe4b1e81","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Any clashes with other services checked"
"79df250b-bcc3-48df-b421-4bec01604876","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:f41104ec-8857-4489-9726-076c9f636b88","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Pipework identification and labels applied"
"4a448aaf-ab24-478f-a0df-0a3310d28145","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:933b2917-29c9-4674-8d3b-53e40f576d50","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Sewer","Area left clean and tidy"
"a7691fa0-1ae2-4a0f-a656-6935004fe3ab","","checkpoint-group","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain"
"a7631838-058c-4352-8231-1b4ca0ef6795","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:a58b9d00-5b17-41b4-8a7a-a222c3415778","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Correct drawings and revision"
"914d4117-50b7-4a6d-93d7-40d00b401ca8","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:4a06adfb-c571-460a-8a4b-2b3901f378e2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Setout completed, checked and accurate"
"67402e2c-e5ea-4a36-b498-73e301830b1a","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:4ceef594-5ae5-4fc8-9cc7-d7d11c21275b","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Correct pipe size, material, class, level, grades and joints as per spec"
"3dff1774-5fad-4381-b76a-44eed02b6f70","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:70f4aafa-ccff-4f77-90e8-48322e6ec99f","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Correct support and brackets"
"72f0a291-96cd-4253-af84-d5117efe9d58","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:c2330d47-8de0-408e-957b-112d4f0614fa","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Correct Seismic bracing as per spec"
"219361b0-afa8-494f-99cb-5e2377f447ae","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:33cc105f-d478-4c38-9349-8affdd88f07f","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Testing completed as per specs"
"9204a61a-395c-44a3-8755-73b3600afc59","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:aafcd082-26a9-4174-99e8-3f247faec00d","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","All open end of pipes protected and covered"
"ec3dbd58-dfdd-423e-b47b-e97eeb513f09","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:a0f40fa5-6898-4623-88c3-877e2f3f69dc","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Any clashes with other services checked"
"87f87666-026c-4b8e-9dd6-1e2352aca991","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:2d77f714-a700-43a3-b7be-d8ae2bedff99","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Pipework identification and labels applied"
"1df13cb6-5ea1-41ff-aa70-a79e01a69c71","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:a0a68faf-5f8e-449b-8065-2b8b17c34df4","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Watermain","Area left clean and tidy"
"ac892577-9ff2-43e0-8a47-cbbaa5586e38","","checkpoint-group","pass","Basement checklist:653e24c4-0ba8-4c1d-b7f9-bcde481a6558","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Inspection"
"4d7cb299-8f51-4c63-9125-33393c32316e","","checkpoint-status","pass","Basement checklist:653e24c4-0ba8-4c1d-b7f9-bcde481a6558:3a4141ca-3ec3-44a9-bdf7-2f48a7286d55","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)","Inspection","Council Inspection completed"
"31e33a9e-646f-4fab-a393-0a89cc3ae8eb","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)"
"d9a1cc5c-c347-434a-bef2-b4ae6aa4f987","","checkpoint-group","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater"
"578d214d-8683-477b-9997-b61c34b12e4c","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:66f4ce3d-1897-4304-9cf5-bdf345200fc2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Correct drawings and revision"
"30bece73-9be4-4946-8936-75816fb3fe7d","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:11c70670-8bb6-4175-a6d7-dfe7ab9c90d7","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Setout completed, checked and accurate"
"a294ec11-c648-4df3-8cc3-a75dd6b2bb5a","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:72037394-d3a5-4b78-8bc3-dd34777eb630","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Correct pipe size, material, class, level, grades and joints as per spec"
"7a26cec8-0e58-419a-870c-ba7e05bf6724","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:bd155f7c-122d-479f-aa68-2aec7e2f06c2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Correct support and brackets"
"f0e97c3a-2134-4ac3-9db6-13b7ebbc50aa","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:e3dce7fb-bedf-4060-af71-c4fd2ee98ab9","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Correct Seismic bracing as per spec"
"7f6d2d30-33ab-43f1-bc16-98005970c9c4","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:a31c2ac1-aa8d-44fb-ba3f-0aadf2878c4f","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Testing completed as per specs"
"260e760d-b6cd-4fff-bc84-51329119b528","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:a38ba9b5-debb-479f-9e95-dbd8ab73b233","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","All open end of pipes protected and covered"
"44bb0651-07d4-4f97-9ab6-4109c9fe6a39","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:5be69d78-1a73-46af-bb50-490244ced891","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Any clashes with other services checked"
"1e0e77a4-76a6-4fbe-b422-991dd349309c","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:6f53d427-eb7c-42c6-a98a-ee603b5c5834","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Pipework identification and labels applied"
"8754d7cf-2a61-441a-8317-db67f8cb3440","","checkpoint-status","pass","Basement checklist:47de3db5-cb2f-4985-849e-f74fa852c648:3976ea0c-01a0-4669-88ed-00420c604e99","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Stormwater","Area left clean and tidy"
"c1672dbf-f5a0-4ffe-86f6-01c6651b250c","","checkpoint-group","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer"
"6bf02a7c-37bd-4b1b-8462-f3dad27ee8f5","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:5cee44fb-92b0-4f08-9856-1fe912bcbc3d","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Correct drawings and revision"
"78348b88-a8b5-4d46-837a-9a3fc5e15229","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:5de11d90-f5e0-46a1-90a0-eac4431b5e36","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Setout completed, checked and accurate"
"743a5b0d-fbf5-4ef3-9896-8ef1580f9167","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:83e98673-e369-490b-95a8-55fdec2cf7e5","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Correct pipe size, material, class, level, grades and joints as per spec"
"dcf5232e-e23a-4695-a998-5e4eaa6e1d2e","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:1643030a-bb43-40ff-b257-c0c382fb1f64","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Correct support and brackets"
"19ce7a33-ce19-4928-bd31-802f86243f07","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:7634f14e-aa38-4e1b-ab6a-14fb847d5ca9","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Correct Seismic bracing as per spec"
"0aa002b1-69a7-471a-a40c-b4f49552f49e","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:f85b0554-5763-4c27-b1c5-edd96e9be9b0","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Testing completed as per specs"
"4c50bb00-6ea3-4c05-acad-198d518e7638","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:4dc67e80-d59d-4efe-bc11-a31aa3547910","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","All open end of pipes protected and covered"
"fa61a39e-2194-4b0a-ad0c-91c3e8160726","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:13bba1fe-6f95-4301-8844-862cbe4b1e81","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Any clashes with other services checked"
"892ad0de-af73-4d21-807a-3cae7129ebbe","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:f41104ec-8857-4489-9726-076c9f636b88","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Pipework identification and labels applied"
"294ecfe0-6b84-4f64-a99e-82fe561aa4af","","checkpoint-status","pass","Basement checklist:e9f7a7ad-c325-452e-89f7-bd19b93fea1b:933b2917-29c9-4674-8d3b-53e40f576d50","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Sewer","Area left clean and tidy"
"150fdf86-5029-4873-9d58-5fb282e5752a","","checkpoint-group","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Watermain"
"e908387f-b472-48b4-be01-728b9c1ab938","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:a58b9d00-5b17-41b4-8a7a-a222c3415778","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Watermain","Correct drawings and revision"
"032883f6-f90e-4837-93a0-05a730b991b9","","checkpoint-status","pass","Basement checklist:cdeef541-644f-4d01-b1a9-fd752d628708:4a06adfb-c571-460a-8a4b-2b3901f378e2","","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)","Watermain","Setout completed, checked and accurate"
