"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6290af21-5663-4d5a-be00-a8657aef119e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"996a56de-d4c9-452e-9aa4-76d767c22ec2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1"
"4b213afc-b104-4e58-83b5-546a14d0c082","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1","Ground"
"83c1068b-c27b-4a2c-afe7-9455513f633f","","checklist-flat","not-started","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 1","Ground","Suspended Slab"
"5ec49ec0-4f01-5394-b207-0e2663ccc376","","checkpoint-status","pass","Walls Checklist :a838d578-bdeb-4a22-bb0f-6da54942684f","","TRUE","TRUE","Site QA","Building 3","Level 5","Level 5 east lift/ stair core","Walls Checklist ","Correct Class of Finish"
"1da51dc1-a26e-4a64-bd0e-7b06f8b912b6","","checklist-flat","pass","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west"
"42d6c2a4-7896-5204-ab4c-da9a9bdc2a2d","","checkpoint-status","pass","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Area accessible & ready"
"fc5199a2-cff3-5cf4-983f-a6dd1a553991","","checkpoint-status","pass","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Drawing references entered "
"380955a6-5004-5908-aea0-b21fb6c5a8c8","","checkpoint-status","pass","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Materials used complies with design documentation"
"d3d275b1-1384-5591-9b50-743fa527dc5d","","checkpoint-status","pass","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Datum point used & soffit RLs checked"
"0331a869-ec26-59a9-b77a-f0fa85dc0d5c","","checkpoint-status","not-applicable","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Grids marked by builder"
"4299e469-a3a8-573a-8840-38eb4c0d3fe0","","checkpoint-status","pass","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Surveyor points given for outside of building"
"62d149ad-5fcd-578f-98c7-d1413d1d1770","","checkpoint-status","not-applicable","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Fillet & drip mould installed"
"3f5a3e95-5dca-5a74-a59b-4639ebbba93c","","checkpoint-status","pass","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Check set down position & RL"
"fc474932-ea1e-59b1-af18-5f626e97ea2d","","checkpoint-status","pass","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Check penetrations installed "
"c2a1741e-231e-5d79-9696-b67940676d50","","checkpoint-status","pass","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Prop drop head wedges are secure "
"7064968d-674f-5c0c-8863-d7fec0f30389","","checkpoint-status","pass","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Column blockouts installed"
"48e7a735-4295-5c7c-b2dd-10c7b5e6d238","","checkpoint-status","pass","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","check back propping as per design"
"1420a49e-cf7c-5895-90db-eaa14645f852","","checkpoint-status","pass","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Blow off deck"
"6257a7a5-b96a-5399-a0a3-7af42011d556","","checkpoint-status","pass","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Engage external consultant (engineer inspection)"
"52b478af-7d3a-5568-8e12-8028998a36c9","","checkpoint-status","pass","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Correct Class of Finish"
"4b4b1ee3-9071-5f26-9eb6-faa4d30df6a9","","checkpoint-status","pass","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist  L5 west","Stripping, cleaning & materials removed"
"c49edb8d-1d54-4bfb-92cc-1d87db0501a1","","checklist-flat","pass","Walls Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Central cores level 5-6"
"23c61957-6ac9-58c2-85f3-30ef773c3837","","checkpoint-status","pass","Walls Checklist :3389534a-910a-4e1b-8a4a-f048404a6050","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Area accessible & ready"
"6084c958-d4a5-5b69-be79-e65cb50c4c1f","","checkpoint-status","pass","Walls Checklist :1ad8f403-01e5-406e-955c-190221cb8183","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Drawing references entered"
"d3df1539-5dd3-5ca9-9544-298abc39a8be","","checkpoint-status","pass","Walls Checklist :996ebf32-7397-4b4f-9e97-22441153ecd2","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Current plans in use "
"665c41bd-a08b-581d-bda8-19f798a4053e","","checkpoint-status","pass","Walls Checklist :e1f4ed79-2875-4e96-b26c-8d5a7938abf9","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Survey points given for 2 points"
"5b3f78ab-e4de-5bac-b5c1-16dcbc6b8d70","","checkpoint-status","pass","Walls Checklist :a4b95336-e4d2-4792-bc7b-562ebef9e04b","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Land shutter bracing props secured plumb shutter"
"1d2f0848-5faf-5843-b94d-9d2fb033083c","","checkpoint-status","pass","Walls Checklist :558851fa-db42-4a4d-9a1b-cd4d4d3ff5e7","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Datum RL supplied by surveyor pour height marked "
"ac371f37-5740-5c5a-8102-c748bd218fb9","","checkpoint-status","pass","Walls Checklist :19a48055-fbd4-49ab-ae91-508d1c7c62ea","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Blockouts steps penetrations marked & installed"
"cc9dad9d-c0e7-5bd7-8636-b49e5cefe956","","checkpoint-status","pass","Walls Checklist :0a9ffd15-921b-434c-8de4-dabfe0bdaedd","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Steel tied & clear from Z bar holes"
"393c302c-ae24-59de-ae60-5201fb08e4db","","checkpoint-status","pass","Walls Checklist :7bd47776-f60f-4049-80dc-f76cd0241741","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Couplers & rebate boards installed "
"a87f590b-111b-5de4-880f-3a89ab818e3b","","checkpoint-status","pass","Walls Checklist :209c67ca-4fca-4551-bc5e-6b176145f383","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Base of walls cleaned "
"a966f011-3a8b-5a03-b826-0869fcceb73d","","checkpoint-status","pass","Walls Checklist :29ae4dbd-04fa-48dc-9802-60dda94b77c7","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Closing shutter installed"
"dd5915fc-82d3-5cd5-a917-ce94b382cb32","","checkpoint-status","pass","Walls Checklist :8fe0ac92-b9f6-45bf-aa7a-c596590028da","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Z bars secured wall straight & plumbed "
"fdc6fe41-7d0c-590f-bf42-968c2ec49fab","","checkpoint-status","pass","Walls Checklist :a838d578-bdeb-4a22-bb0f-6da54942684f","","TRUE","TRUE","Site QA","Building 3","Level 5","Central cores level 5-6","Correct Class of Finish"
"3638866c-0419-41c1-ac67-3189debd6755","","checklist-flat","work-in-progress","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A"
"a6d2c516-58d2-57f0-a52a-8fc4baf8a1e1","","checkpoint-status","pass","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Area accessible & ready"
"b3352d4e-b012-5642-9dfc-6cb811a68d04","","checkpoint-status","pass","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Drawing references entered "
"632fe488-47c1-52ac-9204-f7f0ec8872fe","","checkpoint-status","pass","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Materials used complies with design documentation"
"e0b3cf27-72b7-5d1f-a9c2-50abf7580427","","checkpoint-status","pass","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Datum point used & soffit RLs checked"
"3885f091-e4c2-5fbc-89c4-ece1574f6337","","checkpoint-status","pass","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Grids marked by builder"
"2caea3a8-681c-5e83-a7eb-66a87d38dd74","","checkpoint-status","pass","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Surveyor points given for outside of building"
"9c598c09-46cd-5c4a-8480-ffd94c5635d5","","checkpoint-status","not-applicable","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Fillet & drip mould installed"
"e7b3bfb0-713b-54df-b6e9-05c6d083b20c","","checkpoint-status","pass","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Check set down position & RL"
"fed335c7-2812-57e4-989e-69d2172e13c0","","checkpoint-status","pass","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Check penetrations installed "
"f6b0c333-0bea-5087-b0cd-cd2f8210fd34","","checkpoint-status","pass","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Prop drop head wedges are secure "
"66082587-6d3b-5e94-8d72-f6a5ba827bd1","","checkpoint-status","pass","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Column blockouts installed"
"e5fd4757-ecd2-5ff5-b948-f9f0d1a3ee3f","","checkpoint-status","pass","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","check back propping as per design"
"039ead79-8661-5fef-8379-3c549bdb7ab2","","checkpoint-status","pass","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Blow off deck"
"acbd6bf2-a4ef-5ea5-992f-a440af36d638","","checkpoint-status","pass","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Engage external consultant (engineer inspection)"
"f026d68e-462a-5990-a670-18f90e33b30e","","checkpoint-status","pass","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Correct Class of Finish"
"bee02db7-ddb6-5e3d-8488-a7a2cfe012d4","","checkpoint-status","not-started","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 east pour 2A","Stripping, cleaning & materials removed"
"32f0773a-0e1f-407e-bee7-65e1a59aea5e","","checklist-flat","pass","Columns Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6"
"c6b8be6c-8fc3-585c-ba9a-d85d0bdbbad9","","checkpoint-status","pass","Columns Checklist :08aa399a-73ff-4b67-ba65-f806b7c86235","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Area accessible & ready"
"65070916-cb29-5a3e-bc63-0261bd41b0e2","","checkpoint-status","pass","Columns Checklist :6c4525ce-d244-47f1-b747-06b5d49a5852","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Drawing references entered"
"9da34185-5c47-541b-8439-2350b52608e0","","checkpoint-status","pass","Columns Checklist :273e3028-30d2-4b4b-9204-30acc38f159b","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Current plans in use / Latest drawings checked and referenced"
"42af2096-0ea2-51d2-8d80-326359c37712","","checkpoint-status","not-applicable","Columns Checklist :e96e4606-3419-466d-9a36-8fd234c19ba8","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Survey points given for 2 points"
"eae2b3bd-b2ac-545b-8f8f-95b35242eb5d","","checkpoint-status","not-applicable","Columns Checklist :44e7f3d4-2cbb-410a-976d-9e80c0034fcc","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Datum RL supplied by surveyor, pour height marked"
"f8b2156d-df52-5bf4-a237-d6572f77dfa1","","checkpoint-status","not-applicable","Columns Checklist :1e4fb20d-813d-4c78-b85b-abe74340139f","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Blockouts, couplers, cast-in elements installed "
"57e417cf-8df7-5ab2-a479-8d66ddda9020","","checkpoint-status","pass","Columns Checklist :693b2784-2112-4d3e-a578-2a32e29d62ec","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Column box cleaned & oiled "
"33c72b21-4eaa-5227-b848-774600932fc7","","checkpoint-status","pass","Columns Checklist :bbcec328-d147-49e8-8aff-dae58fd845b2","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Placement of column box over cage"
"52fc077d-4cf3-5d0f-aed5-4dd2cf33daee","","checkpoint-status","pass","Columns Checklist :c23b78bf-121a-4597-9265-6a420faf73a2","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Bracing props secured"
"04756da4-ca9f-5cc7-acfc-247b45b84714","","checkpoint-status","pass","Columns Checklist :621e4b51-e1de-4e05-acf9-4da69e61efd5","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Column plumbed"
"746c93f9-6e16-5f63-bda5-2819f6824162","","checkpoint-status","pass","Columns Checklist :5102dbe8-0804-4ec8-9b64-3501e652c323","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Pour north side level 5-6","Correct class of finish"
"0f1d014e-09d6-4ad6-bd2a-17da57d3009b","","checklist-flat","work-in-progress","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b"
"0f320984-02a6-5ea5-ad55-4f6da15d1a5b","","checkpoint-status","pass","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Area accessible & ready"
"71d1f523-fa1f-5334-90dd-fa7203d2bb63","","checkpoint-status","pass","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Drawing references entered "
"b3a0070f-4c4e-516b-87e4-9cc235a65b13","","checkpoint-status","pass","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Materials used complies with design documentation"
"6087bfca-aafd-5784-9064-3ae29fbc8388","","checkpoint-status","pass","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Datum point used & soffit RLs checked"
"4f9e308d-827b-5816-91e3-d87197761ebe","","checkpoint-status","pass","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Grids marked by builder"
"29665404-85e4-52fa-9aa4-2eb7009d905b","","checkpoint-status","pass","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Surveyor points given for outside of building"
"d16d3414-c2ea-5774-bd57-ea32f5f0932f","","checkpoint-status","not-applicable","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Fillet & drip mould installed"
"f0dc0985-0e34-55e9-893a-c5cac91928a0","","checkpoint-status","pass","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Check set down position & RL"
"e9df6a65-ebbc-5370-92f7-cbb2dbbf6c19","","checkpoint-status","pass","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Check penetrations installed "
"fbce9ffb-af93-5922-8de0-55df09889612","","checkpoint-status","pass","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Prop drop head wedges are secure "
"e174040b-c8f1-5d41-9e6e-7667a045431f","","checkpoint-status","pass","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Column blockouts installed"
"3bdd62d5-2e9e-56fd-9409-e46ca08e7c54","","checkpoint-status","pass","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","check back propping as per design"
"b9da1280-3253-5026-a121-aeb6c4d64cd4","","checkpoint-status","pass","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Blow off deck"
"5bd77780-93a7-5186-ba5e-a11733dfb897","","checkpoint-status","pass","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Engage external consultant (engineer inspection)"
"db7b1bc6-24d4-5c18-991c-40e9cf45004a","","checkpoint-status","pass","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Correct Class of Finish"
"8e815f09-3aae-5f30-807a-7a04fff037cf","","checkpoint-status","not-started","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab level 5 pour 2b","Stripping, cleaning & materials removed"
"c4ff3f06-a256-49ca-b87b-411298c8699e","","checklist-flat","not-started","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank"
"0f60bcb3-d803-5f28-a7af-d46eb4639548","","checkpoint-status","not-started","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Area accessible & ready"
"64955e68-a2e4-539f-b396-e39cd58b3e00","","checkpoint-status","not-started","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Drawing references entered "
"0600f038-6a02-5cdf-bbdf-63c237ea87e4","","checkpoint-status","not-started","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Materials used complies with design documentation"
"fcee1f3a-8155-578c-a5a4-009dc98032e9","","checkpoint-status","not-started","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Datum point used & soffit RLs checked"
"b0c6efe1-19f3-5276-80df-707b47869bd1","","checkpoint-status","not-started","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Grids marked by builder"
"31d11824-2576-5d53-84d1-dec14a927230","","checkpoint-status","not-started","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Surveyor points given for outside of building"
"5717cedd-64fa-51e1-99a4-da16d323073b","","checkpoint-status","not-started","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Fillet & drip mould installed"
"37d58928-d38c-5052-a662-306fcfa8458b","","checkpoint-status","not-started","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Check set down position & RL"
"4a42767c-30c2-51ab-8e53-c19876a6b178","","checkpoint-status","not-started","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Check penetrations installed "
"50e0684e-696c-5be9-8ab4-825a7375d149","","checkpoint-status","not-started","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Prop drop head wedges are secure "
"2aaf0d06-6dc3-5ad5-9beb-0bd7e04f70e2","","checkpoint-status","not-started","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Column blockouts installed"
"50038140-8dba-556b-b9d5-5478edcb3922","","checkpoint-status","not-started","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","check back propping as per design"
"28b905f6-7de2-5620-8d32-4b63a6a49ee2","","checkpoint-status","not-started","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Blow off deck"
"7dd0734e-8515-55c5-bfd1-9e6cf75a93dd","","checkpoint-status","not-started","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Engage external consultant (engineer inspection)"
"52cc512a-1d4e-51c4-83d9-5acf745a6958","","checkpoint-status","not-started","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Correct Class of Finish"
"31d3e9fe-f44d-547f-9869-325623e91db1","","checkpoint-status","not-started","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 3","Level 5","Suspended Slab Checklist blank","Stripping, cleaning & materials removed"
"59dde798-bd90-4744-9b85-3e502cbd75db","","checklist-flat","not-started","Columns Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Level 5","Columns Checklist blank"
"ba68340b-9d41-578d-bfeb-437481d151e9","","checkpoint-status","not-started","Columns Checklist :08aa399a-73ff-4b67-ba65-f806b7c86235","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Area accessible & ready"
"6c407d75-95c9-55be-942b-bb18ff89a06b","","checkpoint-status","not-started","Columns Checklist :6c4525ce-d244-47f1-b747-06b5d49a5852","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Drawing references entered"
"1cb2fee9-459c-53fe-93d8-3992922c6e91","","checkpoint-status","not-started","Columns Checklist :273e3028-30d2-4b4b-9204-30acc38f159b","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Current plans in use / Latest drawings checked and referenced"
"eaaed1a4-edc8-5b0f-bfc0-603a1d7efb04","","checkpoint-status","not-started","Columns Checklist :e96e4606-3419-466d-9a36-8fd234c19ba8","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Survey points given for 2 points"
"a161340e-70ac-5db5-9945-7cd38bb73b9f","","checkpoint-status","not-started","Columns Checklist :44e7f3d4-2cbb-410a-976d-9e80c0034fcc","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Datum RL supplied by surveyor, pour height marked"
"63569400-6a0b-5197-84d4-5c910102ce30","","checkpoint-status","not-started","Columns Checklist :1e4fb20d-813d-4c78-b85b-abe74340139f","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Blockouts, couplers, cast-in elements installed "
"48500b46-0487-57a9-8add-43f55a23a906","","checkpoint-status","not-started","Columns Checklist :693b2784-2112-4d3e-a578-2a32e29d62ec","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Column box cleaned & oiled "
"c19e1599-bf88-5dc0-99e5-2463438dabda","","checkpoint-status","not-started","Columns Checklist :bbcec328-d147-49e8-8aff-dae58fd845b2","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Placement of column box over cage"
"2ed095a7-ed37-5112-873a-1ea2b9cb2d55","","checkpoint-status","not-started","Columns Checklist :c23b78bf-121a-4597-9265-6a420faf73a2","","TRUE","TRUE","Site QA","Building 3","Level 5","Columns Checklist blank","Bracing props secured"
