resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,,Tier 7,Tier 8,Tier 9,,,,
,step,,,,,,,01RAP022,,,,,,,,,
,step,,,,,,,,X-Ray - General ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyaoke EC-125 600x600 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-RAP-AHU008-VAV-019 - Holyoake HCV-225 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP020,,,,,,,,,
,step,,,,,,,,X-Ray General ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyaoke EC-125 600x600 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-RAP-AHU008-VAV-020 - Holyoake HCV-225 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP019,,,,,,,,,
,step,,,,,,,,Change - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01RAP018,,,,,,,,,
,step,,,,,,,,Change - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01RAP017,,,,,,,,,
,step,,,,,,,,Change - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01RAP016,,,,,,,,,
,step,,,,,,,,Change - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01RAP015,,,,,,,,,
,step,,,,,,,,Change - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,Ceiling ,,,,,,,,,
Steel Duct Install QA,checklist,,,,,,,,Ducting ,,,,,,,,
Flexi duct QA Checklist,checklist,,,,,,,,Flexiduct ,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Low Tempurature Heated Water Black Steel,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Chilled Water Black Steel,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Drain Condensate PVC,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Motorised Valve Low Temperature Heated Water (x3),,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,DVACDental Vacuum PET/PVC,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,VACMedical Vacuum Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,O2Oxygen Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,AGSAnesthetic Gas Scavenging Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,MAMedical Air Copper ,,,,,,,,
,step,,,,,Zone 6 ,,,,,,,,,,,
,step,,,,,,BCA-DWD-112-ME-20155 / BCA-DWD-112-ME-30155 / BCA-DWD-112-MG-20101 / BCA-DWD-112-MG-20102,,,,,,,,,,
,step,,,,,,,01RAP005,,,,,,,,,
,step,,,,,,,,Waiting 30m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E07 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-RAP-AHU008-VAV-018 - Holyoake HCV-250 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01CLC051,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R08 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø200 - Fire Damper ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø200 - Smoke Damper,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R08 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø300 - Fire Damper ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø300 - Smoke Damper,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-022 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,112-1B-CLC-AVSU-01 - Beacon Meades or Equal and Approved - Area Valve Service Unit ,,,,,,,
,step,,,,,,,01CLC027,,,,,,,,,
,step,,,,,,,,Reception - Clerical,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S25 - Holyoake CFPP-R 615/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-023 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01CLC043,,,,,,,,,
,step,,,,,,,,Waiting 30m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E03 - Holyoake EC-125 600x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-021 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 450x300 - Smoke Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 450x300 - Fire Damper ,,,,,,,
,step,,,,,,,01CLC030,,,,,,,,,
,step,,,,,,,,Toilet Accessible ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,01CLC012,,,,,,,,,
,step,,,,,,,,Meeting 12m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-1A-AHU024-ATT-022 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 170 L/s Attenuator ,,,,,,,
,step,,,,,,,01CLC007,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01CLC003,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-024 - Holyoake HCV-200 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01CLC002,,,,,,,,,
,step,,,,,,,,Consult/Treatment,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-026 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01CLC009,,,,,,,,,
,step,,,,,,,,Consult/Treatment,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-028 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01CLC041 ,,,,,,,,,
,step,,,,,,,,Staff Base,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S25 - Holyoake CFPP-R 615/30 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-027 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01CLC042,,,,,,,,,
,step,,,,,,,,Office - Clinical Workroom,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø150 - Smoke Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø150 - Fire Damper ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1A-CLC-AHU024-VAV-025 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-1A-AHU024-ATT-025 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 160 L/s Attenuator ,,,,,,,
,step,,,,,,,01CLC006,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-CLC-AHU024-VAV-053 - Holyoake HCV-125 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,Ceiling ,,,,,,,,,
Steel Duct Install QA,checklist,,,,,,,,Ducting ,,,,,,,,
Flexi duct QA Checklist,checklist,,,,,,,,Flexiduct ,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Low Tempurature Heated Water Black Steel,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Chilled Water Black Steel,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Drain Condensate PVC,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Motorised Valve Low Temperature Heated Water (x2),,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,AGSAnesthetic Gas Scavenging Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,VACMedical Vacuum Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,MAMedical Air Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,O2Oxygen Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,DVACDental Vacuum PET/PVC,,,,,,,,
,step,,,,,Zone 7,,,,,,,,,,,
,step,,,,,,BCA-DWD-112-ME-20156 / BCA-DWD-112-ME-30156 / BCA-DWD-112-MG-20102,,,,,,,,,,
,step,,,,,,,01RAP074,,,,,,,,,
,step,,,,,,,,Ultrasound Procedures ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T05 - Holyoake EC-125 450x450 - Extract/Transfer Grille ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT102Medical Air Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT402Anesthetic Gas Scavenging Outlet ,,,,,,,
,step,,,,,,,01RAP073,,,,,,,,,
,step,,,,,,,,Toilet - Accesible,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,01RAP087,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T05 - Holyoake EC-125 450x450 - Extract/Transfer Grille ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-1B-AHU008-ATT-031 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 205 L/s Attenuator,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,112-1B-RAP-AVSU-07 - Beacon Meades or Equal and Approved - Area Valve Service Unit ,,,,,,,
,step,,,,,,,01RAP072,,,,,,,,,
,step,,,,,,,,Patient Hold 9m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø250 - Smoke Damper ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP071,,,,,,,,,
,step,,,,,,,,Preparation ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-RAP-AHU008-VAV-030 - Holyoake HCV-200 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-1B-AHU008-ATT-030 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 260 L/s Attenuator ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 300x300 - Smoke Damper ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT102Medical Air Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT402Anesthetic Gas Scavenging Outlet ,,,,,,,
,step,,,,,,,01RAP069,,,,,,,,,
,step,,,,,,,,Patient Hold 9m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP068,,,,,,,,,
,step,,,,,,,,Patient Hold 9m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP067,,,,,,,,,
,step,,,,,,,,Patient Hold 9m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,01RAP088,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-1A-RAP-AHU008-FCU-013 - Temperzone IMD280Y - FCU 850 L/s MIN,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-1A-RAP-AHU008-FCU-012 - Temperzone IMD280Y - FCU 660 L/s MIN ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-1A-RAP-AHU008-FCU-008 - Temperzone IMD95Y - FCU 30 L/S OA,,,,,,,
,step,,,,,,,01RAP032,,,,,,,,,
,step,,,,,,,,Workroom - Radiographer ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-RAP-AHU008-VAV-033 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01RAP033,,,,,,,,,
,step,,,,,,,,Dirty Utility - Sub,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-RAP-AHU008-VAV-031 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01RAP034,,,,,,,,,
,step,,,,,,,,Staff base ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S21 - Holyoake CFPP-R 400/24 450x450 - Supply Grille,,,,,,,
,step,,,,,,,01RAP035,,,,,,,,,
,step,,,,,,,,CT Imaging ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R08 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R08 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 350x350 - Smoke Damper,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 300x300 - Smoke Damper,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø250 - Smoke Damper,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-RAP-AHU008-VAV-029 - Holyoake HCV-250 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT102Medical Air Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT402Anesthetic Gas Scavenging Outlet ,,,,,,,
,step,,,,,,,01RAP036,,,,,,,,,
,step,,,,,,,,CT Equipment ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S03 - Holyoake CFPP 600C/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R08 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 300x300 - Smoke Damper,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø300 - Smoke Damper,,,,,,,
,step,,,,,,,01RAP037,,,,,,,,,
,step,,,,,,,,CT Imaging Control,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-1B-RAP-AHU008-VAV-032 - Holyoake HCV-200 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,01RAP060,,,,,,,,,
,step,,,,,,,,MRI Control,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
,step,,,,,,,01RAP059,,,,,,,,,
,step,,,,,,,,Medication,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
,step,,,,,,,01RAP045,,,,,,,,,
,step,,,,,,,,Waiting - Sub,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø200 - Smoke Damper ,,,,,,,
