"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"630a461f-c42c-4b34-b537-674db6123918","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package"
"861d6f86-b5a1-466a-9afa-dbd0288ffda8","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA"
"de50e605-3478-4190-812f-c0727b859c15","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor"
"d4608f3c-6b99-455c-8d0d-80e38c88323a","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography"
"fbc59fd4-d35e-4b50-b96d-cf79b50705f4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 3"
"031f15da-fe70-4926-b9e0-d6bd6b5f8290","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 4"
"0b71fc58-ea8e-4d8e-9f20-cada10e481af","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 5"
"56f6f1cf-a9b2-49b8-99c6-4521df723806","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 6"
"481c7b91-5f07-420f-b64a-ba863b4ab8df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 7"
"0d07c99c-6e54-4511-b9be-a44a408c95ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 8"
"becbd198-d86d-44e5-9cd9-7148b32e2566","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Mechanical"
"870e6147-51cd-44eb-a0e2-0ca19a9ea99e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Hydraulics"
"a8f5f3ef-9c9e-4aa6-aed9-ae4ca9d3c357","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Fire"
"24cc92f8-0c37-4506-ba98-b24fdc33b826","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 2"
"40196186-f84b-4e8d-bb16-8b6ebdea343d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 2","Electrical"
"2327c079-b991-496e-bf95-8445abad3330","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 2","Mechanical"
"2217735b-3239-4319-bf86-695ea37107dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 2","Hydraulics"
"2b508940-dd13-4672-b7a0-20fcc08ffec5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 2","Fire"
"75f06b31-bba8-4a68-aa46-dd93c338d369","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 3"
"75956edf-03a5-4de4-bbdd-a7f54999bd00","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 3","Electrical"
"e688026d-0d87-4904-a7cb-d5b66d4f7582","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 3","Mechanical"
"2ca12b4f-bf5a-4798-9d47-636bfdc110b4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 3","Hydraulics"
"bf502ee7-f1ae-4c48-8c89-83dc83dd4ff0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 3","Fire"
"f7978dff-f47d-4b3b-8261-ae34f2620535","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft"
"e3f0f895-6195-4c73-9120-e24bdca97f42","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical"
"b9d11242-c308-4285-8211-0910a0d89064","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 1"
"215c5509-8066-4d35-9d27-2dd391902a73","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 2"
"dd2b3935-44c1-4459-86e2-59a4cdd78dd3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 3"
"2f7d699f-eacb-4638-8b1f-8a6ea4518cd5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 4"
"da75dc86-5d06-4cd2-b7b7-a8ea3d743946","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 5"
"588033e0-9b3a-43de-98b0-1c24e2677b93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 6"
"9a792751-073d-47d0-b2d6-4343a6038241","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 7"
"827f2dad-b87b-481d-bfe1-fa678ac41be5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 8"
"0e2285d2-49fd-41b7-85d3-c3b57c5d9f2b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 9"
"7f75b9db-e669-4017-9336-4b022178488a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 10"
"72032c6f-d035-43d7-972a-241c7ede2af3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 11"
"87de67d9-8a55-41ec-9cff-f8d7ca3479e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 12"
"fceb3e4a-cc89-4f03-accc-077611a775f6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 13"
"f6717a08-1057-4d29-98da-71f5c1b87581","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 14"
"3d45882b-c2fe-4b0c-b208-b8e28270543b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 15"
"a6b6a8b1-bfb3-499f-998d-e0608f2a9d9b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 16"
"433d9aff-202b-4c68-8e10-b0e192eb2ba4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 17"
"ffc78fe2-3571-46f8-99f8-967fa186a7e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 18"
"f57c81b3-c9a7-4f48-a147-78a372010a75","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 19"
"421c2a5b-a106-488b-8a8f-22a2742701ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 20"
"5eecdc16-bc21-4546-ae01-b1f6fc7f1d9f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 21"
"c2bd26d7-764f-43de-8b6b-58231cb67946","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 22"
"722d8d70-1777-4a59-a32c-a03eec7f8637","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 23"
"29944c78-891b-4716-a0d3-937bedf62476","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 24"
"8eafab2a-feb1-445f-b672-8860d01db44b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 25"
"5aefdd01-6243-4c7d-9d3e-459aff494c30","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 26"
"c65fd91d-b3b6-4e77-8ff0-ecc5c8742cbe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 27"
"eb9ccfef-7304-4648-93e5-fd0abc16935d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 28"
"b4ce3ddd-b7be-4246-846c-caf8dc264d18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 29"
"5ba8e99f-4f42-4e25-a0d6-bc41be613d77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 30"
"35b6cdb9-d355-49d6-8bd4-8e22b862e398","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 31"
"88c10e15-eb68-40bc-af0a-a8ae9d4b9036","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 32"
"d3c0d355-324b-4bdb-96c2-65df28c63cff","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 33"
"5f6196a9-ada6-42d2-8bb0-bb358529513c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 34"
"261b6cb7-4586-423a-a58d-bc20f2726cee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 35"
"9629ea1d-dd42-400d-a239-cb66a6f9d9b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 36"
"1c42c1f8-69f1-4330-9353-f1b70c89a3c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 37"
"f018d732-7223-4b3b-8c3e-bffb0ad06fff","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 38"
"f60147d8-7734-455b-a9cb-80c16edcd155","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 39"
"fc222f05-c23a-4c2b-baed-67390ef44541","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 40"
"dea0abd2-5454-456b-87b2-fd86b3bab11f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 41"
"91e47281-0218-404d-914e-c6c803c617fa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 42"
"daa38a12-ac1e-4733-ab3a-b38eceaa0e0f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 43"
"3285a871-791e-4dd1-9666-2b19381ab42a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 44"
"06b79aac-082d-4aed-8430-bae54ace3e30","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 45"
"be368370-ae21-4c55-ae89-f5657cdb5b91","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 46"
"585018d1-86c4-42b7-b2c3-44beded2ea54","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 47"
"bbb9fb4d-ec22-440d-86ba-3f4dacc323f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 48"
"d33a7656-53f7-45e7-a02d-ce3936889923","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Electrical","Brace Number - 49"
"6cc9537d-1a31-4829-8dcf-a36e5f87bc77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Mechanical"
"6a0b0f78-c1d7-447a-a74d-3ef1cba2e3d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Hydraulics"
"4fffe81d-7a0b-4d82-8f36-f065230e221f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Undercroft","Fire"
"b9f83746-2acd-497a-a449-a4db45c245cc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor"
"b4c54e89-e72a-4a55-bca5-8eb00575ac63","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical"
"ac388fac-56cf-4e0c-bc6a-780f1e2fd2c6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 1"
"b7584b8e-0958-40f7-91a5-2671a30bc43e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 2"
"f46a7000-8771-4767-8b13-00862b39b8b7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 3"
"a55c7865-625c-43f3-854d-469d18d66dcb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 4"
"93680a25-3b15-4e75-b0e2-c7ca82f96d2e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 5"
"01dbec6e-99ac-4454-a3d4-90fc19af1f82","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 6"
"5c04a88b-e3b9-42de-ba79-b40bc270a9d0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 7"
"25e7f5a4-7cfb-4f9d-98f5-43c0fe3f1b24","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 8"
"108bb690-577d-4420-a28a-f98603cefac6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 9"
"aaf618f0-45c9-464d-adbb-756128bbc37a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 10"
"7e08a319-eade-4370-9c61-5a7f6b177f67","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 11"
"882f230b-6f11-4a96-b37b-9d1ae89276c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 12"
"db0000e6-7801-490c-9f2f-745b622cdd55","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 13"
"ec063daa-b3aa-4f77-8dee-ff43b0cbaa07","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 14"
"9917c50a-0181-4774-8832-f1334c4998c6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 15"
"9669cd3b-b163-4f1a-a0a5-dfdfdc4dbdb9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 16"
"ddac9cc7-297e-4f4e-8697-dc5978a8727a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Electrical","Brace Number - 17"
"54e391a0-bd21-4e01-8dfa-8fef9279b748","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Mechanical"
"128bf326-37b3-4f9c-b9bf-1a51f3d19fd9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Hydraulics"
"cb23c2a8-3704-4a4f-a35a-cf2cefe0c6ae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Ground floor","Fire"
