resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,
,step,,,,,,G.external,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,External Paving,,,,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,,,,
,step,,,,,,1.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,1.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.05,,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,1.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,1.1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,L1 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,step,,,,,Level 2,,,,,,,,,,,,,,
,step,,,,,,2.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,2.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Study,,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Ensuite,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,2.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,2.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,2.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,2.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,2.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,2.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,2.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,2.1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,L2 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,step,,,,,Level 3,,,,,,,,,,,,,,
,step,,,,,,3.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Study,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,3.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,3.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,3.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,3.1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
