"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-006-A1-LOT-040- Hume Hwy South - Bullnose - CH16366 - CH16380 - 200mm below Subgrade","30/06/2022","30/06/2022","30/06/2022","07/07/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," ME - Median","Qasssim Al-Montafjy","This work Done as per RFI 1145-FUL-RFI-0152  dispensation of TYPE B first Layer and Placing CTCR as 2nd of Type B","Qassim Al-Montafjy","08/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","08/07/2022"
"ITP-006-A1-LOT-041- Memorial Park East - CH26145 - CH26220 - 300mm below Subgrade ","06/07/2022","06/07/2022","06/07/2022","25/07/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","This is part of rectifying Layers below Subgrade ","Qassim AlMontafjt","26/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","27/06/2022"
"ITP-006-A1-LOT-042- Memorial Park East - CH26145 - CH26220 - 600mm below Subgrade","05/08/2022","05/08/2022","05/08/2022","10/08/2022",,"EAL - Earthworks Lot","pass","","TYPB - Type B"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","02/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/09/2022"
"ITP-006-A1-LOT-045 - Hardy St - West Bound - CH16068  - CH16105 - 100 mm below   Subgrade","02/09/2022","02/09/2022","02/09/2022","02/09/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork",""," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","13/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/09/2022"
"ITP-006-A1-LOT-046 - Memorial Park - CH16266 to CH16345 - WB - Subgrade ","05/09/2022","05/09/2022","05/09/2022","23/11/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-ACM-CVD-DPK-0002"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-montafjy","23/11/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/01/2023"
"ITP-006-A1-LOT-047 - Memorial Park - CH16148 to CH16266 - WB - Subgrade","29/09/2022","29/09/2022","29/09/2022","30/09/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","","","Qassim Al-Montafjy","","Qassim Al-Montafjy","10/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/10/2022"
"ITP-006-A1-LOT-048- Memorial Park - CH26135 to CH26255 - EB - Subgrade","29/09/2022","29/09/2022","09/09/2022","18/10/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-ACM-CVD-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","02/01/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/01/2023"
"ITP-006-A1-LOT-049- Hume Hwy West Slither - CH70075 to CH70200  - Subgrade","29/10/2022","29/10/2022","29/10/2022","23/11/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-ACM-CVD-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","21/12/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/01/2023"
"ITP-006-A1-LOT-050 - Zone 3.1 - CH 15080 - 14860","13/12/2023","13/12/2023","13/12/2023","13/12/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","James Moran","Gate 3.1","Khulood Hwayyis","23/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/02/2023"
"ITP-006-A1-LOT-051 - Zone 3.1 - CH 14860 - 14760","19/12/2022","20/12-2022","20/12/2022","",,"","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-006-A1-LOT-052 Bridgewater Road Northern Median - CH25090 - CH25100 - Subgrade","13/01/2023","13/01/2023","13/01/2023","25/01/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVR-DPK-0001","EB - Eastbound","Ahmad El Wazer","Subgrade Preparation","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-053 - Bridgewater Road Southern Median - CH25090 - CH25100 - Subgrade","13/01/2023","13/01/2023","13/01/2023","20/01/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVR-DPK-0002","EB - Eastbound","Ahmad El Wazer","Subgrade Preparations","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-054 - Bridgewater Road South East Corner - CH25115 - CH25120 - Subgrade","20/01/2023","20/01/2023","20/01/2023","21/01/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Ahmad El Wazer","","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-055 - Bridgewater Road  - CH25080 - CH25115 - Subgrade","12-01-2023","12-01-2023","12-01-2023","21/01/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVR-DPK-0002"," NB - Northbound","Ahmad El Wazer","Main Block + 10m extension on the east of Bridgewater (approval attached)","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-056 - Craigieburn Plaza Eastbound - CH25900 - CH26060 - Subgrade","19/01/2023","19/01/2023","19/01/2023","",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-ACM-CVD-DPK-0002","EB - Eastbound","Qassi Al-Montafjy","","Qasim Al-Montafjy","","","","",""
"ITP-006-A1-LOT-057- Memorial Park - CH26330 to CH26350 - EB - Subgrade","23/01/2023","23/01/2023","23/01/2023","",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-006-A1-LOT-059- Zone 3.1 - Between Bridgewater Rd and Gate 3.1 - CH15070 to CH 15080 - WB - Subgrade","30/01/2023","30/01/2023","30/01/2023","31/01/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","Khulood Hwayyis","06/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/02/2023"
"ITP-006-A1-LOT-060 - Craigieburn Rd Westbound CH15780 TO CH16020 - Type 6 Pavement","","","","",,"","wip","","","","","Philip Klenkowski","","","","","","",""
"ITP-006-A1-LOT-061 - Craigieburn Rd Westbound - CH16015 to CH16080","04/02/2023","04/02/2023","04/02/2023","05/04/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","05/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-006-A1-LOT-062 - Zone 3.1 - Pavement type 7 - CH15040 to CH15060","07/02/2023","07/02/2023","07/02/2023","07/02/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","This lot is for cutfloor compaction and proof roll","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-063 - Zone 3.2 - Clovelly west - CH14500 to CH14690","08/02/2023","08/02/2023","07/02/2023","08/02/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","This lot is for the compaction test result of the fill material used to level up the cutfloor to the subgrade level","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-064 - Zone 3.2 - Clovelly west 2nd layer - CH14500 to CH14690","09/02/2023","09/02/2023","09/02/2023","10/02/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","pavement type for this lot changed from type 1 to type 3 and approved in TB FI No:1145-FUL-RFI-0368","Khulood Hwayyis","17/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2023"
"ITP-006-A1-LOT-065 - Zone 4.4 - Zone 4 West - CH13570 - CH13400","28/02/2023","28/02/2023","28/02/2023","22/02/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","","","James Moran","Cut Floor
Top of Fill layer/Subgrade will be lime stabilised and referred to as top of Capping","James Moran","5/03/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/04/2023"
"ITP-006-A1-LOT-066 - Zone 3.2 - Batter Works (Type C) - 900mm Below - CH14520 to CH14620","","","","",,"","wip","","","","","James Moran","","","","","","",""
"ITP-006-A1-LOT-067 - Zone 3.1E CH15120 to CH15186","17/03/23","17/03/23","07/03/23","",,"EAL - Earthworks Lot","wip","EART - Earthwork","TYPB - Type B",""," WB - Westbound","Abdullah Abdullah","","","","","","",""
"ITP-006-A1-LOT-068","23/03/23","23/03/23","15/03/23","",,"EAL - Earthworks Lot","wip","","","","","","","","","","","",""
"ITP-006-A1-LOT-069 - Zone 3.3 - Pavement Type 1 - CH14420 to CH14500","27/03/2023","24/03/2023","24/03/2023","26/04/2023",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVR-DPK-0001"," WB - Westbound","Mohammad Memari","Capping layer/Subgrade
Lime stabilisation","Mohammad Memari","08/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","10/05/2023"
"ITP-006-A1-LOT-070 - 3.1 E Subgrade Prep - Craigieburn Rd CH15187 to CH15217 WEST BOUND","30/03/23","30/03/23","30/03/23","",,"EAL - Earthworks Lot","wip","EART - Earthwork","TYPB - Type B",""," WB - Westbound","ABDULLAH ABDULLAH","","","","","","",""
"ITP-006-A1-LOT-071 - Zone 4.1 - CH14280 - CH14340","","","","",,"","wip","","","","","Abdullah Abdullah","","","","","","",""
"ITP-006-A1-LOT-072 - Zone 3.1 E Subgrade improvement U-turn bay","","","","",,"","not started","","","","","","","","","","","",""
"ITP-007 - Fill with Material Type A",,,,,,,,,,,,,,,,,,,
"ITP-007-A1-LOT-001 - Memorial Park - CH26130- CH26225 - NB","03/12/2021","03/12/2021","01/12/2021","not applicable","03/12/2021","CIL-Civil Lot","CH26130- CH26225 ","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001","EB - Eastbound","Qassim AL-MONTAFJY","This lot is affected by asbestos","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-002 - Hume Hwy North Median - CH70330 - CH70400 - NB","09/12/21","09/12/21","10/12/21","not applicable","10/12/2021"," EAL- Earthworks Lot","CH70330-CH70400 ","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Lot affaced by asbestos","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-003 - Hume Hwy North Median - CH70330 - CH70400 - NB","10/12/2021","10/12/2021","10/12/2021","not applicable","10/12/2021"," EAL- Earthworks Lot","CH70330-CH70400","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","This lot affected by asbestos ","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-004 - Hume Hwy North Median - CH70400 - CH70445 - NB","13/12/2021","13/12/2021","13/12/2021","not applicable","14/12/2021"," EAL- Earthworks Lot","CH70400 - CH70445","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","QASSIM AL-MONTAFJY, KHULOOD HWAYYIS","PLACE THE FIRST 130mm OF TYPE A MATERIAL","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-005 - Hume Hwy North Median - CH70400 - CH70445 - NB","13/12/2021","13/12/2021","13/12/2021
","not applicable","14/12/2022"," EAL- Earthworks Lot","CH70400 - CH70445","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","QASSIM AL-MONTAFJY, KHULOOD HWAYYIS","PLACEMENT OF THE SECOND 130mm TYPE A MATERIAL","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-006 - Hume Hwy North Median - CH70485 - CH70506 - SB - Layer 1","15/12/2021","15/12/2021","15/12/2021","not applicable","16/12/2021"," EAL- Earthworks Lot","CH70485 To CH70506
","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","This lot affected by abestos","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-007 - Hume Hwy North Median - CH70485 - CH70506 - SB","15/12/2021","15/12/2021","15/12/2021","not applicable","16/12/2021"," EAL- Earthworks Lot","CH70485 TO CH70506","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","The area is closed to the Gate 1.2","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-007-A1-LOT-008 - Hume Hwy South Median - CH70190 - CH70280 - NB - Layer 1","14/02/2022","14/02/2022
","14/02/2022","17/02/2022",," EAL- Earthworks Lot","70190 to 70280","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy
","Placing the 1st layer of Type A","Qassim Al-Montafjy","24/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","29/06/2022"
"ITP-007-A1-LOT-009 - Hume Hwy South Median - CH70190 - CH70280 - NB - Layer 2","14/02/2022","14/02/2022","15/02/2022","17/07/2022",," EAL- Earthworks Lot","70190 to 70280","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Placing 2nd Layer of Type A","Qassim Al-Montafjy","18/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","18/07/2022"
"ITP-007-A1-LOT-010 - Golf Course East - WB - CH14250-CH14090 - Lift 1","21/03/2022","21/03/2022","21/03/2022","11/05/2022",," EAL- Earthworks Lot","CH14090-CH14250","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","Place 150mm (first lift) of Type A Material ","Khulood Hwayyis","30/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/12/2022"
"ITP-007-A1-LOT-011 - Golf Course East - WB - CH14250-CH14090 - Lift 2","22/03/2022","22/03/2022","22/03/2022","30/03/2022",," EAL- Earthworks Lot","CH14090-CH14250","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," WB - Westbound","James Moran","Place 150mm (second lift) of Type A Material ","Khulood Hwayyis","25/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/12/2022"
"ITP-007-A1-LOT-015 - Hume Hwy North Median - CH70330 - CH70400 - NB - Layer 2","08/04/2022","08/04/2022","08/04/2022","17/05/2022",," EAL- Earthworks Lot","70330 to 70400","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Placing Type A @ 260mm as a one Layer","Qassim Al-Montafjy","16/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","08/07/2022"
"ITP-007-A1-LOT-022 - Hume Hwy North Median - CH70310 - CH70330 - NB - Layer 1","28/04/2022","28/04/2022","28/04/2022","28/04/2022",," EAL- Earthworks Lot","70310 to 70330","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","This lot is located between bull nos and High Voltage","Qassim Al-Montafjy","3/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","07/06/2022"
"ITP-007-A1-LOT-023 - Hume Hwy North Median - CH70310 - CH70330 - NB - Layer 2","28/04/2022","28/04/2022","28/04/2022","30/03/2022",," EAL- Earthworks Lot","70310 to 70330","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","16/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","22/06/2022"
"ITP-007-A1-LOT-025 - Hume Hwy North Median - CH70400 - CH70460 - SB - Type A Layer 1","11/05/2022","11/05/2022","11/05/2022","12/05/2022",," EAL- Earthworks Lot","CH70382 - CH70460","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","1/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/06/2022"
"ITP-007-A1-LOT-026 - Hume Hwy North Median - CH70326 - CH70400 - SB - Type A Layer 1","125/05/2022","12/05/2022","12/05/2022","14/05/2022",," EAL- Earthworks Lot","70310 to 70400","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al- Montafjy","Placing Type A @ 260mm as a one layer","Qassim Al-Montafjy","16/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/06/2022"
"ITP-007-A1-LOT-027- Hume Hwy North Median - CH70460 - CH70490 - SB- Entry - Type A Layer 1","20/05/22","20/05/22","20/05/22","20/05/2022",," EAL- Earthworks Lot","CH70460 - CH70490","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","15/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/06/2022"
"ITP-007-A1-LOT-028- Hume Hwy North- Bullnose - CH16366 - CH16380 - Type A - Layer 1","08/07/2022","08/07/2022","08/07/2022","23/08/2022",,"EAL - Earthworks Lot","CH16366 to CH16380
","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Qassim Al-Montafjy","02/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/09/2022"
"ITP-007-A1-LOT-029- Hume Hwy South - Bullnose - CH16366 - CH16380 -  Type A -Layer 1","08/07/2022","08/07/2022","08/07/2022","23/08/2022",,"EAL - Earthworks Lot","CH16366 to CH16380 ","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVR-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Qassim Al-Montafjy","02/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/09/2022"
"ITP-007-A1-LOT-030- Memorial Park North - CH16266 to CH16350 - WB - Type A Capping (260mm)","04/10/2022","04/10/2022","08/11/2022","",,"EAL - Earthworks Lot","CH16320 to CH16266","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVD-DPK-0002"," WB - Westbound","Qassim Al-montafjy","","Qassim Al-montafjy","","","","",""
"ITP-007-A1-LOT-031 - Memorial Park - CH16148 to CH16266 - WB - Type A Capping (260mm)","04/10/2022","04/10/2022","6/10/2022","",,"EAL - Earthworks Lot","CH16148 - CH16266","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVD-DPK-0002"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-007-A1-LOT-032 - Memorial Park - CH26135 to CH26255 - EB - Type A Capping (260mm)","04/10/2022","04/10/2022","06/10/2022","",,"EAL - Earthworks Lot","CH26135 to CH26255 ","EART - Earthwork","TACAP - Type A Capping","","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-007-A1-LOT-033- Hume Hwy West Slither - CH70075 to CH70200 - Type A (260mm)","09/11/2022","09/11/2022","09/11/2022","30/11/2022",,"EAL - Earthworks Lot","CH70075 to CH70200","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVD-DPK-0002"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","06/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-007-A1-LOT-034- Hume Hwy West Slither - CH70075 to CH70200 - Type A (260mm)","09/11/2022","09/11/2022","10/11/2022","03/02/2023",,"EAL - Earthworks Lot","CH70075 to CH70200","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVD-DPK-0002"," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-montafjy","06/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-007-A1-LOT-035 - Bridgewater Road  - CH25080 - CH25115","13/01/2023","13/01/2023","13/01/2023","",,"EAL - Earthworks Lot","25080","EART - Earthwork","TACAP - Type A Capping",""," WB - Westbound","James Moran","","","","","","",""
"ITP-007-A1-LOT-036 - Zone 2 - Craigieburn Plaza Eastbound - CH25900 - CH26060","19/01/2023","19/01/2023","19/01/2023","23/02/2023",,"EAL - Earthworks Lot","25900 to 26060","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","27/03/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","31/03/2023"
"ITP-007-A1-LOT-037 - Zone 1 - Craigieburn Walters Intersection - CH26060 to 26140 - Lime Stab","16/01/2023","16/01/2023","16/01/2023","23/02/2023",,"EAL - Earthworks Lot","26060 to 26150","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001","","Qassim Al-Montafjy","This Lot is a refrence to ITP-084-A1-LOT-001","Qassim Al-Montafjy","06/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-007-A1-LOT-038 - Memorial Park - CH26280 to CH26350 - EB - Type A Capping","23/01/2023","23/01/2023","23/01/2023","",,"EAL - Earthworks Lot","26280 to 26350","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001","","Qassim Al- Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-007-A1-LOT-040 - Craigieburn Rd Westbound - CH16015 to CH16080","04/02/2023","04/02/2023","04/02/2023","06/04/2023",,"EAL - Earthworks Lot","CH16015 - CH16080","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Philip Klenkowski","","Qassim Al-Montafjy","03/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","04/05/2023"
"ITP-007-A1-LOT-041 - Zone 3.1 - Pavement Type 7 - CH15040 to CH15060","09/02/2023","09/02/2023","09/02/2023","09/03/2023",,"EAL - Earthworks Lot","Ch15040 to CH15060","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","Khulood Hwayyis","24/05/2023","","","",""
"ITP-007-A1-LOT-042 - Craigieburn Rd WB CH15253 - CH15286 - Zone 3.2E","24/03/23","24/03/23","24/03/23","",,"EAL - Earthworks Lot","CH15253 TO CH15286","EART - Earthwork","TACAP - Type A Capping",""," WB - Westbound","ABDULLAH ABDULLAH","","","","","","",""
"ITP-007-A1-LOT-043 - Zone 3.3 - Pavement Type 1 - CH14420 to CH14520","27/04/2023","27/04/2023","27/04/2023","01/05/2023",,"EAL - Earthworks Lot","CH14420 to CH14520","EART - Earthwork","TACAP - Type A Capping"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Mohammad Memari","","Mohammad Memari","08/05/2023","","","",""
"ITP-007-A1-LOT-044- Zone 3.1E 1st Layer Capping CH15121- CH15216","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-007-A1-LOT-045 - Zone 3.2E - Craigieburn Rd CH15121-CH15217 capping","31/03/23","31/03/23","31/03/23","",,"EAL - Earthworks Lot","","","","","","","","","","","","",""
"ITP-007-A1-LOT-046 - Zone 4.4 - Zone 4 West - CH13570 - CH13400","1/03/2023","1/03/2023","22/02/2023","",,"","CH13570 - CH13400","EART - Earthwork","TACAP - Type A Capping",""," WB - Westbound","James Moran","Lime stabilisation treatment","","","","","",""
"ITP-007-A1-LOT-047 - Zone 4 - Golf Course - CH14110 - CH13930","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-007-A1-LOT-048 - Zone 4 - Golf Course - CH14110 - CH14200","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-007-A1-LOT-049 - Zone 4 - Golf Course - CH14200 - CH14345","17/04/2023","17/04/2023","17/04/2023","20/04/2023",,"EAL - Earthworks Lot","","EART - Earthwork","TACAP - Type A Capping",""," WB - Westbound","James Moran","","James Moran","8/05/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","10/05/2023"
"ITP-007-A1-LOT-050 - Zone 4 - Golf Course - CH13560 - CH13850","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-007-A1-LOT-051 - Zone 3.2 - Craigieburn Rd Westbound - CH14660 to CH14780","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-007-A1-LOT-052 - Zone 4 - Golf Course - CH13850 - CH13930","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-009 - Unbound Pavement",,,,,,,,,,,,,,,,,,,
"ITP-009-A1-LOT-005 - Hume Hwy North Median - CH70310 - CH70450 - NB - CL4","14/07/20222","14/07/2022","29/04/2022","26/07/2022",," EAL- Earthworks Lot","CH70310 to CH70450","PAVI - Paving","PAVI - Unbound Pavements","1145-C200-FUL-QAC-0009"," NB - Northbound","QassimAl-Montafjy","","Qassim Al-Montafjy","04/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/08/2022"
"ITP-009-A1-LOT-006 - Hume Hwy North Median - CH70310 - CH70490 - SB - CL4","19/07/2022","19/07/2022","13/05/2022","26/07/2022",," EAL- Earthworks Lot","CH70310 to CH70490","PAVI - Paving","PAVI - Unbound Pavements","1145-C200-FUL-QAC-0009"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","04/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/08/2022"
