"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3890243c-f94d-4b18-b676-27d4d65776ed","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1009"
"26115bf3-ce06-45af-a744-a3a12e668a56","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1009","Bathroom"
"147f9665-fda1-43f7-ad75-9b3fefb18648","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1009","Kitchen Floor"
"39c84acc-6380-445c-b5b9-c7a696f9c75f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1014"
"4b86d10c-7b8d-43f1-ac3c-28684d973e9c","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1014","Bathroom"
"aa2129b8-fd12-4c21-ad81-93e8304499a8","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 10","1014","Splashback"
"6ff19708-629a-45bb-8f34-6ba412d6d6cf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1015"
"7694918d-ab76-44ce-99ea-29a3b241fa62","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1015","Bathroom"
"ccc2da0f-8ef6-46cc-b943-70b5acc371fe","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 10","1015","En-suite"
"efc961d7-5743-4f57-8550-5d4852ab6a33","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1016"
"7c340186-2cb1-432f-a2ac-3af9e5760719","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1016","Bathroom"
"a1ac5203-ddee-4571-8f00-6fd5a58656e8","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 10","1016","En-suite"
"5f7b2ed6-3b2c-4687-bc86-f0a85c3338f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1019"
"d2de2cab-c6b9-480a-9c5c-944f75427df2","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1019","Bathroom"
"382711b3-e0a5-4657-8813-447d53b8eaa7","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1019","Kitchen Floor"
"972abf3f-52d9-45b1-8f61-8b8edacee522","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 10","1019","Splashback"
"04f2996b-ba51-42ed-b22a-72b2add9c67e","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1021"
"4a1b3b2e-eb4b-4670-bafd-9105c50b2f4e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11"
"164d1ed1-91f6-4fcd-8124-571f20e0c2f3","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1101"
"6772f6a6-065e-47cc-ab61-c399da5418b2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11","1103"
"8af8b7c9-1703-4bd6-aeba-653907d8323b","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1103","Bathroom"
"6f95e767-a895-4669-9dde-25e2b14da057","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 11","1103","Splashback"
"fa73dce5-5041-422b-8f0c-4f27af5901e7","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 11","1104"
"3bb1e2ae-c178-4585-b0a4-c0876af36534","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11","1106"
"3e98a2b0-0a33-4f45-84d7-ff1eef65dacb","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1106","Bathroom"
"a863c3d9-d071-4f2b-9e15-52b1ee6ae917","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 11","1106","Kitchen Floor"
"5f0a310c-84b9-4333-b2c6-9ec33e5d8048","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 11","1106","Splashback"
"cc1205cb-0110-4205-8eca-99dc2be105c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11","1107"
"718314dd-65c2-4ea6-bec1-bdfb217bc288","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1107","Bathroom"
"9118e49f-e954-424a-a720-dbdc55605bf2","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 11","1107","Kitchen Floor"
"62faa2b7-0dd6-4000-a833-6939bdc4744e","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 11","1107","Splashback"
"d2efb8dc-d4fb-4467-ab9e-613c01bf3876","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11","1113"
"ddc14e83-5cf6-4bed-9e05-2529d6e067fc","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1113","Bathroom"
"ca34a39d-d6c1-45d9-8518-e74c6846e6f9","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 11","1113","Kitchen Floor"
"f67aebd6-4812-4297-bef2-eb26015697ed","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 11","1114"
"bcf0c3af-ea25-4c79-8eed-710043e746fe","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1121"
"d4a3c171-35f9-417c-a4a3-c671ec5f4951","","folder-normal","not-started","","step","TRUE","FALSE","Level 11","1122"
"655de327-683a-4f27-a9ba-e75b51ed57c1","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 11","1122","Bathroom"
"b57e278a-f462-46bd-95b0-62878f339794","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 11","1122","Kitchen Floor"
"1b90185f-b817-4b94-aa02-ca7fd90a68af","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 11","1122","Splashback"
"230a3e43-5be9-42d3-8bd6-556adb1a8f13","","folder-normal","not-started","","step","TRUE","FALSE","Level 12"
"6b9f29dd-4cf3-4ef0-98bf-96f7033845fc","","folder-normal","not-started","","step","TRUE","FALSE","Level 12","1201"
"26ad82d1-4d19-44cc-988b-e94cf0cefbae","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 12","1201","Bathroom"
"c7192633-d6e1-4e39-bc78-a03f8012edf7","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 12","1201","En-suite"
"78ff6a1a-8c06-45f0-82c3-b04f2a7780d7","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 12","1201","Kitchen Floor"
"2fd0fb07-c34c-47e2-a843-bf355e523052","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 12","1201","Splashback"
"7e53b210-163a-4230-9177-83fe3e70a37e","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 12","1203"
"7309c806-e502-4bb4-929f-4e71838f3fcf","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 12","1204"
"98c6e00a-c2c2-497d-9b90-0d4cf73a44d5","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 12","1208"
"b739f42f-ac08-42d0-8153-34a038e8218d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 12","1214"
