"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"352bf097-d621-46f5-b055-1dd656adfcca","","checklist-flat","pass","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"79bfed24-1812-509f-99d8-300e562907df","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"f03d9d67-c647-5ac3-9319-7836b7c580ae","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"6f410b5b-737a-54c2-b748-0e10ca63d405","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"339e9df9-a4c8-5568-98dd-81cf32c2d0a0","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"3fdb1e79-ff31-5f4e-9f79-2b319fa2bf9f","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"6426e837-e8ab-4234-bd8c-a6385a9418f6","Child Signoffs(8eca5d83-a2c9-5b28-85fb-911e06467390) -- Area Complete (Request MC Signoff)(09a46069-f0e5-5d2b-b589-eb15845a8262): Signoff Request Signoff(3615a6a0-db0c-5eb9-82b9-5f1db412965f) must be dependant","checklist-sectioned","work-in-progress","FibreTite Checklist","checklist","FALSE","FALSE","FiberTite Checklist 44 bowen  - Area:level 8 and 9"
"b5434c8f-6e72-57f2-8a42-57bc7f8a6e37","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start"
"003ba1ed-50bf-546a-b665-a9e2ae14aeb2","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Roofboard","Roof board installed in brick pattern where possible"
"e5025e78-9f4e-543d-9aba-33cb8f554fe2","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite"
"63f89f57-ced7-5f89-a8b1-6d8b8a6c56d6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Adhesive installed to substrate"
"42dcbfb3-524f-5324-b8e1-a6b0c763ddc4","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Laying of membrane into adhesive"
"fdd85c4e-6cae-5f23-bec2-f3044c0c163a","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Broom/rolling of membrane"
"cf0b9b2a-6716-5252-9f03-64417a9439de","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Wipe and clean laps prior to welding"
"7ccbdbd8-1d66-5ac9-b19a-efd5f34187fb","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Test weld with the welding machines"
"bdd1bd3c-19be-57d8-996f-beab8c369417","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Probe of seam with QA hook"
"92606c92-3265-5c34-a771-f54f741b663f","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Membrane dressed into drains/outlets"
"6e67197b-6484-5e98-bf0b-22b75130cf81","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Claps/rings/baskets installed"
"408b164c-aa93-5417-98d8-b3fe0ae829aa","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fibertite","Flood/ILD tested"
"352ebb7e-f426-5c17-a918-885034ef6331","","checkpoint-group","work-in-progress","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fiberclad Flashings"
"46f32c62-76eb-55cc-9b91-6985f4742f4f","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fiberclad Flashings","Installed correctly according to specifications (right way around)"
"36807b0b-bba2-564b-abab-31408dd84c7a","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fiberclad Flashings","Fixings and welding done according to specifications and details"
"57b28aff-ab74-55ab-abf0-f494d14d5d87","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Fiberclad Flashings","Probe of weld with QA hook"
"121d22a9-8171-59c6-8186-011fb19ca382","","checkpoint-group","not-started","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Review and Sign Off"
"61c9fe61-8483-5e02-a5a4-d5c76a7a8a55","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Review and Sign Off","Area left clean and tidy"
"a0865e44-e548-51a1-a3bc-30dcbaefa85d","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Review and Sign Off","All installation work complete, checked and reviewed as per specification"
"de37f0ef-3a9c-5786-947f-73fca5df26dc","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Review and Sign Off","Client / Main Contractor sign off"
"e6e68374-09a8-4233-964c-8ffdc2822f02","","checklist-sectioned","work-in-progress","SWP - QA - Metal Cladding Install Checklist","checklist","FALSE","FALSE","SWP - QA - Metal Cladding Install Checklist level 8"
"1fc56311-0067-5218-ab4b-0c401ac43143","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Metal Cladding Install Checklist level 8","Prestart"
"75ae815a-3333-5bd3-9559-82f9b609dc5f","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Prestart","Area accessible"
"8bf3d8ad-41ca-57b1-804e-7c018ce72cc6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Prestart","Edge protection and safety installed"
"edb201a9-4886-5327-ab6c-c03d282db035","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Prestart","Substrate complete and ready for SWP"
"b374f49d-7490-5e76-8c86-91e13f0e0a10","","checkpoint-group","work-in-progress","","","FALSE","FALSE","SWP - QA - Metal Cladding Install Checklist level 8","Install"
"0375839c-c10b-5e79-822d-b332145000ac","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Bottom flashing installed straight/level all the way around"
"42004940-e09e-5c03-9685-f9339524fb63","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Building wrap installed"
"bb70bbea-dbf3-562f-a029-74fa7b5d905f","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Flashing tape installed (check plans)"
"277ece8a-4472-5935-9b5b-3e13a325a3cc","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Soaker flashings installed"
"5833b867-e96d-5c3a-be94-dbda8c0f89d2","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Cladding installed plumb and straight"
"a1724443-d373-5002-9700-b4ef731f85f1","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Screw pattern according to plan/spec/best practice"
"daa9748c-bcdd-5cf2-af60-6725476678fc","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Flashings installed as per specification"
"980a650d-5a06-5d8a-9ff7-d41a2c31b0e3","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Closure foams installed"
"4ca7b27b-299e-5f5f-b3e0-8e843e9afcd7","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Install","Fixings installed correctly"
"753e0eaf-2774-562b-acff-4b7012fbcf5b","","checkpoint-group","not-started","","","FALSE","FALSE","SWP - QA - Metal Cladding Install Checklist level 8","Review and Sign Off"
"3707006b-6e80-5b8f-9c5e-64d73aab9a23","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Review and Sign Off","Area left clean and tidy"
"ee68b7c5-7b3c-5d41-bc01-947609d6766f","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Review and Sign Off","All installation work complete, checked and reviewed as per specification"
"8883d8ab-a776-5fd1-84e2-1e346c2fe49a","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Metal Cladding Install Checklist level 8","Review and Sign Off","Client / Main Contractor sign off"
"a620e1cc-9163-4766-9407-b734b385e0ee","","checklist-flat","pass","SWP - Add Flood Testing Checklist","checklist-flat","FALSE","FALSE","SWP - Add Flood Testing Checklist "
"8cb8db7d-42be-5af7-8fa9-e55f7d7580cb","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist ","Is area fully finished, QA’d and ready to be tested"
"042e906b-e848-51bd-83f3-fed89f9c8201","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist ","Flood test details"
"1694a5a9-b4cf-5fe4-84bd-3afa19bd1798","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist ","Flood test complete"
"1af1d30a-332e-55ca-9a04-b8955d3c691c","","holdpoint","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist ","Sign Off"
"4977ef66-12f7-4af4-98e9-7504fd21d83d","","checklist-flat","pass","SWP - Add Flood Testing Checklist","checklist-flat","FALSE","FALSE","SWP - Add Flood Testing Checklist level 8"
"c5ccffd2-79b0-571e-930f-a696c5eae5e6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist level 8","Is area fully finished, QA’d and ready to be tested"
"ca6e9b0e-51b1-516b-8898-f22f36d1f015","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist level 8","Flood test details"
"b6d00602-9b5b-52e9-a828-57dccb98a4d9","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist level 8","Flood test complete"
"1169f4aa-01bf-589f-bd40-8877a7fad69c","","holdpoint","pass","","","TRUE","TRUE","SWP - Add Flood Testing Checklist level 8","Sign Off"
"c0289dba-741c-4624-86bc-0fa052086a51","","checklist-flat","work-in-progress","SWP - Add Flood Testing Checklist","checklist-flat","FALSE","FALSE","SWP - Flood Testing  Bowen Atrium - Roof works - 8th March"
"bff16180-8c62-59c3-b5e2-1a518e30cd91","","checkpoint-status","pass","","","TRUE","TRUE","SWP - Flood Testing  Bowen Atrium - Roof works - 8th March","Is area fully finished, QA’d and ready to be tested"
"c6dcceb1-fcff-5da7-81da-d4b2a644c83d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","SWP - Flood Testing  Bowen Atrium - Roof works - 8th March","Flood test details"
"a76c07c5-7611-5b8a-b77f-bd9663044f50","","checkpoint-status","work-in-progress","","","TRUE","TRUE","SWP - Flood Testing  Bowen Atrium - Roof works - 8th March","Flood test complete"
"bdd6fdfb-3f9f-54e4-a49c-26715a089b9d","","holdpoint","work-in-progress","","","TRUE","TRUE","SWP - Flood Testing  Bowen Atrium - Roof works - 8th March","Sign Off"
