resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ANTE L2.IPU.099,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.100,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.101,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,EQUIPMENT STORE L2.IPU.095,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAIR 2 L2.TRV.002,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,COMMS L2.PLT.006,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,EDB L2.PLT.002,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,EDB L2.PLT.002,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,B-LIN - A L2.IPU.075,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CLEAN STORE L2.IPU.074,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.003,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.001,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.070,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WORK ROOM L2.IPU.069,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,OFFICE L2.IPU.073,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CU / MEDICATION L2.IPU.072,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,DIRTY UTILITY L2.IPU.071,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.103,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.102,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WRITE UP L2.IPU.067,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAFF ROOM L2.IPU.066,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,PANTRY L2.IPU.068,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,HB L2.IPU.024,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ALLIED HEALTH L2.IPU.023,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.025,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.026,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.027,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.028,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.030,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.031,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.032,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.033,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.034,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.035,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.036,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.037,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.006,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.007,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.041,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.040,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.043,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.044,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.045,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.046,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.047,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.048,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.049,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.050,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.051,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.052,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.054,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.055,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,1 B L2.IPU.056,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,HB L2.IPU.058,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L2.IPU.057,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WC-ACC L2.IPU.062,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L2.IPU.060,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,B-LOCKERS L2.IPU.064,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ST WC L2.IPU.063,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CLEANER L2.IPU.065,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ELEC L2.PLT.010,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,EDB L2.PLT.004,,,,,,,,,,,
,,,step,,,,LEVEL 3,,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,PLANT L3.PLT.003,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAIR 1 L3.TRV.001,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,OFFICE L3.ONC.039,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CLEAN UTILITY L3.ONC.008,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,MEDICATION L3.ONC.038,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,VIS WC L3.ONC.003,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,HB L3.ONC.021,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,BAY11 L3.ONC.022,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR - D L3.ONC.029,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,HB-C L3.ONC.026,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,BAY 12 BED L3.ONC.020,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ENS L3.ONC.019,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,INTERVIEW L3.ONC.040,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WELLNESS CENTRE L3.ONC.017,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,LINEN L3.ONC.005,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L3.ONC.006,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WC-ACC L3.ONC.004,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,DIRTY UTILITY L3.ONC.007,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAFF BASE L3.ONC.037,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,BEV L3.ONC.036,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,EDB L3.PLT.006,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CHILLER PLANT L3.PLT.007,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAFF ROOM L3.ONC.018,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,STAIR 2 L3.TRV.002,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L3.ONC.015,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CLEANER L3.ONC.011,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ST WC L3.ONC.012,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ST WC L3.ONC.013,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,PLANT L3.PLT.003,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,GENERATOR L3.PLT.013,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,UPS L3.PLT.012,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,WATER HEATER ROOM ML2.PLT.039,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,ELEC L3.PLT.032,,,,,,,,,,,
ROUGH IN CHECKLIST,FIT OFF CHECKLIST,COMMISSIONING CHECKLIST,folder-with-checklists,,,,,CORRIDOR L3.ONC.010,,,,,,,,,,,
,,,step,,,POWER DISTRIBUTION,,,,,,,,,,,,,
MSB CHECKLIST,,,checklist,,,,MSB,,,,,,,,,,,,
,,,step,,,,DB'S,,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - G,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - L1 A,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - L1 B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - L2 A,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - L2 B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - L3,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - MED IMAGING,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - B1,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - B2,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - G,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - L1 A,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - L1 B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - L2 A,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - L2 B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBE - L3,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DB - 6,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBU - B1,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBU - L1 A,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBU - L1 B,,,,,,,,,,,
DB CHECKLIST,,,checklist,,,,,DBU - L2 B,,,,,,,,,,,
,,,step,,,DELAYS,,,,,,,,,,,,,
,,,step,,,,B2,,,,,,,,,,,,
,,,step,,,,B1,,,,,,,,,,,,
,,,step,,,,GROUND,,,,,,,,,,,,
,,,step,,,,LEVEL 1,,,,,,,,,,,,
,,,step,,,,LEVEL 2,,,,,,,,,,,,
,,,step,,,,LEVEL 3,,,,,,,,,,,,
,,,step,,,OH&S,,,,,,,,,,,,,
,,,step,,,,SAFETY ISSUES,,,,,,,,,,,,
,,,step,,,,TOOLBOX MEETINGS,,,,,,,,,,,,
,,,step,,,,SWIMS,,,,,,,,,,,,
,,,step,,,,INCIDENTS,,,,,,,,,,,,
