resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
,,step,,,,,,DB.DAS,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.GROUND,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.GROUND,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.GROUND,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.SERVER ROOM,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.SERVER ROOM,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.PATHOLOGY,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ROBOT,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ROOF,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,CEP LIFT 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,CEP LIFT 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,FIRE PUMP PANEL,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,FIP,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,EWIS,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,NESS.ROOF.MSSB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,ESS.ROOF.MSSB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,PSYCH BOARD 3.2.1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DIESEL FUEL PUMP PANEL 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DIESEL FUEL PUMP PANEL 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,EXISTING CHILLER 2.5,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,HENRY BOLT SUCTION PLANT,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,SH FIRST FLOOR 2.2.5,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,SH CAFÉ BUILDING 2.2.6,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,SH GROUND FLOOR 2.2.2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,SH BASEMENT 2.2.4,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,GEN-1 AUX DB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,GEN-2 AUX DB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,GEN-3 AUX DB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,GEN-4 AUX DB,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,UPS-INPUT 1,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,UPS-INPUT 2,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,UPS-LOAD BANK CUBICLE,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,Submain Installation,,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 2,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 4,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 5,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-1 - 6 ,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 2 / GEN 7,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 4,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 5,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 6,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 7,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 8,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 9,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 10,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 11,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 12 / UPS - 1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 13,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 14,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 16,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 17,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 18,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 19,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 20,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 21,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 22,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 23,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 24,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 25,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 26,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 27,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 28,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 29,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 30,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 31,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 32,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 33,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-2 - 34,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 2 / GEN - 6,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 4,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 5,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 6,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 7 / UPS - 2,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 8,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 9,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 10,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 11,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 12,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 13,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 14,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 15,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 16,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 17,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 18,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 19,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 20,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 21,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 22,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,MSB-3 - 23,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,GEN - 1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,GEN - 2,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,GEN - 3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,GEN - 4,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,GEN - 5,,,,,,,,,,,,,
