resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,Block C,,,,,,,
,,,,,,,,,,step,,,,,Lot 25,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 26,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 27,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 28,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 29,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 30,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 31,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 32,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 33,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 34,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 35,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,Block D,,,,,,,
,,,,,,,,,,step,,,,,Lot 36,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 37,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 38,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 39,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 40,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 41,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 42,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,Block E,,,,,,,
,,,,,,,,,,step,,,,,Lot 43,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 44,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 45,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 46,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 47,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
