"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ac1e80f6-7d2c-4ea3-bd5d-947529ddc55e","","fail","","folder","TRUE","FALSE","Building B"
"f897c01c-597d-447f-9e97-a494b80e1084","","fail","","folder","TRUE","FALSE","Building B","Basement 1"
"57d1f404-9633-467e-a0b7-0257eb56cf34","","pass","Reference Drawing","checklist","FALSE","FALSE","Building B","Basement 1","Reference Drawing"
"d2de7f6c-1599-4aed-8e50-be76aa98c95c","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)"
"b7c1fd55-958e-548f-95d3-51d1341ceb81","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)","Lunch room (B.029)"
"605a9e0d-953a-4b54-b2d6-1159ed27e968","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.553)","Pre Grid Sign off"
"b87afa96-fa9f-4b5e-934d-de7a2c381272","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.553)","Pre Ceiling Sign off"
"ed0e6137-8f9a-4c88-8ecc-336800f69af6","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","ERISE (LG.B.593)"
"f8f3b1ac-e041-42f2-a3a5-5c1f101ad356","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","ERISE (LG.B.593)","Pre Sheet Sign off"
"5c5809be-7133-42ef-8de7-7a63f00fcd15","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","ERISE (LG.B.593)","Pre Grid Sign off"
"ba0a54fb-d59e-4029-a1e6-73a5f38c7d48","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","ERISE (LG.B.593)","Pre Ceiling Sign off"
"14940e7f-1574-414b-9070-60fc6b56ed36","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.594)"
"b769e560-f9f5-4ee7-9f66-a10d0d8b6d9e","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.594)","Pre Sheet Sign off"
"77f923ae-7aab-43a3-9624-6fe61577518f","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.594)","Pre Grid Sign off"
"1de93a3f-c3ba-436b-9963-63f970564b3a","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.594)","Pre Ceiling Sign off"
"ebcd0336-e161-4d6a-9d55-7966864f828f","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.595)"
"612df312-af1e-48f8-ad93-632759e5689a","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.595)","Pre Sheet Sign off"
"3c7fa3ff-b08b-4e8d-b820-a19fb1e96f5c","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.595)","Pre Grid Sign off"
"ea563535-289d-4761-970e-8d576a7c39ed","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","MECH (LG.B.595)","Pre Ceiling Sign off"
"0d3b2d3b-b2bb-47dc-8323-f8e8cdb73606","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","STAIR PRES (LG.B.596)"
"50ea8cc8-68eb-47f9-878b-6a5710a6f2b3","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","STAIR PRES (LG.B.596)","Pre Sheet Sign off"
"1858113e-97b3-469f-bea5-2fd38d57b653","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","STAIR PRES (LG.B.596)","Pre Grid Sign off"
"58cbbe14-8929-4f92-974a-cb323a1186d8","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","STAIR PRES (LG.B.596)","Pre Ceiling Sign off"
"d001006a-2672-471b-952d-a033104bdcc6","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","SERVICE LOBBY (LG.B.673)"
"abfd68ad-fb38-48e0-afb6-4a24776a1502","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","SERVICE LOBBY (LG.B.673)","Pre Sheet Sign off"
"c8083973-2ef7-4df5-9c76-c828ab426108","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","SERVICE LOBBY (LG.B.673)","Pre Grid Sign off"
"fddd21d6-5e5a-4df7-8c83-3c284e09ac2d","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","SERVICE LOBBY (LG.B.673)","Pre Ceiling Sign off"
"28cbd175-3174-44f7-88f7-6a97644c294d","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","BBEV (LG.B.121)"
"b985ba1f-76f3-49c6-8d23-ed1e08e56493","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","BBEV (LG.B.121)","Pre Sheet Sign off"
"d0cb6caa-3a7c-554f-bd4a-51a3d6eecb77","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","BBEV (LG.B.121)","Pre Grid Sign off"
"9725bd71-26bb-4f1d-8927-e4397e9cefc1","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","BBEV (LG.B.121)","Pre Ceiling Sign off"
"cf0e1a7c-6dcb-4596-9cea-d726065142e6","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","ST STATION (LG.B.181)"
"6dd9ba41-9f30-5612-a302-1b10210766be","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","ST STATION (LG.B.181)","Pre Sheet Sign off"
"62b1cd95-1317-4dc9-a893-54fce4c408f6","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","HWPPE (LG.B.250)"
"755e29da-9525-408c-a805-a303e5367e89","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","HWPPE (LG.B.250)","Pre Sheet Sign off"
"19856606-a5ca-4984-9932-d1b58eb2a6c5","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","HWPPE (LG.B.250)","Pre Grid Sign off"
"f5bfd5ec-2bc3-43d5-95aa-ae27583c8266","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","HWPPE (LG.B.250)","Pre Ceiling Sign off"
"42c1dd87-f7e9-5c24-a750-afbeebb89f3a","","work-in-progress","e49ad294a56ddbfb77856e4a2405b52eac835e046e4b6621a17cb49bfef8065f","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","LG.B.295"
"23b88b8f-ff50-4402-a62a-fb94485bd9f2","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","PBRSUS LG.B.270"
"b9042ee8-43b1-5a0a-91f1-0cf41dd9e0c1","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","PBRSUS LG.B.270","Pre Sheet Sign off"
"f478bd1c-66a9-4ae0-b511-1d518c3cba49","","no-status-not-started","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","LG.B.102"
"03ac58e3-aef0-4764-a608-08309d125b02","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","ZONE 56 CORRIDOR CEILINGS"
"944a920d-b14c-4451-9655-1a63861fcfd9","","work-in-progress","Pre Ceiling Sign off","checklist","FALSE","FALSE","Building B","Lower Ground","Area C","ZONE 56 CORRIDOR CEILINGS","Pre Ceiling Sign off"
"6f11c692-29d8-49ba-84d5-d3fe48fbb23a","","no-status-not-started","","folder","TRUE","FALSE","Building B","Lower Ground","Area C","ZONE 53 CORRIDOR CEILINGS"
"b5fddea0-41af-472b-ba8e-645f1ef16dad","","fail","","folder","TRUE","FALSE","Building B","Lower Ground","Area D"
"8c4112b7-f784-421f-9e5d-6eb0e19b9bf7","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","CIRC (LG.B.157)"
"d8b2170f-ee54-49bb-8dbf-df4702fa998f","","work-in-progress","Pre Sheet Sign Off - Lower Ground","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","CIRC (LG.B.157)","Pre Sheet Sign off"
"3a245e10-ef8a-4255-a387-058318ea1fe5","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","CIRC (LG.B.157)","Pre Grid Sign off"
"66f2cd6d-e1d1-44d6-8b0d-7283407a6d4c","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","CIRC (LG.B.157)","Pre Ceiling Sign off"
"679b23d2-3643-4115-a564-8f7ef784849e","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.236)"
"277aa089-dd60-5fd8-b0fe-b18e2dc55271","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.236)","Pre Sheet Sign off"
"7c36220c-e271-5eee-8d71-0a4b7ccc6f86","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.236)","Pre Grid Sign off"
"74e3b85b-b503-4907-8aee-e6db0eaa7688","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.236)","Pre Ceiling Sign off"
"d3cf04d1-77fd-40ba-b3b9-63a9bce25f17","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","DU (LG.B.246)"
"fed788a7-efa9-5f8b-a13e-e8b09c186032","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","DU (LG.B.246)","Pre Sheet Sign off"
"a814d1d7-0c6a-4638-8131-b77a465f560c","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","DU (LG.B.246)","Pre Grid Sign off"
"e979fbcc-5612-4217-99b4-6174a36fbbac","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","DU (LG.B.246)","Pre Ceiling Sign off"
"8d2f3f27-cc35-43ea-ba0a-8768e9a3f9ef","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.247)"
"3167e8ab-d216-5ccb-bbec-d2eb3c7620d8","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.247)","Pre Sheet Sign off"
"ded0725d-bbe3-497c-86bc-5064d56e7e30","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.247)","Pre Grid Sign off"
"5bbb5c68-883c-426f-b91f-8ec0e6c65049","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.247)","Pre Ceiling Sign off"
"3ae222ba-c1fd-476d-b975-84a6228160e2","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.258)"
"9642c870-3970-5a35-bae1-628a11cdd45f","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.258)","Pre Sheet Sign off"
"92138c7a-7609-5e3b-b764-12c6aebdb45d","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.258)","Pre Grid Sign off"
"386672c5-6d4a-4511-8863-0e71d9bef20b","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.258)","Pre Ceiling Sign off"
"dea5b1c6-71f0-4bee-90b0-2dec7fc6801f","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","HWPPE (LG.B.269)"
"43f647e2-4651-5121-82d0-bdcea257c40b","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","HWPPE (LG.B.269)","Pre Sheet Sign off"
"77242f5d-8c9d-4371-a83b-00a5e5cafd55","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","HWPPE (LG.B.269)","Pre Grid Sign off"
"a8eba0c9-f790-4bd6-b676-3e316ea25fc7","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","HWPPE (LG.B.269)","Pre Ceiling Sign off"
"c6cf3b23-0841-4814-aa65-2c3bd3e0f316","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.270)"
"1337e776-a1a3-521a-8d18-4f684045c934","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.270)","Pre Sheet Sign off"
"5923fa21-08d7-426b-9270-82070e45383f","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.270)","Pre Grid Sign off"
"7bf9dff1-0b73-4320-8049-0d8fd4be3f61","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.270)","Pre Ceiling Sign off"
"f16fce96-90a2-448f-9952-51ade7d262d9","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.271)"
"7ad28669-51dc-546c-b48b-e18f6da4748d","","work-in-progress","Lower Ground - Area D - WS PPE (LG.B.271)","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.271)","Pre Sheet Sign off"
"fa31b725-2b2c-4dae-9ed0-b75575a3113f","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.271)","Pre Grid Sign off"
"69e5c3fe-f04d-45de-a8b8-9bcc6167febc","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.271)","Pre Ceiling Sign off"
"58812a77-4dfe-4c45-ba3f-f3ba2fa817f9","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.272)"
"82dcdb4c-a751-5138-9088-b8e51756bf43","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.272)","Pre Sheet Sign off"
"6aba5f00-1232-4759-980f-d71cb4658b33","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.272)","Pre Grid Sign off"
"7a838720-a3f7-45a4-9733-dce4d145fd25","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.272)","Pre Ceiling Sign off"
"f4965454-1dd7-4abe-8096-9a088ad0d2e2","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.273)"
"f6d7ef27-1462-54df-a78f-91d27f4876b0","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.273)","Pre Sheet Sign off"
"731739aa-0dca-45d3-9bbd-aa1fc4674d86","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.273)","Pre Grid Sign off"
"95bcf361-b997-4692-b223-fb97febd382d","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BMEQ (LG.B.273)","Pre Ceiling Sign off"
"e5464a51-763b-4712-8fd0-4cda7a2633f2","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (S) (LG.B.274)"
"01db45f9-e265-5e8e-82ac-58d46d6ad054","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (S) (LG.B.274)","Pre Sheet Sign off"
"87744def-89aa-4545-bb5f-91d3f78612c1","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (S) (LG.B.274)","Pre Grid Sign off"
"c49d5ae0-d0db-4e91-8e34-d04aac16fdb1","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (S) (LG.B.274)","Pre Ceiling Sign off"
"dd65a10f-eb8c-4ccf-87ec-0d49e1d61cc9","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","ENS (LG.B.275)"
"d4328f7c-ab61-510b-9852-27fdc0121d13","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS (LG.B.275)","Pre Sheet Sign off"
"c989b7b5-88a8-4d3f-8b28-e1682165e177","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS (LG.B.275)","Pre Grid Sign off"
"0c3eb1a3-7c9a-405f-9449-5687a0a0e959","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS (LG.B.275)","Pre Ceiling Sign off"
"abfcb8d7-6092-4b37-855a-ffc1bc371546","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A BA (LG.B.277)"
"b24f8f4a-3b5c-5520-9cc5-47f309588583","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A BA (LG.B.277)","Pre Sheet Sign off"
"a2d315f8-c5a5-4571-ab03-e101b2267f64","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A BA (LG.B.277)","Pre Grid Sign off"
"4dbe071d-8a28-4c27-97b5-6a4a5a62d0be","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A BA (LG.B.277)","Pre Ceiling Sign off"
"16212794-e1fb-4d82-8581-2cce8143f266","","fail","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","ENS BA (LG.B.278)"
"e5c7b3c5-3430-5845-a012-2c476c4c566d","","fail","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS BA (LG.B.278)","Pre Sheet Sign off"
"9d110d8a-c951-4c19-b280-dd7536a99ca6","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS BA (LG.B.278)","Pre Grid Sign off"
"ac5437f2-9e8a-4379-a89f-97eac8ecd3a9","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","ENS BA (LG.B.278)","Pre Ceiling Sign off"
"cf5fe764-af2c-4482-b72d-4a60b2d69299","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.279)"
"a46a2029-3910-5f28-a5ef-518ce63438f4","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.279)","Pre Sheet Sign off"
"548c3989-374f-46d7-8f2b-d2e172f4104b","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.279)","Pre Grid Sign off"
"6abfaf01-fb0d-4cf0-ae34-43bdd100a800","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.279)","Pre Ceiling Sign off"
"b0193370-62d5-4c7e-9200-97fd26a3169c","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","BPT (LG.B.282)"
"d25e53e5-bafe-5327-955b-a6a4a40c1aaf","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BPT (LG.B.282)","Pre Sheet Sign off"
"7f7ead0e-2a38-4e11-862b-5f65a0a7ce2d","","work-in-progress","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BPT (LG.B.282)","Pre Grid Sign off"
"063059f3-bfaa-443b-aded-9301e2a96d6f","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","BPT (LG.B.282)","Pre Ceiling Sign off"
"eba84c78-302a-4955-b8ca-9485b5d994b3","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","WCPT (LG.B.283)"
"177c9768-32fe-55a6-8e6c-89083f8ee297","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WCPT (LG.B.283)","Pre Sheet Sign off"
"331b9f54-7c47-5a44-8b3b-8ce299880e58","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WCPT (LG.B.283)","Pre Grid Sign off"
"2ae87644-1475-453d-8575-a3c6ed6e840f","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WCPT (LG.B.283)","Pre Ceiling Sign off"
"388f13d8-8316-4804-9155-8cf39232ca61","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","SHWR PT (LG.B.284)"
"db32e310-4bd2-5e0b-8153-233b37f3b8c9","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","SHWR PT (LG.B.284)","Pre Sheet Sign off"
"f9f2f301-fe71-5627-8b6e-5cb2e0e9eb62","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","SHWR PT (LG.B.284)","Pre Grid Sign off"
"1ce65a79-8378-4df1-8b9c-d25babd1f738","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","SHWR PT (LG.B.284)","Pre Ceiling Sign off"
"fe25bd72-35de-40bb-8d79-df62fbc69abd","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.285)"
"a4f0bcf9-9a42-53ca-9360-ba499ffcb971","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.285)","Pre Sheet Sign off"
"5c2b5549-ab34-5e5a-abac-6ec6b6f586da","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.285)","Pre Grid Sign off"
"3eddc85a-4790-4590-9306-d4bd5a08f404","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.285)","Pre Ceiling Sign off"
"9a5488b1-6271-4770-b34b-29ef50e2ec00","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.286)"
"b6772a02-fb47-59aa-abb6-c92dfcfe0716","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.286)","Pre Sheet Sign off"
"87ba6bca-d0b1-4911-af30-6fe0b7ff941a","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.286)","Pre Grid Sign off"
"ad2706f4-f408-424f-857a-c2b94589fdc4","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.286)","Pre Ceiling Sign off"
"cf80d711-fd8e-4728-89d2-e5a2fc5acec1","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.287)"
"84c5133a-944c-5063-8128-cc86b14d9503","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.287)","Pre Sheet Sign off"
"06d05212-65d0-54c4-80e9-c88f5467d196","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.287)","Pre Grid Sign off"
"4b2238ef-733c-42b2-9fd5-93bb9509556f","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.287)","Pre Ceiling Sign off"
"f4248a25-9f13-4f0a-bb2a-cd7eaab5529d","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.288)"
"184402e9-f1e3-51b5-9d5f-79eb44eed1b4","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.288)","Pre Sheet Sign off"
"f3b894c6-ea26-5e28-8258-4488da28030e","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.288)","Pre Grid Sign off"
"f085375b-4c11-4dca-b5b7-12a2fce36f11","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","PBTR A (LG.B.288)","Pre Ceiling Sign off"
"12610b61-85be-4eb0-93d4-2a78e9f51836","","work-in-progress","","folder","TRUE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.289)"
"b560e109-3704-5036-aee9-975042fe9b84","","work-in-progress","Pre Sheet Sign Off - Lower Ground - old format","checklist","FALSE","FALSE","Building B","Lower Ground","Area D","WS PPE (LG.B.289)","Pre Sheet Sign off"
