"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c4bcc5eb-6f48-43b2-a775-2e16a0b251fa","","fail","","folder","TRUE","FALSE","Building A"
"d1d08869-42cd-451a-8cb4-e455493875ae","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1"
"7e8f85a8-8301-4e2a-81c8-463fa3968dee","","pass","Reference Drawing","checklist","FALSE","FALSE","Building A","Basement 1","Reference Drawing"
"86b673b6-f71b-412b-8c60-bea208520996","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1"
"6a4a3a7e-767e-42d2-a7bd-37318929fe99","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)"
"9a219284-a2a8-5745-a890-1ef751fabd3e","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area D","AIRLOCK (LG.B.502)","Pre Ceiling Sign off"
"fa0bd2a7-8772-5f6a-8b99-8b8abf27e1a6","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area D","BWF (LG.B.503)"
"b3b3de4b-035b-5783-80f4-4cb3927e23cf","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area D","BWF (LG.B.503)","Pre Sheet Sign off"
"69dbbd95-e1af-5344-96c5-7a0f3d2d4b88","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area D","BWF (LG.B.503)","Pre Grid Sign off"
"368644a2-d054-5ab5-b672-11a5c1f2ce14","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area D","BWF (LG.B.503)","Pre Ceiling Sign off"
"80cb1bd7-4884-4712-a98f-a85bdc13b439","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2"
"9c1025a8-2a17-565e-bf44-0621b0590d00","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","STAFF RM (LG.A.013)"
"82cdd7f5-525a-57e5-b10e-129a38adf06c","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAFF RM (LG.A.013)","Pre Sheet Sign off"
"5a24c639-06d3-51e0-86e7-d74ef46a3974","","work-in-progress","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAFF RM (LG.A.013)","Pre Grid Sign off"
"bd34b2c2-a37c-5195-ac69-3a662d74b4f1","","work-in-progress","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAFF RM (LG.A.013)","Pre Ceiling Sign off"
"eb08c992-b5b1-5149-a9fd-4b1d24eaa2da","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","DISP (LG.A.055)"
"38575a2f-2ed1-5b31-b32f-fcc9607a7e75","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","DISP (LG.A.055)","Pre Sheet Sign off"
"1fd5645b-3c9b-5e58-afec-8000eaa3b922","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","DISP (LG.A.055)","Pre Grid Sign off"
"f53971dd-cfd8-50b9-8bdd-3446c29790ff","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","DISP (LG.A.055)","Pre Ceiling Sign off"
"66f8f6f9-3530-5a0b-a47e-ae105284097c","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.056)"
"b6506132-0390-5e59-980f-451cf3b5f8bc","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.056)","Pre Sheet Sign off"
"ac2d6113-2837-5d35-a398-8bbeda3eba4d","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.056)","Pre Grid Sign off"
"c65d3cd0-e587-57f8-90f6-7dc58160d36e","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.056)","Pre Ceiling Sign off"
"0c94e164-b30e-5ed6-8586-bdd0faba869b","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","ST GEN (LG.A.057)"
"1e006395-5427-578e-9f16-bd0efaf9fe0d","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ST GEN (LG.A.057)","Pre Sheet Sign off"
"a18fd314-6811-5f54-96f3-056384ad3fc4","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ST GEN (LG.A.057)","Pre Grid Sign off"
"eb0049a0-cd21-5489-8c45-cbdc625ac266","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ST GEN (LG.A.057)","Pre Ceiling Sign off"
"b74afd29-38eb-50af-b973-6d7db763ddbb","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.069)"
"6d4929bf-a374-5589-ba20-392b2abf19d1","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.069)","Pre Sheet Sign off"
"c494a4cb-e696-57dc-88d3-fb73a2d72689","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.069)","Pre Grid Sign off"
"62e42288-3901-5eda-a0a3-dc99ebd44b95","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.069)","Pre Ceiling Sign off"
"30c7fe9c-8a07-55e7-8708-32f3f22f8ed4","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.070)"
"69705a2c-16ce-5a20-b043-cbc3c7d45f32","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.070)","Pre Sheet Sign off"
"20fcdd71-cfd2-5e8c-bbf9-ca196aac1f40","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.070)","Pre Grid Sign off"
"20a0a552-c348-5585-9453-021aab2fe8f0","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CIRC (LG.A.070)","Pre Ceiling Sign off"
"eb9b4e7d-d498-5de3-91bf-036549ad1542","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.071)"
"96e1e1d2-0263-5719-9d81-4cdbc91af649","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.071)","Pre Sheet Sign off"
"c57cd80e-6f99-5216-bb02-a09a3a89d068","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.071)","Pre Grid Sign off"
"bda633e9-1941-5b84-b96c-e4d19361f5a2","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.071)","Pre Ceiling Sign off"
"886b7702-bc44-5802-ba58-0e6a73cbbd89","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.072)"
"9eb763c5-f034-5cab-9233-3288240fca74","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.072)","Pre Sheet Sign off"
"d717d2e3-9566-5a05-a782-ac82fbf42aa9","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.072)","Pre Grid Sign off"
"e85fa41e-2539-5d80-a56a-8216a3f8e96f","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.072)","Pre Ceiling Sign off"
"2754afd4-4f27-533b-ae40-16c5e751f708","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.073)"
"0b2176da-a669-5cce-bb8b-623e8e811c47","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.073)","Pre Sheet Sign off"
"244e968f-9a21-5b98-a751-6348c6dd6cd9","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.073)","Pre Grid Sign off"
"d3ff79d1-1a34-5fac-9d08-5626a498eb37","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.073)","Pre Ceiling Sign off"
"edea1e23-4792-53a9-a376-7e20e8e7e357","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST(A) (LG.A.074)"
"0abb60e4-271b-5ea8-a6b4-eec24a388ddc","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST(A) (LG.A.074)","Pre Sheet Sign off"
"3d411576-f10a-5fec-8c88-217209fba6e1","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST(A) (LG.A.074)","Pre Grid Sign off"
"301f17a0-0933-5f9b-81b1-d71686143d95","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST(A) (LG.A.074)","Pre Ceiling Sign off"
"7e99e866-e31b-55ef-b051-a60995386cf8","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.075)"
"3389e71f-b419-52da-9ad2-dc0f51ff5312","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.075)","Pre Sheet Sign off"
"038d1d8d-441d-54c6-907d-5b2254e682fb","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.075)","Pre Grid Sign off"
"b447bcb0-2183-5b36-a656-b1bcc9c3f3b3","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.075)","Pre Ceiling Sign off"
"0a575378-f32f-53d7-90e2-45a9ac2a5859","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.077)"
"d941e0b0-2890-5ddc-bd5e-9ea62ac86749","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.077)","Pre Sheet Sign off"
"ac74b1d0-ea92-5564-ba9d-a361b386cf56","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.077)","Pre Grid Sign off"
"99c04f9c-6b0b-5bf4-9222-b7c73852baa6","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.077)","Pre Ceiling Sign off"
"018c6268-150b-5d70-94d1-7052c9cc3970","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.078)"
"f4d9c1de-122e-594a-acbe-acf90be4382e","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.078)","Pre Sheet Sign off"
"d597a787-28b4-575c-98b8-c07c70160dfc","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.078)","Pre Grid Sign off"
"dcec1ee3-6532-586e-abef-b23e96b6cf9b","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.078)","Pre Ceiling Sign off"
"216219e0-a526-5029-8ea0-b9cf0111fb01","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.079)"
"253f5849-d9bf-5aa5-b3b5-ec73a28c0fd3","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.079)","Pre Sheet Sign off"
"b2325103-ca8b-5f78-9ff6-7a1119929e98","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.079)","Pre Grid Sign off"
"47a292f5-c846-5bd7-a16a-2e32f0889fe6","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.079)","Pre Ceiling Sign off"
"815b2e9b-5a6b-5a4f-9366-12f3cd06fd0e","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.080)"
"b559a394-0985-57cf-be64-cf34ca29bef0","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.080)","Pre Sheet Sign off"
"5c32fe09-928f-5091-8b1d-f381b672f9da","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.080)","Pre Grid Sign off"
"fae627fb-56d2-53e3-96e2-2bde73f3f2de","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCST (LG.A.080)","Pre Ceiling Sign off"
"ee8e12a2-7c66-5dc7-ba76-1866df2b7d32","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.081)"
"32c88fe3-0785-557d-8093-045645596701","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.081)","Pre Sheet Sign off"
"3b57b402-5a02-5449-b8a9-7e5bb33fb2b4","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.081)","Pre Grid Sign off"
"64573c7d-cf7c-595a-8892-584bded61a9d","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","SHWR ST (LG.A.081)","Pre Ceiling Sign off"
"5729dfd8-6958-5b65-9be9-f0ff206bfa61","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","PTRY (LG.A.083)"
"26438c18-6309-5091-83f4-155f802f8576","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","PTRY (LG.A.083)","Pre Sheet Sign off"
"62e1ab47-e143-5ea7-b80c-f1c15bf03e91","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","PTRY (LG.A.083)","Pre Grid Sign off"
"aff0c975-d7c3-5540-8015-7b547ad4c4b1","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","PTRY (LG.A.083)","Pre Ceiling Sign off"
"059293f3-518a-583b-9d2e-079bbbe90405","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","TRAVEL (LG.A.084)"
"071ca9bb-f3ed-5cd6-ba5f-e8cb91567796","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","TRAVEL (LG.A.084)","Pre Sheet Sign off"
"f3d61aa7-6737-5834-853e-8e02e8b2a0e3","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","TRAVEL (LG.A.084)","Pre Grid Sign off"
"298309bb-0aa5-5399-991a-eaf2c71d9592","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","TRAVEL (LG.A.084)","Pre Ceiling Sign off"
"03af0f34-9d88-53d9-a744-456f8b63e90b","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","WCSH ACC (LG.A.151)"
"3578d5ec-15f5-5fb8-a8a1-50c8ef9e8650","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCSH ACC (LG.A.151)","Pre Sheet Sign off"
"a4bbd169-0f08-56e5-a98e-4a9a638f54ce","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCSH ACC (LG.A.151)","Pre Grid Sign off"
"d0036a0e-6777-5016-bbf2-b9cd8da4c3f9","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","WCSH ACC (LG.A.151)","Pre Ceiling Sign off"
"f6bb3769-47dc-5c0a-9044-13ecf4de15b9","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)"
"76756f90-bcfa-5b28-a67d-ef9efe9425ed","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Sheet Sign off"
"206631cb-9490-5a63-a6d3-2a423af22f53","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Grid Sign off"
"ca452800-be6e-5232-93cb-fc8a3a48b94c","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Ceiling Sign off"
"b5903490-2797-5402-9dc2-2b5e8313fc22","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)"
"13e28168-e2ef-53fe-a43a-06e26864db35","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Sheet Sign off"
"2838fd21-dacc-51de-be9d-de0c4b21e067","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Grid Sign off"
"ccd077e5-c090-59d4-acf5-42cb59ccfc7d","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.205)","Pre Ceiling Sign off"
"a9ff5ff9-6b98-5278-90e3-407f985031a1","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","CR (LG.A.206)"
"cdd132c8-631f-56d0-981a-e5f5ac879239","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CR (LG.A.206)","Pre Sheet Sign off"
"750f6c70-b696-52e2-9ac9-1f902de8f82b","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CR (LG.A.206)","Pre Grid Sign off"
"96e31630-e9e4-5f35-b29c-9c3ae21d1b96","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","CR (LG.A.206)","Pre Ceiling Sign off"
"90ece08b-d07d-55eb-8b3b-816e59aaed56","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.207)"
"4c67f470-c89a-5028-8e35-b0da4e0742b1","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.207)","Pre Sheet Sign off"
"800e416d-a3a9-50ae-abe8-b0a7fbbfe1e1","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.207)","Pre Grid Sign off"
"4b61d4f8-e302-5793-a04e-7b9e1486ef5a","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EXH (LG.A.207)","Pre Ceiling Sign off"
"efc69e4a-86a6-5235-b72f-8a8aa54d8123","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","EDB RM (LG.A.209)"
"b522eab6-1be5-53f6-946e-89924055c127","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EDB RM (LG.A.209)","Pre Sheet Sign off"
"3c604d60-d509-5096-bda0-9896e59cbae0","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EDB RM (LG.A.209)","Pre Grid Sign off"
"b2b85b01-8737-5a47-805b-4126d0590e1a","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","EDB RM (LG.A.209)","Pre Ceiling Sign off"
"160e3c62-817f-5dc6-b9b2-7e28292534e7","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","ERISE (LG.A.212)"
"081e00d8-5571-5cca-bb26-7553f9b8a2ca","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ERISE (LG.A.212)","Pre Sheet Sign off"
"11977ea2-833e-5901-a69b-673d14006bed","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ERISE (LG.A.212)","Pre Grid Sign off"
"9bbbeed9-3dcd-5c1f-8ffd-addfd817aace","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","ERISE (LG.A.212)","Pre Ceiling Sign off"
"43811e37-ab33-5eb3-b07b-4c51a44dcc28","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","STAIR PRES (LG.A.213)"
"84919805-1e59-5f49-93b3-4f9739d4d8ac","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR PRES (LG.A.213)","Pre Sheet Sign off"
"b6dc6b26-1625-599f-ac6a-606c8b66bd15","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR PRES (LG.A.213)","Pre Grid Sign off"
"35104db1-f0c1-597f-99bb-b8a130c6fbfa","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR PRES (LG.A.213)","Pre Ceiling Sign off"
"87f71761-bd31-5c13-89a6-9e2395c8a80f","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","STAIR A2 (LG.A.223)"
"3060698f-cdd1-5659-9121-1511932e72d4","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR A2 (LG.A.223)","Pre Sheet Sign off"
"217a4d5d-99c0-5df9-8568-d10a2e4ddf66","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR A2 (LG.A.223)","Pre Grid Sign off"
"e01ac153-d7f0-5d73-8a7c-d71d5c77f574","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","STAIR A2 (LG.A.223)","Pre Ceiling Sign off"
"3ab934c2-0936-5f88-bd8f-03e8890c9429","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","LIFT A5 (LG.A.225)"
"b079db90-57bd-590c-b8a4-5a5062daf007","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A5 (LG.A.225)","Pre Sheet Sign off"
"4202b9f8-0cbf-51ef-9256-da52b49a1b8e","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A5 (LG.A.225)","Pre Grid Sign off"
"2ee5cb65-3bbb-529d-af65-32d34cf6219b","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A5 (LG.A.225)","Pre Ceiling Sign off"
"82102d20-ffe7-5825-b4f7-4e12dc51d960","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","LIFT A4 (LG.A.228)"
"eb6628ee-891a-523c-9114-4e4eae4ca898","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A4 (LG.A.228)","Pre Sheet Sign off"
"8c169333-b798-5b91-9411-a752dd9bf6d2","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A4 (LG.A.228)","Pre Grid Sign off"
"63ff4f80-41bb-5112-bdec-79da37013eee","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A4 (LG.A.228)","Pre Ceiling Sign off"
"445327ad-f5bb-5a33-bbed-061a1550f1a4","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","LIFT A6 (LG.A.229)"
"994d2dfa-48a8-5ecb-b1bf-f934f8f48756","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A6 (LG.A.229)","Pre Sheet Sign off"
"9502b625-f317-5740-83f2-4ec99db7dafd","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A6 (LG.A.229)","Pre Grid Sign off"
"a3f054cb-6d71-5003-96ff-4f83df655f69","","not-started","Pre Ceiling Sign off - Lower Ground","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT A6 (LG.A.229)","Pre Ceiling Sign off"
"009bcd81-c87f-510b-8b21-41e0227e4521","","work-in-progress","","folder","TRUE","FALSE","Building A","Lower Ground","Area B.2","LIFT LOBBY (LG.A.232)"
"ebe241c1-5e64-5f51-8677-5a6d8e2511c8","","work-in-progress","Pre Sheet Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT LOBBY (LG.A.232)","Pre Sheet Sign off"
"ecb9e96a-3a8b-5136-a2d2-94faf1fb7baf","","not-started","Pre Grid Sign off - Lower Ground - old format","checklist","FALSE","FALSE","Building A","Lower Ground","Area B.2","LIFT LOBBY (LG.A.232)","Pre Grid Sign off"
