type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.10 - On-Site Tack Welding (if required),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Ref docs - VR611.13(a, VR611.14(b)",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Tack welding of steel reinforcement will be permitted for Grade 250N and Grade 500N carbon steel reinforcement bars provided welding is not within 50 mm of the tangent point of a bend in the steel.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Welders have appropriate training in accordance to AS 1554.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,"○ Welding of splices in steel reinforcement, including to other steelwork and to continuity bar reinforcement, shall not commence until the welding procedure has been qualified and reviewed by the Superintendent.","Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.11 - Concrete Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Ref docs - VR610.13, 610.16",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Concrete to achieve required uniformity and discharge time in accordance with 610.13.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ (60 minutes unless mix design is approved by Proof Engineer and Superintendent to be extended),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Time between discharge ending and restarting is to be less than 45mins for a continuous pour.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Concrete docket has been verified to confirm mix, slump and moisture content of aggregates is as per design.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Records of actual amounts of water added into the agitator drum at the slump stand is available for review by the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Concrete dockets Pour record,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.12 - Concrete Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Ref docs - VR606.06, 610.17, 610.18",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Piles have been concreted within 24 hours of completion of the pile excavation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Concrete has been placed through a tremie tube and was not dropped from a height greater than 2m through air.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Concrete was not mixed when the air temperature is out of the range of 5-35 degrees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Discharge time to be 60 minutes unless an otherwise approved by the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ If water is required to be added, it can be done so if no more than 60 minutes has elapsed. Concrete samples including slump test to be taken after adding water.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Any repairs have been carried out using a method and materials as approved by superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Concrete to be placed in dry bores is either (I) Self Compacting Concrete (SCC) with no vibration or (ii) Highly workable concrete which is to be vibrated by using immersion type, high frequency vibrators.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Where a temporary casing is used, the free surface of the concrete are at least 1.5m above the bottom of the casing.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Piles placed in the dry have been constructed to a minimum of 300 mm above pile cut-off level to allow breaking back of contaminated concrete at the top of the pile. Unless otherwise approved.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.13 - Concrete Placement – Under Water,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Concreting using tremie methods is not commenced until the pile hole is filled with such head of water as to equalise the external water pressure from the surrounding ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ 2m head of concrete has been maintained above the tremie tube while placing underwater to avoid contamination and mixing.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,○ The rate of withdrawal of the tremie pipe or pump discharge hose versus the volume of concrete placed has been recorded by the Contractor and the records has been submitted to the Superintendent for review.,"Yes,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Tremie withdrawal record,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.14 - Concrete Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Ref docs - VR610.16, Table 610.131",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Slump test in accordance with clause 610.16 (c).,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,The specified slump ranges are:,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Specified Slump, mm || Tolerance, mm",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,<60 || ±10,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,≥60 ≤80 || ±15,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,>80 ≤110 || ±20,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,>110 ≤150 || ±30,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,>150 || ±40,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The consistency of the concrete to be measured by a slump test after the water has been added.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Tests are to be conducted for volumes cast in one operation as per:,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,0 to 10m3 – 1 test,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,10 to 25m3 – 2 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,25 to 50m3 – 3 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,50 to 100m3 – 4 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ One extra test sample has been taken for each additional 50m3.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The compressive strength of the concrete has been tested with a minimum of 1 sample being tested at 7 days and 2 samples being tested at 28 days.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ If SCC is used, it meets the requirements as stated per VR 610.16 (c) and (n).",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,3.0 Pile Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 - Integrity testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.07(a) VR606.07(b) AS2159 PS3050.07 (a) (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Integrity Testing has been carried out in accordance with integrity test methods specified in A2159. Pile testing consultant is independent of the piling contractor and pre-qualified. Details of the pile testing consultant has been submitted for review by the Superintendent at least 2 weeks prior to testing.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The measured cross-sectional area of each test pile is not to be less than 5% of the required area. Integrity testing was not carried out until the concrete has achieved a compressive strength of at least 25 MPa and not before 7 days after casting of the pile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The frequency of testing to be as per specification and the submission of raw integrity testing data to be available to the Superintendent within 48 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Testing has been carried out on the first 6 piles constructed, and subject to acceptable integrity test results being obtained, 1 in 3 remaining piles have been tested. If any pile fails to meet the acceptance criteria, all piles must be tested. Reduced frequency is to be approved from the Superintendent.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Raw data of pile integrity testing has been provided to the Superintendent within 48 hours of request of the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.2 - Static Load Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.07(b),,,,,,,,,,,,,,,,,,,,,,,,,,,
button,"Acceptance criteria - Static Load Testing – compression, static and lateral load test in accordance with AS 2159 and as specified in drawings and once concrete has achieved 28-day compressive strength.","Yes,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.3 - Details of the Dynamic Testing Pile Driving Analyser (PDA),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.07(c),,,,,,,,,,,,,,,,,,,,,,,,,,,
button,"Acceptance criteria - The details of the proposed pile driving rig, hammer size and drop heights have been provided to the Superintendent for review prior to undertaking the testing.","Yes,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.4 - Dynamic Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.07c) VR606.07 (d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - At least one (1) load test every 10 piles or, one load test per pile cap or bridge abutment which ever gives the greatest number of piles tested.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Dynamic testing has also been carried out on piles of which the pile toe levels vary by more than 2 metres from the test pile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,○ The test procedure and test reports to conform with the requirements of AS 2159.,"Yes,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Freq - 1 in every 10 piles, Piles with varying toe levels > 2 m",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.5 - Reporting & Acceptance of Test Results,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.07 (d) & (e),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Two copies of the test report to be provided for the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The test results to demonstrate acceptance criteria as shown on the Drawings with ultimate capacity equal to or greater than the pile test load.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Where confirmation of pile capacity using dynamic pile testing is obtained by re strike, the report includes the results of the initial drive and all subsequent re-strike.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Test Results/Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,4.0 Pile Completion,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 - Tolerance for Pile heads,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR606.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Pile heads have been cut back to design level no sooner than 24 hours after concrete has been placed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Pile head finishes within 75 mm of the specified plan position.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Pile head reduced level finishes within 25mm of design.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each pile,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Survey Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,5.0 Work Lot Close Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 - Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VicRoads Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Test reports received and reviewed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have all of the above been tested and proven to pass design requirements?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Remarks/record - Pile Test Report, Compressive Strength Test Report",,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 - Product Non-Conformance,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - CQMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Product Non-Conformance(s) recorded and closed (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have all of the above been tested and proven to pass design requirements?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Remarks/record - NCR No:,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ NCR reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 - Quality Representative to check the above criteria and records to confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Ref docs - CQMP, Lot Records",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - All above criteria met, and records identified attached.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have all of the above been tested and proven to pass design requirements?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Reports and other compliance records attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,1630-P200-SYM-QAC-ITP-0021 Conduit and Pit Installation,,,,,Yes,1630-P200-SYM-QAC-ITP-0021 Conduit and Pit Installation REV1,5c965879-5d7d-41ee-992c-fdf141116985,,,,,,,,,,,,,,,,,,,,
checkpoint-group,1.0 Pre-start activities,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.1 - Boring under Carriageways,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Boring by water jet not permitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Detailed proposals for boring under carriageways shall be submitted to the superintendent for review two weeks prior to the programmed commencement of work.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Prior to start of works,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Lot map,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.2 - Environmental Permit,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Environmental permit,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,2.0 Conduit Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 - Material Conformance – Conduits and bends,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.02 Table 733.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Conduits are correct type, class & diameter and comply with AS1477, AS2053, AS4130 (as relevant), unless noted otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Electrical – Heavy Duty Grade, Rigid orange UPVC conduit to AS/NZS 2053.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Communications – Heavy Duty Grade, Rigid White UPVC communication conduit to AS/NZS 2053.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have all the above materials been approved?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot & Each possession,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record -,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,• Supplier Compliance Certificate,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,3.0 Conduit Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 - Excavation and Cover Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.05 Table 733.051,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Cover requirements for both electrical and communications conduits shall be:,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Pavement surface to top of conduit minimum 1200 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Invert of open drain to top of conduit minimum 750 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Unpaved areas to top of conduit minimum 600 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Or else as specified on design drawings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed and approved?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot & Each possession,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,4.0 Installation of Conduits,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 - General,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.06 Table 733.061 AS/NZS 3000 AS/ACIF S009,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - All conduits shall be installed as shown on the VicRoads Standard Drawings and Contract specific drawings, or as otherwise specified.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"All conduits for electrical and communications cabling shall be installed to conform to the relevant requirements of controlling legislation, regulations, industry codes and standards, including:",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• AS/NZS 3000 Electrical installations (Australian/New Zealand Wiring Rules),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• AS/ACIF S009 Installation requirements for customer cabling (Wiring Rules), and any other relevant requirements of the Australian Communications and Media Authority (ACMA) for connections to telecommunication carriers’ network.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Installation of conduits shall be carried out in accordance with the following:,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• HD UPVC Plain to be Thrust bore or Open Trench.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• HDPE continuous (must have ID not less than that of 100 mm HD UPVC for electrical and 90 mm HD UPVC for communications) to be Directional Bore.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.2 - Bedding Material/Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Bedding material does comply with the requirements of Table 733.081.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Minimum 80 mm bedding below conduits on earth foundation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Minimum 200 mm bedding below conduits on rock foundation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Bedding placed to full width of trench, and between conduits as shown on trench details on latest revision IFC drawings.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Shaped sufficiently to maintain the conduit in line as the sections are placed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record -,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,• Material Compliance for Bedding/NATA Test Report,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.3 - Bedding Material/Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Once the bedding material has been laid and the conduits put in place, works shall not proceed prior to inspection by Superintendent.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.4 - Bedding Material/Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - When conduit sections are in position, additional layers of bedding material shall be placed and compacted to a height 150 mm above the bedding previously placed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Bedding material must not be the same material excavated for the trench, it shall be clearly identifiable as introduced material.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.5 - Conduits for Traffic Signals/ITS/Public Lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - a) All conduits shall terminate in a pit in accordance with VicRoads Standard Drawing TC 1207, TC-1230 and TC-2200 – TC223.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,b) Only one size conduit shall be used for a complete run between pits; unequal size conduits shall not be joined in the ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,c) All conduits shall be temporarily sealed prior to cabling to avoid blockage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"d) Changes in conduit direction or depth shall be made by natural set or in the case of bottom entry, by means of a swept bend; elbows or tees shall not be used.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,e) All conduit joints shall be correctly prepared and sealed with approved solvent cement.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,f) Conduits for detector cables shall be installed as shown in VicRoads Standard Drawings TC 1207 and TC 1320; and,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• A 50 mm electrical (orange) conduit shall be used to convey the detector feeder cable from the detector pit to the cable pit, as shown in VicRoads Standard Drawing TC 1207.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed correctly and to a high standard?,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record -,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,• Installation Records from Subcontractor,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.6 - Draw Cords,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 733.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Draw Cords to be 3 mm diameter and with a minimum breaking strain of 1.6 kN.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Where the conduit terminates in a pit,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Have no less than 500 mm of the draw cord tied to a marker peg 25 mm x 25 mm, no less than 300 mm long, left coiled in the pit for future use.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Where conduits do not terminate into a pit.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Be tied to a marker peg 100 mm x 100 mm, not less than 400 mm long, driven firmly into the ground with the top 50 mm projecting above finished surface and painted yellow.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed correctly and to VicRoads standard?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE/SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record -,,,,,,,,,,,,,,,,,,,,,,,,,,,
