"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7280c873-51b1-477b-9141-4ba1d939f0b8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1"
"e152a84d-243f-4984-afb1-69dabe1bb762","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A"
"b3cf88dc-c891-4b04-b559-ffd2db8cc777","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A"
"6c9f3fd1-01e6-4f91-bd3b-176c5300d704","","checklist-flat","pass","21bcae137638761056170d7fed6d50b13c9e14674efdef9fa4233f07a1fc7f48","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side"
"94e40ec2-c264-5bbe-a781-972551173591","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Substrate is clean, dry and ready"
"4b44270e-13dc-5ab7-be45-59e6429545bc","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","3 Coats of Sika blackseal elastic is applied on concrete retained blockwall"
"2039d569-4f00-5196-a036-f8c6973724d4","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Protection board is installed correctly"
"263df0d0-b94e-52a9-b136-a30dc6448b0e","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Area left clean and tidy"
"7515546f-e85d-4c5b-8d9c-8e306301a188","","folder-normal","not-started","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A"
"c8ea2e05-a8e9-44d2-81d6-c80421004ed3","","checklist-sectioned","not-started","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings"
"81a357ac-7f1e-5d7e-9691-e9a68ca49a5b","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Location of Work"
"f3d592aa-f018-5b16-9e72-b77ccad11c6e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"434d2ac4-4580-54eb-9a1b-ad77ddbb4a05","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"5b0d339f-43db-5a9e-97aa-26896b7b8bd5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
"34c21f83-6c5c-5c94-8cb8-b7e4f876c2ee","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"c7927e77-1b93-5014-960d-49c1fad1ddbf","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"0ea802b2-cd36-5487-8e7f-84c29caee23e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"e62e1bdb-d8cc-5d0c-869a-584091ca1043","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"514fb159-05da-5d05-abf1-605703b09082","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"5ff4f367-ec24-5f39-a5dd-e0e67ce04397","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"a86343a1-caa9-5793-b9a0-9a022acce57f","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"f2dd7976-9afd-59b3-bd6d-51c6ab3a4cf2","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"6c4f36eb-b95a-5da5-9dfd-c0f4b568e056","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
"eecb1c83-cf0a-51f2-ae2a-8b196554ea70","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Junction of the floor and wall membranes installed to specification fully bonded and
watertight."
"d7a363c1-af9b-5d40-982d-4de628e96d6e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All non-standard details installed as per pre-approved specification (attach approved
drawings)."
"33792db6-8cb6-562b-90f1-91f856964ec0","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any mechanical damage to membrane repaired to specification."
"e5c4eb8b-b4a8-5a2e-bbc2-eaed3d0f9932","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane termination completed to approved detail."
"f112d40e-bc66-5dc2-9a46-2301c3a31411","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Suitable drainage system installed below footing as per specification."
"763d63cb-8b74-5765-b5bc-f36a3dd900a4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane protection boards installed correctly."
"352e1840-000c-5cf5-97e6-ab571d332d86","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane fully adhered to substrate with no bridging, bubbling, or delaminating."
"eafcaf54-883d-534b-a261-02aa82917e10","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Underslab / Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Overall installation free of wrinkles, bubbles, creases and splits."
"f50b122e-6019-40ef-8f53-b48a09fa810c","","checklist-flat","pass","QA - Termination Bar Checklist","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Block A","Gridline 4-5","Footing"
"dec7cc14-7b1d-52dd-b971-e199e38dbf65","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Footing","3PTM membrane is layed 50mm below concrete slab"
"ad81e7c7-ea16-594d-a820-435f7ffbce5f","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 4-5","Footing","Termination bar with Bituminous sealant is installed for membrane termination"
"f3591f06-cbcd-4b1c-8725-6e9fc3c01233","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H"
"64cd63db-c735-4073-85a7-9b382d1d055e","","checklist-flat","pass","UNDERFOOTING - 3PT and 3PTM installed","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Underfooting"
"a7a2776c-dc58-5fdd-a905-721942383d99","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Underfooting","All corners and upstands incorporate reinforcing"
"31d815f3-3ee4-544b-82c9-52b09ed99333","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Underfooting","Underslab membrane extends beyond footing and protected until vertical membrane is installed."
"67be300d-f64d-5898-a81f-69a8697ad461","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Underfooting","Side laps 100mm and end laps 150mm Fully torch and seamed."
"5a628615-dead-5a02-bca4-707bc32c7e62","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Underfooting","Junction of footings installed to specification fully bonded and watertight."
"3593cd7b-c40c-49a8-aa7b-5d5ae190bf66","","checklist-flat","pass","RETAINED BLOCKWALL","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall"
"c8176dab-795b-5ca7-8b64-b105e9c2c3db","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Underslab membrane extends beyond footing and protected until vertical membrane installed."
"f2b6c01f-7dc6-5f49-9831-927e8806b483","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Side laps 100mm and end laps 150mm Fully torch and seamed."
"2b10bd04-8b58-5fb7-9d67-66ef52b45959","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Junction of the floor and wall membranes installed to specification fully bonded and watertight"
"aeccba59-bc21-596c-8062-dad9d6dd1ad2","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Membrane protection boards installed correctly"
"5fb669c3-5a86-5d1f-bc7c-af6275a1244c","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Membrane fully adhered to substrate with no bridging/bubbling"
"f5ffc22c-e586-57a1-8cf6-684f663e72f6","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Grid 2-3, Grid A-H","Retained Blockwall","Overall installation free of wrinkles, creases and split."
"486f0413-fdcc-4bad-87f4-6a27facf6701","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1","Block B"
"49a6af1f-2cac-449f-ba1d-e9f674ba37f8","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Block B","Gridline 3, J-Q"
"eb92d2c0-0ffc-4c22-bb52-0b0f30734d77","","checklist-sectioned","pass","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings"
"66784107-ece5-5c17-b2d3-43f18fb52374","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Location of Work"
"68f976aa-f00e-57e4-81c5-7a591a3a3640","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Location of Work","Area where product is being installed"
"6d6dc8d1-9796-5971-af9a-083b1164fd5e","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist"
"36e2fb03-f5fd-59f2-9cc8-d271663acd84","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist received from Main Contractor"
"805f6e47-5417-5db4-a43b-a4ab3a7420f9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete cured with curing membranes removed. Concrete substrate contains less
than 5% moisture content"
"b1626dbc-40d7-5bb8-bbbd-ca12891fd2fc","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Cavities and cracks filled with repair mortar, flushed off and cured."
"6a5a263f-30ed-555a-9d5c-b6d246f03b41","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraswell installed to construction joints as per specification - located 50mm from rebar."
"1bc565ca-49c5-5f4b-a938-af999b4e54a4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete surface firm with any soft concrete or laitance removed."
"04ced0c1-3aff-57c0-9e19-4ccfb0d14383","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"df8728ec-8887-5532-8891-2c06ffc2ea4b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"9eeb0217-da7f-594f-9ef6-487d4cec50d6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
"48dac1a4-91eb-5dc1-a8a8-d56311b009b7","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"d09b338a-6d66-5c0d-8c14-f9d0a7a3f133","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"8e49bb13-a6ab-52c1-8497-88f442d85706","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"018ce819-cc00-546f-b7a1-2f592fa1393e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"da070a4c-384b-5a14-afe4-d88a24e94504","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"c3040287-b632-50de-807c-a49e27679a0b","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"a2a1bae3-6fe4-5547-967a-20007f9f161c","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"489430fe-b436-5982-8d92-f305267b98de","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"7d4df308-1c71-576a-b9e2-34f18f9db7b6","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
"74d19fce-3ff2-5410-9ad1-2e5dc06aecc4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Junction of the floor and wall membranes installed to specification fully bonded and
watertight."
"ee4a44bf-345c-5adb-9ab2-7dff94746710","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All non-standard details installed as per pre-approved specification (attach approved
drawings)."
"3f37044c-489e-5bd1-a66d-7e027f9bf5b0","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any mechanical damage to membrane repaired to specification."
"f33a1b85-325b-5eb0-8b21-2b71f8b5d0c7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane termination completed to approved detail."
"69dfc07a-bcce-5395-b31b-ee1faa6cdc12","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Suitable drainage system installed below footing as per specification."
"200b8624-fe01-5cd6-92b7-b96379700586","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane protection boards installed correctly."
"e0efb466-9af2-5431-a24a-ff1e8cebd8d3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane fully adhered to substrate with no bridging, bubbling, or delaminating."
"f536aac1-1f0f-5304-bd73-fee402d6c168","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Overall installation free of wrinkles, bubbles, creases and splits."
"cbb9fcb2-49c1-4f16-90b8-57af4c8aa914","","checklist-sectioned","pass","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall"
"d912227d-c886-5412-8414-16dea4184a6e","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Location of Work"
"81b27652-5a1b-57c9-beae-c0c911549a2e","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Location of Work","Area where product is being installed"
"daaaf907-20a0-5627-8281-e7462d2943ab","","checkpoint-group","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist"
"36af975e-c4ff-54c9-980b-2a93f3970f48","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist received from Main Contractor"
"c8625b6d-f98e-5faf-8479-a1b9520e6d3f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete cured with curing membranes removed. Concrete substrate contains less
than 5% moisture content"
"3aee3468-8306-555c-a483-1bda3bec5af2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Cavities and cracks filled with repair mortar, flushed off and cured."
"39ef2ed4-d00f-5abe-86dd-7be0d16e2be3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraswell installed to construction joints as per specification - located 50mm from rebar."
"7ba1ace3-fe51-5b36-a3fc-9ae41093e238","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete surface firm with any soft concrete or laitance removed."
"0920da8e-a8a3-5550-9e5d-6f26d987b8db","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"d49ee1b8-8fdb-5c5d-a74b-6490fabdd316","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"1cc23846-17b1-5702-9435-d4e3946d7cc6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
"7a82c871-b2a6-53f3-81d5-f63af81e1bb5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"19d5c194-0f83-5aa2-b6f1-8cb61c926d0f","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"f3759c51-511f-53b0-828c-d9d228d9f4f0","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"244f35a3-3505-5482-9717-b049a09c459c","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"110ff068-4fd1-5a76-ae45-2a1df1e03903","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"2332b2f5-d023-5439-9eff-513a216bff02","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"6e34eed1-2af1-57b3-b035-6dfe32a3ed6f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"70a614b1-d34b-5b7b-96f8-681a15cbf8fd","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"ed33f5ad-5ba0-57f4-9617-4e9c83173a0d","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
"00ce1118-67e9-5506-93bc-b112f11ec0b7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Junction of the floor and wall membranes installed to specification fully bonded and
watertight."
"5f1ddaea-6edd-5aef-8677-007da5ee0112","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All non-standard details installed as per pre-approved specification (attach approved
drawings)."
"28211970-b803-55bf-9534-23dfe403f91d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any mechanical damage to membrane repaired to specification."
"a1de4304-4bc6-506e-8855-aadb2e60e363","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane termination completed to approved detail."
"25255b61-cb6f-592d-87f1-739c1880bd0f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Suitable drainage system installed below footing as per specification."
"fec5b749-17e9-5bc8-a35d-7d1d64d83e5f","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane protection boards installed correctly."
"f8483792-8d95-578c-ac84-c9b1591117c4","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block B","Gridline 3, J-Q","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane fully adhered to substrate with no bridging, bubbling, or delaminating."
