"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e4d53b8b-082a-4b09-8189-34613b4cfe72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Basement"
"d2d828c6-4005-4f35-b71a-b44c28156042","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A"
"3936abda-b6e8-4e46-8045-db96e0049be6","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A","Stair 3 Lobby"
"129fc3ef-85b3-4580-a35b-e3d524a7e3f5","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area A","Stair 3 Lobby","Rough In (Cavity Pockets & PMJ)"
"f796d625-8cb7-5462-9f8b-c64ae8819b3d","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Installation","Entry door hung"
"87f83f96-ad5c-529a-b05c-6eddbea2cec2","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Installation","Finish floor height: +/- 10mm (attach photo)"
"8da8f3e2-3f79-5dd3-aafe-d12723c1014f","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Installation","All install work 100% completed to required specifications"
"612f13de-a632-5ef7-b05c-b04428e006f2","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Installation","Area left clean and tidy (attach photo)"
"1938beb9-63e6-43de-8bb2-d02e1f9167de","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist"
"262cd087-256b-5335-a099-bdf341c83f55","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
"a499955a-fc9c-5ef7-82af-f931552b7995","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Bathroom and toilet vanity installed"
"6b7673cf-b56e-520c-ac91-32928e1b1f87","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Handrails, toilet rolls and towel rails installed"
"0c81d099-05cf-5c9e-9a81-5122203ef07a","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Entry door hardware installed and closes sufficiently"
"aba0768d-9af5-5da5-8f1c-a3029e765686","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Fire tags installed on the door and door jamb"
"941cd819-67ea-5e37-a3eb-158f8a0b07a6","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Shower trays installed"
"e1b719a1-1e17-5532-a340-51f10cc7c024","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Install TV Brackets, Tablet Mounts"
"e89e1875-3409-5743-988f-a919bf19a30d","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","Area left clean and tidy (attach photo)"
"ec05f5e9-df12-5bbf-aee0-cee416d65dad","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist","All work 100% completed to required specifications"
"0499fa6a-3189-4ebf-b740-9b3d295c2246","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6"
"7cbde588-52b6-4be2-aaeb-33bffbce52ba","","checklist-flat","pass","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Rough In"
"2e6d391d-a788-5919-a62d-5025e3bf47f6","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Rough In","Cavity pockets installed"
"37776954-6c31-5de8-ace4-12c5a5af5cd9","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Rough In","Mark Out Noggins - Bathrooms, TV, Tablet Mount"
"6c156cd3-8cf2-5164-b5c9-da4b483413e2","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Rough In","Install Window Reveals"
"aee5c5f5-05c3-4baa-9332-ea0a7f9cb24b","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation"
"7503fdd8-36de-5efd-b283-38c008cf5742","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Internal doors hung"
"e4fea0d6-cc34-516c-8ece-e3746b392bfe","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Skirting installed"
"ef0c02c2-1cdf-566f-be7a-f0452693b11e","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Cavity doors installed"
"b4093173-b5ae-5ff5-b23f-02a0ca43ef86","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Window architraves installed"
"459264a2-0f65-5326-aa2f-6e650964a776","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Wardrobe jamb installed"
"47aecd25-37da-58c8-866f-236ac67b3091","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Entry door hung"
"caffa9f4-53ce-5435-885c-20c79bc93ad6","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Finish floor height: +/- 10mm (attach photo)"
"9bd9b4e3-2351-5642-ab20-76b2927d6dbe","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","All install work 100% completed to required specifications"
"b7d38a84-99df-5683-96dc-6e4b32201a5f","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation","Area left clean and tidy (attach photo)"
"522ac5f3-21f9-4c6a-b9ce-2c9b43bd4509","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist"
"3d4ab5f8-42ec-5544-9aae-8f32674dd779","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
"fa1f3ecd-f300-5530-9bdb-7fb2311c1507","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Bathroom and toilet vanity installed"
"25821725-d98c-5293-a587-64eec7c9e2aa","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Handrails, toilet rolls and towel rails installed"
"03edd1ca-32a8-55d5-8ef0-4d1e4a534b4d","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Entry door hardware installed and closes sufficiently"
"a726c00f-e33e-58c5-becb-dad5f3adb6fe","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Fire tags installed on the door and door jamb"
"0cc06173-ba09-5292-913d-a7a2401c6a1a","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Shower trays installed"
"be6ce966-d367-54e0-9cd1-c9e6c438065a","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Install TV Brackets, Tablet Mounts"
"3c993eb2-e287-5af2-9534-26aa15599e40","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","Area left clean and tidy (attach photo)"
"8a672295-53b8-53e5-8e18-88b76939392d","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist","All work 100% completed to required specifications"
"5c0322dc-3ecb-4a36-9069-66586bb5210a","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7"
"d06f7452-77c2-4112-8459-f5a74b864cf1","","checklist-flat","pass","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Rough In"
"6dde8c45-e0b9-57d9-a4c0-6f0b1cbdafdb","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Rough In","Cavity pockets installed"
"7dd8ae06-6180-5336-bf8f-7b3aeb7b2770","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Rough In","Mark Out Noggins - Bathrooms, TV, Tablet Mount"
"d128c8b1-488d-5604-8bf0-6db871b6b99d","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Rough In","Install Window Reveals"
"637bb2ac-2c03-4376-9096-b39c5c590201","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation"
"bd09d6c5-5a56-5fd0-bf37-ee1b6079f407","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Internal doors hung"
"ec36d6f0-99da-5f62-a544-99b97212ae4c","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Skirting installed"
"484047ba-533e-5bd3-87de-da12f8c099dc","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Cavity doors installed"
"b25cafcf-a7ac-58db-a8fe-ccb79c726d07","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Window architraves installed"
"caad3662-665d-5287-93b7-c8f7256a2cde","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Wardrobe jamb installed"
"df84bc56-3489-5127-bc25-04e70f103631","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Entry door hung"
"4246e7fa-d0d5-5628-bc4b-387396c7e024","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Finish floor height: +/- 10mm (attach photo)"
"2249ebb6-8809-5f71-b4a3-189d7974c632","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","All install work 100% completed to required specifications"
"42e2896c-2a21-5dba-b1a1-439fc1176100","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation","Area left clean and tidy (attach photo)"
"2e7bad33-583b-4605-bd01-9d1813120ec5","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist"
"fcd627c7-c10b-51ca-bc29-a060b535c64d","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
"8e5befb9-56cc-5859-9b05-7e6a5813bfdf","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Bathroom and toilet vanity installed"
"a6df2650-db4d-54d2-92e5-7b6ed334059c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Handrails, toilet rolls and towel rails installed"
"dc66c151-f920-5460-85e7-af016c07a187","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Entry door hardware installed and closes sufficiently"
"3f573b5a-ae40-54af-b67c-845f7cd6766c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Fire tags installed on the door and door jamb"
"db3050b7-b427-5b4a-8cfa-9c5522452d9f","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Shower trays installed"
"159e0005-98b7-5a89-aaa2-40b1d731cdb8","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Install TV Brackets, Tablet Mounts"
"6f37d2d1-4e71-5b0f-b0a9-1900c072f3ec","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","Area left clean and tidy (attach photo)"
"1937e5d2-8c18-56f8-b7a4-2944cbc1ab8c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist","All work 100% completed to required specifications"
"fee08d06-7c70-418a-8905-6973e1f15006","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8"
"201c60af-7692-4857-911b-2a7b7469c7f2","","checklist-flat","pass","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Rough In"
"552b7311-81a8-5758-8cff-25eebcaee0c6","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Rough In","Cavity pockets installed"
"314e35a3-7697-51db-8002-f5d62d1bab8f","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Rough In","Mark Out Noggins - Bathrooms, TV, Tablet Mount"
"b4d08707-5825-5746-b58e-29e1e64ab880","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Rough In","Install Window Reveals"
"3c4773f1-53aa-41f9-b36d-263445118d83","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation"
"0d4dd259-8e81-5664-8540-f394a22f9773","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Internal doors hung"
"6ba452c0-4c26-5d0d-8213-2a6f6a74d85f","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Skirting installed"
"6e193752-4109-5d7f-b365-f95bab256839","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Cavity doors installed"
"a02f4557-0583-5adf-ad0b-e188496b18d7","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Window architraves installed"
"42a3f335-632f-541b-a612-1c2ae4ff505a","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Wardrobe jamb installed"
"794db46c-88b6-5282-b427-9d60ef709295","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Entry door hung"
"6fcb4b60-d1eb-5837-9f97-09c90cffb38f","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Finish floor height: +/- 10mm (attach photo)"
"d70f510e-1ba5-5ff5-b889-976214b67ba3","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","All install work 100% completed to required specifications"
"9862086a-0d42-507e-b2eb-f533666c9c75","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation","Area left clean and tidy (attach photo)"
"82568053-2d62-423d-9184-98b48806d146","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist"
"28a9a15a-130a-5fed-a0cc-2171f75e8ad4","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
"17717c7b-3f84-5ba9-bfe8-66647f5cbf0e","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Bathroom and toilet vanity installed"
"847de198-0e04-595f-943a-815ff3786a7c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Handrails, toilet rolls and towel rails installed"
"098032b8-452d-5fc8-857e-c68f6695afde","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Entry door hardware installed and closes sufficiently"
"f2032d25-abb6-5979-ba7a-b488cbb14791","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Fire tags installed on the door and door jamb"
"a11c1fed-4bd8-5e4a-99ba-4ebf20cd2d76","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Shower trays installed"
"855d0d29-3292-5117-9126-443987890047","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Install TV Brackets, Tablet Mounts"
"4554da9b-96ab-5a85-ad56-ab5aa22077c1","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","Area left clean and tidy (attach photo)"
"6d83d994-dc5e-5242-b944-ce8da4b1ad21","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist","All work 100% completed to required specifications"
"b2b11448-e4a1-4c7d-81fb-d66a0e5cec08","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9"
"ba9142b2-57cd-4742-89bb-900978b1d126","","checklist-flat","pass","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Rough In"
"7652d0ac-f0a0-52fc-8cea-753f2cda026b","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Rough In","Cavity pockets installed"
"f3733b3f-dca5-59bf-a0b0-e521505ba262","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Rough In","Mark Out Noggins - Bathrooms, TV, Tablet Mount"
"52894274-9028-5ac4-8ba7-5b321d7dab4b","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Rough In","Install Window Reveals"
"b13351b3-d405-421a-9ec1-b599dc9f45af","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation"
"3c903060-ff43-5fce-b8ab-4c71dda11d64","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Internal doors hung"
"0eda904c-ee03-52b4-946b-5a3b5503f596","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Skirting installed"
"1948038b-8dbe-5065-9d68-d244057a5b79","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Cavity doors installed"
"c92fd3bc-4a94-520c-bb21-0a1221a5a04b","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Window architraves installed"
"3d096d63-053b-5477-835f-4c1cc40417d7","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Wardrobe jamb installed"
"2e884d40-6580-5763-8e7d-e1a822441bbb","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Entry door hung"
"3366af56-da7c-5a5e-8cec-4990b1bd0133","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Finish floor height: +/- 10mm (attach photo)"
"e1d26f8c-c204-5286-af1f-f15f248480d9","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","All install work 100% completed to required specifications"
"dbdb6746-a64a-5d2b-b0ee-31e921ec1337","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation","Area left clean and tidy (attach photo)"
"69dedcda-151a-4443-85fa-48bd2c1bfef8","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist"
"a380576a-df37-5aef-ac39-8fe9e25fb8bf","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
"45b6e73c-77cb-5a05-b2ce-406df6e73b21","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Bathroom and toilet vanity installed"
"e585d6c8-cf57-51d3-91b2-d41e53e01915","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Handrails, toilet rolls and towel rails installed"
"10d28d6a-dad3-5114-a6ae-c1542092858c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Entry door hardware installed and closes sufficiently"
"9e83e171-1128-5a67-b508-eeb4d67b62a6","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Fire tags installed on the door and door jamb"
"48adfe0c-43e5-5f5f-aa0e-ad3ca7357ece","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Shower trays installed"
"2fa53734-5e20-552c-8eb4-aa28edd85449","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Install TV Brackets, Tablet Mounts"
"61205a6d-b500-5a44-95bf-13aa0b66ad52","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","Area left clean and tidy (attach photo)"
"86f3822e-a59b-5dee-be5c-59baca48aeda","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist","All work 100% completed to required specifications"
"a88ef1cb-8ed0-4c78-a564-8d855fe6350c","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10"
"bff434f7-45a2-4685-bd31-22f1df83ac6d","","checklist-flat","pass","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Rough In"
"99ed3c5b-7760-55a0-87d3-876d66956356","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Rough In","Cavity pockets installed"
"adbe9b34-74b5-5de7-9f26-a9f8646691b7","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Rough In","Mark Out Noggins - Bathrooms, TV, Tablet Mount"
"85f2f5fe-5edc-58b5-994c-30e87fdde11f","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Rough In","Install Window Reveals"
"b98486a8-aa43-446b-aad3-bf6a88529ba6","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation"
"d1b6010b-9e84-547c-8391-d6f673aa8f0c","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Internal doors hung"
"6177d7f5-9b7c-5690-b5cc-b759892983e4","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Skirting installed"
"51e45cfb-f4ac-5efd-9ab0-fe62dd282c42","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Cavity doors installed"
"ba43177b-0103-5f9a-b463-085e474659b0","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Window architraves installed"
"4edda75e-012c-592d-bc07-1d8eca088b96","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Wardrobe jamb installed"
"221c8de6-e32c-5b40-8418-fb3ed155dd6e","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Entry door hung"
"c0a886b1-78ad-5bc2-aa58-4c636dfe85de","","checkpoint-status","not-applicable","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Finish floor height: +/- 10mm (attach photo)"
"dd835397-c6d3-5a5d-b502-6d965d721388","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","All install work 100% completed to required specifications"
"0ce69635-0412-5e1b-a0ef-a89aa20c78b1","","checkpoint-status","pass","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation","Area left clean and tidy (attach photo)"
"ab40c340-d8ab-459a-afd4-a5014cb7f175","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Care/ALS Fit Off Checklist"
"dd2fabc2-3611-5009-8fb3-0292a635a66c","","checkpoint-status","not-started","","","TRUE","TRUE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Care/ALS Fit Off Checklist","Installation of door hardware and door closes sufficiently"
