"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78a15e3e-20fa-4d3c-9b0f-df4056f099bb","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"61752d13-5766-5203-a82a-4290b70c10cb","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"8f1b661f-5052-4b94-8bad-6d49f694825a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"d81bd13c-5409-49cf-bffd-09a9301bc1b0","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"6d0c1363-a917-57b6-91b2-2f787ce792f4","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"1f50ea1c-cfef-577f-9961-2d8213b45536","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"da8f8f9f-8655-5431-8d69-5e0f232d1474","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"2a166c60-3e09-5207-8985-ff6193cac93b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"44a3a271-4580-4335-8296-20af7937314a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 25"
"a0e4de02-b522-40a6-8202-6890318ab118","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -1"
"a51e79d6-2844-5d4b-afd9-64b0b91764af","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check"
"99ee0ede-f901-57b5-8cab-70fcfec615ff","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Pre-Pour Check","Reinforcing"
"eb4d3912-66e9-5ab1-a63a-f3dfb7d5b6a4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Pre-Pour Check","Cast In Items"
"bfb452e9-ad10-5bd1-b1cb-45deb5aaeb9d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Pre-Pour Check","Marker Position and No."
"4827dbac-cd44-5f96-b56b-6239771fd46c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Pre-Pour Check","Make mould to Green Status"
"073f2052-a956-500d-a8b7-9f7afece4ef4","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Concrete Works"
"d11840ce-a2d9-5755-843e-2f42ab59efa4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Concrete Works","Concrete Works Details"
"85b799a7-c613-538e-bcf9-6a638d7475aa","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Concrete Works","Wilco Sample Taken"
"04c87beb-804a-559d-b92f-4a49ed31eae2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Concrete Works","Bridgeman Sample Taken"
"c4aa3282-dc7c-57fc-98bd-27b019f76fb8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Concrete Works","Supervisor Approval"
"d0e21a5c-6a6d-586d-9990-1df8a45e7d69","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Post Pour Check"
"aef49c4c-a8e1-503a-bcf9-9dd18c7f6d9b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Post Pour Check","Edge Detail"
"85ee307a-17e6-51be-aec4-cfd14a60791f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Post Pour Check","Bar Projections"
"f8e0eb23-e931-5612-a512-070d219b5d05","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Post Pour Check","Cast in items"
"50aedff7-1021-5b26-986e-851c3d5d4c8e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Stripping and Stacking"
"ad00e560-61ce-558e-a139-02dca3f6e0f3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -25","Stripping and Stacking","Stripping & Stacking"
"8a4e0385-00de-44e7-9efd-7070cf0f77e4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 26 - 50"
"43fa6d68-6c46-4955-aecc-7ce6167906da","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -26"
"c753a418-5660-5c29-99ca-c2ea4607f4ee","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check"
"cd657e07-bfad-53dd-a7a9-e7b00e880c8c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Dimensions"
"9905adda-76b0-572a-b6be-bfa4d3a86941","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Mould Clean"
"f605befc-8ac0-548f-96b5-e7da4f5fb236","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Mould Oiled"
"a9138ca5-a31d-5ad1-93cb-0b1b8816fdfb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Mould - Workmanship"
"af9b22b7-9f1e-5f75-82a0-c912bf3ee1e6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Reinforcing"
"ec1d81bd-b038-53d6-9d9e-bfa4432ea3c2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Cast In Items"
"8bd221b6-9437-5018-8a90-3bbee6e6be58","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Marker Position and No."
"783369d7-69ee-5281-8a9b-ecf69b68442a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Pre-Pour Check","Make mould to Green Status"
"5b8bb4c8-1dba-5def-b565-77154a45cfcf","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Concrete Works"
"f80600da-fc4c-5a1c-9fd1-744c727fc051","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Concrete Works","Concrete Works Details"
"66251932-e4bc-5605-a718-a338ad8b34a6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Concrete Works","Wilco Sample Taken"
"a4db4214-f255-540e-8e84-b894e10fbd10","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Concrete Works","Bridgeman Sample Taken"
"839d4d7c-1ff1-5f46-a8f8-5e0d14ee903b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Concrete Works","Supervisor Approval"
"f2288b4b-71a9-5c26-85c4-bb7959d694a3","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Post Pour Check"
"0dfaa8a9-7ce7-5858-af4f-562e4aeda66b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Post Pour Check","Edge Detail"
"15e0204d-93dc-5852-adb8-a24f1062ba32","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Post Pour Check","Bar Projections"
"a776a611-c9f7-5b90-bfda-af70c2ca4946","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Post Pour Check","Cast in items"
"edd8e789-5bd7-5893-885d-abcd75e6e38e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Stripping and Stacking"
"66a10b8f-6b4b-5686-9489-33077a60addc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -26","Stripping and Stacking","Stripping & Stacking"
"aaecfe9f-c02c-4e1e-bc49-5f45f8ef966d","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -27"
"6fe05355-650a-55cd-bc33-38770c7bb592","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check"
"a2cbd6a4-8576-5148-8310-0e8caf2cf09e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Dimensions"
"5bc69b3c-f2a7-52f3-b7d4-079353f69d74","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Mould Clean"
"eeee1df3-3806-5472-829c-66c7c3db7474","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Mould Oiled"
"7cab8b7a-a552-5561-8c7d-359f95a4186f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Mould - Workmanship"
"b9b094dc-22a0-5eef-b3af-3664a02a819a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Reinforcing"
"b1ee0fa9-e8c2-5854-938b-a6ce8e69ee81","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Cast In Items"
"2a615cf9-2956-5227-b51e-4b31b65970b1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Marker Position and No."
"11551c13-bc76-5051-924c-4aa2ad52c6c7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Pre-Pour Check","Make mould to Green Status"
"a2a85898-517a-5806-94df-5a6aa009f2bc","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Concrete Works"
"642617a1-7fe3-5ae1-aa1a-f0816131f1ff","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Concrete Works","Concrete Works Details"
"270c06d0-883e-5475-a8ee-4abcb05c10dd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Concrete Works","Wilco Sample Taken"
"1ccac66f-b974-512d-874b-78e071d69e0a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Concrete Works","Bridgeman Sample Taken"
"818a32f1-6d33-5d84-aebd-d60dce697c2b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Concrete Works","Supervisor Approval"
"d817f4b4-d7c3-507c-8b8f-e58f55a1a483","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Post Pour Check"
"8daac4bc-fd6b-5a57-adc9-9e7aaf1f3783","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Post Pour Check","Edge Detail"
"50875f69-203f-586f-9c66-7e22b688e816","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Post Pour Check","Bar Projections"
"83ef38e2-531c-5f89-ab26-96c0e7ae5e26","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Post Pour Check","Cast in items"
"63a04bdf-fdd7-59c2-90a0-b238f1a7bca9","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Stripping and Stacking"
"8218a7c5-2198-58b0-9609-cdc1cd430419","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -27","Stripping and Stacking","Stripping & Stacking"
"b8a1ad0b-327d-48ac-a089-abd2eff33008","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -28"
"d80cfdf5-b798-52b7-8a9b-17680dcbb1bb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check"
"d1891c30-4830-5d18-8ac1-1d2d42cb1f02","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Dimensions"
"3cba83f1-ef28-5ae3-a25a-9bd87bb09b7c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Mould Clean"
"a7748673-b492-5139-a55f-b4df4c1d6d23","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Mould Oiled"
"e0731aef-4043-5058-8f88-cac09b83e6f2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Mould - Workmanship"
"11091a36-5e93-5cf1-a97a-d7d98a0acc44","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Reinforcing"
"80f671de-e43f-50b8-8f51-56ac497dba28","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Cast In Items"
"b315ff79-0cc3-573e-b156-dd7da9d256b2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Marker Position and No."
"441021e8-aab3-5bad-9631-11d6dd7f79c6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Pre-Pour Check","Make mould to Green Status"
"49562539-c383-55b1-a57a-49441e79d39b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Concrete Works"
"8bc377c6-bd2d-52e0-9291-8dc348c29c7f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Concrete Works","Concrete Works Details"
"e48695a4-716f-5048-bafd-632306581459","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Concrete Works","Wilco Sample Taken"
"5e6f55d9-e030-52cb-9d16-cded2d9b5afc","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Concrete Works","Bridgeman Sample Taken"
"3117012d-d13f-51e4-81cd-36935c0e8adc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Concrete Works","Supervisor Approval"
"f5d6bfbd-9c61-5203-8075-13558101cc1f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Post Pour Check"
"1956066c-5647-55fe-a184-760975473d84","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Post Pour Check","Edge Detail"
"aec07053-a1ec-5f14-8895-68dcebccf903","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Post Pour Check","Bar Projections"
"b17fe9f8-83be-5100-a164-da8e42076882","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Post Pour Check","Cast in items"
"8f713e97-f2c1-5d53-a3c5-c2d3359aee64","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Stripping and Stacking"
"5b7c7804-c5ec-5cef-b124-0b194e94f00a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -28","Stripping and Stacking","Stripping & Stacking"
"aa3b9d98-e119-45b9-860e-fdfa4dcfcd99","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -29"
"88f0acc6-fcf6-5ca3-93b5-fbbec6fae4bf","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check"
"84573418-8f0d-562d-8c1b-2a8767f7fdda","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Dimensions"
"47a9adaf-294c-5340-a7e5-0aff92dfae0e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Mould Clean"
"8d13bfc1-bb09-53eb-88e3-2128364c38a5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Mould Oiled"
"00938fcd-66a8-5a96-8ec0-b49b85a0a76f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Mould - Workmanship"
"fe3eada5-3d21-5d09-a905-6c9bec218f9a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Reinforcing"
"5595f031-cc92-5720-bcb0-72d15f4dd58f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Cast In Items"
"3249df85-e83a-5e80-9829-353ec34e67e9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Marker Position and No."
"f12cbef3-041d-5a7a-a2fc-fcc551808df5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Pre-Pour Check","Make mould to Green Status"
"bd25f806-5b97-573a-96b0-428fe5b30544","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Concrete Works"
"2103b814-0b13-5b05-a779-2e3ff31362a4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Concrete Works","Concrete Works Details"
"17a3e9fb-db1d-5aee-9d13-48364e77a2a1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Concrete Works","Wilco Sample Taken"
"12bd1978-eb2e-569c-a618-717d19ea0f0e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Concrete Works","Bridgeman Sample Taken"
"489db6bf-5efd-540b-a63c-a8fbe55d4f2b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Concrete Works","Supervisor Approval"
"cbb8e6e6-d2d7-59b6-aad9-9ded61061018","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Post Pour Check"
"0e4e9b83-a2d7-56fa-bc38-0f7f276c1e7c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Post Pour Check","Edge Detail"
"7ba04cc4-2c46-5c27-b14d-2c2aeb63a447","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Post Pour Check","Bar Projections"
"ae52c070-f539-5fc3-9121-30496199216d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Post Pour Check","Cast in items"
"55da9a47-925e-5203-9db3-07554157e6da","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Stripping and Stacking"
"10f9586b-2da8-5dd5-ae2b-585e4d8b32f7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -29","Stripping and Stacking","Stripping & Stacking"
"f3ec8d60-46b9-44dd-a727-7f604e39f285","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -30"
"2fdf61d8-c6a5-515a-a98c-5b5b819a59aa","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check"
"65f42750-b5a1-57a9-9e5a-6e82898ecb87","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Dimensions"
"8b40d139-22d4-56b3-92a5-0bc8ff5b7dca","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Mould Clean"
"415d98e8-2818-5c01-96f2-a0cb7ddfa5e7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Mould Oiled"
"596445ad-7b9c-5cb4-95a0-956ad58036dd","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Mould - Workmanship"
"03d66200-ec50-5729-b9ab-024dc91bb4d1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Reinforcing"
"5896117a-1437-5ff3-a2e1-83eeb36c5c8e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Cast In Items"
"2270f3a9-fa99-5c9d-9127-daf9d6da4b4f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Marker Position and No."
"7fa052ba-0724-5a0c-9972-cf0b7d1c5323","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Pre-Pour Check","Make mould to Green Status"
"e8814a16-d6ad-581c-baaa-d151135bcd70","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Concrete Works"
"b59b7b36-0740-5a26-b4ca-af31b11d99b3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Concrete Works","Concrete Works Details"
"4de1bb4e-3173-52e8-a555-e12f78bf064f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Concrete Works","Wilco Sample Taken"
"8ae258b4-d7fe-5076-b2c8-d803261aca07","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Concrete Works","Bridgeman Sample Taken"
"a7cd6031-c54d-5ca9-82c8-905021e991ca","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Concrete Works","Supervisor Approval"
"36db1bba-d54b-56fb-bb10-5bd15b45d4a8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Post Pour Check"
"1db2cf8f-b0a0-5989-ba14-37b3a4f6b520","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Post Pour Check","Edge Detail"
"a8ae4e1a-f57b-5301-bdec-311f7481ad92","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Post Pour Check","Bar Projections"
"3b6b8722-1cd4-5508-a77b-ee28c2f606df","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Post Pour Check","Cast in items"
"fcd31e5f-b142-56cb-a7c7-f9faf4a8c2f0","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Stripping and Stacking"
"911c575e-1b76-5149-99be-7ce60cbb12b8","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -30","Stripping and Stacking","Stripping & Stacking"
"2c5bfe54-3960-4fc1-ae6d-5a8b4e477c1b","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 26 - 50","Panel -31"
"a1e31d30-2385-5b58-9e8e-852898ae5289","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check"
"d632a55e-d6e6-580a-9b2d-53e53732994c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Dimensions"
"4ba72998-7821-52df-ac8b-5357445d00aa","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Mould Clean"
"f1f76df4-5808-5017-bbc9-22d7d568bc83","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Mould Oiled"
"c5f1efb3-b9c4-53e2-b210-97944e20a137","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Mould - Workmanship"
"f6085a0a-0cc9-5b4f-b9d1-2ff31b49207e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Reinforcing"
"f3dc1e56-4ecc-5a61-9497-9560312e2659","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Cast In Items"
"fcdc729a-0fb2-5068-92a1-8b10d570f74a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Marker Position and No."
"0c96d6c7-467a-5358-81ee-1025bd58579c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Pre-Pour Check","Make mould to Green Status"
"af13fc73-bccb-5760-b269-5a41d6bb8bd6","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Concrete Works"
"15bb4b1e-74eb-56a9-ae55-8c38198cbc95","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Concrete Works","Concrete Works Details"
"b36d905e-01cc-58e8-bb09-1fb978581206","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Concrete Works","Wilco Sample Taken"
"0c0190f3-9ba6-5de5-abd9-b450861ed2fd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 26 - 50","Panel -31","Concrete Works","Bridgeman Sample Taken"
