resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Consult Room 0.3.017,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet/Accessible 0.3.018,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office /Write up 5m2 0.3.021,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Gymnasium/Group Therapy 0.3.016,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Occupational Therapy Room 0.3.013,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Airlock/Entry 0.1.000,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Waiting/Entry Foyer 0.1.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Café/Retail 0.1.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Indigenous Health Liaison Office 0.1.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Quiet Room 0.1.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Multi Purpose Room 0.1.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room - Inboard Ensuite Type 2 0.2.066,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room - Inboard Ensuite Type 2 0.2.067,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Laundry/Patient 6m2 0.2.020,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 10m2 0.2.021,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Consult Room 0.3.001,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Consult Room 0.3.003,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet/Accessible 0.1.005,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Parenting Room 0.1.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet/Public 0.1.007 & 0.1.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Reception 10m2 0.1.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room/Allied Health 0.3.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room/Allied Health 0.3.005,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Workstation 0.3.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room/Allied Health 0.3.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, ADL Bathroom 0.3.007,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, ADL Kitchen 0.3.010,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Electronic Distribution Board 0.E.013,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Electronic Distribution Board 0.E.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay/Workastation on Wheel 0.2.042,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay/Linen 0.2.044,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Linen 0.2.022,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 0.2.025,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay Photocopy/Stationary 0.2.023,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Handwashing Type B 0.2.024,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Meal Trolley 4m2 0.2.029,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Handwashing Type B 0.2.026,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Electronic Distribution Board 0.E.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store Equipment 14m2 0.3.000,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,Level 01,,,,,,,,
,,,,,step,,,,,, Plant Room 1.E.011,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Electronic Distribution Board
1.E.010",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, GEM Terrace 1.1.072,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Therapy / Multipurpose Room 1.1.000,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.002,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.003,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.006,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.007,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.003,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 4 Bed Room - Inboard Ensuite 1.1.010,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.013,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.014,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dining / Recreation / Therapy Room 1.1.029,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Comms Room 1.E.007,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Workstation on Wheels 1.1.031,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Beverage, Open Plan 4m2 1.1.028",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Handwashing, Type B 1.1.027",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - 1 Person NUM 1.1.033,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - Clinical Workroom 1.1.032,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 14m2 1.1.035,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Utility / Medication Room 1.1.036,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dirty Utility 14m2 1.1.037,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room 1.1.038,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Accessible 1.1.039,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Store 10m2 1.1.040,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Disposal Room 10m2 1.1.042,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Cleaners Room 5m2 1.1.043,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Staff 1.1.040,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store - General 1.1.045,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Linen 1.1.046,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Handwashing Type B 1.1.047,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Handwashing Type B 1.1.048,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 1.1.044,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Electronic Distribution Board 1.E.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Plant Room 1.E.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store - Equipment 20m2 1.1.049,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.050",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.053",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.054",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.057",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.058",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.061",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.062",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.065",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Lounge - Patient / Family 20m2 1.1.066,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.068",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Inboard Ensuite, Type 2 1.1.069",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Meeting Room 20m2 1.2.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Breakout Room 1.2.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Breakout Room 1.2.007,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Workstations 1.2.000,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 2 Person 1.2.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 2 Person 1.2.011,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 2 Person 1.2.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 2 Person 1.2.013,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store - Photocopy / Stationery 8m2 1.2.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Meeting Room 30m2 1.2.014,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 1 Person 1.2.015,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Accessible 1.2.004,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Accessible 1.2.006,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Room 1.2.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Staff 1.2.005,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Staff 1.2.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Lounge - Patient / Transit 1.1.020,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.018,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite - Type 2 1.1.017,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, FoH Lift Lobby 1.T.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Patient 1.1.021,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
