"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69fc2694-9bb1-40bf-a8f5-7742a3f5245e","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"ed3ca95c-8bf8-5a94-96f6-f5aff0ea31e5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"65319923-703b-57b5-96ad-6491dd27af79","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"ceba7dc6-4608-5e7e-b163-8404051ea580","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"95d15a1a-84b7-5fc8-b2bc-e4a7a94abb05","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"f12ee1bf-487a-5291-a09a-37a39cff6e9f","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"4cb65349-23c8-514b-b0bb-c5a9b131dc1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"f6cb13f3-fb45-44ea-9539-741e3d35053e","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"35a03ffb-2dae-4f00-b76f-73255cb6e0d9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"c1c0b7c4-00b9-4421-99bd-14ed1d699297","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"3ba9be09-6e32-4c61-b243-3fac2af23f7d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"a3cd47d1-d0d5-5cf4-b8ca-17d477d19ea4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"4b7fcedb-8fdb-5293-9b69-d915344f39b6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"c942b6c9-cb5e-469b-9acf-49ccf1f6a30f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 11"
"58149e24-5c94-5742-b285-ba856216aaf7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"ee6973d2-f62d-5803-9c22-da441883983d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"c9236cb3-a349-4918-984b-28cabb7052c2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 12"
"b45d761a-1318-5eab-8105-726412ed2311","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"cbb3d9cb-b848-5971-a3f5-1c82b312a432","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"be603da5-bd8a-4033-8207-4d5cce79ba08","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 13"
"db881efe-8aa8-5812-9ac0-8a4e107a8791","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"080254dc-8524-52ef-bad0-1a2804693e16","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"9110da33-95fe-414a-b692-424d0063ffa2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 14"
"88ce7f14-a25e-5ee8-8e25-73f7ca9ee7f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 14","Required number of photo(s) taken of installed anchor(s)"
"544c6261-2c7e-538c-936c-40ec050036c1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"2a97c237-cc16-4d92-ae17-11fd7af9f798","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 15"
"1da52853-f3da-52cd-a11d-c05134ad67c5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 15","Required number of photo(s) taken of installed anchor(s)"
"48bc5348-5cb4-51db-a82b-c05130c119c8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 15","Installed as per PBI drawings supplied and manufacturer's requirements"
"31d36e42-95ef-4ed0-b1cf-58fb5627ad6a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 16"
"3263252a-016e-58fe-8aac-26dab5603dde","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
"85667cf3-0c6b-5089-876f-a84c383cf67a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 16","Installed as per PBI drawings supplied and manufacturer's requirements"
"fa1b7ac7-f613-424d-9609-f25b597b411d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 17"
"4cbb3f56-ce56-5274-9a6d-cc0f1841a0bc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 17","Required number of photo(s) taken of installed anchor(s)"
"f8eee2b7-46b3-523c-bbec-19d8af89873a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 17","Installed as per PBI drawings supplied and manufacturer's requirements"
"7a5e3951-7254-4a97-8d54-0b27c5f9b3a2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 18"
"6adf853b-6075-5726-89ca-13e412092acb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 18","Required number of photo(s) taken of installed anchor(s)"
"67d3a50f-2d9c-5f3a-908e-834dcf68c7f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 18","Installed as per PBI drawings supplied and manufacturer's requirements"
"1d962fcd-fbd9-49ee-8e16-c581dc36b99d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 19"
"8c7ecb05-291d-504b-8f2d-bfb6fbfd3be9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 19","Required number of photo(s) taken of installed anchor(s)"
"55bb4165-3ace-5cc2-8376-33f966b18f7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 19","Installed as per PBI drawings supplied and manufacturer's requirements"
"18a25a38-2027-4423-8093-d7d836382c6a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 20"
"5f38332e-b832-594d-8b83-30c3f41c811b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 20","Required number of photo(s) taken of installed anchor(s)"
"60dfdf92-05bc-5e80-84de-a9759773ee59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 20","Installed as per PBI drawings supplied and manufacturer's requirements"
"2c7d656a-1376-43b8-b131-01cc9877284c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 21"
"8341a04f-8eea-5031-a250-43353deaff59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 21","Required number of photo(s) taken of installed anchor(s)"
"9b8f0fa1-1520-5ea2-b0f1-40c0a0711f4b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 21","Installed as per PBI drawings supplied and manufacturer's requirements"
"4554d8ff-6c48-4498-8ece-a8162042b333","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 22"
"fdefa7ce-614c-5bef-98da-00179bb0a5a0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 22","Required number of photo(s) taken of installed anchor(s)"
"728ace00-ad50-541e-b632-72ddea86491c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 22","Installed as per PBI drawings supplied and manufacturer's requirements"
"1bbbd043-f0fc-42c3-ac32-1b49555c9712","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 23"
"deedbf9e-a6b0-5b3e-a0bf-4b7cbedce0f6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 23","Required number of photo(s) taken of installed anchor(s)"
"ab35e587-f225-5fbc-a6a9-338207fd8988","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 23","Installed as per PBI drawings supplied and manufacturer's requirements"
"6e21592d-a937-4afb-9001-ec19fc7108e0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Roof Access Requirements"
"272fac79-e89a-4e2a-bd83-24e92da4ad7e","","checklist-flat","work-in-progress","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"d22f0d86-c8ad-5b5b-8b78-1510598290bd","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Roof Access Requirements","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"fec5d142-9899-4598-8f9c-3eedba656dbc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Data Plate & Access Point"
"19a5f1e1-feff-4d92-8d30-5da90b553df3","","checklist-flat","work-in-progress","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","Data Plate & Access Point","Data Plate, Access Point & Travellers"
"41e21652-df26-5775-b197-ea527c073ef2","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","Details of Data Plate"
"a406cef2-9375-5740-96de-1d8d8c2036d1","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","1 photo required of Data Plate"
"d8401681-d5f1-5d54-9363-60c8baf998c2","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","Details of Access Point"
"a32bd2a6-a7e0-5ddb-9a40-3fd8b56b30a0","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","1 photo required of Access Area"
"5ecf68e1-3bee-50de-89be-9bcc099c9ce9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","Details of Rail Carriages/Cable Travellers"
"1e52e22d-37df-5ecf-873c-7cb0d0f703cb","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate, Access Point & Travellers","1 photo required of carriages/travellers"
"45f51ec6-47e5-4985-81f0-d262bf1bf089","","checklist-flat","no-status-not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"e55777b6-0083-50ed-b1c9-a795428e36b7","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"eed8fab7-0416-5e08-b73f-2872c8b39155","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review to PM"
"7863d49a-4e8f-5eda-8312-79b1850f4e92","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"318ec186-f375-5324-8db5-ec02bc1c2aca","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Additional information required"
"0c726519-4529-5425-9830-e1024f559139","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
"ad41b92a-3374-5f7e-a7bd-bea2fdae76f6","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Send to PBI Admin"
