"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hallway Rough In Progress"
,"Scope",,,"rough in"
,"Rows"
,,"G","grouping","rough in","g"
,,"Ensure area is left clean",,"ensure area is left clean"

"Apartment Cut Out Progress"
,"Scope",,,"cut out"
,"Rows"
,,"L2","grouping","cut out","l2"
,,"Apt 2.01",,"apt 2.01","cut out"
,,"Apt 2.02",,"apt 2.02","cut out"
,,"Apt 2.03",,"apt 2.03","cut out"
,,"Apt 2.04",,"cut out","apt 2.04"
,,"Apt 2.05",,"apt 2.05","cut out"
,,"Apt 2.06",,"apt 2.06","cut out"
,,"Apt 2.07",,"cut out","apt 2.07"
,,"Apt 2.08",,"cut out","apt 2.08"
,,"Apt 2.09",,"apt 2.09","cut out"
,,"L3","grouping","cut out","l3"
,,"Apt 3.01",,"cut out","apt 3.01"
,,"Apt 3.02",,"apt 3.02","cut out"
,,"Apt 3.03",,"apt 3.03","cut out"
,,"Apt 3.04",,"apt 3.04","cut out"
,,"Apt 3.05",,"cut out","apt 3.05"
,,"Apt 3.06",,"apt 3.06","cut out"
,,"Apt 3.07",,"apt 3.07","cut out"
,,"Apt 3.08",,"cut out","apt 3.08"
,,"Apt 3.09",,"cut out","apt 3.09"
,,"L4","grouping","l4","cut out"
,,"Apt 4.01",,"cut out","apt 4.01"
,,"Apt 4.02",,"cut out","apt 4.02"
,,"Apt 4.03",,"apt 4.03","cut out"
,,"Apt 4.04",,"apt 4.04","cut out"
,,"Apt 4.05",,"cut out","apt 4.05"
,,"Apt 4.06",,"apt 4.06","cut out"
,,"Apt 4.07",,"apt 4.07","cut out"
,,"Apt 4.08",,"apt 4.08","cut out"
,,"Apt 4.09",,"cut out","apt 4.09"
,,"Apt 4.10",,"apt 4.10","cut out"
,,"Apt 4.11",,"apt 4.11","cut out"
,,"Apt 4.12",,"cut out","apt 4.12"
,,"Apt 4.13",,"cut out","apt 4.13"
,,"Apt 4.14",,"apt 4.14","cut out"
,,"Apt 4.15",,"apt 4.15","cut out"
,,"Apt 4.16",,"cut out","apt 4.16"
,,"Apt 4.17",,"apt 4.17","cut out"
,,"Apt 4.18",,"apt 4.18","cut out"
,,"L5","grouping","l5","cut out"
,,"Apt 5.01",,"apt 5.01","cut out"
,,"Apt 5.02",,"cut out","apt 5.02"
,,"Apt 5.03",,"cut out","apt 5.03"
,,"Apt 5.04",,"apt 5.04","cut out"
,,"Apt 5.05",,"apt 5.05","cut out"
,,"Apt 5.06",,"cut out","apt 5.06"
,,"Apt 5.07",,"apt 5.07","cut out"
,,"Apt 5.08",,"apt 5.08","cut out"
,,"Apt 5.09",,"apt 5.09","cut out"
,,"Apt 5.10",,"cut out","apt 5.10"
,,"Apt 5.11",,"apt 5.11","cut out"
,,"Apt 5.12",,"apt 5.12","cut out"
,,"Apt 5.13",,"cut out","apt 5.13"
,,"Apt 5.14",,"cut out","apt 5.14"
,,"Apt 5.15",,"apt 5.15","cut out"
,,"Apt 5.16",,"apt 5.16","cut out"
,,"Apt 5.17",,"cut out","apt 5.17"
,,"Apt 5.18",,"apt 5.18","cut out"
,,"L6","grouping","cut out","l6"
,,"Apt 6.01",,"cut out","apt 6.01"
,,"Apt 6.02",,"cut out","apt 6.02"
,,"Apt 6.03",,"apt 6.03","cut out"
,,"Apt 6.04",,"apt 6.04","cut out"
,,"Apt 6.05",,"apt 6.05","cut out"
,,"Apt 6.06",,"cut out","apt 6.06"
,,"Apt 6.07",,"apt 6.07","cut out"
,,"Apt 6.08",,"apt 6.08","cut out"
,,"Apt 6.09",,"cut out","apt 6.09"
,,"Apt 6.10",,"apt 6.10","cut out"
,,"Apt 6.11",,"apt 6.11","cut out"
,,"Apt 6.12",,"cut out","apt 6.12"
,,"Apt 6.13",,"cut out","apt 6.13"
,,"Apt 6.14",,"apt 6.14","cut out"
,,"Apt 6.15",,"apt 6.15","cut out"
,,"Apt 6.16",,"apt 6.16","cut out"
,,"Apt 6.17",,"cut out","apt 6.17"
,,"Apt 6.18",,"apt 6.18","cut out"
,,"L7","grouping","cut out","l7"
,,"Apt 7.01",,"apt 7.01","cut out"
,,"Apt 7.02",,"cut out","apt 7.02"
,,"Apt 7.03",,"cut out","apt 7.03"
,,"Apt 7.04",,"apt 7.04","cut out"
,,"Apt 7.05",,"apt 7.05","cut out"
,,"Apt 7.06",,"apt 7.06","cut out"
,,"Apt 7.07",,"cut out","apt 7.07"
,,"Apt 7.08",,"apt 7.08","cut out"
,,"Apt 7.09",,"apt 7.09","cut out"
,,"Apt 7.10",,"cut out","apt 7.10"
,,"Apt 7.11",,"apt 7.11","cut out"
,,"Apt 7.12",,"apt 7.12","cut out"
,,"Apt 7.13",,"cut out","apt 7.13"
,,"Apt 7.14",,"cut out","apt 7.14"
,,"Apt 7.15",,"apt 7.15","cut out"
,,"Apt 7.16",,"apt 7.16","cut out"
,,"Apt 7.17",,"apt 7.17","cut out"
,,"Apt 7.18",,"cut out","apt 7.18"
,,"L8","grouping","l8","cut out"
,,"Apt 8.01",,"apt 8.01","cut out"
,,"Apt 8.02",,"apt 8.02","cut out"
,,"Apt 8.03",,"cut out","apt 8.03"
,,"Apt 8.04",,"cut out","apt 8.04"
,,"Apt 8.05",,"apt 8.05","cut out"
,,"Apt 8.06",,"apt 8.06","cut out"
,,"Apt 8.07",,"cut out","apt 8.07"
,,"Apt 8.08",,"apt 8.08","cut out"
,,"Apt 8.09",,"apt 8.09","cut out"
,,"Apt 8.10",,"cut out","apt 8.10"
,,"Apt 8.11",,"cut out","apt 8.11"
,,"Apt 8.12",,"apt 8.12","cut out"
,,"Apt 8.13",,"apt 8.13","cut out"
,,"Apt 8.14",,"cut out","apt 8.14"
,,"Apt 8.15",,"cut out","apt 8.15"
,,"Apt 8.16",,"apt 8.16","cut out"
,,"Apt 8.17",,"apt 8.17","cut out"
,,"Apt 8.18",,"cut out","apt 8.18"
,,"L9","grouping","l9","cut out"
,,"Apt 9.01",,"cut out","apt 9.01"
,,"Apt 9.02",,"apt 9.02","cut out"
,,"Apt 9.03",,"apt 9.03","cut out"
,,"Apt 9.04",,"cut out","apt 9.04"
,,"Apt 9.05",,"cut out","apt 9.05"
,,"Apt 9.06",,"apt 9.06","cut out"
,,"Apt 9.07",,"apt 9.07","cut out"
,,"Apt 9.08",,"cut out","apt 9.08"
,,"Apt 9.09",,"apt 9.09","cut out"
,,"Apt 9.10",,"apt 9.10","cut out"
,,"Apt 9.11",,"cut out","apt 9.11"
,,"Apt 9.12",,"cut out","apt 9.12"
,,"Apt 9.13",,"apt 9.13","cut out"
,,"Apt 9.14",,"apt 9.14","cut out"
,,"Apt 9.15",,"cut out","apt 9.15"
,,"Apt 9.16",,"cut out","apt 9.16"
,,"Apt 9.17",,"apt 9.17","cut out"
,,"Apt 9.18",,"apt 9.18","cut out"
,,"L10","grouping","cut out","l10"
,,"Apt 10.01",,"apt 10.01","cut out"
,,"Apt 10.02",,"cut out","apt 10.02"
,,"Apt 10.03",,"cut out","apt 10.03"
,,"Apt 10.04",,"apt 10.04","cut out"
,,"Apt 10.05",,"apt 10.05","cut out"
,,"Apt 10.06",,"apt 10.06","cut out"
,,"Apt 10.07",,"cut out","apt 10.07"
,,"Apt 10.08",,"apt 10.08","cut out"
,,"Apt 10.09",,"apt 10.09","cut out"
,,"Apt 10.10",,"cut out","apt 10.10"
,,"Apt 10.11",,"apt 10.11","cut out"
,,"Apt 10.12",,"apt 10.12","cut out"
,,"Apt 10.13",,"cut out","apt 10.13"
,,"Apt 10.14",,"cut out","apt 10.14"
,,"Apt 10.15",,"apt 10.15","cut out"
,,"Apt 10.16",,"apt 10.16","cut out"
,,"Apt 10.17",,"apt 10.17","cut out"
,,"Apt 10.18",,"cut out","apt 10.18"
,,"L11","grouping","l11","cut out"
,,"Apt 11.01",,"apt 11.01","cut out"
,,"Apt 11.02",,"apt 11.02","cut out"
,,"Apt 11.03",,"cut out","apt 11.03"
,,"Apt 11.04",,"cut out","apt 11.04"
,,"Apt 11.05",,"apt 11.05","cut out"
,,"Apt 11.06",,"apt 11.06","cut out"
,,"Apt 11.07",,"cut out","apt 11.07"
,,"Apt 11.08",,"apt 11.08","cut out"
,,"Apt 11.09",,"apt 11.09","cut out"
,,"Apt 11.10",,"cut out","apt 11.10"
,,"Apt 11.11",,"cut out","apt 11.11"
,,"Apt 11.12",,"apt 11.12","cut out"
,,"Apt 11.13",,"apt 11.13","cut out"
,,"Apt 11.14",,"cut out","apt 11.14"
,,"Apt 11.15",,"cut out","apt 11.15"
,,"Apt 11.16",,"apt 11.16","cut out"
,,"Apt 11.17",,"apt 11.17","cut out"
,,"Apt 11.18",,"cut out","apt 11.18"
,,"L12","grouping","l12","cut out"
,,"Apt 12.01",,"cut out","apt 12.01"
,,"Apt 12.02",,"apt 12.02","cut out"
,,"Apt 12.03",,"apt 12.03","cut out"
,,"Apt 12.04",,"cut out","apt 12.04"
,,"Apt 12.05",,"cut out","apt 12.05"
,,"Apt 12.06",,"apt 12.06","cut out"
,,"Apt 12.07",,"apt 12.07","cut out"
,,"Apt 12.08",,"cut out","apt 12.08"
,,"Apt 12.09",,"apt 12.09","cut out"
,,"Apt 12.10",,"apt 12.10","cut out"
,,"Apt 12.11",,"cut out","apt 12.11"
,,"Apt 12.12",,"cut out","apt 12.12"
,,"Apt 12.13",,"apt 12.13","cut out"
,,"Apt 12.14",,"apt 12.14","cut out"
,,"Apt 12.15",,"cut out","apt 12.15"
,,"Apt 12.16",,"cut out","apt 12.16"
,,"Apt 12.17",,"apt 12.17","cut out"
,,"Apt 12.18",,"apt 12.18","cut out"
,,"L13","grouping","cut out","l13"
,,"Apt 13.01",,"cut out","apt 13.01"
,,"Apt 13.02",,"cut out","apt 13.02"
,,"Apt 13.03",,"apt 13.03","cut out"
,,"Apt 13.04",,"apt 13.04","cut out"
,,"Apt 13.05",,"cut out","apt 13.05"
,,"Apt 13.06",,"cut out","apt 13.06"
,,"Apt 13.07",,"apt 13.07","cut out"
,,"Apt 13.08",,"apt 13.08","cut out"
,,"Apt 13.09",,"cut out","apt 13.09"
,,"Apt 13.10",,"apt 13.10","cut out"
,,"Apt 13.11",,"apt 13.11","cut out"
,,"Apt 13.12",,"cut out","apt 13.12"
,,"Apt 13.13",,"cut out","apt 13.13"
,,"Apt 13.14",,"apt 13.14","cut out"
,,"Apt 13.15",,"apt 13.15","cut out"
,,"Apt 13.16",,"cut out","apt 13.16"
,,"Apt 13.17",,"cut out","apt 13.17"
,,"Apt 13.18",,"apt 13.18","cut out"
,,"L14","grouping","cut out","l14"
,,"Apt 14.01",,"cut out","apt 14.01"
,,"Apt 14.02",,"apt 14.02","cut out"
,,"Apt 14.03",,"apt 14.03","cut out"
,,"Apt 14.04",,"cut out","apt 14.04"
,,"Apt 14.05",,"cut out","apt 14.05"
,,"Apt 14.06",,"apt 14.06","cut out"
,,"Apt 14.07",,"apt 14.07","cut out"
,,"Apt 14.08",,"apt 14.08","cut out"
,,"Apt 14.09",,"cut out","apt 14.09"
,,"Apt 14.10",,"apt 14.10","cut out"
,,"Apt 14.11",,"cut out","apt 14.11"
,,"Apt 14.12",,"cut out","apt 14.12"
,,"Apt 14.13",,"apt 14.13","cut out"
,,"Apt 14.14",,"apt 14.14","cut out"
,,"Apt 14.15",,"cut out","apt 14.15"
,,"Apt 14.16",,"cut out","apt 14.16"
,,"Apt 14.17",,"apt 14.17","cut out"
,,"Apt 14.18",,"apt 14.18","cut out"
,,"L15","grouping","l15","cut out"
,,"Apt 15.01",,"cut out","apt 15.01"
,,"Apt 15.02",,"cut out","apt 15.02"
,,"Apt 15.03",,"apt 15.03","cut out"
,,"Apt 15.04",,"apt 15.04","cut out"
,,"Apt 15.05",,"cut out","apt 15.05"
,,"Apt 15.06",,"cut out","apt 15.06"
,,"Apt 15.07",,"apt 15.07","cut out"
,,"Apt 15.08",,"apt 15.08","cut out"
,,"Apt 15.09",,"apt 15.09","cut out"
,,"Apt 15.10",,"apt 15.10","cut out"
,,"Apt 15.11",,"apt 15.11","cut out"
,,"Apt 15.12",,"cut out","apt 15.12"
,,"Apt 15.13",,"cut out","apt 15.13"
,,"Apt 15.14",,"apt 15.14","cut out"
,,"Apt 15.15",,"apt 15.15","cut out"
,,"Apt 15.16",,"cut out","apt 15.16"
,,"Apt 15.17",,"cut out","apt 15.17"
,,"Apt 15.18",,"apt 15.18","cut out"
,,"L16","grouping","l16","cut out"
,,"Apt 16.01",,"apt 16.01","cut out"
,,"Apt 16.02",,"cut out","apt 16.02"
,,"Apt 16.03",,"cut out","apt 16.03"
,,"Apt 16.04",,"apt 16.04","cut out"
,,"Apt 16.05",,"apt 16.05","cut out"
,,"Apt 16.06",,"cut out","apt 16.06"
,,"Apt 16.07",,"cut out","apt 16.07"
,,"Apt 16.08",,"apt 16.08","cut out"
,,"Apt 16.09",,"apt 16.09","cut out"
,,"Apt 16.10",,"cut out","apt 16.10"
,,"Apt 16.11",,"apt 16.11","cut out"
,,"Apt 16.12",,"apt 16.12","cut out"
,,"Apt 16.13",,"cut out","apt 16.13"
,,"Apt 16.14",,"cut out","apt 16.14"
,,"Apt 16.15",,"apt 16.15","cut out"
,,"Apt 16.16",,"apt 16.16","cut out"
,,"Apt 16.17",,"cut out","apt 16.17"
,,"Apt 16.18",,"cut out","apt 16.18"
,,"L17","grouping","cut out","l17"
,,"Apt 17.01",,"apt 17.01","cut out"
,,"Apt 17.02",,"apt 17.02","cut out"
,,"Apt 17.03",,"cut out","apt 17.03"
,,"Apt 17.04",,"cut out","apt 17.04"
,,"Apt 17.05",,"apt 17.05","cut out"
,,"Apt 17.06",,"apt 17.06","cut out"
,,"Apt 17.07",,"cut out","apt 17.07"
,,"Apt 17.08",,"cut out","apt 17.08"
,,"Apt 17.09",,"apt 17.09","cut out"
,,"Apt 17.10",,"cut out","apt 17.10"
,,"Apt 17.11",,"cut out","apt 17.11"
,,"Apt 17.12",,"apt 17.12","cut out"
,,"Apt 17.13",,"apt 17.13","cut out"
,,"Apt 17.14",,"cut out","apt 17.14"
,,"Apt 17.15",,"cut out","apt 17.15"
,,"Apt 17.16",,"apt 17.16","cut out"
,,"Apt 17.17",,"apt 17.17","cut out"
,,"Apt 17.18",,"cut out","apt 17.18"
,,"L18","grouping","l18","cut out"
,,"Apt 18.01",,"apt 18.01","cut out"
,,"Apt 18.02",,"apt 18.02","cut out"
,,"Apt 18.03",,"cut out","apt 18.03"
,,"Apt 18.04",,"apt 18.04","cut out"
,,"Apt 18.05",,"apt 18.05","cut out"
,,"Apt 18.06",,"cut out","apt 18.06"
,,"Apt 18.07",,"cut out","apt 18.07"
,,"Apt 18.08",,"apt 18.08","cut out"
,,"Apt 18.09",,"apt 18.09","cut out"
,,"Apt 18.10",,"cut out","apt 18.10"
,,"Apt 18.11",,"apt 18.11","cut out"
,,"Apt 18.12",,"apt 18.12","cut out"
,,"Apt 18.13",,"apt 18.13","cut out"
,,"Apt 18.14",,"cut out","apt 18.14"
,,"Apt 18.15",,"apt 18.15","cut out"
,,"Apt 18.16",,"apt 18.16","cut out"
,,"Apt 18.17",,"cut out","apt 18.17"
,,"Apt 18.18",,"cut out","apt 18.18"
,,"L19","grouping","l19","cut out"
,,"Apt 19.01",,"apt 19.01","cut out"
,,"Apt 19.02",,"apt 19.02","cut out"
,,"Apt 19.03",,"apt 19.03","cut out"
,,"Apt 19.04",,"cut out","apt 19.04"
,,"Apt 19.05",,"apt 19.05","cut out"
,,"Apt 19.06",,"apt 19.06","cut out"
,,"Apt 19.07",,"cut out","apt 19.07"
,,"Apt 19.08",,"cut out","apt 19.08"
,,"Apt 19.09",,"apt 19.09","cut out"
,,"Apt 19.10",,"cut out","apt 19.10"
,,"Apt 19.11",,"cut out","apt 19.11"
,,"Apt 19.12",,"apt 19.12","cut out"
,,"Apt 19.13",,"apt 19.13","cut out"
,,"Apt 19.14",,"apt 19.14","cut out"
,,"Apt 19.15",,"cut out","apt 19.15"
,,"Apt 19.16",,"apt 19.16","cut out"
,,"Apt 19.17",,"apt 19.17","cut out"
,,"Apt 19.18",,"cut out","apt 19.18"
,,"L20","grouping","cut out","l20"
,,"Apt 20.01",,"apt 20.01","cut out"
,,"Apt 20.02",,"apt 20.02","cut out"
,,"Apt 20.03",,"cut out","apt 20.03"
,,"Apt 20.04",,"cut out","apt 20.04"
,,"Apt 20.05",,"apt 20.05","cut out"
,,"Apt 20.06",,"apt 20.06","cut out"
,,"Apt 20.07",,"cut out","apt 20.07"
,,"Apt 20.08",,"cut out","apt 20.08"
,,"Apt 20.09",,"apt 20.09","cut out"
,,"Apt 20.10",,"apt 20.10","cut out"
,,"Apt 20.11",,"cut out","apt 20.11"
,,"Apt 20.12",,"apt 20.12","cut out"
,,"Apt 20.13",,"apt 20.13","cut out"
,,"Apt 20.14",,"cut out","apt 20.14"
,,"Apt 20.15",,"cut out","apt 20.15"
,,"Apt 20.16",,"apt 20.16","cut out"
,,"Apt 20.17",,"apt 20.17","cut out"
,,"Apt 20.18",,"cut out","apt 20.18"
,,"L21","grouping","cut out","l21"
,,"Apt 21.01",,"apt 21.01","cut out"
,,"Apt 21.02",,"apt 21.02","cut out"
,,"Apt 21.03",,"apt 21.03","cut out"
,,"Apt 21.04",,"cut out","apt 21.04"
,,"Apt 21.05",,"cut out","apt 21.05"
,,"Apt 21.06",,"apt 21.06","cut out"
,,"Apt 21.07",,"apt 21.07","cut out"
,,"Apt 21.08",,"cut out","apt 21.08"
,,"Apt 21.09",,"cut out","apt 21.09"
,,"Apt 21.10",,"apt 21.10","cut out"
,,"Apt 21.11",,"cut out","apt 21.11"
,,"Apt 21.12",,"apt 21.12","cut out"
,,"Apt 21.13",,"apt 21.13","cut out"
,,"Apt 21.14",,"apt 21.14","cut out"
,,"Apt 21.15",,"cut out","apt 21.15"
,,"Apt 21.16",,"cut out","apt 21.16"
,,"Apt 21.17",,"apt 21.17","cut out"
,,"Apt 21.18",,"apt 21.18","cut out"
,,"L22","grouping","l22","cut out"
,,"Apt 22.01",,"cut out","apt 22.01"
,,"Apt 22.02",,"apt 22.02","cut out"
,,"Apt 22.03",,"apt 22.03","cut out"
,,"Apt 22.04",,"apt 22.04","cut out"
,,"Apt 22.05",,"cut out","apt 22.05"
,,"Apt 22.06",,"cut out","apt 22.06"
,,"Apt 22.07",,"apt 22.07","cut out"
,,"Apt 22.08",,"apt 22.08","cut out"
,,"Apt 22.09",,"cut out","apt 22.09"
,,"Apt 22.10",,"apt 22.10","cut out"
,,"Apt 22.11",,"apt 22.11","cut out"
,,"Apt 22.12",,"cut out","apt 22.12"
,,"Apt 22.13",,"apt 22.13","cut out"
,,"Apt 22.14",,"apt 22.14","cut out"
,,"Apt 22.15",,"apt 22.15","cut out"
,,"Apt 22.16",,"cut out","apt 22.16"
,,"Apt 22.17",,"cut out","apt 22.17"
,,"Apt 22.18",,"apt 22.18","cut out"
,,"L23","grouping","l23","cut out"
,,"Apt 23.01",,"cut out","apt 23.01"
,,"Apt 23.02",,"apt 23.02","cut out"
,,"Apt 23.03",,"apt 23.03","cut out"
,,"Apt 23.04",,"cut out","apt 23.04"
,,"Apt 23.05",,"cut out","apt 23.05"
,,"Apt 23.06",,"apt 23.06","cut out"
,,"Apt 23.07",,"apt 23.07","cut out"
,,"Apt 23.08",,"apt 23.08","cut out"
,,"Apt 23.09",,"cut out","apt 23.09"
,,"Apt 23.10",,"apt 23.10","cut out"
,,"Apt 23.11",,"cut out","apt 23.11"
,,"Apt 23.12",,"cut out","apt 23.12"
,,"Apt 23.13",,"apt 23.13","cut out"
,,"Apt 23.14",,"apt 23.14","cut out"
,,"Apt 23.15",,"cut out","apt 23.15"
,,"Apt 23.16",,"cut out","apt 23.16"
,,"Apt 23.17",,"apt 23.17","cut out"
,,"Apt 23.18",,"apt 23.18","cut out"
,"Columns"
,,"Refer to drawing to determine cable support route",,"refer to drawing to determine cable support route and check separation from data/comms services"
,,"Cut out for light fittings",,"cut out for light fittings"
,,"Cut out smoke detectors",,"cut out smoke detectors"
,,"Cut out kitchen to kitchen plan",,"cut out kitchen to kitchen plan"
,,"Cut out switches & GPO’s",,"cut out switches & gpo’s"
,,"Cut out Bathroom and Study Led Strips Fig 8",,"cut out bathroom and study led strips fig 8"
,,"Ensure AC isolator is in correct position",,"ensure ac isolator is in correct position"
,,"Ensure Wall light is in correct position",,"ensure wall light is in correct position"
,,"Ensure kitchen outlets are in correct position",,"ensure kitchen outlets are in correct position"
,,"Locate all cables ( including Smoke Detectors & Pendants )",,"locate all cables ( including smoke detectors & pendants )"
,,"Install Fire Boxes and hit all 4 tabs in",,"install fire boxes and hit all 4 tabs in"
,,"Fire caulk kitchen cables ( if applicable )",,"fire caulk kitchen cables ( if applicable )"
,,"Ensure area is left clean",,"ensure area is left clean"

"Hallway Fit Off Progress"
,"Scope",,,"fit off"
,"Rows"
,,"G","grouping","g","fit off"
,,"Hallway",,"hallway","g","fit off"
,,"L1","grouping","l1","fit off"
,,"Hallway",,"hallway","l1","fit off"
,,"L2","grouping","l2","fit off"
,,"Hallway",,"hallway","l2","fit off"
,,"L3","grouping","l3","fit off"
,,"Hallway",,"hallway","l3","fit off"
,,"L4","grouping","l4","fit off"
,,"Hallway",,"hallway","l4","fit off"
,,"L5","grouping","l5","fit off"
,,"Hallway",,"hallway","l5","fit off"
,,"L6","grouping","l6","fit off"
,,"Hallway",,"hallway","l6","fit off"
,,"L7","grouping","fit off","l7"
,,"Hallway",,"hallway","fit off","l7"
,,"L8","grouping","l8","fit off"
,,"Hallway",,"hallway","l8","fit off"
,,"L9","grouping","l9","fit off"
,,"Hallway",,"hallway","l9","fit off"
,,"L10","grouping","l10","fit off"
,,"Hallway",,"hallway","l10","fit off"
,,"L11","grouping","l11","fit off"
,,"Hallway",,"hallway","l11","fit off"
,,"L12","grouping","l12","fit off"
,,"Hallway",,"hallway","l12","fit off"
,,"L13","grouping","fit off","l13"
,,"Hallway",,"hallway","fit off","l13"
,,"L14","grouping","l14","fit off"
,,"Hallway",,"hallway","l14","fit off"
,,"L15","grouping","l15","fit off"
,,"Hallway",,"hallway","l15","fit off"
,,"L16","grouping","l16","fit off"
,,"Hallway",,"l16","hallway","fit off"
,,"L17","grouping","l17","fit off"
,,"Hallway",,"hallway","l17","fit off"
,,"L18","grouping","l18","fit off"
,,"Hallway",,"hallway","l18","fit off"
,,"L19","grouping","l19","fit off"
,,"Hallway",,"hallway","l19","fit off"
,,"L20","grouping","fit off","l20"
,,"Hallway",,"hallway","fit off","l20"
,,"L21","grouping","l21","fit off"
,,"Hallway",,"hallway","l21","fit off"
,,"L22","grouping","l22","fit off"
,,"Hallway",,"hallway","l22","fit off"
,,"L23","grouping","l23","fit off"
,,"Hallway",,"hallway","l23","fit off"
,"Columns"
,,"Area clear, tidy and accessible",,"area clear, tidy and accessible"
,,"Fit off all Lights",,"fit off all lights"
,,"Fit off all Sensors and SET TIME TO MINIMUM",,"fit off all sensors and set time to minimum"
,,"Fit off all EX/EMG’s",,"fit off all ex/emg’s"
,,"Label all EX/EMG’s as per plan number",,"label all ex/emg’s as per plan number"
,,"Fit off all Cleaners GPO’s",,"fit off all cleaners gpo’s"
,,"Fit off all Comms Riser GPO’s",,"fit off all comms riser gpo’s"
,,"Ensure area is left clean",,"ensure area is left clean"

"Apartment Fit Off Progress"
,"Scope",,,"fit off"
,"Rows"
,,"L2","grouping","l2","fit off"
,,"Apt 2.01",,"apt 2.01","l2","fit off"
,,"Apt 2.02",,"apt 2.02","l2","fit off"
,,"Apt 2.03",,"apt 2.03","l2","fit off"
,,"Apt 2.04",,"l2","apt 2.04","fit off"
,,"Apt 2.05",,"apt 2.05","l2","fit off"
,,"Apt 2.06",,"apt 2.06","l2","fit off"
,,"Apt 2.07",,"l2","apt 2.07","fit off"
,,"Apt 2.08",,"l2","apt 2.08","fit off"
,,"Apt 2.09",,"apt 2.09","l2","fit off"
,,"L3","grouping","l3","fit off"
,,"Apt 3.01",,"l3","fit off","apt 3.01"
,,"Apt 3.02",,"apt 3.02","l3","fit off"
,,"Apt 3.03",,"apt 3.03","l3","fit off"
,,"Apt 3.04",,"apt 3.04","l3","fit off"
,,"Apt 3.05",,"apt 3.05","l3","fit off"
,,"Apt 3.06",,"apt 3.06","l3","fit off"
,,"Apt 3.07",,"apt 3.07","l3","fit off"
,,"Apt 3.08",,"apt 3.08","l3","fit off"
,,"Apt 3.09",,"l3","apt 3.09","fit off"
,,"L4","grouping","l4","fit off"
,,"Apt 4.01",,"l4","fit off","apt 4.01"
,,"Apt 4.02",,"l4","apt 4.02","fit off"
,,"Apt 4.03",,"l4","apt 4.03","fit off"
,,"Apt 4.04",,"apt 4.04","l4","fit off"
,,"Apt 4.05",,"l4","apt 4.05","fit off"
,,"Apt 4.06",,"l4","apt 4.06","fit off"
,,"Apt 4.07",,"l4","apt 4.07","fit off"
,,"Apt 4.08",,"apt 4.08","l4","fit off"
,,"Apt 4.09",,"l4","apt 4.09","fit off"
,,"Apt 4.10",,"l4","apt 4.10","fit off"
,,"Apt 4.11",,"l4","apt 4.11","fit off"
,,"Apt 4.12",,"l4","fit off","apt 4.12"
,,"Apt 4.13",,"l4","apt 4.13","fit off"
,,"Apt 4.14",,"l4","apt 4.14","fit off"
,,"Apt 4.15",,"apt 4.15","l4","fit off"
,,"Apt 4.16",,"l4","apt 4.16","fit off"
,,"Apt 4.17",,"l4","apt 4.17","fit off"
,,"Apt 4.18",,"l4","apt 4.18","fit off"
,,"L5","grouping","l5","fit off"
,,"Apt 5.01",,"apt 5.01","l5","fit off"
,,"Apt 5.02",,"l5","fit off","apt 5.02"
,,"Apt 5.03",,"l5","apt 5.03","fit off"
,,"Apt 5.04",,"apt 5.04","l5","fit off"
,,"Apt 5.05",,"apt 5.05","l5","fit off"
,,"Apt 5.06",,"l5","apt 5.06","fit off"
,,"Apt 5.07",,"l5","apt 5.07","fit off"
,,"Apt 5.08",,"apt 5.08","l5","fit off"
,,"Apt 5.09",,"apt 5.09","l5","fit off"
,,"Apt 5.10",,"l5","apt 5.10","fit off"
,,"Apt 5.11",,"l5","apt 5.11","fit off"
,,"Apt 5.12",,"apt 5.12","l5","fit off"
,,"Apt 5.13",,"l5","fit off","apt 5.13"
,,"Apt 5.14",,"l5","apt 5.14","fit off"
,,"Apt 5.15",,"apt 5.15","l5","fit off"
,,"Apt 5.16",,"apt 5.16","l5","fit off"
,,"Apt 5.17",,"l5","apt 5.17","fit off"
,,"Apt 5.18",,"l5","apt 5.18","fit off"
,,"L6","grouping","l6","fit off"
,,"Apt 6.01",,"l6","apt 6.01","fit off"
,,"Apt 6.02",,"l6","fit off","apt 6.02"
,,"Apt 6.03",,"apt 6.03","l6","fit off"
,,"Apt 6.04",,"apt 6.04","l6","fit off"
,,"Apt 6.05",,"apt 6.05","l6","fit off"
,,"Apt 6.06",,"l6","apt 6.06","fit off"
,,"Apt 6.07",,"apt 6.07","l6","fit off"
,,"Apt 6.08",,"apt 6.08","l6","fit off"
,,"Apt 6.09",,"apt 6.09","l6","fit off"
,,"Apt 6.10",,"apt 6.10","l6","fit off"
,,"Apt 6.11",,"apt 6.11","l6","fit off"
,,"Apt 6.12",,"l6","apt 6.12","fit off"
,,"Apt 6.13",,"l6","fit off","apt 6.13"
,,"Apt 6.14",,"apt 6.14","l6","fit off"
,,"Apt 6.15",,"apt 6.15","l6","fit off"
,,"Apt 6.16",,"apt 6.16","l6","fit off"
,,"Apt 6.17",,"l6","apt 6.17","fit off"
,,"Apt 6.18",,"apt 6.18","l6","fit off"
,,"L7","grouping","fit off","l7"
,,"Apt 7.01",,"apt 7.01","fit off","l7"
,,"Apt 7.02",,"apt 7.02","fit off","l7"
,,"Apt 7.03",,"fit off","l7","apt 7.03"
