"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27620973-575d-48b5-81f1-cd5e5a7dfe3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"a8b76dfc-9074-4448-b2a3-40d9ae7ea995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge"
"763e381f-9dcf-4baf-869d-9081cf5ca916","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3"
"28e39c01-93d7-42cc-a38f-3101ec7f94e1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3","Wet Fire"
"28bc6305-f0a7-4cce-9d19-4a65aa56e365","","checklist-sectioned","not-started","ENT-004 - Sprinkler rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off"
"acf941c5-ecae-50ee-a0e0-cbae6fd57ed5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start"
"51f36cb4-a308-5587-b190-ad2e0de0d238","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pressure test carried out"
"f2da72aa-292a-5207-a68b-255f082fb7f3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"eb89c8d8-3520-593e-a578-b5d292711fef","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off"
"b7057eb0-091c-5e37-975b-de3c245fee15","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Sprinkler heads fitted to final locations as per coordinated RCP"
"1159f123-be2c-5453-b059-b7398e044d4a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Pressure test fit off"
"70feec70-39e2-5277-8432-0d4b9c9b9743","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off"
"de88180c-6017-5c13-abc7-9760f7ab0ce1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off","Inspected by Independent Certifier - Signature attached below as applicable"
"6ded8529-af22-4286-8c68-a518a2c9a995","","checklist-sectioned","not-started","ENT-006 - Hydrants & Hosereels rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off"
"c7ae66f4-ce3b-51bd-a7a2-2091686a24ed","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start"
"16e565d8-d62a-5312-aa70-f02caab452b7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Specification reference checked"
"90712622-8c96-5952-94ec-16b3418c42a3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Area clear, tidy and accessible"
"1f418526-20ad-56fb-88fa-92fffad6e9b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"640e2f73-d2a4-55f3-9cb1-29cb73fd0317","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Hose Reels / Millcocks"
"50448155-bb43-56b4-96e3-f567cc3e46b6","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In"
"7912b1f2-dc44-5e46-a91f-bce698135b9f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"10840170-bde7-51ab-b87e-2227ba7e9e81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Hangers Location"
"6b656c75-8a26-5e1c-b503-b3bbfee28c8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"048c0cbd-2ecf-5dcc-ab99-3c0090ad48c9","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off"
"9385ace1-896a-5de8-a009-3ed488d9d30b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Hose Reels (Minimum Clearances)"
"1e61962c-433b-5cf0-891f-33c6c89b06d7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Millcocks (Minimum Clearances)"
"c5a6a071-2a70-5ea0-9f2c-ecfe6154ecfb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pressure Test"
"28f12353-0f45-5d4d-9b00-7be8208c9db4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pipe Identification Labelling"
"7ad95676-5042-5a15-aa7a-a66538f2f19a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Statutory Signage"
"9b63c4f1-753b-5de3-a433-8068fc4b82d2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning"
"f6c4bba3-f8cf-51fb-9716-3d659903942b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Flow Tests"
"406ece01-e1e6-5ab9-b055-f1b4bfbd27f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Certification"
"ffc7c9e6-5cd0-56fd-be99-4f3622874ebd","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off"
"9021a7bf-2eb0-5416-bb0c-d8dc5e2d408a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"1d610d2d-fdcf-42ea-8182-d55ba36b591b","","checklist-flat","not-started","ENT-009 - Pressure Test Report","checklist-flat","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Pressure Test Checklist"
"331ad102-fb12-59f8-94ab-9ebf6312b463","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Pressure Test Checklist","Test Details & Results"
"0ba7ecdc-f5ca-5a64-bbf2-67d922b5b413","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Wet Fire","Pressure Test Checklist","Sign-Off Test completed to specification/drawings & Area left clean/tidy"
"3929b789-fa64-4f05-8949-44c3ef60ed4f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire"
"2302e20a-146f-4506-95b0-4b455fe2c088","","checklist-sectioned","not-started","ENT-013 - Fire Electrical rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off"
"0253a75f-be23-544a-9f9d-50b422652151","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start"
"8f5e713b-b1a3-51ef-b0d0-0d9f7d8a77f3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Specification reference checked"
"9aa44087-c861-5899-96a7-8dac1a9473b0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Area clear, tidy and accessible"
"f9f5aa51-ef4f-5dfe-8c17-fde9bf001f51","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Cable/Conduit/Tray"
"18f60374-7b70-59c9-8555-a60a262848cc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Fire Devices"
"4767b03b-8315-50f1-9bb8-eb18e23f2f92","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In"
"1c9ddce4-40d4-53cd-b8d1-13c512c4f83b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Correct cable used (eg Fire rated as required)"
"e50d6299-8a12-596d-b644-ebc348d22527","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Cable Support"
"65ae399d-f485-50b6-83ef-c152955bc314","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Segregation from other electrical services"
"a6b29736-ef71-5927-b136-2939121a1d8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Type of cable fixing and spacing"
"330bdbfe-7a52-5276-990f-44448b3a8b52","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","No cable joins between equipment"
"96cd21cf-ca4b-5761-9987-c9abb80ac759","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Conduit type"
"a0d18977-e110-5ecc-aad7-2d3e6c4eaf50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Conduit fixings"
"cc1c7a4e-e387-5cf6-b097-1e27e6b50bf6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","MASDS"
"f7f158cb-5bfb-53e1-9064-5eb9ee4b0fd1","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off"
"91aad01d-edef-557e-b7a9-dd9e63c6db16","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Sensor locations as shown on drawings"
"60a893eb-aab2-5713-939e-3128d7daf1c7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Warden intercom phone locations"
"53b310d3-5eff-58b3-a1b5-0af3f558102b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Break glass alarm located per drawings"
"8104a035-277a-5b82-ac0e-5094379abbf0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Hold open devices located per drawings"
"f29498ed-edaf-5735-9ef2-cc2b431483e7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Interface with Mechanical services"
"b8767fd0-334b-5656-a99c-e71d5b3d0da0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Interface with DDC"
"0d58dff9-4cd6-586d-af0a-42f72a4ad08e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Sensors fixed correctly"
"94ee693c-55c6-5acc-bae1-c7e9725362be","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","FIP installed & connected"
"f8008c05-d750-5195-819e-9e910e1e68c9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Connection of system to Tyco for Monitoring"
"ac580c7d-beb0-5a99-b5c8-9867a0f33dff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","MASDS Panel Fit Off"
"40687b95-1fa6-50ee-9f94-05c0d4ece73e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Strobes"
"1777b4ad-ddc9-555f-8d27-725428afefb7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning"
"0df1409f-82b5-5dd5-8176-b1ccbd00304a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","Confirm all devices indicate at FDCIE"
"a9f08974-d5b4-5dc9-af7e-b0cb4bc2914e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","Confirm operation of all ancillary functions from FDCIE"
"e668431b-36b0-559b-ad3a-bce9faa51deb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","FDCIE. Operate each alarm test, isolate and reset for each alarm zone"
"86b394df-1032-5f4b-9326-2ca8071182b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","ASE. Confirm the master alarm facility receives all alarms"
"bd5af5ae-1f24-5ac2-8946-898280a0071d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","ASE. Confirm the master alarm facility receives all alarms"
"df151659-e896-54d3-b4c1-619fd4c4c81b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Sign-Off"
"954c3e73-3b93-59af-84c0-dd327bf027bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 1","Zone D","Dry Fire","Fire Electrical Rough In and Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"8df861b7-10cb-4807-8428-4672e14a6a40","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","Level 2"
"d20023ef-4c29-42df-b8d1-00029a3d536a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","Level 2","Zone A"
"a77fa931-f182-4b39-a821-e188e4a152ef","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire"
"13393ed4-8df7-4750-9fa8-78b2a8d6b247","","checklist-sectioned","not-started","ENT-004 - Sprinkler rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off"
"17852e1c-6e72-508e-a1c8-f1d0d6a758e2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start"
"32ad6533-bb67-53ee-b2c4-e5aaa0a3e3c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Specification reference checked"
"1c09c898-2d20-54b2-bc95-d4f69232bc2b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"26d60145-7cae-5c9c-81c8-7ab3213b8252","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Sprinklers"
"9ffeec4a-3859-5781-a3a6-5005f8230cee","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In"
"292f767c-31a4-563d-9a45-a1c1be5098fd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"bc5c3dff-ead2-531a-ab14-082f84f44914","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Hangers Location"
"2590c243-a705-5f44-ae1f-bb7a2f2cf1bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Concealed spaces sprinker heads installed"
"7616d202-4a5f-5123-90fc-fb5cb95052b9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Outlets capped"
"db717cd7-0a09-5828-b6dc-15ba0178022c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pressure test carried out"
"d697a3fa-b965-5a73-b948-522332fa60ff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"6753859c-287c-56b8-acff-7244ea77f2f3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off"
"cb38067c-fff1-55c3-84d1-78b9edc2f088","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Sprinkler heads fitted to final locations as per coordinated RCP"
"d3c3e3f9-a142-5141-bf81-1bc9d1907eaf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Pressure test fit off"
"eb056a9a-2d0c-56d6-8d0d-9e476d0d54aa","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off"
"f747a5e7-771a-5c9c-b30b-e01ce8b3b524","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off","Inspected by Independent Certifier - Signature attached below as applicable"
"12e64a3e-c55c-40b0-8613-1ec8d8972509","","checklist-sectioned","not-started","ENT-006 - Hydrants & Hosereels rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off"
"b00d7e5a-2fd7-5288-97db-c599552933b3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start"
"8b323123-dad9-595c-b030-0fdf2ac0202c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Specification reference checked"
"a01de819-81a1-527d-a994-5861130f119e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Area clear, tidy and accessible"
"ad7b95f6-afb5-5b0e-81a0-c531717ea65c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"d3fc56c8-93f4-5818-a200-62aaddb7ad2d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Hose Reels / Millcocks"
"09261639-6f53-53a2-8d0b-86bfc2f278c6","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In"
"28d37a34-98c2-5a2f-ad63-ef03df1a0b71","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"deea8b8a-7e42-5e5e-9852-979354d4d7fd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Hangers Location"
"c6a94739-ffbe-5af8-8d54-0a88738d6f27","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"d74fb7db-ffd5-5ce2-b538-f2d1e3c6172e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off"
"5312f0a6-bc3e-5650-9a48-8333efa4b4ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Hose Reels (Minimum Clearances)"
"e965e651-cc4b-55ad-a6f8-ef457491047d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Millcocks (Minimum Clearances)"
"433a3f94-0579-5c8f-930b-962fe5a98e44","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pressure Test"
"1b48e49b-5069-5b05-8fb5-1e39d21a6a94","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pipe Identification Labelling"
"8067ad46-106e-5c8f-9d34-a6e43998b43b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Statutory Signage"
"dbc10e88-bc2a-5ea6-aa2c-c66cb079b957","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning"
"79137da2-4a00-5b3e-8c0c-a21aa5ebe3d2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Flow Tests"
"67b03a27-5123-5bdb-9964-4adc533c227f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Certification"
"7efc6374-b9f1-55d6-a7c7-0b5bc768dd18","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off"
"8190ddef-ab20-5c24-9c7a-c4e7e27aa83e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"fb96bebe-1b37-40a1-8d12-9f28ccc77a49","","checklist-flat","not-started","ENT-009 - Pressure Test Report","checklist-flat","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Pressure Test Checklist"
"d454e6c4-4e58-5428-b7fb-89b9f4a49a29","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Pressure Test Checklist","Test Details & Results"
"b56864e6-746c-5301-b1a6-257edff85d76","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","Level 2","Zone A","Wet Fire","Pressure Test Checklist","Sign-Off Test completed to specification/drawings & Area left clean/tidy"
"11ab43fa-2358-4ea2-a52b-53ded8d868b1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","Level 2","Zone A","Dry Fire"
"3a55873f-90d7-4a9d-b573-c5be2916daee","","checklist-sectioned","not-started","ENT-013 - Fire Electrical rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Dry Fire","Fire Electrical Rough In and Fit Off"
"5661ec77-9858-5eb1-92f6-be69d34672ce","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","Level 2","Zone A","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start"
