"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"1e7b3210-0e29-4064-bb26-6cae2a4975d0","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7"
"087fe7b9-9e7b-522a-9069-fb6b1a93f863","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"51273760-0e60-4815-8f6f-df49211410cb","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8"
"beb06b11-5fb7-5e59-8896-0ed7fa650102","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"2924d367-6fa1-4eeb-b7c4-9f477ceb0b10","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"cdaa9a07-09ef-56a5-ae60-3c332ffd7b11","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"fe65547d-dd2b-4578-94f0-f1d74710ad17","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10"
"0d24d229-b3e2-5913-a03d-3ac56946dcaa","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"007d6c0a-e5c7-4bfa-9cf4-8d48d79557b9","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20"
"91816174-da6d-4025-b85f-093cc086a863","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11"
"622adc62-78b3-560f-b515-21ed7797b073","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"66ba57b1-323d-4493-8b6f-56ca977d5c2c","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12"
"1433c3f1-7d74-5e2a-b154-48480070c68d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"54852678-ba2a-4e7c-b873-b56dfe7f3d70","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13"
"c714dc55-263e-5987-bb03-d0388bffa8ea","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"ca56e5a0-04b3-4cb4-ab6e-2e6b92ff0a4b","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 14"
"f75e31b9-cfbf-54ed-90a7-e795ecb06d1d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 14","Electrofusion Welding"
"c8366508-edd1-488d-8db1-6276ff56425e","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 15"
"e9982611-10f1-5fc2-99bf-f6473619e9a6","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 15","Electrofusion Welding"
"7bc8f6cc-fd14-41b7-bfec-3906cae3f095","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 16"
"5252fc24-c08d-5d39-a076-fe47b3286cdd","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 16","Electrofusion Welding"
"2ca63ad2-be4b-431e-9b5f-aa4723c348f5","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 17"
"76700008-968e-527d-bedd-956ea087fb90","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 17","Electrofusion Welding"
"5a76532f-b16a-4e63-b7cf-c49a50de6a60","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01"
"d2c8f5c3-f3c0-5c79-9dc2-716ade2649fe","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 19 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"392a742e-8032-4f62-8815-41b0f58c6564","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete"
"ef1ad988-3876-413e-9dab-2bf13322ecf4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation "
"4dce9da6-fb2b-4b48-bc43-a29937791d71","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Combined Services HDPE Fire Pipework Installation"
"5c8b8712-9962-4397-92d6-0561c76fbbf6","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"66b26867-78f5-4f7a-9101-e0cca6823211","Signoffs not allowed on folder-progress: Signoffs Weld 1-7(822446f3-2e9d-4131-a278-d3e60ea9b157)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding"
"0e5a68fc-7a57-44a8-b1f7-6dafb4e67729","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10"
"d3aa88b9-89db-4932-8c37-108313694a57","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 1"
"3222b3cd-352a-40cc-8bbc-b4d20f7bca01","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"43336054-325b-41e7-8b67-29a8d28f2209","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 2"
"1dc9e059-475b-4061-bf56-489b8fe10fdc","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"35dd0736-f4f4-4daf-87e1-a1f7e6bf053e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 3"
"99aa89c4-8a4b-4b28-b13f-690d3f22d820","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"24f312bb-8133-45cc-8337-54dd79cb21d9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 4"
"6476b4b5-19be-45f7-99ee-6582434a1650","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"2e054688-0ac2-401a-884c-f80504953469","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 5"
"d5af794f-cd3d-43cb-bf78-9d99ea2998b4","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"6e374aef-f0fa-4616-a606-075e39602fce","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 6"
"8fe59e3f-e8bf-4140-9c80-dd92454e03ca","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"1f9fff22-b0c5-4e77-abbe-844f24714954","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 7"
"7a23e98a-e6b2-490c-a98d-1a0c913440c3","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"26898c94-64a6-4e78-b150-f3140f1beef4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Pipework Pressure Test Report QCC-01.01"
"41c29c7c-abc0-4766-a3c4-e77a107d31a5","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Wet Fire Reticulation ","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"66580451-916d-4ecc-904d-554cdb148cdc","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation"
"7555f0a2-f7b8-4c4c-b016-6a611f9a1bab","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","RBG Combined Services HDPE Potable Water Pipework Installation"
"e81327ca-5433-4903-9dcb-0128cc75a2b1","","checklist-flat","pass","RBG Combined Services HDPE Potable Water Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","RBG Combined Services HDPE Potable Water Pipework Installation","RBG Combined Services HDPE Potable Water Pipework Installation"
"115f7172-579b-4b48-83f1-6d921444ad1e","Signoffs not allowed on folder-progress: Signoffs Weld 8-15(34a99ec3-539c-4c4a-b13e-7fd1bbec6969)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding"
"5e12384a-c3c0-4f00-9070-38d83b8e56ca","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10"
"eef6024d-a31b-4250-aee8-f788fa937c78","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"fdeb19c6-506d-4b28-b053-ce0b4f553e2b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"40a888bc-7d32-4b5d-b47a-b37310b7017d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 9"
"80ca2ef0-8118-48bc-949f-a23d58ae1125","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"e5c15ceb-31a3-4316-af1d-14c79e85c447","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 10"
"4d8e5aac-9f4d-42c1-a398-12fe65c11170","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"901e96bd-cd83-4104-87b3-b13506004274","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20"
"c97d7cb0-1c4d-4168-a272-0a6012164fd8","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 11"
"9fd07fb8-781c-4471-a9ae-c982c35760b5","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"361d0854-d612-4a6c-bd69-cd1d0ba9c21c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 12"
"faa03474-bb73-499b-9605-9adf2664aae2","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"abefc366-b980-437c-bc23-87537a9d1abe","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 13"
"be69baa0-e4ce-444a-af64-7b60a6c5d57b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"d241f3fa-63ed-4d43-a97e-caa604293001","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 14"
"3df3ed07-b3f8-4179-a9da-54ccc5b0aa4e","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 14","Electrofusion Welding"
"e6841f01-2774-471e-896a-fe501a6a3d3d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 15"
"f9093366-c11a-4561-ad30-138091cff8f1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 15","Electrofusion Welding"
"e942ff87-4312-437e-857a-43b33b59cb43","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Pipework Pressure Test Report QCC-01.01"
"24c7761b-5e77-4ce6-a302-5bed22c585e2","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 20 - Check Sheet 100% Complete","Potable Water Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"df374e92-c26b-40f4-b98d-c3fdf3a23a7b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete"
"404e0d70-6537-4a0f-a712-541efdfa2f69","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation"
"4764ed5b-ff50-49ed-9106-4215f4b88c4c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"337d995c-5ad0-4a1b-8345-f0144f24e308","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"7010cc49-a040-488c-8360-69f79359127b","Signoffs not allowed on folder-progress: Signoffs Weld 1-5(365dbd7f-6e82-42f9-9d6e-9c9336aefa0a)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"45896b34-6cfc-42f7-a173-1e341ae559fe","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"d8467ea7-3502-4a60-a6ee-26d1504be0a1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"7f2ff564-1832-46d1-8617-2bb4e2f9c0e1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"4ec84138-365c-43a8-b0e4-f6cf95a65cf8","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"6e4ef2f6-640e-4cf1-8357-8e84b9a94ad6","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"8bd9b2fd-f7b9-4bd3-b5e9-b53d73cd28eb","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"3f384c31-2366-4c07-889b-4b8b76f479d8","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"5f540fbd-255e-4a46-93a2-9a8f25849b42","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"b084231f-70c4-4652-b48f-4d065bceea31","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 5 ","Trench PE 21 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
