type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,,,,,,,,
label,TP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Laboratory Technician",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
section,5.0 - Completion,,,,,,,,,,,,,,,,,,,,
checkpoint,5.1 - Surface Smoothness Testing,,,,,,,,,,,,,,,,,,,,
label,Frequency - After completion of pneumatic tyred rolling,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The finished surface of the surface layer must not deviate from a 3.5 m straight edge by:,,,,,,,,,,,,,,,,,,,,
label,– Full Strength Pavement (AfPa Mix),,,,,,,,,,,,,,,,,,,,
label, o Longitudinally: Max 4mm,,,,,,,,,,,,,,,,,,,,
label, o Transversely: Max 6mm,,,,,,,,,,,,,,,,,,,,
label,– Shoulder Pavement (14H Mix),,,,,,,,,,,,,,,,,,,,
label, o Longitudinally: Max 6mm,,,,,,,,,,,,,,,,,,,,
label, o Transversely: Max 7mm,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 12.4.3 Cl 293.,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Project / Site Engineer,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,5.2 - Finished Surface Levels,,,,,,,,,,,,,,,,,,,,
label,Frequency - Per Lot & Per Asphalt Layer,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Surface level must be as per following:,,,,,,,,,,,,,,,,,,,,
label,– Full Strength Pavement (AfPa Mix),,,,,,,,,,,,,,,,,,,,
label, o ≥95% of the deviations between design surface level and finished surface level must be maximum 7mm.,,,,,,,,,,,,,,,,,,,,
label, o ≥95% of the finished surface deviations between design surface cross fall and finished surface cross fall must be maximum 0.3%.,,,,,,,,,,,,,,,,,,,,
label,– Shoulder Pavement (14H Mix) (14H Mix),,,,,,,,,,,,,,,,,,,,
label, o ≥90% of the deviations between design surface level and finished surface level must be maximum 7mm.,,,,,,,,,,,,,,,,,,,,
label, o ≥95% of the finished surface deviations between design surface cross fall and finished surface cross fall must be maximum 0.3%.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - AfPA Sec 11.5.1, Sec 12.4.5 Cl 298-299",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,"Record of conformity - This ITP signed, Survey Reports",,,,,,,,,,,,,,,,,,,,
label,SCP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,5.3 - Surveyed Average Layer Thicknesses,,,,,,,,,,,,,,,,,,,,
label,Frequency - Per Lot & Per Asphalt Layer,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Average layer thickness must not vary by ± 4mm from nominal thickness.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - AfPA Sec 11.4.5 Cl 247-248, Sec 12.4.4 Cl 294-295",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,"Record of conformity - This ITP signed, Survey Reports",,,,,,,,,,,,,,,,,,,,
label,SCP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,,,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality\System Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,,,,,,,,
date,Work Completed On:,,,,,,,,,,,,,,,,,,,,
date,Date:,,,,,,,,,,,,,,,,,,,,
