"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"652928b3-520d-4922-a390-7a7d3f1a63eb","","checklist-flat","not-started","SYS - Fredon Compliance","checklist-flat","FALSE","FALSE","Compliance Documentation"
"8625df84-f6ff-5a0f-b4ac-b34f5f043499","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","Fully compliant, site specific Safety Manual and SWMS have been submitted and accepted by the Principal Contractor."
"4e1f2267-cca4-5abf-b9d5-b3a3adaa3b82","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works have been trained and inducted in the Safety Manual and the relevant SWMS for these works."
"978cfdf6-ca16-5e66-b702-2d9a0740d08b","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works are qualified to carry out these works, and are trained, and competent in the use of all equipment and plant required to carry out these works."
"b2ace1a4-35e2-47fa-b513-284f2b0c0df8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"aba99fe8-b976-4701-ab8f-928212836072","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works"
"3d8335f3-5b16-488e-9043-c94f8073b0d2","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works","B2"
"c47cd587-351e-4847-809c-1b151bdd5546","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Ground Works","B2","Retail"
"2fb8e54e-d3bc-46ff-a47a-ff9fa0cae1a0","","checklist-flat","not-started","ITP 175 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works"
"0494f59a-c12f-57b4-8413-8312d05b9040","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the latest co-ordinated drawings are being referenced Not Required"
"98838cb3-db7d-5d62-9b64-3c9845e52800","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure the fitting is compliant with Australian Standards"
"3e3fad0e-2b4e-570f-ad27-cedb1d0abf44","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"39d4c826-9855-577a-b792-a6e67441346e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings"
"8e700941-3e10-5959-9bf4-857e71b9c7de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"edbe3d51-23a3-5ea2-9707-64fe6a407bf0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"43a29190-025a-5ff5-b0c5-32b24382e02e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"d784f9e6-4609-58aa-b1d1-21060bb71ae1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"e5f70b82-f0e1-5c61-a7d0-b717e1dc9133","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including lighting control terminations and are as per manufacturer's requirements"
"a03224ac-0e8c-58e5-afc8-ef959b737675","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"8d9afb23-ce02-5f89-ab09-a591416cbe77","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"f257db72-3596-50f6-89ab-dfd7ccaec0f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings and visibility of escape lighting meets AS 2293. NOTE: Directional arrows show correct path of egress and the luminaire has the Emergency label attached"
"16abe187-c425-50ed-aa92-bd7527596351","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"40779199-7851-574e-8ced-e024c40577d9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"82221155-8e0f-5c55-810a-07124d11393c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"bb54437e-b896-5b34-987f-6f924ad31b0e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including monitoring terminations and are as per manufacturer's requirements"
"74fd005e-cb9b-5238-ad95-b699b028d9be","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"7757b019-9a95-5e3b-94b8-e72b55fe18ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"1998a265-251e-5711-98a4-f7abe799c772","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure all emergency lighting information is kept on As Built information. Fitting number. Circuit suppling fitting. Fitting serial numbers etc."
"bf47b8f6-39ef-5818-9924-45d5aa2c8f89","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the lighting control philosophy is understood. Cable requirements. Cable polarity. Cable connections."
"bd448b9b-c791-5c98-8344-61292624603a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Ensure all fitting information is kept on as built information. Fitting number. Circuit supplying fitting. Fitting serial number etc."
"54d32276-7a3c-573b-9706-8e3971978968","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Visually inspect entire circuit for completeness Ensure fittings are protected if required Remove all rubbish - empty boxes etc."
"0b867936-120b-5a90-bded-d32078bace2f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Check that all ceilings, walls and floors are left neat and tidy and without any damage. IF DAMAGE OCCURS ADVISE FREDON SITE MANAGER IMMEDIATELY"
"8002b87d-f89d-50f3-8a34-fdc5254b6418","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Cross check and verify that the As Built Drawings are Complete and Correct"
"236fd6c7-7f8b-5512-b765-0c860d228fb1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","ITP 173 Fit Off Light Fittings","Verify all inspections are complete and collate records"
"3a22e73f-979c-4273-a096-676912574d46","","checklist-flat","not-started","SYS - Documents","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","Attach - Fit Off Light Fittings ITC 173.1"
"e1743326-044e-5cd4-bbcb-e7537ea6c436","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B2","Commercial","Attach - Fit Off Light Fittings ITC 173.1","Attach ITP / ITC"
"b94126c6-6316-44ab-ae4d-124fe5e35c81","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1"
"dd0ad9e6-afdc-4556-a3f8-a7d4c5504f82","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail"
"b45f2eb6-f8cf-4209-b224-2cd889fc4d13","","checklist-flat","not-started","ITP 173 Fit Off Light Fittings","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings"
"3c548b8c-9f1c-5281-805b-9e96bf79f7af","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the latest revision drawings and specifications are being referred to"
"597c6476-70f1-519f-bea6-5ee0b0f7856a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that all new installations have been coordinated with other services, both new and existing"
"b622870a-c146-5346-8795-b5a6c0b6890d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the latest co-ordinated service drawings are being referenced"
"f4c197d1-8632-58a1-99c1-8d8ec9e5b920","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the latest co-ordinated drawings are being referenced Not Required"
"17848e15-05b2-5148-b79d-f22fd1eb6908","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure the fitting is compliant with Australian Standards"
"e824ab92-64ba-5e29-9823-e71e353ae551","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"36c03ecb-6598-5a0e-b35f-e16d994920ae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings"
"2c8cd1e7-be19-5872-a888-1b49af553b26","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"e0625d1d-5dea-5149-a752-a6fbe6e45e09","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"c714dd56-9115-53b0-9f66-7c48911f2e1c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"8d55c334-4d5d-5642-9f54-602fcecdaaf0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"2c83fc52-f757-5fa0-8d4e-e5f31e01ffb1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including lighting control terminations and are as per manufacturer's requirements"
"8d19ab21-6818-5a06-83a8-99008e5ce3db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"c9d37b50-cce1-5905-a1f7-259beaccceee","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"a4f7dd89-190a-5069-92fd-2f220449e5b3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings and visibility of escape lighting meets AS 2293. NOTE: Directional arrows show correct path of egress and the luminaire has the Emergency label attached"
"78d212ca-0747-5df1-a71f-5f0586d3ae64","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"d06adaf1-ce4c-5640-bd10-3b719b63ed3b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"0e226b87-e34e-5e2d-b71b-bc3552066cd2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"7be11ab3-b81e-5838-99c1-584f974f989d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including monitoring terminations and are as per manufacturer's requirements"
"e8ab844a-4fc1-5c4c-8027-98f94fc58916","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"e710d90e-5f08-5087-b886-43ef0535fa30","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"8107bbcf-4e1a-52f9-ad67-e706305377bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure all emergency lighting information is kept on As Built information. Fitting number. Circuit suppling fitting. Fitting serial numbers etc."
"5fbbceda-a77f-5584-9340-3ce9ba994817","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure that the lighting control philosophy is understood. Cable requirements. Cable polarity. Cable connections."
"83a7ef95-c58d-5bb9-83ab-fcce6606ba87","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Ensure all fitting information is kept on as built information. Fitting number. Circuit supplying fitting. Fitting serial number etc."
"1ae07bae-f7f6-5606-aa1b-e1ac31fccf02","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Visually inspect entire circuit for completeness Ensure fittings are protected if required Remove all rubbish - empty boxes etc."
"edf1d7e8-4f44-54a0-b2d2-ad506b89339d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Check that all ceilings, walls and floors are left neat and tidy and without any damage. IF DAMAGE OCCURS ADVISE FREDON SITE MANAGER IMMEDIATELY"
"e2a9b2e3-c107-5ff9-af86-bcce97500e51","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Cross check and verify that the As Built Drawings are Complete and Correct"
"40d09acc-bd53-5115-9bd3-c4648bf64967","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","ITP 173 Fit Off Light Fittings","Verify all inspections are complete and collate records"
"aae8bcb5-138f-47e8-b92e-acb8920ca222","","checklist-flat","not-started","SYS - Documents","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","Attach - Fit Off Light Fittings ITC 173.1"
"8d4586e6-2ac8-521a-ae78-d70e34b63d9c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Retail","Attach - Fit Off Light Fittings ITC 173.1","Attach ITP / ITC"
"f367a443-8c6a-4b21-ac62-57ceba1d9d97","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial"
"0194cc3f-e8ff-4fe7-8e73-672d74f19b1a","","checklist-flat","not-started","ITP 173 Fit Off Light Fittings","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings"
"96228365-6634-5589-b240-e57ae8d005b3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the latest revision drawings and specifications are being referred to"
"a299bd09-d9c6-5a5e-8f8b-78fdb71a6358","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that all new installations have been coordinated with other services, both new and existing"
"18fefd35-8e36-5abc-9643-7291039e40ea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the latest co-ordinated service drawings are being referenced"
"44295247-3302-5237-9d9b-360028ce2dc3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the latest co-ordinated drawings are being referenced Not Required"
"234cba21-d535-5358-9765-8b35ebf7a009","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure the fitting is compliant with Australian Standards"
"27ea1bb4-36a9-52db-bb12-61da468b5e91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"bb545263-109d-56e7-b135-37a9146a3a98","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings"
"d45b460f-39d2-5b83-b092-491b6acc6436","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"5b3d1d65-2fbb-5c5d-aa44-8ccb33c54240","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"d20d908c-7ddf-5f21-ac1d-faca4e5af67a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"00ddc33b-ab3a-5da4-a88b-c5937e8f7fd4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"e4ac6fbc-7416-52fd-a1c2-fd194dcf994f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including lighting control terminations and are as per manufacturer's requirements"
"5c117b94-2dea-5e2d-8d31-1b262948cb65","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"2170cd01-6bd5-5769-8312-4f2ef395d145","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Install fittings as per manufacturer's recommendations"
"772cef47-0152-52c6-b6d8-117ee6683e45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct fitting is being installed for each location as per drawings and visibility of escape lighting meets AS 2293. NOTE: Directional arrows show correct path of egress and the luminaire has the Emergency label attached"
"e601384b-1757-5f91-bde7-d1e6b9a3ff53","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the correct mounting method is being used i.e. surface, chain suspended, recessed etc. Check all drawings prior to installation"
"0b5107b8-92d1-55c6-af9d-e0acbf4a2b93","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure fittings are installed using the correct fixing type"
"4498ffbf-115f-5e80-a262-c2f682fec5ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that any required ceiling grid removal has been carried out by ceiling fixers only. UNDER NO CIRCUMSTANCE IS CEILING GRID / CHANNEL TO BE CUT BY FREDON ELECTRICAL PERSONNEL"
"fcdb0280-a458-585e-af9a-afa5796dd2fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that all terminations are correct including monitoring terminations and are as per manufacturer's requirements"
"107314c0-69ed-5936-97d6-2fff6c155da3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that ceiling mounted fittings are adequately supported according to their weight. Additional supports added to the ceiling where necessary"
"01f2affc-08b4-5dd8-9e80-f6940ccd7740","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","All light fittings have been installed in a tradesman like manner (Straight & level etc)"
"d3865e98-7bce-5e20-a740-2138b327964e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure all emergency lighting information is kept on As Built information. Fitting number. Circuit suppling fitting. Fitting serial numbers etc."
"f26caca5-25a3-51a6-9b93-da4cdab75e0d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure that the lighting control philosophy is understood. Cable requirements. Cable polarity. Cable connections."
"fdb5760f-c12a-5725-9ccd-b7406890776b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Ensure all fitting information is kept on as built information. Fitting number. Circuit supplying fitting. Fitting serial number etc."
"987fbd12-2596-555b-b8b2-808ce1fb1a50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Visually inspect entire circuit for completeness Ensure fittings are protected if required Remove all rubbish - empty boxes etc."
"5755980a-4f36-5b65-a01a-cf0bab947abe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Check that all ceilings, walls and floors are left neat and tidy and without any damage. IF DAMAGE OCCURS ADVISE FREDON SITE MANAGER IMMEDIATELY"
"69535cac-57a0-5d18-a67e-aa06b90002e1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Cross check and verify that the As Built Drawings are Complete and Correct"
"6e125a85-bb10-53cc-a773-6c924e38d452","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","ITP 173 Fit Off Light Fittings","Verify all inspections are complete and collate records"
"644c46c5-9e59-492c-b7e9-11860e93caaf","","checklist-flat","not-started","SYS - Documents","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","Attach - Fit Off Light Fittings ITC 173.1"
"9a432814-ba77-5649-8dab-49f11bb400c3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Fit-Off","Fit-Off Light Fittings","B1","Commercial","Attach - Fit Off Light Fittings ITC 173.1","Attach ITP / ITC"
"f130d001-1764-47c5-b909-42d335aae318","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","R2"
"5626ce88-aece-4d6b-a6d8-dcf111f7148e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","R2","Retail"
"bd016f0a-eb49-4f3a-a759-cfb1ef0abb77","","checklist-flat","not-started","ITP 173 Fit Off Light Fittings","checklist-flat","FALSE","FALSE","Site QA","Fit-Off","Fit-Off Light Fittings","R2","Retail","ITP 173 Fit Off Light Fittings"
