"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"06a004aa-ba78-408e-9c3f-d67094b6e32e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Pre-starts"
"a17d6eaa-0a05-4b4a-b14e-63a4e2305a5d","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"bd653d53-413d-53f6-bc77-e8fdabe37648","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Rough In","All outlets have been wired as per drawings"
"8261eb21-1648-592b-aa1f-900c6bd8044a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Rough In","Height and location have been confirmed for each outlet"
"7d14855e-0351-52fb-af3a-c52f3c033fe0","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission"
"01df2604-cf2f-583f-8af0-9b84c42ce35d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Equipment/materials have been selected and installed as per drawings/specifications"
"a1afc075-fce7-5805-b69a-8d4d4fa04255","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Terminations have been checked and all terminations are correct and secure in all outlets"
"528a8616-21b7-5190-9671-a60062a3624b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Outlets have all been secured in place and levelled"
"ae663eb8-a23d-50ae-9ca3-46e5e38cc305","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","All cabling has been tested using the Fluke data tester"
"80b1bd73-9376-5941-8822-1594c8f45ac7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Each cable has been correctly installed and terminated in the patch panel"
"27657f31-7762-539d-896a-f41be345ff3c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Each outlet has been labelled"
"6a273dd4-a84e-5b4c-b6ca-e3b80a09acd0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","Each outlet marked on the site as build’s"
"1218a459-ceae-54ab-b41c-567f52b3cb72","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Data","Fit Off & Commission","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"e0b1417b-f7ea-4858-a8d2-ac890404889b","","checklist-sectioned","not-started","Underground Conduits ITP001","checklist","FALSE","FALSE","Site QA","36 York Street","Level 5","In ground conduits"
"2b8c2437-bffa-55a4-82f5-eafd2055136b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","In ground conduits","Preparation"
"e4744b5f-b713-5c8e-93b6-2e2df51e2f37","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Preparation","Check clear of other services (The Clearance for gas pipes is 300mm & other services 100mm)"
"11ae9744-848b-5445-bbbf-f4645d0c8ecd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Preparation","Check cable size to verify conduit size & determine size of trench"
"73555e04-a4ff-5abf-8e90-e53091358132","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Preparation","Organise barricades, webbing, plates, warning lights (if applicable prior to excavation) - please take a photo"
"7caa8217-9a89-503a-a0ee-7627c55c2269","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Preparation","Determine spoil removal, backfill material, compaction, cable marking protection & installment requirements"
"8c254b68-571d-5b38-bffc-f8f17b527b90","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","In ground conduits","Installation"
"69ad5c2b-63d8-5481-9818-ecfe7f4e0479","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Confirm area of work is accessible & acceptable to commence (If not comment below)"
"fd63e75a-7cbf-5e0c-84a0-0b130dac50a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Setout & alignment as per drawing (include revision below)"
"f81988a3-72f4-505b-b943-bcfb391f7218","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Mark out trench route - Arrange saw cutting if required"
"061e369b-8f9a-588f-84e6-a9f9d7a39e1b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Excavate trench & install barricades as required - please take a photo"
"6940e73b-58cc-52ae-8125-8a54d8c5fac6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Determine which way cable will be installed & lay coupling in no friction direction, install conduit glue."
"47be86d1-b944-550b-b051-9753a2a170e3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Inspect trench by supply authority if applicable"
"c1fd443e-2587-5b12-88a4-6f4418d9f25f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Install direction marker if applicable"
"bb278aac-8da4-51e7-a3f7-f7a6913f0d64","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","Mark up DGR for future as builts"
"3050c7c0-c328-59f2-8bef-5723d97bfaf2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","In ground conduits","Installation","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"b6bd2b37-2acb-433d-8a3c-b8e9f4015c56","","checklist-flat","not-started","Contractor","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","Fire Contractor"
"0819a104-026b-59dd-a54d-dc8232745966","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Fire Contractor","Has contractors ITP been received - Please take a photo / up load checklist"
"61c2bbb1-65c4-43f2-af38-54fdd5a3cfb8","","checklist-flat","not-started","Contractor","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","Security Contractor"
"b28735b0-fbd2-5418-929a-99fab1510c06","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Security Contractor","Has contractors ITP been received - Please take a photo / up load checklist"
"53d58338-7f1d-437b-a481-cb7076e0cc0c","","checklist-flat","pass","Installation of in-deck/slab conduits","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","Installation of in-deck/slab conduits"
"535ac768-b158-59cf-af41-96b570e88b56","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Installation of in-deck/slab conduits","Confirm that the selected conduit is of adequate size for purpose"
"f7bdf6a8-ae5c-5b5b-9952-ad5ab84f0bd0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Installation of in-deck/slab conduits","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"25537932-f771-40f1-b929-368ec344e1d8","","checklist-flat","not-started","Contractor","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","AV Contractor"
"7f750be2-5d7a-5b32-90f5-0d62d2d904f2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","AV Contractor","Has contractors ITP been received - Please take a photo / up load checklist"
"a7dbbe86-6ea4-4467-8df4-486043db4683","","checklist-flat","not-started","Install Distribution Boards -Terminate Cables ITP006","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006"
"6650703f-19f9-5269-aa1f-272ab248847e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Check delivery of distribution board - Check for damage (paint finish, dimensions & door against drawing) - Please take a photo"
"caa1a623-b7ba-5af5-acd1-3d144b67bdfc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Locate & fix into position"
"cdc48ee0-6141-562e-bb00-53f8432efd66","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Install sub mains cabling as appropriate (glands, tray & duct)"
"fa4e88c9-c3fa-5097-a623-3029c9056158","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Install lugs & terminate"
"08ee5787-3dc1-5b99-aa51-fcb4de704a80","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Install sub circuit & terminate (if circuit not complete at the other end, it must not be terminated)"
"3ecb4608-04a4-5ae7-9460-a1e532030247","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Clean & vacuum area - please take a photo"
"62202367-2863-5ec8-ac70-a435fb60db3f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Clearly identify services"
"74172164-280e-530d-b901-68f8d2602779","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Energise system"
"9a52a13c-60ca-595d-a965-619b52cc5371","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Check typed schedule for accuracy & install"
"b299b9bb-ac13-5822-a4ad-74b7afa1a30e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","Ensure switchboard cupboard & area is left clean - Please take a photo"
"2795f58c-2ac9-5602-8655-e2b8d5c3fb70","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Install Distribution Boards -Terminate Cables ITP006","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"6290168c-ef28-4a14-a506-37f3bb3dce64","","checklist-sectioned","not-started","Electrical Installation Testing","checklist","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing"
"774a1b90-d099-59fb-ae90-5cf3b058a684","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Test Point/ Circuit Number"
"385abeaf-89b7-50a0-81c1-47c6e0c68462","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Test Point/ Circuit Number","Main earth tested"
"d987db76-5628-54a4-9c37-dfc4b415db8d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Continuity"
"e3e9be7c-2a25-5339-9f26-feea82124e36","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Continuity","Continuity tested"
"4cdf9740-bcff-5a4a-9857-726041da128b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","IR "
"fe7518b9-0771-565b-b4c7-dcf784c50b98","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","IR ","IR tested"
"62f1998d-3257-5079-95d3-b4ad92590dc3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","CCC"
"3b28c4cf-9414-528d-9a91-4c443251dd3b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","CCC","Correct Circuit Connections"
"a578a972-075c-5da9-b81b-176716ff8e8d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Polarity "
"a825b071-6db3-50f9-b6a8-965b72ea2d26","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Polarity ","Polarity tested"
"13c7b3b5-7ffd-5ed4-ad8d-8de02f493518","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Fault Loop Impedance"
"55aeb9d8-3a46-52f2-8f53-3e4cce0fe1dc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Fault Loop Impedance","Measured Loop Value R "
"f4b67ebc-30f0-5fb4-a823-466a6f4d252a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","Fault Loop Impedance","Maximum Permitted Loop Value"
"21fa2d56-566e-59c9-a47a-e3474a49d65d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 5","Electrical Installation Testing","RCD "
"2de2efeb-5847-54ab-8378-85b9a7fe544a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Electrical Installation Testing","RCD ","RCD tested"
"f93e4eb3-f348-426b-be5f-97570eddf287","","checklist-flat","not-started","Mains, Sub Mains Cable in Conduits or on Trays ITP004","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004"
"f6df68ae-a857-5338-ba9b-0319a893f13a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","Measure cable runs with appropriate accurate measuring instrument (eg tape measure, wheel)"
"13ee4b51-158b-5c15-98d1-00a8e291da59","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","Check cable sizes resistance of protective earth conductor - shall be low enough to permit passage of current necessary to operate protective device"
"af655240-1a2d-5bf9-b24a-b99a057df183","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","Confirm length of cable if sub contract item & order"
"32cb0618-488c-5ab5-a9c4-2ed239764f51","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","Install cable in appliance method (EG. Cable stands, electric winch, pulleys etc.) - ANY CABLE NOT TERMINATED IMMEDIATELY MUST HAVE THE ENDS TAPED COVERING THE BARE COPPER - please take a photo"
"b0f85451-7a14-58a4-b385-27b8e74101bc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","Trefoil cables & tie cables to support system (ensure spacing)"
"9c12a6d5-4da9-51b9-85d3-0b4fb3cbedfc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 5","Mains, Sub Mains Cable in Conduits or on Trays ITP004","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"7c6c14b6-68dc-4ee4-9cc5-3d5361e2ad12","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","36 York Street","Level 6"
"7d55ecb8-9384-4d5e-876d-1505c7997b03","","checklist-sectioned","not-started","Installation of lighting cabling and fit off","checklist","FALSE","FALSE","Site QA","36 York Street","Level 6","Lights"
"26d8f020-064e-5862-a86a-fa5dc0c0118a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Lights","Rough In"
"62cae8f1-5b5e-5bb5-a5ba-a6c983c6a52f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Rough In","Confirm that the cable support system has been completed as per documentation"
"ad7b6537-45dc-5271-ad1e-93cef9adcabe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Rough In","Electrical cables have been appropriately sized & selected to ensure that they will support currently installed & future equipment"
"775bab3a-0c40-5f7c-9f86-3c4165c1329d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Rough In","Mechanical protection has been provided to minimise the likelihood of physical damage to cabling"
"1097316b-d1b6-554d-8656-b335fbc1b5fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Rough In","Cabling has been concealed where possible in ceiling spaces, wall cavities or risers"
"e289e907-988c-5ed2-a828-bd0eb8064ed3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Rough In","All lights have been wired as per drawings"
"8938dea8-cf99-5c3e-a193-d75c51a65794","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission"
"94c3bec5-82e5-55f8-99c2-2b014fe31484","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Equipment/materials have been selected and installed as per drawings/specifications"
"77504602-d926-5afe-b28a-92d78a2fcb9c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Ceiling supports have been installed where required (ceiling fans / pendants"
"144c9142-6ce8-556b-b7fa-0d13926b9c70","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Terminations have been checked & all terminations are correct & secure in all outlets"
"c457c152-f3d8-5daf-a35d-fa7ff35f2245","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Switches have all been secured in place & levelled"
"d73d76ea-1997-51c9-8fe6-0d0f7dbdefcf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","All lights are sitting flush & / or been levelled"
"20e1e0ea-3d5d-5be8-b9d6-296650d91d9d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","All cablings has been tested for insulations resistance & continuity"
"a32eb290-c097-5c18-8798-24b46a0394f1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Each circuit is terminated at the DB & protected by the correct protection device"
"80849c71-de0e-562b-8111-921ae24a3b05","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Each switch has been labelled"
"2137e1dd-5691-52d4-bada-6d33aa403cf0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","Each circuit has been marked on the site as build's"
"a3ef8bde-c64d-5ea4-b61d-af511d2ca542","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Lights","Fit Off & Commission","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"2727c318-394e-4f01-9ffb-947f0833d0aa","","checklist-flat","not-started","Installation of steel tray/basket","checklist-flat","FALSE","FALSE","Site QA","36 York Street","Level 6","Containment"
"81879e38-640a-59e5-9549-d482ebd878c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Containment","Confirm that the cable support system has been selected as per drawings and specifications"
"8a293104-4839-501a-82ec-19e570fb5187","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Containment","All threaded rods have been cut off to correct size"
"0c392375-51bf-57b6-b071-a2cb3540cc1b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Containment","All nuts/bolts/channel nuts have been tightened"
"6af3d729-e868-5e38-9f12-f830bfedcf81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Containment","Any changes to drawings have been noted on the site as built drawings"
"84021de3-7933-58a9-8854-0a864d91148f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Containment","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"289ac60a-f3aa-4f3e-9122-32b83551dce2","","checklist-sectioned","not-started","Installation of power cabling","checklist","FALSE","FALSE","Site QA","36 York Street","Level 6","Power"
"842ccafd-4762-5e58-aa55-e9d081d31d0a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Power","Rough In"
"0f05f5e3-7f62-5536-9f74-f4f8f890f566","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","Confirm that the cable support system has been completed as per documentation"
"e26e9435-198c-5234-b47a-eca1f8f9ddb6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","Electrical cables have been appropriately sized and selected to ensure that they will support currently installed and future equipment"
"c3193f33-c299-517e-9431-59c44c61b830","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","Mechanical protection has been provided to minimise the likelihood of physical damage to cabling"
"5a4186be-6090-5bd2-957f-90f489c0f82c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","Cabling has been concealed where possible in ceiling spaces, wall cavities or risers"
"4ebc1eb2-75df-5a68-816d-781f3d8cdb18","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","All outlets have been wired as per drawings"
"b81a14c1-b42d-5c87-8458-08ac04ce3db3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Rough In","Height and location have been confirmed for each outlet"
"eef4ed44-3566-588a-b995-d79b3c17869f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission"
"c42782c8-76b5-5d76-aa8c-4733f41ed369","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Equipment/materials have been selected and installed as per drawings/specifications"
"ff1df6a9-7e54-5ed8-9998-1a2afdd0954d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Terminations have been checked and all terminations are correct and secure in all outlets"
"f9f052e5-c277-527d-8638-80d85c0cbb91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","All cabling has been tested for insulations resistance and continuity"
"209e210c-c46b-53b8-aece-89bd58d3ffc3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Each circuit is terminated at the DB and protected by the correct protective device"
"05fb9e65-6720-510f-b458-fa0aff637187","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Each outlet has been labelled"
"740f918c-fa56-5dd9-95c0-8cd2983d77a8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Functional test carried out on each outlet"
"e8d8018f-a946-5b9f-913c-38c0fb736e5f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","Each outlet marked on the site as build’s"
"6ada1643-d139-5286-93e9-c917c7c2fb82","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Power","Fit Off & Commission","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"c5b88059-9b1c-4076-95a3-dbd1f7f3862a","","checklist-sectioned","not-started","Installation of data cabling and outlets","checklist","FALSE","FALSE","Site QA","36 York Street","Level 6","Data"
"3b004edf-25dc-5465-a87f-922740513144","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Data","Rough In"
"c255a464-74c9-53b7-b996-d808d18eceb6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","Confirm that the cable support system has been completed as per documentation"
"2e8b19bd-20a2-5c4c-9226-ec91ce206288","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","Data cabling has been selected as per drawings and specifications (Cat6/CatA & brand)"
"95a994c1-f8ed-57c4-a6ec-be74bde09c38","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","Mechanical protection has been provided to minimise the likelihood of physical damage to cabling"
"63def8c3-2754-5913-92f7-9095526834b7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","Cabling has been concealed where possible in ceiling spaces, wall cavities or risers"
"e5ad3e1a-72ed-57e2-95d0-26d24a322ff3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","All outlets have been wired as per drawings"
"1600379e-d56c-5a4e-8492-a859e5fa1a7d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Rough In","Height and location have been confirmed for each outlet"
"494f9a94-5342-5b43-b4a1-f8ac297fa938","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission"
"facd5877-c8bd-563d-a288-69197eb8e609","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Equipment/materials have been selected and installed as per drawings/specifications"
"9053dc6c-bf6e-5100-93ea-9a2bb8edc0ce","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Terminations have been checked and all terminations are correct and secure in all outlets"
"ce3c9093-bf6b-5d08-a389-79227d5fce07","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Outlets have all been secured in place and levelled"
"0fc7fe81-0ce8-56db-8a3c-16b85d999d8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","All cabling has been tested using the Fluke data tester"
"8892aa06-a8df-5e5e-9271-36c5efb58159","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Each cable has been correctly installed and terminated in the patch panel"
"5807707c-d595-50ae-890d-e264d400ad83","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Each outlet has been labelled"
"10184410-b5a1-51e2-b3af-a14849afabba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","Each outlet marked on the site as build’s"
"962989d4-04f5-5a6a-bc2f-c65a55f626ce","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","Data","Fit Off & Commission","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"5c8f7405-0d96-4d84-9aa8-c9fba3624d52","","checklist-sectioned","not-started","Underground Conduits ITP001","checklist","FALSE","FALSE","Site QA","36 York Street","Level 6","In ground conduits"
"014b03d8-e6e7-5a7e-be99-47256a6d1c03","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","36 York Street","Level 6","In ground conduits","Preparation"
"ca33b094-400f-5212-a1f4-cbeef5ca1084","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","In ground conduits","Preparation","Check clear of other services (The Clearance for gas pipes is 300mm & other services 100mm)"
"d1d13a38-e4fb-5a2c-8996-2c6709265cbc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","In ground conduits","Preparation","Check cable size to verify conduit size & determine size of trench"
"93dee340-98ba-5efc-9882-c6c366148b78","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","36 York Street","Level 6","In ground conduits","Preparation","Organise barricades, webbing, plates, warning lights (if applicable prior to excavation) - please take a photo"
