"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b482182c-2e25-47b9-b2e7-fa5cebbc4038","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"d924c322-c128-507a-9f39-e02b374cc859","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"26a4297d-133a-5674-85a5-8731c42931f6","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"4b22831a-36f3-530c-8aa2-d556b715f61f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"4d1a38d8-3fb5-5ad5-b2a4-0cef7fbd9c46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"41f84eca-dc57-5123-ba8c-fe26465e4e54","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"e73fa813-3e4d-5d1a-af87-accc6f0a80a6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"879ee930-294d-49b7-b438-0caf28e50165","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"21197986-7c8a-4f2c-a141-7d9b0aef3907","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01"
"dc80e1cc-4342-4067-88db-fbe79f024ee1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01"
"e3efab24-927b-410f-92b0-f3194dcc60d5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist"
"dad735dd-235c-516e-88ca-810d7e45c53f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"93fd6ce8-f398-5aa4-b6a7-dceac941d372","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"3b8ebac1-d209-5980-b643-13409fa7051e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"d70cd2b8-67c7-51e1-a30a-3085485cb5b7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Photos taken"
"4531f7fe-7348-4ec1-ac28-36049a329c06","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12"
"a086902f-ba38-58ea-8e2f-86e1facc4eea","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12","Confirm the structure is in accordance with the details supplied by PBI"
"0541fdea-c171-58d0-876b-18e507eec61a","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12","EMAIL PM"
"885191f3-d15b-5ff3-87b6-29b3cc2dfbfe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"27c7d797-3f6b-578d-befa-1b3f3bd1293d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"701143b9-6bff-4aa9-abc0-6658f750012d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13"
"d0b25118-d6b0-5c5c-aeef-06ebe26a5f9c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13","Confirm the structure is in accordance with the details supplied by PBI"
"38dbde06-3518-5766-bc41-abe9813cec69","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13","EMAIL PM"
"15a9a507-e017-56ef-a173-9196224b2157","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"82f83339-50ea-5ac8-b908-945c1125e820","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"44fec4af-202c-4599-8995-3b5988e30c7e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14"
"0d609f7a-c71b-58ce-8bbc-00423942fdb0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14","Confirm the structure is in accordance with the details supplied by PBI"
"7670ea2d-398d-5e34-aa99-756cc9f24f0d","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14","EMAIL PM"
"8f443b5a-bcb8-52fc-97a1-6d92d9615414","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14","Required number of photo(s) taken of installed anchor(s)"
"5e4bb7fb-5d9d-564a-8ac6-03f17eca027e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"b5e1f42e-3f1b-4d43-92a6-d59b1edac3b4","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15"
"544dd129-72c9-52cb-a8f2-c7237cc875cb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15","Confirm the structure is in accordance with the details supplied by PBI"
"f200d891-31eb-5825-a4f9-8e36a4f797ae","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15","EMAIL PM"
"0f5ec3ac-f779-5753-987c-7ab975f8e6b1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15","Required number of photo(s) taken of installed anchor(s)"
"f747f09f-cba2-511a-95f3-06010cb41803","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15","Installed as per PBI drawings supplied and manufacturer's requirements"
"0433acfa-f420-4de0-8393-72f528bdc600","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 02","1No Permanent Access Ladder System"
"7ebff2e1-efe0-41a2-b47f-254e78ed5736","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No Permanent Access Ladder System","Pre-Fit Off Checklist"
"e06cf34a-f1c5-55b0-86b3-13e52a0e7ec3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b3a2c1e2-529c-5c6f-8f1d-5aee8b959274","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Pre-Fit Off Checklist","EMAIL PM"
"26690abd-64e5-5e6f-a7a1-9de6f8874428","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7e4a381b-a332-5d2e-a58c-3dc90f4644dc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Pre-Fit Off Checklist","Photos taken"
"9113cb9a-0235-47c6-bcf4-18d70a183c3a","","checklist-flat","not-started","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02"
"8ac8403f-2b6e-5109-a121-3ed3f2913d0b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","Installed to manufacturer or PBI Installation instructions"
"14b1feba-9fe0-5b57-9d73-9db4d6d2fbe8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","Installed as per AS1657:2018"
"13a71b23-48a1-5f97-8f16-b7e3c9704d3a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","All fixings secure"
"1f939330-6bdf-5c00-86bc-0acbe1be7e22","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","Top step of ladder flush with either walk-off kit or building edge"
"a707de94-7189-5cc7-b0dc-a45bb1797dde","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","No unsealed penetrations to the roof"
"d5b58b27-317e-5442-881a-f35ed30de8ee","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","If caged, cage start between 2m and 2.2m from ground level?"
"11d7909c-274c-5ca5-aea6-5c0b2a7d2988","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","If ladder is above 3.5m, does it contain a cage?"
"1ec1c5c0-20c9-50e5-86da-6087daf6051d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","If ladder is above 6m, does it have a mid-way platform?"
"12e9a088-61af-5105-a3ae-4b304a6c7c70","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","Photo uploaded of clean work area"
"e768710a-ad0c-5024-8bd3-510e020bf99e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No Permanent Access Ladder System","Fit Off Checklist - Ladder System 02","Video taken"
"c82660e5-d20f-4460-968b-5452c014df61","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","Data Plate, Access Point"
"a8bba53d-e49a-5ebc-b158-38773f1189be","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","Details of Data Plate"
"1ed325e0-7276-5795-a918-ea48e3f83960","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","1 photo required of Data Plate"
"36301892-5a8c-552b-994f-bd549e7e1060","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","Details of Access Point"
"86344e65-04bb-5dbd-bcdb-cd02666f7852","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","1 photo required of Access Area"
"5a0862b5-c797-52fc-ae3c-64e6021f8103","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"dbff068a-d126-5f69-b96e-239d67b3353a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","Data Plate, Access Point","1 photo required of carriages/travellers"
"272acf1d-4a20-4c17-8fc4-85c504269e91","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Bloomfield Roof"
"fe211e85-6743-4167-b582-963e937a7e27","","folder-normal","pass","","step","TRUE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05"
"1cba0fbc-539f-4749-817d-5c3758a101de","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Pre-Fit Off Checklist"
"c3c24bc6-7a30-5f1e-b5f5-72fea7edfd29","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"e13f7824-e624-56dc-af5e-85d3d293dde2","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Pre-Fit Off Checklist","EMAIL PM"
"a1f68c72-23e0-5f31-9967-6afa4505390e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"672f74e6-ba4d-5138-9251-5cd811632f57","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Pre-Fit Off Checklist","Photos taken"
"a24a9e00-dd18-422d-893f-6a1c43e310a5","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05"
"b921c091-4221-5511-b4f4-e0ac3cdc007e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","Confirm the structure is in accordance with the details supplied by PBI"
"1b921fc0-cf8a-56d4-989a-f78f3f13ac5a","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","EMAIL PM"
"c386d698-b490-54ae-820f-aed8e84cdfeb","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","Photo taken of Engraved Line Plate / ID Tag"
"28754de1-a9ad-5333-9607-a1f415ab6d20","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","Video taken of system"
"eca6386c-f911-51f1-8471-347603f9590f","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","Description input of location / person Rail systems shuttle left with"
"024c1681-ad17-5b4f-a0f2-a868f94fef30","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 05","Rail Checklist 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"ce2afbce-9837-4ff8-b6fb-541b6e38eba2","","folder-normal","pass","","step","TRUE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06"
"7a7d8825-baad-4109-9cbf-46c1e456cf10","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Pre-Fit Off Checklist"
"f8e5785e-53e3-51b6-8357-22fb64ac18d5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c09fd211-f2bd-5055-b495-d0b247f32b28","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Pre-Fit Off Checklist","EMAIL PM"
"99de1b8a-798b-5ccb-a65b-c1b542b1f768","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"ae2e87ce-cd37-5fca-bfb2-04c1a3f7db07","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Pre-Fit Off Checklist","Photos taken"
"250e3827-f8dd-4d1d-bba1-2955070fe25e","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06"
"12c644fc-7976-51e3-b2cc-bd87f73366dc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","Confirm the structure is in accordance with the details supplied by PBI"
"064af657-7f26-56ac-8aed-bc3a551f8b37","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","EMAIL PM"
"3a04d794-fce3-55b7-bda4-eab4a07b1e4c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","Photo taken of Engraved Line Plate / ID Tag"
"0f40f557-0b5e-50fc-a216-f49ab5946f80","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","Video taken of system"
"bc35609a-6a37-534a-b8da-0c46bcce47fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","Description input of location / person Rail systems shuttle left with"
"ab32fe24-1a08-5b40-95d5-791e19443cb8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No RoofSafe Rail Fall Arrest System @ 33m - RSRail 06","Rail Checklist 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"0cdd3a8a-ff40-4d09-bf0b-a4bc09fd61b2","","folder-normal","pass","","step","TRUE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors"
"0fcf949e-027a-40c0-9358-07897e7555c6","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist"
"1d64a444-d7fc-5888-aa80-237a5b9acbdf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"f19979b7-b806-565b-8736-219a72a95a70","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"f7770442-9615-530c-8393-6c6f1c20d039","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"44cd1166-2e68-571b-b7ef-a22a4e2a9340","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Photos taken"
"78e96f92-04be-4947-905c-63acea2abd4b","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17"
"7fc0a931-5ae2-52a2-a6b8-a2b644403728","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17","Confirm the structure is in accordance with the details supplied by PBI"
"c35efaf6-8ba4-53fb-abbc-0ba3cd571d64","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17","EMAIL PM"
"d6c5c7d4-090a-50ae-acf9-369737685acf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17","Required number of photo(s) taken of installed anchor(s)"
"b30150de-a3ef-59ad-97a7-72d3378de184","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17","Installed as per PBI drawings supplied and manufacturer's requirements"
"ac05fd89-deb1-4f5a-a342-3dd802f59c94","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18"
"59049311-a478-5945-b72a-4d75210a4e6e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18","Confirm the structure is in accordance with the details supplied by PBI"
"2fbad13d-7632-5796-9294-163f19b096a2","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18","EMAIL PM"
"92f90685-6745-5bee-97ee-38a594e90652","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18","Required number of photo(s) taken of installed anchor(s)"
"569da725-d919-57c2-a533-6ec09aeb4751","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18","Installed as per PBI drawings supplied and manufacturer's requirements"
"98118e34-6d1b-4a69-a861-274febe0c620","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19"
"b5a0be35-c36e-5f85-a0e6-3082f359cb54","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19","Confirm the structure is in accordance with the details supplied by PBI"
"3b7d3781-64a6-5a4d-ba43-a03bd11d7b61","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19","EMAIL PM"
"302844ca-5b3c-5639-ab0e-0af34e48271c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19","Required number of photo(s) taken of installed anchor(s)"
"a8262a6c-c7f2-55d3-a3f0-fa019c89a9e2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19","Installed as per PBI drawings supplied and manufacturer's requirements"
"e16df4c9-b625-4cb8-896f-778fb8c9f9b8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20"
"555a1f8d-2801-5455-b1d4-557a49419bc9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20","Confirm the structure is in accordance with the details supplied by PBI"
"fb283f5c-a629-5891-8327-9bfe4ba41a9d","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20","EMAIL PM"
"c1e69a3f-09a5-5b35-aa94-ae0ad493d7a0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20","Required number of photo(s) taken of installed anchor(s)"
"d39e2861-f51f-5e7b-9931-96ea49a6cdef","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20","Installed as per PBI drawings supplied and manufacturer's requirements"
"b871a674-d965-4bc0-86f5-fda3c83006c2","","folder-normal","pass","","step","TRUE","FALSE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop"
"9722f445-9f43-4659-9475-79a55baa36bd","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Pre-Fit Off Checklist"
"a7a4fa03-59e5-5f6b-81a0-0f8711972b5c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"0ca163c8-f1b4-5743-834b-1722ff974eab","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Pre-Fit Off Checklist","EMAIL PM"
"4f7369f7-cd9b-53d6-85f2-b89e35f83a1b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"aedea6df-4459-545e-9417-06cd31fd0e27","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Pre-Fit Off Checklist","Photos taken"
"b489d4d4-9f06-4407-a970-45f740ef04d0","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Fit Off Checklist - Anchor 16"
"c9473168-ae8b-5677-a6a8-6e0061f2e54e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Fit Off Checklist - Anchor 16","Confirm the structure is in accordance with the details supplied by PBI"
"a371d969-ab8e-58db-9250-2db00ccbb0a2","","holdpoint","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Fit Off Checklist - Anchor 16","EMAIL PM"
"4c2eda41-6edd-5790-a179-5ad35e161f27","","checkpoint-status","pass","","","TRUE","TRUE","QA","Bloomfield Roof","1No AP Type 02 Fall Arrest Anchor with First Up Strop","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
