"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7ef8b87-5d1a-4056-9b7f-860ed5de950f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "
"74a99b16-d5a0-4c5b-8a80-07484c484a81","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding"
"85e39bc8-fa6b-4ac1-a4ce-6d1b15e88155","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"fe66c853-05b5-41cd-a225-5c29a7cdffe7","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2"
"b8f854cf-ea2f-4ea4-b92d-d656d65c63c0","","checklist-flat","pass","ee60164bd327abea661dc5fe69a2aa61574661a5cf6d453b10811419e0ce97f2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"a2b74eae-747e-4d31-9cb1-df7c0a0df3cd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4"
"880f06d8-6d1f-4e99-8596-f26ab838de18","","checklist-flat","pass","4a3cdd03f5f4262a0c38612ecadab667e1902676cc20a6619c01f01dfa25f46c","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"f0c0ed8c-3446-4904-87db-af04f834cc1d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01"
"17aa494f-8af1-4eed-915c-db2b618da093","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"3b052bd8-a76b-48be-88a7-5ecc3f78a57b","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete"
"6c1a8fb5-bb8c-46e0-ad2b-4474e7fbe48e","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Combined Services HDPE Natural Gas Installation"
"3359cc84-0328-5580-b973-ae97688ebc14","","checklist-flat","work-in-progress","Combined Services HDPE Natural Gas Installation V3","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Combined Services HDPE Natural Gas Installation","Combined Services HDPE Natural Gas Installation V3"
"3d0c1449-8566-47cf-9ce0-62d4a5b6b157","Signoffs not allowed on folder-progress: Signoffs Weld 11-14(1283f088-3a31-486a-a4ae-4af8d6ade7a8)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding"
"d3e276e1-0188-424d-8e75-2ba3cecaf546","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"45a60bdb-1a15-4f83-acc7-0180c605ed0e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5"
"7128213b-615c-4a23-9d23-7ed75ffa691d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"bcf8cd7d-c180-48ec-949b-93d60b7d2d4d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"f3c1dbd4-ab70-4c53-8887-4a5edb69cbd1","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"904733a7-6a7b-499b-aa78-8db93545d721","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10"
"96f345d0-ba41-4426-abf0-a383958cab6a","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"29bd8c47-c66b-4d6b-9821-5c5a41835c1e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20"
"3f6a2615-d7b8-460e-9de2-6660460aaa35","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11"
"5ebdb482-4779-47c3-ad77-2f29d85dde2f","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"6a42bfd8-1665-46e3-9817-460605900493","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01"
"0d09d365-860a-4756-841e-a88e06fd8cea","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"32212e85-6ac0-569a-bf5d-33435381ce47","","checklist-flat","pass","Seismic Joint Building Connection","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 102 - Check Sheet 95% Valve Box Incomplete","Seismic Joint Building Connection"
"82bf6a58-ca27-5912-a1b2-d22c47021070","","checklist-flat","work-in-progress","RBG Combined Services HDPE Potable Water Pipework Installation V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 43 DCW - Check Sheet 95% Valve Box Incomplete"
"35040f8b-25a8-436d-9b9f-ce06eeb3ad75","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10"
"c18f19ca-5198-48ff-becf-4de5cee92a8c","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete"
"697b9507-42db-4584-9b38-65b6daad4b4a","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete"
"6671c454-53dc-4b6d-a92b-857e3a18a1d0","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Combined Services HDPE Fire Pipework Installation"
"1ba94c80-5775-425a-adb1-c9aaf4e22be3","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"ea73f5dc-6567-4152-ba22-0cf68a4e89ac","Signoffs not allowed on folder-progress: Signoffs Weld 7, 9-13, 25-26, 41-46(6da86a3e-6773-4ae4-ba2e-33f09eb77fb5)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding"
"e1a854d7-c8ee-496a-bcd9-f29870b34f49","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"ee85fa07-bb00-4b1d-8734-f21d98d5e652","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7"
"2604dbcf-c5f6-4b32-89c3-0b86abcf6e0c","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"61dc3a3f-0dc7-4eaa-bccd-b13e0240be03","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"03e96153-4173-443e-903f-4b2200e6e22c","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"ba1c0bb1-2bf9-4cb8-bebd-6a70a2b59924","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10"
"709939dc-f878-4a90-a2d8-8365e118235e","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"460ee237-b8c5-4e4f-8424-7fd66b37919b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20"
"2220d8a0-eab3-4e25-84a0-926b5e0ee2ea","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11"
"3f21b2b3-d0a7-4dc7-84e6-a7c40af433a0","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"8843adf2-293e-461a-8e5f-e8fca842494c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12"
"07eb2319-ef76-4303-909d-4b716742e14c","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"a92ae5b7-483c-4c39-9f5c-7cd16741755a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13"
"1fa7e625-5259-4ff9-8efd-bef0766f54c0","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"b86e2524-f08c-4913-b207-4e557e524954","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30"
"fdc42e6e-8aee-486a-b5a7-256003d91627","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 25"
"8fd0c732-2a3a-4ed4-b2ca-d0529bd5b6d8","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 25","Electrofusion Welding"
"1ca6df89-7981-4f5b-9344-9b3b5ae81e18","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 26"
"c414a734-04c9-46af-9e0e-c5049158fc14","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 26","Electrofusion Welding"
"08cb206a-5353-4c8f-a408-3b346be19051","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50"
"55fa2296-7f52-4e85-ad7d-2c897985cb2f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 41"
"30516c95-6bfe-4ca0-a3ca-226016cc5ea4","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 41","Electrofusion Welding"
"90cdb062-7f6f-4b8d-ab33-ac5439603258","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 42"
"bac8d13e-10ce-45b1-a5a5-07117b81ee9c","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 42","Electrofusion Welding"
"165b07b8-5bef-4ea4-8672-168940059b72","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 43"
"f7b81c8e-d162-409f-865c-d4694bf3ab4c","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 43","Electrofusion Welding"
"0490795e-7d60-41ba-94fd-d0942baf6840","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 44"
"c09adf58-5b18-47c1-8bde-56c4ce2828ad","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 44","Electrofusion Welding"
"87dff47f-9188-44ec-b416-d3e1b27aa099","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 45"
"4b5105fa-c6c3-4ee2-885f-7e8eb0d6e20e","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 45","Electrofusion Welding"
"932dde9a-a61f-4088-be32-1a540979da8f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 46"
"3b4a1f7e-63d3-441d-aa0f-7c7b307c17d1","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 46","Electrofusion Welding"
"d7264e6c-f055-4bbc-b640-b25864154267","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 47"
"72b8662a-d173-403f-bd26-307d46a9d066","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 47","Electrofusion Welding"
"3d337b34-c06a-4cf1-82f3-a7a543b02d80","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 49"
"cba2326b-56bd-41b4-875d-3ffa95d71b69","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 49","Electrofusion Welding"
"488a213d-e1e6-4a52-aafd-409eb20bc889","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01"
"53631268-ccd1-45ab-912b-8d923f0e2e79","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - 95% Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"19850588-1385-402a-853e-ae08825369ed","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete"
"ee61da1d-5bcf-4d8e-bf81-f00ccb4ce4a1","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","RBG Combined Services HDPE Potable Water Pipework Installation"
"2ab64493-904f-45d2-b6fa-c5f262e888b2","","checklist-flat","work-in-progress","RBG Combined Services HDPE Potable Water Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","RBG Combined Services HDPE Potable Water Pipework Installation","RBG Combined Services HDPE Potable Water Pipework Installation"
"419343af-fd33-406a-9c80-b12c1f52194e","Signoffs not allowed on folder-progress: Signoffs Weld 14-16, 22,23,28-40(99aec957-d185-4487-9d1b-1d32b392d9da)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 10","Trench PE 11 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - 95% Valve Box Incomplete","Electrofusion Welding"
