type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checkpoint,Provide minimum 20mm timber fillets at the base of all upstands. Viking Roofspec recommends using (IMT603) Bitumen Fillets,,,,,,,,
checkpoint,Chamfer all external edges with a minimum radius of 5mm,,,,,,,,
checkpoint,Plywood is to be kept dry at all times during construction. Blow/torch drying the plywood surface prior to membrane application does not comply. Plywood and framing supports to be at no more than 20% moisture content,,,,,,,,
checkpoint,"For roofs and roof decks over living spaces, all insulated cavities must be ventilated in accordance with E2.3.5.",,,,,,,,
checkpoint,No cavity ventilation is required for a Viking WarmRoof system that meets or exceeds the minimum R-value requirements of the climate zone.,,,,,,,,
checkpoint,Consider constructing Cross Ventilation with Timber Castellated battens directly under the ply substrate.,,,,,,,,
checkpoint,All outlets and overflows are membrane compatible. Drains must have clamped grates,,,,,,,,
checkpoint,"Ensure compliant falls. E2/AS1 8.5.1. limitations state 2° for roofs (1:30 or 34mm/mt), 1.5° for decks (1:40 or 25mm/mt) and 1:100 (10mm/mt) for internal gutters",,,,,,,,
checkpoint,"Ensure you have ordered the correct membrane, colour and thickness for your project",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,WarmRoof with Torch-On or TPO - Compressed Fiber Cement Sheet Substrate Checklist,,,,,,WarmRoof with Torch-On or TPO - Compressed Fiber Cement Sheet Substrate Checklist,,
checkpoint,Compressed Fiber Cement Sheet Substrate Checklist,,,,,,,,
checkpoint,Main Framing supports at 400mm centres (in one direction). All substrate sheet edges must be supported with Nogs/dwangs at 1.2mt centres.,,,,,,,,
checkpoint,"Minimum Compressed thickness 18mm, to horizontal surfaces.",,,,,,,,
checkpoint,"Sheets must be laid across the main supports with staggered joints in a brick-bond pattern, tight-butt joins between all sheet edges.",,,,,,,,
checkpoint,Refer to Compressed Sheet Supplier requirements for control joints.,,,,,,,,
checkpoint,Sheets to be screw-fixed with 10g x 50mm SS counter-sunk screws at 150mm centres on all sheet edges and at 200mm centres through the body of the sheet. All screws to be counter sunk 2-3mm.,,,,,,,,
checkpoint,Screw-holes to be pre-drilled using a Tungsten Carbide drill bit. Chamfer all external edges with a minimum radius of 10mm.,,,,,,,,
checkpoint,*Sheets are to be kept dry at all times during construction. Blow/ torch drying the surface prior to membrane application does not comply. Substrate and framing support to be no more than 18% moisture content.,,,,,,,,
checkpoint,Roofs over insulated cavities must be ventilated.,,,,,,,,
checkpoint,All drains and outlets must be membrane type compatible. Note that TPO membranes cannot be welded to Stainless Steel scuppers or sumps.,,,,,,,,
checkpoint,"Please ensure you have clearly ordered the correct membrane, colour and thickness for your project.",,,,,,,,
checkpoint,"Ensure minimum required falls are met. E2/AS1 requires states 2° for roofs (1:30 or 34mm/mt), 1.5° for decks (1:40 or 25mm/mt) and 1:100 (10mm/mt) for internal gutters.",,,,,,,,
,,,,,,,,,
checklist,WarmRoof with Torch-On or TPO - Concrete Substrate Checklist,,,,,,WarmRoof with Torch-On or TPO - Concrete Substrate Checklist,,
checkpoint,Concrete Substrate Checklist,,,,,,,,
checkpoint,Ensure concrete substrate has been allowed to fully cure – at least 28 days from pour.,,,,,,,,
checkpoint,"If the concrete is less than 28 days old and a concrete surface sealer has been used or a rapid curing compound, you must identify the product and verify correct curing has taken place prior to laying membrane.",,,,,,,,
checkpoint,Relative humidity of concrete substrates must be 75% or less before application. (This can be verified with the use of a hygrometer).,,,,,,,,
checkpoint,Viking Roofspec recommends the use of two coats of Viking Surface Sealer to control moisture within the substrate prior to the Viking Single Ply waterproofing membrane installation.,,,,,,,,
checkpoint,"Surface to be steel trowel finished smooth, without nibs or voids, clean, dry and free of debris or release agents.",,,,,,,,
checkpoint,"Fill hollows or holes with a cement plaster, or FLC within limitations of product used. Use minimum 50mm bond-breaker tapes over expansion joints.",,,,,,,,
checkpoint,Minimum 20mm triangular fillets required at the base of upstands for Butylclad and Epiclad. - Not required for Enviroclad or Dec-K-ing,,,,,,,,
checkpoint,All drains and outlets are membrane compatible. Confirm with Viking Roofspec if required.,,,,,,,,
checkpoint,Ensure consented falls are met. Refer Viking Membrane BRANZ Appraisal and project specification.,,,,,,,,
checkpoint,"Please ensure you have ordered the correct membrane, colour and thickness for your project",,,,,,,,
,,,,,,,,,
checklist,WarmRoof with Torch-On or TPO - Plywood Substrate Checklist,,,,,,WarmRoof with Torch-On or TPO - Plywood Substrate Checklist,,
checkpoint,Plywood Substrate Checklist,,,,,,,,
checkpoint,"Faming supports at 400mm centres (in one direction). Alternatively, Viking Roofspec can accept the maximum main support spacing provided in Table 15C of CCH Ecoply Specification Guide. All plywood edges must be supported. Do not use tongue and groove plywood.",,,,,,,,
checkpoint,"Minimum thickness 17mm, H3.2 treated, F8 structural plywood (not LOSP treated)",,,,,,,,
checkpoint,Minimum CD grade with the sanded C face upward. Plywood laid with face grain at right angles to supports.,,,,,,,,
checkpoint,Plywood is to be laid with staggered joins in a brick-bond pattern with a 3mm expansion gap between sheets.,,,,,,,,
checkpoint,Plywood screw-fixed with 10g x 50mm S/S counter-sunk screws at 150mm centres at all sheet edges and 200mm centres through the body of the sheet. All screws to be counter sunk 1-2mm.,,,,,,,,
checkpoint,Chamfer all external edges where membrane will be detailed over with a minimum radius of 5mm.,,,,,,,,
checkpoint,Plywood is to be kept dry at all times during construction. Blow/torch drying the plywood surface prior to membrane application does not comply. Plywood and framing supports to be at no more than 20% moisture content,,,,,,,,
checkpoint,No cavity ventilation is required when the cavity is fully sealed and encapsulated by the thermal envelope and where minimum R-value of thermal envelope meets the requirements of the relevant climate zone.,,,,,,,,
checkpoint,All outlets and overflows are membrane compatible. Note that TPO membranes cannot be welded to stainless steel scuppers or sumps. Drains must have clamped grates,,,,,,,,
checkpoint,"Ensure compliant falls. E2/AS1 8.5.1. limitations state 2 for roofs (1:30 or 34mm/mt), 1.5° for decks (1:40 or 25mm/mt) and 1:100 (10mm/mt) for internal gutters",,,,,,,,
checkpoint,"Please ensure you have ordered the correct membrane, colour and thickness for your project",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,WarmSpan with Torch-On or TPO - Pre-Installation Inspection,,,,,,WarmSpan with Torch-On or TPO - Pre-Installation Inspection,,
checkpoint,1. PLANS and DETAILS: Any issues notified in writing with Designer and Viking Roofspec prior to installation,,,,,,,,
checkpoint,Any potential issues have been notified in writing to Designer and Viking Roofspec prior to installation. ,,,,,,,,
checkpoint,Membrane Installer and Builder have a clear understanding of details and requirements for the project.,,,,,,,,
checkpoint,Plans and details meet Viking specification and performance requirements of The NZ Building Code ,,,,,,,,
checkpoint,Has a Leak detection system or site inspection program been specified?,,,,,,,,
checkpoint,2.SUBSTRADE,,,,,,,,
checkpoint,Substrate Checklists filled out and attached to this QC 2. There may be more than one for the project. ,,,,,,,,
checkpoint,If concrete Substrate. How many days since pour?,,,,,,,,
checkpoint,Was a Viking Surface Sealer applied (for single-ply membranes only)?,,,,,,,,
checkpoint,Has the substrate been kept dry by the Main Contractor? Comment if substrate has become wet: ,,,,,,,,
checkpoint,If you have a Moisture Meter record % here:,,,,,,,,
textbox,Moisture Meter,,,%,,,,,
checkpoint,3. SITE CONDITIONS,,,,,,,,
checkpoint,The site is tented or protected from poor weather conditions?,,,,,,,,
checkpoint,The temperatures and weather conditions during installation meet Viking specification requirements Builders are working well clear of membrane installation to prevent contamination of the substrate,,,,,,,,
,,,,,,,,,
checklist,WarmSpan with Torch-On or TPO - Quality Control Checklist - Post Installation,,,,,,WarmSpan with Torch-On or TPO - Quality Control Checklist - Post Installation,,
checkpoint,1. MEMBRANE INSTALLATION,,,,,,,,
checkpoint,Membrane has been installed to Viking specification?,,,,,,,,
checkpoint,Overflows have been installed where needed and match Outlet capacity? ,,,,,,,,
checkpoint,All Details are fully completed and over-flash protected from water ingress?,,,,,,,,
checkpoint,Inspection has been made of completed membrane installation,,,,,,,,
checkpoint,2. INSPECTION TYPE,,,,,,,,
checkpoint,Seam-probe inspection ,,,,,,,,
checkpoint,FLOOD-TEST of gutters 12hrs or overnight. Refer to Viking Technical Note on Flood-testing. ,,,,,,,,
checkpoint,Electronic Leak Detection,,,,,,,,
checkpoint,3. FINISH,,,,,,,,
checkpoint,"Head Contractor has signed off all completed details, all inspections of completed work areas?",,,,,,,,
checkpoint,Will the membrane have penetrations installed by future trades? Is there a plan to co- ordinate?,,,,,,,,
checkpoint,Finished areas will be / or are already protected from following trade traffic and materials storage?,,,,,,,,
checkpoint,Have any ongoing inspections been arranged with the Main Contractor or building owner?,,,,,,,,
,,,,,,,,,
checklist,WarmSpan with Torch-On or TPO - WarmSpan Metal Deck Substrate Checklist,,,,,,WarmSpan with Torch-On or TPO - WarmSpan Metal Deck Substrate Checklist,,
checkpoint,Steel Deck Substrate,,,,,,,,
checkpoint,Reverse the metal profiles so that what is traditionally the rib now gets fixed to the purlin. Chamfer all external edges of Timber or Plywood with a minimum radius of 5mm,,,,,,,,
checkpoint,Cavity ventilation is not required for a Warm Roof system which meets or exceeds the minimum R-value requirements for the Climate Zone.,,,,,,,,
checkpoint,"Vapour Control: Vapour control layer may be required, which will be determined by a Dew- point analysis if requested of Viking Roofspec. Information required…",,,,,,,,
label,"○ Components with roof to ceiling structure, including any new or existing insulation",,,,,,,,
label,○ Site Location.,,,,,,,,
checkpoint,All Components Drains / Overflows and Scuppers must be membrane type compatible.,,,,,,,,
label,○ Note that TPO membranes cannot be welded to Stainless Steel scuppers or sumps.,,,,,,,,
checkpoint,"Ensure you have clearly ordered the correct membrane, colour and thickness for your project.",,,,,,,,
checkpoint,Ensure minimum falls are provided with the substrate. E2/AS1 8.5.1 Limitation states:,,,,,,,,
label,"○ 2° for roofs (1:30 or 34mm/mt), 1:100 for internal gutters (10mm/mt).",,,,,,,,
