ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"1709","expanded","1709","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1710","expanded","1710","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1711","expanded","1711","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1712","expanded","1712","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1713","expanded","1713","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1714","expanded","1714","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1715a","expanded","level 17","stacks/vents & under-slung drainage (apartments)","1715a"
,,"1715b","expanded","1715b","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1716","expanded","1716","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1717","expanded","1717","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1718","expanded","1718","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1719","expanded","1719","level 17","stacks/vents & under-slung drainage (apartments)"
,,"Level 18","grouping","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1801","expanded","1801","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1802","expanded","1802","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1803","expanded","1803","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1804","expanded","1804","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1805","expanded","1805","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1806","expanded","1806","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1807","expanded","1807","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1808","expanded","1808","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1809","expanded","1809","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1810","expanded","1810","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1811","expanded","1811","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1812","expanded","1812","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1813","expanded","1813","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1814","expanded","1814","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1815a","expanded","level 18","1815a","stacks/vents & under-slung drainage (apartments)"
,,"1815b","expanded","level 18","stacks/vents & under-slung drainage (apartments)","1815b"
,,"1816","expanded","1816","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1817","expanded","1817","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1818","expanded","1818","level 18","stacks/vents & under-slung drainage (apartments)"
,,"1819","expanded","1819","level 18","stacks/vents & under-slung drainage (apartments)"
,,"Level 19","grouping","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1901","expanded","1901","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1902","expanded","1902","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1903","expanded","1903","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1904","expanded","1904","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1905","expanded","1905","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1906","expanded","1906","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1907","expanded","1907","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1908","expanded","1908","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1909","expanded","1909","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1910","expanded","1910","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1911","expanded","1911","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1912","expanded","1912","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1913","expanded","1913","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1914","expanded","1914","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1915a","expanded","1915a","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1915b","expanded","level 19","stacks/vents & under-slung drainage (apartments)","1915b"
,,"1916","expanded","1916","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1917","expanded","1917","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1918","expanded","1918","level 19","stacks/vents & under-slung drainage (apartments)"
,,"1919","expanded","1919","level 19","stacks/vents & under-slung drainage (apartments)"
,,"Level 20","grouping","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2001","expanded","2001","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2002","expanded","2002","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2003","expanded","2003","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2004","expanded","2004","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2005","expanded","2005","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2006","expanded","2006","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2007","expanded","2007","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2008","expanded","2008","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2009","expanded","2009","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2010","expanded","2010","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2011","expanded","2011","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2012","expanded","2012","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2013","expanded","2013","stacks/vents & under-slung drainage (apartments)","level 20"
,,"2014","expanded","2014","stacks/vents & under-slung drainage (apartments)","level 20"
,,"Level 21","grouping","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2101","expanded","2101","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2102","expanded","2102","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2103","expanded","2103","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2104","expanded","2104","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2105","expanded","2105","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2106","expanded","2106","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2107","expanded","2107","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2108","expanded","2108","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2109","expanded","2109","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2110","expanded","2110","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2111","expanded","2111","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2112","expanded","2112","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2113","expanded","2113","level 21","stacks/vents & under-slung drainage (apartments)"
,,"2114","expanded","2114","level 21","stacks/vents & under-slung drainage (apartments)"
,,"Level 22","grouping","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2201","expanded","2201","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2202","expanded","2202","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2203","expanded","2203","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2204","expanded","2204","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2205","expanded","2205","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2206","expanded","2206","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2207","expanded","2207","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2208","expanded","2208","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2209","expanded","2209","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2210","expanded","2210","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2211","expanded","2211","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2212","expanded","2212","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2213","expanded","2213","level 22","stacks/vents & under-slung drainage (apartments)"
,,"2214","expanded","2214","level 22","stacks/vents & under-slung drainage (apartments)"
,,"Level 23","grouping","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2301","expanded","2301","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2302","expanded","2302","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2303","expanded","2303","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2304","expanded","2304","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2305","expanded","2305","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2306","expanded","2306","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2307","expanded","2307","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2308","expanded","2308","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2309","expanded","2309","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2310","expanded","2310","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2311","expanded","2311","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2312","expanded","2312","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2313","expanded","2313","level 23","stacks/vents & under-slung drainage (apartments)"
,,"2314","expanded","2314","level 23","stacks/vents & under-slung drainage (apartments)"
,,"Level 24","grouping","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2401","expanded","2401","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2402","expanded","2402","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2403","expanded","2403","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2404","expanded","2404","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2405","expanded","2405","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2406","expanded","2406","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2407","expanded","2407","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2408","expanded","2408","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2409","expanded","2409","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2410","expanded","2410","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2411","expanded","2411","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2412","expanded","2412","stacks/vents & under-slung drainage (apartments)","level 24"
,,"2413","expanded","2413","stacks/vents & under-slung drainage (apartments)","level 24"
,,"Level 25","grouping","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2501","expanded","2501","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2502","expanded","2502","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2503","expanded","2503","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2504","expanded","2504","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2505","expanded","2505","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2506","expanded","2506","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2507","expanded","2507","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2508","expanded","2508","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2509","expanded","2509","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2510","expanded","2510","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2511","expanded","2511","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2512","expanded","2512","level 25","stacks/vents & under-slung drainage (apartments)"
,,"2513","expanded","2513","level 25","stacks/vents & under-slung drainage (apartments)"
,,"Level 26","grouping","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2601","expanded","2601","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2602","expanded","2602","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2603","expanded","2603","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2604","expanded","2604","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2605","expanded","2605","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2606","expanded","2606","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2607","expanded","2607","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2608","expanded","2608","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2609","expanded","2609","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2610","expanded","2610","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2611","expanded","2611","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2612","expanded","2612","level 26","stacks/vents & under-slung drainage (apartments)"
,,"2613","expanded","2613","level 26","stacks/vents & under-slung drainage (apartments)"
,,"Level 27","grouping","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2701","expanded","2701","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2702","expanded","2702","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2703","expanded","2703","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2704","expanded","2704","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2705","expanded","2705","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2706","expanded","2706","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2707","expanded","2707","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2708","expanded","2708","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2709","expanded","2709","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2710","expanded","2710","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2711","expanded","2711","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2712","expanded","2712","level 27","stacks/vents & under-slung drainage (apartments)"
,,"2713","expanded","2713","level 27","stacks/vents & under-slung drainage (apartments)"
,,"Level 28","grouping","level 28","stacks/vents & under-slung drainage (apartments)"
,,"gym amenities (d)","expanded","gym amenities (d)","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2801","expanded","2801","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2802","expanded","2802","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2803","expanded","2803","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2804","expanded","2804","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2805","expanded","2805","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2806","expanded","2806","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2807","expanded","2807","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2808","expanded","2808","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2809","expanded","2809","level 28","stacks/vents & under-slung drainage (apartments)"
,,"2810","expanded","2810","level 28","stacks/vents & under-slung drainage (apartments)"
,,"sw down & syphonic pipe (underslung)","expanded","sw down & syphonic pipe (underslung)","level 28","stacks/vents & under-slung drainage (apartments)"
,,"Level 29","grouping","level 29","stacks/vents & under-slung drainage (apartments)"
,,"function room kitchen","expanded","level 29","function room kitchen","stacks/vents & under-slung drainage (apartments)"
,,"amenities (d)","expanded","level 29","amenities (d)","stacks/vents & under-slung drainage (apartments)"
,,"2901","expanded","2901","level 29","stacks/vents & under-slung drainage (apartments)"
,,"2902","expanded","2902","level 29","stacks/vents & under-slung drainage (apartments)"
,,"2903","expanded","2903","level 29","stacks/vents & under-slung drainage (apartments)"
,,"2904","expanded","2904","level 29","stacks/vents & under-slung drainage (apartments)"
,,"sw down & syphonic pipe (underslung)","expanded","level 29","sw down & syphonic pipe (underslung)","stacks/vents & under-slung drainage (apartments)"
,"Columns"
,,"Waste Pipe (Underslung) checked off as below",,"waste pipe (underslung) checked off as below"
,,"Installer is a Registered Plumber (VIC) with endorsements for this work","Installer is a Registered Plumber (VIC) with endorsements for this work","waste pipe (underslung) checked off as below"
,,"Installation complies with current AS3500 & AS5600","Installation complies with current AS3500 & AS5600","waste pipe (underslung) checked off as below"
,,"Installation complies with current drawings & specifications","Installation complies with current drawings & specifications","waste pipe (underslung) checked off as below"
,,"Installation materials were used in accordance with manufacturer requirements","Installation materials were used in accordance with manufacturer requirements","waste pipe (underslung) checked off as below"
,,"Check for damage or leaks","Check for damage or leaks","waste pipe (underslung) checked off as below"
,,"Check pipe joints & witness marks are correct","Check pipe joints & witness marks are correct","waste pipe (underslung) checked off as below"
,,"Check clips, fixings & anchor points are correct","Check clips, fixings & anchor points are correct","waste pipe (underslung) checked off as below"
,,"Check all pipe & trap invert levels are correct","Check all pipe & trap invert levels are correct","waste pipe (underslung) checked off as below"
,,"Check inspection openings are correct","Check inspection openings are correct","waste pipe (underslung) checked off as below"
,,"Check pipework &/or traps are clear of debris","Check pipework &/or traps are clear of debris","waste pipe (underslung) checked off as below"
,,"Check in wall mounting brackets are correct","Check in wall mounting brackets are correct","waste pipe (underslung) checked off as below"
,,"Check in wall waste pipes/vents are in correct","Check in wall waste pipes/vents are in correct","waste pipe (underslung) checked off as below"
,,"Check grated outlets are correct","Check grated outlets are correct","waste pipe (underslung) checked off as below"
,,"Check any open ends are sealed/capped","Check any open ends are sealed/capped","waste pipe (underslung) checked off as below"
,,"Final sign off - Pass when happy to proceed (Any issues please comment & Add photos below)",,"final sign off - pass when happy to proceed (any issues please comment & add photos below)"
,,"Confirm area has been left clean","Confirm area has been left clean","final sign off - pass when happy to proceed (any issues please comment & add photos below)"

"Residential - Rough-In Apartments"
,"Scope",,
,"Rows"
,,"Level 5","dynamic","level 5","rough-in apartments"
,,"Level 6","dynamic","rough-in apartments","level 6"
,,"Level 7","dynamic","rough-in apartments","level 7"
,,"Level 8","dynamic","level 8","rough-in apartments"
,,"Level 9","dynamic","level 9","rough-in apartments"
,,"Level 10","dynamic","rough-in apartments","level 10"
,,"Level 11","dynamic","level 11","rough-in apartments"
,,"Level 12","dynamic","level 12","rough-in apartments"
,,"Level 13","dynamic","rough-in apartments","level 13"
,,"Level 14","dynamic","rough-in apartments","level 14"
,,"Level 15","dynamic","level 15","rough-in apartments"
,,"Level 16","dynamic","level 16","rough-in apartments"
,,"Level 17","dynamic","rough-in apartments","level 17"
,,"Level 18","dynamic","rough-in apartments","level 18"
,,"Level 19","dynamic","level 19","rough-in apartments"
,,"Level 20","dynamic","rough-in apartments","level 20"
,,"Level 21","dynamic","rough-in apartments","level 21"
,,"Level 22","dynamic","level 22","rough-in apartments"
,,"Level 23","dynamic","level 23","rough-in apartments"
,,"Level 24","dynamic","rough-in apartments","level 24"
,,"Level 25","dynamic","rough-in apartments","level 25"
,,"Level 26","dynamic","level 26","rough-in apartments"
,,"Level 27","dynamic","level 27","rough-in apartments"
,,"Level 28","dynamic","rough-in apartments","level 28"
,,"Level 29","dynamic","rough-in apartments","level 29"
,"Columns"
,,"Cold Water (Rough-In)",,"cold water (rough-in)"
,,"Hot Water (Rough-In)",,"hot water (rough-in)"
,,"Gas (Rough-In)",,"gas (rough-in)"

"Residential - Fixture Installation (Apartments)"
,"Scope",,
,"Rows"
,,"Level 5","grouping","level 5","fixture installation (apartments)"
,,"501","expanded","501","level 5","fixture installation (apartments)"
,,"502","expanded","502","level 5","fixture installation (apartments)"
,,"503","expanded","503","level 5","fixture installation (apartments)"
,,"504","expanded","504","level 5","fixture installation (apartments)"
,,"505","expanded","505","level 5","fixture installation (apartments)"
,,"506","expanded","506","level 5","fixture installation (apartments)"
,,"507","expanded","507","level 5","fixture installation (apartments)"
,,"508","expanded","508","level 5","fixture installation (apartments)"
,,"509","expanded","509","level 5","fixture installation (apartments)"
,,"510","expanded","510","level 5","fixture installation (apartments)"
,,"Level 6","grouping","fixture installation (apartments)","level 6"
,,"601","expanded","601","fixture installation (apartments)","level 6"
,,"602","expanded","602","fixture installation (apartments)","level 6"
,,"603","expanded","603","fixture installation (apartments)","level 6"
,,"604","expanded","604","fixture installation (apartments)","level 6"
,,"605","expanded","605","fixture installation (apartments)","level 6"
,,"606","expanded","606","fixture installation (apartments)","level 6"
,,"607a","expanded","fixture installation (apartments)","607a","level 6"
,,"607b","expanded","607b","fixture installation (apartments)","level 6"
,,"608","expanded","608","fixture installation (apartments)","level 6"
,,"609","expanded","609","fixture installation (apartments)","level 6"
,,"610","expanded","610","fixture installation (apartments)","level 6"
,,"611","expanded","611","fixture installation (apartments)","level 6"
,,"Level 7","grouping","fixture installation (apartments)","level 7"
,,"701","expanded","701","fixture installation (apartments)","level 7"
,,"702","expanded","702","fixture installation (apartments)","level 7"
,,"703","expanded","703","fixture installation (apartments)","level 7"
,,"704","expanded","704","fixture installation (apartments)","level 7"
,,"705","expanded","705","fixture installation (apartments)","level 7"
,,"706","expanded","706","fixture installation (apartments)","level 7"
,,"707a","expanded","fixture installation (apartments)","707a","level 7"
,,"707b","expanded","fixture installation (apartments)","707b","level 7"
,,"708","expanded","708","fixture installation (apartments)","level 7"
,,"709","expanded","709","fixture installation (apartments)","level 7"
,,"710","expanded","710","fixture installation (apartments)","level 7"
,,"711","expanded","711","fixture installation (apartments)","level 7"
,,"Level 8","grouping","level 8","fixture installation (apartments)"
,,"801","expanded","801","level 8","fixture installation (apartments)"
,,"802","expanded","802","level 8","fixture installation (apartments)"
,,"803","expanded","803","level 8","fixture installation (apartments)"
,,"804","expanded","804","level 8","fixture installation (apartments)"
,,"805","expanded","805","level 8","fixture installation (apartments)"
,,"806","expanded","806","level 8","fixture installation (apartments)"
,,"807","expanded","807","level 8","fixture installation (apartments)"
,,"808","expanded","808","level 8","fixture installation (apartments)"
,,"809","expanded","809","level 8","fixture installation (apartments)"
,,"810","expanded","810","level 8","fixture installation (apartments)"
,,"811","expanded","811","level 8","fixture installation (apartments)"
,,"812","expanded","812","level 8","fixture installation (apartments)"
,,"813","expanded","813","level 8","fixture installation (apartments)"
,,"814","expanded","814","level 8","fixture installation (apartments)"
,,"815a","expanded","level 8","fixture installation (apartments)","815a"
,,"815b","expanded","level 8","815b","fixture installation (apartments)"
,,"816","expanded","816","level 8","fixture installation (apartments)"
,,"817","expanded","817","level 8","fixture installation (apartments)"
,,"818","expanded","818","level 8","fixture installation (apartments)"
,,"819","expanded","819","level 8","fixture installation (apartments)"
,,"Level 9","grouping","fixture installation (apartments)","level 9"
,,"901","expanded","901","fixture installation (apartments)","level 9"
,,"902","expanded","902","fixture installation (apartments)","level 9"
,,"903","expanded","903","fixture installation (apartments)","level 9"
,,"904","expanded","904","fixture installation (apartments)","level 9"
,,"905","expanded","905","fixture installation (apartments)","level 9"
,,"906","expanded","906","fixture installation (apartments)","level 9"
,,"907","expanded","907","fixture installation (apartments)","level 9"
,,"908","expanded","908","fixture installation (apartments)","level 9"
,,"909","expanded","909","fixture installation (apartments)","level 9"
,,"910","expanded","910","fixture installation (apartments)","level 9"
,,"911","expanded","911","fixture installation (apartments)","level 9"
,,"912","expanded","912","fixture installation (apartments)","level 9"
,,"913","expanded","913","fixture installation (apartments)","level 9"
,,"914","expanded","914","fixture installation (apartments)","level 9"
,,"915a","expanded","fixture installation (apartments)","level 9","915a"
,,"915b","expanded","fixture installation (apartments)","level 9","915b"
,,"916","expanded","916","fixture installation (apartments)","level 9"
,,"917","expanded","917","fixture installation (apartments)","level 9"
,,"918","expanded","918","fixture installation (apartments)","level 9"
,,"919","expanded","919","fixture installation (apartments)","level 9"
,,"Level 10","grouping","fixture installation (apartments)","level 10"
,,"1001","expanded","1001","fixture installation (apartments)","level 10"
,,"1002","expanded","1002","fixture installation (apartments)","level 10"
,,"1003","expanded","1003","fixture installation (apartments)","level 10"
,,"1004","expanded","1004","fixture installation (apartments)","level 10"
,,"1005","expanded","1005","fixture installation (apartments)","level 10"
,,"1006","expanded","1006","fixture installation (apartments)","level 10"
,,"1007","expanded","1007","fixture installation (apartments)","level 10"
,,"1008","expanded","1008","fixture installation (apartments)","level 10"
,,"1009","expanded","1009","fixture installation (apartments)","level 10"
,,"1010","expanded","1010","fixture installation (apartments)","level 10"
,,"1011","expanded","1011","fixture installation (apartments)","level 10"
,,"1012","expanded","1012","fixture installation (apartments)","level 10"
,,"1013","expanded","1013","fixture installation (apartments)","level 10"
,,"1014","expanded","1014","fixture installation (apartments)","level 10"
,,"1015a","expanded","fixture installation (apartments)","level 10","1015a"
,,"1015b","expanded","fixture installation (apartments)","1015b","level 10"
,,"1016","expanded","1016","fixture installation (apartments)","level 10"
,,"1017","expanded","1017","fixture installation (apartments)","level 10"
,,"1018","expanded","1018","fixture installation (apartments)","level 10"
,,"1019","expanded","1019","fixture installation (apartments)","level 10"
,,"Level 11","grouping","fixture installation (apartments)","level 11"
,,"1101","expanded","1101","fixture installation (apartments)","level 11"
,,"1102","expanded","1102","fixture installation (apartments)","level 11"
,,"1103","expanded","1103","fixture installation (apartments)","level 11"
,,"1104","expanded","1104","fixture installation (apartments)","level 11"
,,"1105","expanded","1105","fixture installation (apartments)","level 11"
,,"1106","expanded","1106","fixture installation (apartments)","level 11"
,,"1107","expanded","1107","fixture installation (apartments)","level 11"
,,"1108","expanded","1108","fixture installation (apartments)","level 11"
,,"1109","expanded","1109","fixture installation (apartments)","level 11"
,,"1110","expanded","1110","fixture installation (apartments)","level 11"
,,"1111","expanded","1111","fixture installation (apartments)","level 11"
,,"1112","expanded","1112","fixture installation (apartments)","level 11"
,,"1113","expanded","1113","fixture installation (apartments)","level 11"
,,"1114","expanded","1114","fixture installation (apartments)","level 11"
,,"1115a","expanded","1115a","fixture installation (apartments)","level 11"
,,"1115b","expanded","fixture installation (apartments)","level 11","1115b"
,,"1116","expanded","1116","fixture installation (apartments)","level 11"
,,"1117","expanded","1117","fixture installation (apartments)","level 11"
,,"1118","expanded","1118","fixture installation (apartments)","level 11"
,,"1119","expanded","1119","fixture installation (apartments)","level 11"
,,"Level 12","grouping","level 12","fixture installation (apartments)"
,,"1201","expanded","1201","level 12","fixture installation (apartments)"
,,"1202","expanded","1202","level 12","fixture installation (apartments)"
,,"1203","expanded","1203","level 12","fixture installation (apartments)"
,,"1204","expanded","1204","level 12","fixture installation (apartments)"
,,"1205","expanded","1205","level 12","fixture installation (apartments)"
,,"1206","expanded","1206","level 12","fixture installation (apartments)"
,,"1207","expanded","1207","level 12","fixture installation (apartments)"
,,"1208","expanded","1208","level 12","fixture installation (apartments)"
,,"1209","expanded","1209","level 12","fixture installation (apartments)"
,,"1210","expanded","1210","level 12","fixture installation (apartments)"
,,"1211","expanded","1211","level 12","fixture installation (apartments)"
,,"1212","expanded","1212","level 12","fixture installation (apartments)"
,,"1213","expanded","1213","level 12","fixture installation (apartments)"
,,"1214","expanded","1214","level 12","fixture installation (apartments)"
,,"1215a","expanded","level 12","fixture installation (apartments)","1215a"
,,"1215b","expanded","1215b","level 12","fixture installation (apartments)"
,,"1216","expanded","1216","level 12","fixture installation (apartments)"
,,"1217","expanded","1217","level 12","fixture installation (apartments)"
,,"1218","expanded","1218","level 12","fixture installation (apartments)"
,,"1219","expanded","1219","level 12","fixture installation (apartments)"
,,"Level 13","grouping","fixture installation (apartments)","level 13"
,,"1301","expanded","1301","fixture installation (apartments)","level 13"
,,"1302","expanded","1302","fixture installation (apartments)","level 13"
,,"1303","expanded","1303","fixture installation (apartments)","level 13"
,,"1304","expanded","1304","fixture installation (apartments)","level 13"
,,"1305","expanded","1305","fixture installation (apartments)","level 13"
,,"1306","expanded","1306","fixture installation (apartments)","level 13"
,,"1307","expanded","1307","fixture installation (apartments)","level 13"
,,"1308","expanded","1308","fixture installation (apartments)","level 13"
,,"1309","expanded","1309","fixture installation (apartments)","level 13"
,,"1310","expanded","1310","fixture installation (apartments)","level 13"
,,"1311","expanded","1311","fixture installation (apartments)","level 13"
,,"1312","expanded","1312","fixture installation (apartments)","level 13"
,,"1313","expanded","1313","fixture installation (apartments)","level 13"
,,"1314","expanded","1314","fixture installation (apartments)","level 13"
,,"1315a","expanded","1315a","fixture installation (apartments)","level 13"
,,"1315b","expanded","fixture installation (apartments)","1315b","level 13"
,,"1316","expanded","1316","fixture installation (apartments)","level 13"
,,"1317","expanded","1317","fixture installation (apartments)","level 13"
,,"1318","expanded","1318","fixture installation (apartments)","level 13"
,,"1319","expanded","1319","fixture installation (apartments)","level 13"
,,"Level 14","grouping","fixture installation (apartments)","level 14"
,,"1401","expanded","1401","fixture installation (apartments)","level 14"
,,"1402","expanded","1402","fixture installation (apartments)","level 14"
,,"1403","expanded","1403","fixture installation (apartments)","level 14"
,,"1404","expanded","1404","fixture installation (apartments)","level 14"
,,"1405","expanded","1405","fixture installation (apartments)","level 14"
,,"1406","expanded","1406","fixture installation (apartments)","level 14"
,,"1407","expanded","1407","fixture installation (apartments)","level 14"
,,"1408","expanded","1408","fixture installation (apartments)","level 14"
,,"1409","expanded","1409","fixture installation (apartments)","level 14"
