"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"92629502-633a-4afd-9e87-446d5bb71137","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"f3abeaa6-a1fb-47da-9a2c-e4800db7e734","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"ef2b1446-26ae-4930-ae2c-91221f638998","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"e9aade0f-c429-4132-ab20-1790a51f95eb","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels"
"96649801-bb7c-4adf-810d-4b2b56c74295","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE"," Precast Manufacture","Panels","weld plate details"
"7e972815-4d6c-4bcf-8439-8b3339ef89ed","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details"
"52972272-b05c-474b-b9b9-4b155a13724a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Edge Detail"
"f1ddc90f-19db-4e38-89f9-ea93f3b9a674","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Bar Projections"
"eebcc785-e53d-4e96-8c52-4f375aece3fc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Cast in items"
"1c1933a8-3fb9-4117-bdf9-69b0920eda3c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30"
"9eb33580-ba79-460e-a31e-85930b3a7fd9","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1"
"be49fd85-f6be-4fa0-a274-d5ee741f3619","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check"
"23995a6a-cb52-493b-90a1-a5e608b3ff16","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Concrete Works","Wilco Sample Taken"
"09bdd00f-d68e-4b0c-9542-4f662b09a8c2","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Concrete Works","Bridgeman Sample Taken"
"6520565c-2686-44e4-a095-eb551bc5978e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Concrete Works","Supervisor Approval"
"86eb76fb-a1c5-48f5-ba63-ab95c65f0711","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Post Pour Check"
"fd808ff5-80f4-4ddf-a13c-1022191bfcdf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Post Pour Check","Edge Detail"
"5142b40b-c91d-4402-916a-2139f3de3bb6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Post Pour Check","Bar Projections"
"3ef8cbd6-7399-4d48-9710-5fde5bbc6406","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Post Pour Check","Cast in items"
"afb585a8-a429-4d8a-a7ac-b753ba0e2585","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Stripping and Stacking"
"bf945a30-d3a1-4b8d-b09c-7b5048fd807d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -55","Stripping and Stacking","Stripping & Stacking"
"459b3b9c-7326-4d42-804d-f577500200e8","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56"
"33b65a90-4695-4ad8-b8e9-1fa4e57cb2f8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check"
"2f2643d3-52e2-4c72-8dc5-a7895eb1b1c8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Dimensions"
"92fed9ad-a610-45f3-87ef-7391f5a59953","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Mould Clean"
"8d06af05-12fc-413b-9694-4dc597c71db5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Mould Oiled"
"f214e9c5-5a2e-42a6-9a1b-6981ba6cc832","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Mould - Workmanship"
"e839331a-fced-4ca2-83cf-fc0eed22afd7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Reinforcing"
"5aee71a7-9b99-4ad2-aa7f-982822064fc4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Cast In Items"
"0bc629f6-76bc-4deb-aa94-daa155e3abe8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Marker Position and No."
"64369e1b-76fb-4c88-accc-8a1c379135d4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Pre-Pour Check","Make mould to Green Status"
"9ab296b4-e8b2-4e89-b199-f24824e44bef","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Concrete Works"
"d5b8b1a8-e46f-4c4a-a117-4143f3fd6b70","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Concrete Works","Concrete Works Details"
"e5f51dca-597f-4de8-89d7-0f721378621b","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Concrete Works","Wilco Sample Taken"
"ddb23736-5c2f-450f-82b4-04793827eadb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Concrete Works","Bridgeman Sample Taken"
"32fb300e-47f4-423e-8149-2ef6d9e21b27","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Concrete Works","Supervisor Approval"
"c3e2f7f0-d336-40dd-8459-ccc1412a7dd4","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Post Pour Check"
"3c305e2a-236e-4cf6-a90c-8ed3543666ed","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Post Pour Check","Edge Detail"
"4a4b1b6b-91e2-460b-98d1-4aa253049e82","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Post Pour Check","Bar Projections"
"a1e9d274-b018-4d4b-bf7f-0ea416f4ab1c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Post Pour Check","Cast in items"
"b6cf0081-b327-4541-9d5b-7253785462da","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Stripping and Stacking"
"21d63c4b-ed20-4820-b16f-c15c8ace9d01","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -56","Stripping and Stacking","Stripping & Stacking"
"d69a4c77-9572-4d73-aef6-c9fcc52a3e11","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57"
"43f9b533-28d4-4fb8-b067-4be4a83c1612","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check"
"b8cf4ce7-aaa0-43a7-a3b7-579709aee09a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Dimensions"
"4951b09d-e4f8-4072-938e-a61cef7eae5d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Mould Clean"
"f2a6274e-77e8-4ec8-9e90-d2a814d735a8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Mould Oiled"
"765642fb-e246-413f-807a-693fdc380b60","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Mould - Workmanship"
"bbc991af-61b7-42e3-96f3-e31f25d9fd21","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Reinforcing"
"c27e9046-570b-4d84-a17e-37324d312727","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Cast In Items"
"043cd5ff-e0cd-4d37-9d01-bacc41a62fea","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Marker Position and No."
"1a7d4974-81ae-4a32-926e-ee545338ae10","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Pre-Pour Check","Make mould to Green Status"
"e16dc625-9103-496e-ad89-01405145b1e2","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Concrete Works"
"bf5446d1-c3db-483b-a935-b035628211b6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Concrete Works","Concrete Works Details"
"31b0c3b6-5f2f-43d7-8ae9-eaf64ab411b9","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Concrete Works","Wilco Sample Taken"
"7f25d51a-4a42-498d-ab3c-daa3d8f1b175","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Concrete Works","Bridgeman Sample Taken"
"2da1d084-07c7-457f-9933-9c089f0ab243","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Concrete Works","Supervisor Approval"
"211e0513-7a30-4c2f-b778-112241a68e31","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Post Pour Check"
"6d2e126d-582a-4a11-b438-497412951aaa","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Post Pour Check","Edge Detail"
"1aac1f50-2aac-442e-b929-ccab0cad9a51","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Post Pour Check","Bar Projections"
"d0b4fe55-9205-4b0c-a6ec-e612ba0cdf35","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Post Pour Check","Cast in items"
"df1769d2-97bb-4625-8aa8-e7d22dc22663","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Stripping and Stacking"
"3b004e6c-7d51-4651-b15a-a2ab37b5f3a8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -57","Stripping and Stacking","Stripping & Stacking"
"e70b45a9-0839-41b1-aa37-42d261a37e2c","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58"
"0e3be39c-085c-4235-8d05-50175166726a","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check"
"4aca5970-e147-4c93-a08f-902c374160f6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Dimensions"
"57c7306c-8e70-4d8c-9706-01ac466be6b6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Mould Clean"
"19239769-3225-4817-b910-d8a225421713","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Mould Oiled"
"221a60ef-a595-486a-9ee1-6e889713b894","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Mould - Workmanship"
"427be3e4-8ca3-4bdf-bc02-c7c13973f516","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Reinforcing"
"3da4f310-55c9-41b6-8b2d-3da76c7330a6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Cast In Items"
"2e663c11-530a-40dc-a4fa-e23fbc333fbc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Marker Position and No."
"504d46bc-3a7f-4350-b8ee-c0c9e9d2b3c9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Pre-Pour Check","Make mould to Green Status"
"b31226f0-ab7f-4e64-a45f-fd4683da0022","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Concrete Works"
"970a200c-57b4-48f5-872f-e8162b218702","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Concrete Works","Concrete Works Details"
"a4980c24-ecf5-4a5d-8e90-e48c1b9641a4","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Concrete Works","Wilco Sample Taken"
"bfea9908-f9f8-487c-b7bf-181cdfea0cc8","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Concrete Works","Bridgeman Sample Taken"
"337f33a6-b27a-4c24-aca3-e479c45500dc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Concrete Works","Supervisor Approval"
"977d989b-0d4e-4890-9780-7d0f05516f6b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Post Pour Check"
"5d84083a-92bc-43dc-bc51-e4213ec927d5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Post Pour Check","Edge Detail"
"411676cd-b86d-4413-9f98-57ccb0ce9a57","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Post Pour Check","Bar Projections"
"e6bc529e-7039-4d72-ae57-44673ad59f6c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Post Pour Check","Cast in items"
"4bd6ec1f-ef90-47ea-9174-d0a41e848f2f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Stripping and Stacking"
"f6ca04eb-57c5-480e-9a32-870019aaa342","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -58","Stripping and Stacking","Stripping & Stacking"
"3e3357ac-3450-4814-b8c8-916a35663de1","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59"
"b2f7acab-7d7e-4aee-8a48-d5d0e09ae068","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check"
"ef15ab87-188d-48d5-8d29-8139e546bc0c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Dimensions"
"6a99640e-a5c0-484b-9d28-54f16a506b7b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Mould Clean"
"17368a63-66c7-4d6d-80fc-1584bceccf79","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Mould Oiled"
"46394259-82f6-47da-939b-9e586ad1d0d5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Mould - Workmanship"
"f7f7a3e7-85f5-4f3a-ac78-ab345448d61f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Reinforcing"
"936fbb4e-ddea-490b-bdb3-907853cf2e47","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Cast In Items"
"69c6ce3f-e249-4909-a0c5-6df3e512b103","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Marker Position and No."
"03929458-3525-440c-85f8-9b36ca5d5846","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Pre-Pour Check","Make mould to Green Status"
"2a14e255-4f1c-4650-97c9-86282f512104","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Concrete Works"
"d2fe2a0f-28a3-401b-a65a-0424909fee14","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Concrete Works","Concrete Works Details"
"917c79cf-e06b-4d09-977c-c02e5dc2532d","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Concrete Works","Wilco Sample Taken"
"ae9203db-5241-4f01-ba02-22eebd82494b","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Concrete Works","Bridgeman Sample Taken"
"1b14c851-cb5c-4892-a7f7-02ac4f6dcf5d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Concrete Works","Supervisor Approval"
"9423d3eb-11ec-4d59-b3ea-b71e1c7ee9fc","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Post Pour Check"
"cc3f4a93-aa1d-4daa-8180-01f4b5d69208","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Post Pour Check","Edge Detail"
"ed91d903-67e0-4b57-9e03-3da57956e112","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Post Pour Check","Bar Projections"
"e0a44bc0-29c6-4a7c-a35b-96a1dc06d61d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Post Pour Check","Cast in items"
"6c03143e-5a50-4c44-9364-d9d96da95ae3","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Stripping and Stacking"
"cdaa88c2-848e-4116-8241-7fe36cf59a58","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -59","Stripping and Stacking","Stripping & Stacking"
"e6dd31f7-e9b2-47ec-8fff-1c0fc4602c7f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60"
"e6239742-aad2-4d87-bb93-71e823eb5448","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check"
"759065d3-217b-4853-8943-d263875ce932","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Dimensions"
"b8bc6e21-bf3d-4258-a883-2e1d2115db03","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Mould Clean"
"75ff4797-bed0-40f6-8502-29db8d23d7fd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Mould Oiled"
"e91c9494-97dc-4dd7-82ce-79e8c808276c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Mould - Workmanship"
"921f0a6e-a4d6-462b-8867-07fca3b9ce64","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Reinforcing"
"94b9ab06-c014-47a7-8916-52c5b9a5de1b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Cast In Items"
"ade10b7a-7ed9-4771-abe5-773a7807835f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Marker Position and No."
"f07e3bcc-dff0-4c3d-85cc-d523abad3846","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Pre-Pour Check","Make mould to Green Status"
"bbabceef-fd88-49d3-bc6a-18b409699445","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Concrete Works"
"fb08347a-e3cd-4abb-bc81-3add88b4ae96","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Concrete Works","Concrete Works Details"
"3da7fb89-676f-47cc-9a7b-17c62ec28020","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Concrete Works","Wilco Sample Taken"
"5297cc5f-be4f-4e6c-a740-2648f9e63915","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Concrete Works","Bridgeman Sample Taken"
"674a8699-da2f-49a1-ada1-8c640d1b31dd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Concrete Works","Supervisor Approval"
"24ddee9d-28ba-4d83-83c8-d3d3acc1a12f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Post Pour Check"
"de8394e6-833c-4214-a15f-47cacf6d487c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Post Pour Check","Edge Detail"
"6ab9e1a1-06f4-4149-8208-d1883342b21e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Post Pour Check","Bar Projections"
"7ec88ba3-4cdf-4525-926e-c8585807630e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Post Pour Check","Cast in items"
"d0211785-3d28-4bbb-b072-e982815659d3","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Stripping and Stacking"
"938fc41b-2b84-45f8-be51-e11ee4f693df","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -60","Stripping and Stacking","Stripping & Stacking"
"57bc12c1-a826-48d3-8ca2-2a6b47f1f446","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)"
"2de446f7-580c-598c-9679-d9f44e1230e9","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check"
"a39c3b89-d439-50c1-a3e3-73e4c508b91c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Dimensions"
"a7bc0c18-6fc8-5fe0-9028-b353fcf0e015","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Mould Clean"
"23448dd2-b038-5569-babd-071d4be14c70","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Mould Oiled"
"24f19f06-f4bf-58d7-ab2f-d8997b22ac9c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Mould - Workmanship"
"cd568e88-ef3c-5478-aa2c-fa6315d88b6f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Reinforcing"
"67dd3330-c8ad-57fe-94b7-3ac53ce63ffa","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Cast In Items"
"91ad8972-aa7c-599f-9016-d59f4f6fb59f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Marker Position and No."
"fba46712-47d5-5712-bbb8-5704e03e4547","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Pre-Pour Check","Make mould to Green Status"
"c906876b-6f1e-5c8b-9d78-981ef0822ade","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Concrete Works"
"0a0baddc-5fa1-526e-9d4d-80de31ea1d6f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Concrete Works","Concrete Works Details"
"6742a66c-a2a5-5579-b067-7588f5dda552","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 31 - 60","Panel -48(Recast)","Concrete Works","Wilco Sample Taken"
