"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"f0ae82fb-e191-406b-8734-7b774e6db3c7","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 01"
"1e4e4e1c-20f6-55ce-9bdf-a8796f0026d6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"2a688674-fcc2-56f6-910c-f3861d45ed0b","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 01","EMAIL PM"
"d8673f06-c28c-581d-8553-cfdf1b395422","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"c244bcfb-bbef-5ce8-a15b-59b4bff6d9cf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"7dfa78c2-0719-4ed8-a461-9f4fb6f07c42","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 02"
"aa2b8047-9f94-568e-8c49-1babeae75f3d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"7548df29-a09b-50e0-b42b-f478b27313d6","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 02","EMAIL PM"
"fb9d2a3e-fbe9-599f-8614-0a6205098a17","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"f6454f17-5cef-5b2f-900e-49b83e74a199","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"63f23e7f-5fad-4cac-ac66-ca762d061f44","","checklist-flat","pass","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)"
"bf1e6da0-01d7-532b-bedc-c7580f38b6da","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Data Plate"
"fd4632c1-4193-5295-b07a-8eb275ea881b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Data Plate"
"a3294116-1c43-5781-a5d7-496db0806ade","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Access Point"
"a9ea5ba3-a0fb-5eac-9af0-a50e01b161a8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Access Area"
"3d496e94-8f08-4b09-8f79-d5121cdb694e","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point"
"c0a5245a-fdfc-5a36-965d-7648f235b650","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","Details of Data Plate"
"0a1018eb-2dcb-5774-b8b6-69fab3ed2a88","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","1 photo required of Data Plate"
"c6e656a3-e3ec-53dc-806d-7df9d22b6187","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","Details of Access Point"
"62533d8d-6129-5b6d-98d4-e0af293167c1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","1 photo required of Access Area"
"015ca4f0-14e3-5512-b767-b2499294a636","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"d8fb303b-2cdd-5b88-bf21-91c4d8f15934","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","Data Plate, Access Point","1 photo required of carriages/travellers"
"05b51c6f-9f6c-4df2-a94f-4a9b1241e014","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"335b0fc4-280d-49d8-b96e-aace35866a20","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05"
"0a660cf2-f493-45cd-971b-86c024fbd90d","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Pre-Fit Off Checklist"
"e023f716-b740-5d8f-ae25-be48b48caa30","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"490835b6-8e9e-58d7-838a-11cd73f2fa9c","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Pre-Fit Off Checklist","EMAIL PM"
"047da03c-94bd-5847-9e28-f568e5657b27","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7ecefb08-caf5-503f-8f58-572a6e0b9f92","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Pre-Fit Off Checklist","Photos taken"
"9fe218f0-0842-4faf-99b7-916576160e81","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05"
"ac8fdde3-de6b-577a-ae5a-53f1d7772098","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","Confirm the structure is in accordance with the details supplied by PBI"
"324a44f7-318b-5dd2-b818-4ce6984ed770","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","EMAIL PM"
"226f74c6-3204-59ed-b51a-97bb8d923a59","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","Photo taken of Engraved Line Plate / ID Tag"
"7670fdca-7862-5347-a6e2-18be4587c42e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","Video taken of system"
"27fd5d38-5d63-5987-a2d7-0a880e03d6dc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","Description input of location / person Rail systems shuttle left with"
"5d4f0739-177d-528f-82ca-e62a6f03f55b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Rail Checklist - Rail 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"e777fe91-0b4b-4e78-af0f-92363b9308b3","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)"
"f46e87cc-0636-5d1a-bfcb-2caf91d2d6f4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"908f3964-32c6-5d3f-84ad-16c7b7a49b79","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"ca8c74e4-f50a-5dd7-b4ba-696ce8631009","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"4c1d4d51-0259-5830-9a6a-23c9be06a706","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"9d46f89e-362e-5cf9-acea-0620edbfe5b2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"13102918-fa82-535f-b95e-b4f051e8b16d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 05","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"85ed08cb-a341-46fb-9a84-af6648d947b5","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06"
"86446278-7661-40ba-b3d5-0e61dbe51076","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Pre-Fit Off Checklist"
"d933804e-4692-5120-9bda-3e9840ecb94f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"35a9b871-a98e-5251-b29e-bf913f8d2be0","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Pre-Fit Off Checklist","EMAIL PM"
"dfe70408-aac6-5199-910f-af5c95e1935b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"2bf89322-6b7e-5049-8235-8a000107e53a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Pre-Fit Off Checklist","Photos taken"
"ed05560f-c932-4b0d-b364-d9334b6d42d3","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06"
"749a7320-6ec2-5950-a076-535676d1a5a7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","Confirm the structure is in accordance with the details supplied by PBI"
"4cd4da2a-c22f-5b27-b936-110c3b301a5b","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","EMAIL PM"
"0d81c6b6-da5f-5c8b-bf4a-5c33320c1314","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","Photo taken of Engraved Line Plate / ID Tag"
"d9522436-9844-5455-b099-7fa578cccaf3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","Video taken of system"
"99efe6ec-8fe5-5852-b372-81689f3fd210","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","Description input of location / person Rail systems shuttle left with"
"40d3b791-120d-51bf-93a7-70183f5dff92","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Rail Checklist - Rail 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"feb77439-63ca-435c-90e3-c93afb56a654","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)"
"50024143-b2bd-576e-b1da-735f89270602","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"0a4ba0ec-cb92-58cf-ba25-e91a233c53dc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"244148e6-9cad-56b0-aaad-bff88fb00e1f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"2bb03a60-749e-5ade-8f59-d319601b021a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"14e12f6f-1dac-51fd-bebf-92162cb7585a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"2d373cd4-a171-5316-967b-9ac114bbe200","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 06","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"1ae95d2e-b173-4b4a-b81e-87bfecb9bebc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07"
"ac15ba48-dbfb-4f10-95c3-ccbf16c42981","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Pre-Fit Off Checklist"
"2d347f90-7c0d-5fa3-8f22-16f7993a7fdd","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"9bc68251-3f54-512d-b84b-2e8e0082da5b","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Pre-Fit Off Checklist","EMAIL PM"
"ba8484e1-35ba-5a94-bee4-df84380cdb66","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"66229cc4-1f87-5197-8412-b963a5f0bd8a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Pre-Fit Off Checklist","Photos taken"
"19b39c26-4e78-48b1-988c-13cb6cf5d2af","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07"
"93295d2f-8020-5c0b-b4c3-f1e49dbf3205","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","Confirm the structure is in accordance with the details supplied by PBI"
"f58bb329-881f-5932-9f28-81390b9d7e28","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","EMAIL PM"
"1859027a-4e01-50cf-ad10-b1719709bc6c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","Photo taken of Engraved Line Plate / ID Tag"
"fc79e82a-102c-5a45-998d-8440a4626dbe","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","Video taken of system"
"5f86f369-afe3-5dcd-adf5-1e19a3563024","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","Description input of location / person Rail systems shuttle left with"
"e42a0a93-20b8-51b8-9742-c953979cc4ac","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Rail Checklist 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"124a35b0-a6a6-4366-949d-3cb3a50edb15","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)"
"15d1ebfa-9800-5273-b27c-9f469dfff3d7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"5208c7e5-9e1b-5892-9f81-2bb186e38096","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"7b655de0-29c5-5798-99e3-9652d309b350","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"58a33acc-8d01-522c-858b-a2d20cd49a21","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"08fb6856-afd5-5b4c-91d2-4bde5f9c8d1d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"4c2d3647-7b6a-5059-b00e-4e87463dea86","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 22m - Rail 07","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"f1a2b1cf-d758-4441-aa26-81ce57045f97","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08"
"5826c52b-f2d7-4fd1-a55f-a277219bb211","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Pre-Fit Off Checklist"
"d38eec67-12c2-5bcd-8bb2-84cac3b06ed3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"695e7e16-8b4e-5dd0-b559-c7ed2e81c65f","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Pre-Fit Off Checklist","EMAIL PM"
"e9256003-4a5f-573a-847d-7df559c593e3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7fcbf37b-e127-5347-865b-faefb799d6ca","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Pre-Fit Off Checklist","Photos taken"
"3b195d85-9f89-4093-be33-9e6d46c60150","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08"
"0bd69651-d142-594d-a5cc-796fa299960e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","Confirm the structure is in accordance with the details supplied by PBI"
"2459d442-a0ca-5faf-963a-617fc7522df1","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","EMAIL PM"
