"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f32fe923-a9a5-40c9-bf3d-0a951c7f68b9","","fail","","folder","TRUE","FALSE","Site QA"
"81658017-0dea-438a-bbe9-86872c867d6e","","fail","","folder","TRUE","FALSE","Site QA","Level 1"
"e3486b85-6a1d-4fab-a53a-846ff4d74b16","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511"
"57f22067-8d5e-4838-857e-8126d49a51c8","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store"
"89c44f80-94b4-48f7-9d3a-0963ddaa36ec","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1012 - Lift 12","Wall Covering"
"330afc07-cd56-4360-848a-31ac5c719306","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1030 - Corridor"
"0b2804ee-71a9-4217-8581-14153f10c31e","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1030 - Corridor","Preparation"
"7a342e06-2510-428a-b5df-1bc5619e54f2","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1030 - Corridor","Floor Vinyl"
"85bafafc-36e1-4b83-9ef7-5da5e92bc0d5","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1030 - Corridor","Wall Covering"
"0cb21d04-047f-48d8-8fde-fe0cc9e65ee0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1002 - Stair 2 Lobby"
"65432883-2d7d-4264-850c-62bd397ea8b8","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1002 - Stair 2 Lobby","Preparation"
"f784323d-6b1a-46a0-a725-8c0afae65c82","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1002 - Stair 2 Lobby","Floor Vinyl"
"60bdcebe-f255-4873-9854-5a2d2b9f384b","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1002 - Stair 2 Lobby","Wall Covering"
"ce9b5b7e-209b-4478-979e-0ef644b3806e","","fail","","folder","TRUE","FALSE","Site QA","Level 2"
"01c6262a-57bf-4bdd-8990-52843e5684f1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521"
"60ffd47f-dabb-4bcd-9d5a-1f47f43031ae","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2042 - Corridor OPS Suite"
"744256ea-2e0d-47be-b91c-bd38962ea15d","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2042 - Corridor OPS Suite","Preparation"
"99e3be57-eff8-48ff-b317-f57cffe56bc5","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2042 - Corridor OPS Suite","Floor Vinyl"
"1edf7f2c-e52f-4c15-9811-e495009f3007","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2042 - Corridor OPS Suite","Wall Covering"
"dcd2da48-a311-4d8d-8bbd-e3ea418f77f5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2050 - Corridor"
"bdaeea94-8248-48a2-bbf7-b165411585a0","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2050 - Corridor","Preparation"
"9f51dc0a-2bab-4068-a4b2-92c00a41b03b","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2050 - Corridor","Floor Vinyl"
"ea17a7ad-c394-4b11-a6d8-1c56d2f85057","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2050 - Corridor","Wall Covering"
"aa566050-3561-4eeb-824f-7c4baa828a6b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2023 - Stack Store"
"01f530b7-622b-4cfb-8a02-dc39e0ceecae","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2023 - Stack Store","Preparation"
"dac3b10a-1d1c-47f9-a576-24e23d70dd40","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2023 - Stack Store","Floor Vinyl"
"79d114b6-5758-478b-8d3c-18b7535e81b9","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2023 - Stack Store","Wall Covering"
"1aa47914-acfd-4391-9bd6-d3eb24bb2c88","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2043 - List Cart"
"31e6da94-0723-46d1-8536-8b8ed641db24","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2043 - List Cart","Preparation"
"0b77e4b1-62ca-403c-a59f-82c99b1b0ed8","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2043 - List Cart","Floor Vinyl"
"73650afb-ee57-417f-9d2b-64371b17c9c8","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2043 - List Cart","Wall Covering"
"e4290a97-90c9-409e-855e-412a7f322b37","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2041 - OR8"
"2b04eed0-b1f0-4f72-8673-ebbbf38f03c8","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2041 - OR8","Preparation"
"5227d58a-220d-4b9a-a6e3-b01fffb35ccb","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2041 - OR8","Floor Vinyl"
"f3eee5d3-3fc5-4ef6-9d40-98cd335f64cd","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2041 - OR8","Wall Covering"
"a712f5d6-aebb-4378-b195-89245def9a25","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2044 - Scrub Room"
"04b5e994-8a11-490c-96f0-44aebfb31b07","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2044 - Scrub Room","Preparation"
"147034f5-ba8c-4363-b81f-3dd41acada8e","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2044 - Scrub Room","Floor Vinyl"
"2dcd9f14-523b-41de-a48f-016f6c5b7b0a","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2044 - Scrub Room","Wall Covering"
"2feb6583-c4fb-4d3f-a039-eb98733b2ebe","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2045 - Clean up area"
"8abf8368-a8cc-402b-89e3-0d1687c18201","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2045 - Clean up area","Preparation"
"c146af44-b0e1-40d1-8c6e-98ee160b4b03","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2045 - Clean up area","Floor Vinyl"
"4a4fe061-b1dc-4870-a01b-f62991a8828a","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2045 - Clean up area","Wall Covering"
"65a61e63-c291-4859-84c8-c79e8fb595d8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2047 - OR7"
"02b1f3ab-b917-4770-a112-4eb224937643","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2047 - OR7","Preparation"
"a3dbe01f-b591-45df-be1a-252077f88825","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2047 - OR7","Floor Vinyl"
"170eb57b-6acd-46a6-9d6e-b7aaf4616dd2","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2047 - OR7","Wall Covering"
"6d8e7be5-8c82-4763-8e1d-bf9effa977a6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2048 - SS Lift Area"
"9ae37bca-1759-401f-bb77-3a5747a61bc0","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2048 - SS Lift Area","Preparation"
"f6bbbae9-0091-4d5e-aee4-40cf6bf2695c","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2048 - SS Lift Area","Floor Vinyl"
"80cf2490-94de-42f3-9d33-3b8a43273dda","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2048 - SS Lift Area","Wall Covering"
"535f1286-d8cb-470f-8158-8a1b68faba93","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2049 - WC"
"87b0ecd6-a228-4527-a1c4-317b8a7e65a6","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2049 - WC","Preparation"
"7e3ec79e-f2c9-4e6d-b537-faf9d8e71f08","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2049 - WC","Floor Vinyl"
"9a4d9e88-e4be-447f-a9f9-b9f48219f5ad","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2049 - WC","Wall Covering"
"523340e3-4879-44dd-9446-4f59b44a8be1","","not-started","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2052 - DB"
"90e7150d-2cfe-4d96-a87f-350f62a691c9","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2052 - DB","Preparation"
"d8c9c7c3-4a28-4cb0-9eb9-c6ec41d92543","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2052 - DB","Floor Vinyl"
"cf45b36f-a1ea-4b50-886c-a70800105aa8","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2052 - DB","Wall Covering"
"15991e8b-8b48-4835-a39a-06da3d8e30db","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2074 - Cardiac Pump Room"
"5fbbb50b-514f-415b-89d1-2726ca2ad29c","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2074 - Cardiac Pump Room","Preparation"
"8abeff06-98fb-48cd-b4bd-b6b52606bc28","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2074 - Cardiac Pump Room","Floor Vinyl"
"627a212a-87f3-44ae-afda-0f52073f5122","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2074 - Cardiac Pump Room","Wall Covering"
"6ea00e6e-5967-41c5-a211-bc2890d5d0a5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2070 - Clean up area"
"4036333f-e383-48fc-a287-018949993352","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2070 - Clean up area","Preparation"
"da83a6d7-d9b2-4398-94a4-46f807ed6663","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2070 - Clean up area","Floor Vinyl"
"d66dcbf1-9902-4eb4-95e3-9a9d5262a59d","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2070 - Clean up area","Wall Covering"
"84f800e9-3cd8-4e26-943c-3ca7c08f6e9e","","not-started","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2072 - Scrub room"
"eab8864a-19a3-447e-845e-a088eda81e45","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2072 - Scrub room","Preparation"
"5f9c6c9d-d75a-4802-8728-49f13f374f51","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2072 - Scrub room","Floor Vinyl"
"f44bcc1b-f253-4d76-82cd-8e2998514bed","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2072 - Scrub room","Wall Covering"
"c13d91c0-b9c4-4020-8aa9-8bcf4c295b10","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2071 - OR3"
"f66acfda-eecf-44d1-8123-71a469bb9ba6","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2071 - OR3","Preparation"
"4c21c070-1a7e-48a0-af63-575762383034","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2071 - OR3","Floor Vinyl"
"85ee586b-3934-4322-aa54-b022b01029b9","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2071 - OR3","Wall Covering"
"38d96d98-0c79-487a-b424-1fd26b5298a9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2068 - EQ Store"
"1fcfdc54-33a9-4999-a0ca-a460fdc251b4","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2068 - EQ Store","Preparation"
"eaf0ba20-b4ac-4572-893f-7f79fd83cd66","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2068 - EQ Store","Floor Vinyl"
"27e46f65-d7b9-4c83-a1b9-a89338839f94","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2068 - EQ Store","Wall Covering"
"14bd64f7-1016-46fd-8c47-55db1a626e27","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2067 - Stock room"
"029ec445-72fc-4671-95a6-219572524409","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2067 - Stock room","Preparation"
"6de4569a-88fa-441d-b347-73e294fa73b0","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2067 - Stock room","Floor Vinyl"
"a495ab09-ce68-47a8-8bbb-7f4026d7ada2","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2067 - Stock room","Wall Covering"
"829a863a-26c1-4616-8ac3-8e88c0f22098","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2066 - OR2"
"f1a5bfb9-3a55-42fd-bde5-dc1cda8f62b0","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2066 - OR2","Preparation"
"b10d7ba1-cf7e-4267-941b-3686929ee3e0","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2066 - OR2","Floor Vinyl"
"0eaa2f9e-0478-4f73-86a8-f37b6a1b3b28","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2066 - OR2","Wall Covering"
"a64073ac-eaea-4eb1-8d6b-925dc19b4bf5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2065 - Clean up Room"
"fee84cf2-9e38-4521-941d-6a636f52c816","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2065 - Clean up Room","Preparation"
"0f838aac-967d-4381-99e5-f39686cda4b8","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2065 - Clean up Room","Floor Vinyl"
"5e39be49-2089-4d02-9261-584deff0c9e0","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2065 - Clean up Room","Wall Covering"
"2c3c4ef2-bd9c-4229-8277-d0749872e1f2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2063 - Scrub Room"
"42f7f1df-f779-45ac-b083-d6dc9de5582f","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2063 - Scrub Room","Preparation"
"b95f8e1c-94d3-4a98-b10f-990e254b8484","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2063 - Scrub Room","Floor Vinyl"
"dc66d719-c119-49ac-97dd-79e169ddc128","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2063 - Scrub Room","Wall Covering"
"1473ac0f-dc4b-4859-8cf6-468151d614b6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2062 - List Cart Area"
"f29540f2-a225-485a-865f-f1995d0de23d","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2062 - List Cart Area","Preparation"
"b6b5e91f-173b-439d-a4ef-87f402ee6fbb","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2062 - List Cart Area","Floor Vinyl"
"c96f4278-5511-422c-ae93-55fca0aa289b","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2062 - List Cart Area","Wall Covering"
"6e986e97-1f56-497c-a2ad-4146e32efd05","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2061 - OR 1"
"b9bf5e70-98d5-4561-8ffe-2c1946f7cae3","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2061 - OR 1","Preparation"
"1214e401-75c5-4589-a29a-85eece1dabb9","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2061 - OR 1","Floor Vinyl"
"e7ce015d-14c1-49b7-85b6-f2c28ac6d94d","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2061 - OR 1","Wall Covering"
"dd53a3fe-37fa-475e-a56a-af681f7c9ecd","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2030 - Corridor"
"9cc6cff6-7f90-4e71-a9fc-f2ae5ccf4055","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2030 - Corridor","Preparation"
"7a4d21e7-ed12-42f9-ac92-8ccbb8afc0e0","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2030 - Corridor","Floor Vinyl"
"93c1de88-bff5-4e08-8045-87354a281e8f","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2030 - Corridor","Wall Covering"
"1503c701-2cc8-48ac-9fb3-a8d3a0ae8a26","","not-started","","folder","TRUE","FALSE","Site QA","Level 2","Zone 1 - A1521","2060 - X-Ray Store"
"46b6954a-e9b5-4dd3-babb-0448b8935d91","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2060 - X-Ray Store","Preparation"
"d1566ec5-23f6-4650-b3aa-06aafedf9ef9","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2060 - X-Ray Store","Floor Vinyl"
"71bf523b-c76e-4d2c-bcb2-9d74376662cb","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 1 - A1521","2060 - X-Ray Store","Wall Covering"
"eb3fbfe6-5fd5-45d2-8723-1ca5519f6126","","fail","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522"
"3c492baa-1e87-49e1-a448-896bbe82f799","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2100 - Bed Hold"
"111e9d09-206b-4ba3-8e4d-90b5f6ab9ecd","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2100 - Bed Hold","Preparation"
"de22fb93-d646-4f7c-a81a-d4fe8fcdbcfc","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2100 - Bed Hold","Floor Vinyl"
"63796714-8181-43cf-8001-85aebf84fe8a","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2100 - Bed Hold","Wall Covering"
"12632854-4bc5-4d56-9b09-3eba893faeea","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2080 - Corridor"
"c1f14f6d-9c63-4c38-adf5-3273fe3f4a87","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2080 - Corridor","Preparation"
"e6e1cd55-2e38-4986-a97d-2485d6a26dc1","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2080 - Corridor","Floor Vinyl"
"1cf6595a-6e40-4b05-b98a-b5f256e3e9f3","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2080 - Corridor","Wall Covering"
"47a53403-7c1f-489a-8df9-a89d940405bc","","not-started","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2099 - Write up area"
"afe4bf7e-7328-46f6-b6f7-d9a9eaf35cf7","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2099 - Write up area","Preparation"
"ea158660-a41b-4627-8a81-1954f508bba3","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2099 - Write up area","Floor Vinyl"
"05792860-5053-4806-a038-b4cff638d85b","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2099 - Write up area","Wall Covering"
"7d59e141-f0e3-4e01-8a98-8628d61c05a5","","not-started","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2040 - Corridor"
"958414f9-c5cc-48e0-9665-7feb6afee309","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2040 - Corridor","Preparation"
"b42eb637-bcf2-45f6-b3e1-433cb6cf1fa8","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2040 - Corridor","Floor Vinyl"
"5b3d319c-eb52-4ec2-9f7e-56e5f4b5f736","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2040 - Corridor","Wall Covering"
"47754005-9989-4ec4-8f02-7f8cfd43d987","","fail","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2098 - OR 10"
"7ff3c34a-3b9a-4ecc-b3c4-f045f232b537","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2098 - OR 10","Preparation"
"1c3fc42a-781f-43a4-be4d-4b2fab98006d","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2098 - OR 10","Floor Vinyl"
"77220f16-e37b-4040-b24e-8b0f4804f03d","","fail","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2098 - OR 10","Wall Covering"
"89ae0edd-8d60-487d-a9ff-4ea46febdfa2","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2097 - List Cart"
"4c841cfd-05ef-4919-b708-317020422e00","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2097 - List Cart","Preparation"
"f07e78eb-acd1-4572-902b-ca47d725ff1a","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2097 - List Cart","Floor Vinyl"
"a01e996a-708d-41ce-a204-225ed17f80c3","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2097 - List Cart","Wall Covering"
"72ce9e40-5fc7-4aae-abf9-07489304e838","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2096 - Scrub"
"85997de2-2e25-4177-94b8-9291d87a63f0","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2096 - Scrub","Preparation"
"ea49a8a0-2ec2-4144-b345-a6ff0e24136a","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2096 - Scrub","Floor Vinyl"
"03d6bc9c-1ca3-42d3-9036-80fa55e596c3","","work-in-progress","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2096 - Scrub","Wall Covering"
"6a777cdd-313d-49ef-8297-c9467f4eb81b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2095 - Clean up"
"32e8b532-13f5-49c8-8841-0f84ff65ebc2","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2095 - Clean up","Preparation"
"c356ae92-7dca-43b7-9016-a131e6fd0ade","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2095 - Clean up","Floor Vinyl"
"50fa4e19-a7e3-4822-a103-634c77f7fffc","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2095 - Clean up","Wall Covering"
"05968f3f-ab02-443a-8e0a-0524200d61f8","","fail","","folder","TRUE","FALSE","Site QA","Level 2","Zone 2 - A1522","2093 - OR9"
"5618c191-1a07-414c-9e66-57d074bd6581","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 2","Zone 2 - A1522","2093 - OR9","Preparation"
