"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d8e7b1fb-b4f1-4454-a556-22fd3f8450eb","","folder-normal","","","step","TRUE","FALSE","Site QA"
"b73585f3-6a5d-4801-b2d4-17b08f835ef7","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores"
"63480db9-bb30-4de3-8926-76a240b377b2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower"
"593b99ee-69e1-4e00-b649-352b36ae0fbc","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Basement 3"
"b67465ff-a24d-4153-b5a1-8447d8f8f584","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 30 (L25-L26)","Jumpform Pre Climb"
"8d7c056f-b086-4f84-9b59-c77c1ff4890c","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 30 (L25-L26)","Jumpform Post Climb"
"f4187b6b-2c50-4c69-ad32-524f31566806","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 30 (L25-L26)","Jumpform Formwork Handover"
"e36a8876-59fb-498e-a8fb-17b1261db0e3","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 31 (L26-L27)"
"4635fa28-60f8-42f6-b0e4-7a1a26067269","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 31 (L26-L27)","Jumpform Pre Climb"
"072702f5-6ad7-4400-a73d-ae746396bb44","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 31 (L26-L27)","Jumpform Post Climb"
"044389eb-60e4-41c4-a6a7-3a9d00e0de99","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 31 (L26-L27)","Jumpform Formwork Handover"
"849c0a59-074f-4d4d-a21f-54fcce5e971a","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 32 (L27-L28)"
"b160567b-34a3-4f6e-98d1-5739e9137c4d","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 32 (L27-L28)","Jumpform Pre Climb"
"46f53e63-cdb4-4fa6-a146-aedc1f99d77d","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 32 (L27-L28)","Jumpform Post Climb"
"91973794-6458-43b4-adac-ebe2c4a8e286","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 32 (L27-L28)","Jumpform Formwork Handover"
"085ea6f5-37a6-4edb-a44c-400f70fee608","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 33 (L28-ROOF)"
"b4ea8cce-b7f4-4df2-9f3b-873c06cfed21","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 33 (L28-ROOF)","Jumpform Pre Climb"
"3a2cf6f3-d7bb-4e88-ad00-8c0cd36feccc","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 33 (L28-ROOF)","Jumpform Post Climb"
"df1f7cd5-3885-4353-9c54-7f60b09111f9","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 33 (L28-ROOF)","Jumpform Formwork Handover"
"a9320219-8221-4aac-83b2-06f16e8f7e76","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 34 (ROOF-LIFT OVERUN)"
"e13b245d-7c3f-4989-8e5b-03a8cf81d503","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 34 (ROOF-LIFT OVERUN)","Jumpform Pre Climb"
"5604f53e-a3fe-421a-bf79-8f1e068e90f8","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 34 (ROOF-LIFT OVERUN)","Jumpform Post Climb"
"111f7b21-bca3-407e-a506-0b664b8e6458","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 34 (ROOF-LIFT OVERUN)","Jumpform Formwork Handover"
"361064a0-7396-4fac-a9cc-06a655ce40db","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Main core lift pit "
"182d0c9d-11e4-4bb5-a2df-65d1895d0c32","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Main core lift pit ","Pre Pour"
"b9d87bab-0170-492f-8020-593c43004ebd","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Main Lift Base Walls (CW03,11)"
"ef8da933-abe1-4f33-9e15-e8123d81919a","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Main Lift Base Walls (CW03,11)","Pre Pour"
"9df3b174-8f57-486c-b627-229649c8a365","","checklist-flat","","Formwork Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Main Lift Base Walls (CW03,11)","Formwork Handover"
"d329a367-6709-4ea0-a27b-ea50b722b674","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School"
"d53dd4a5-9ec9-48ef-96e7-295cb28d05de","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Lower Ground"
"6d98e9b7-e052-4912-bcd8-42cad13b4228","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Lower Ground","Pre Pour"
"5c9d4154-8f1b-45be-a9e3-8d850cb4e5e2","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Lower Ground","Formwork"
"a180ee73-dbf1-4ac9-abee-31c5e555bb30","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Upper Ground"
"8117f0c9-2ffb-491a-9ec5-937faaceee6f","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Upper Ground","Pre Pour"
"c5af5c1d-b568-46a1-8713-659fae381f08","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Upper Ground","Formwork"
"c8163402-b856-4f97-9b2c-3d2b9d951f41","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Level 1"
"40c82f28-5c79-4277-90c3-1d2675c5a413","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","School","Level 1","Jumpform Pre Climb"
"f1755f74-89ae-4dda-a8f0-064bf6f2ef48","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 1","Jumpform Post Climb"
"cfd9c75b-5f82-41c3-a035-90e2f44fa55c","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 1","Jumpform Formwork Handover"
"0347acee-0de3-45d4-a0c5-30ac7d491c54","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Level 2"
"03289caa-ce54-44b5-89a1-a4c9bc8b28a0","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","School","Level 2","Jumpform Pre Climb"
"b1ed234e-772b-4fe1-9db8-343cedf9b3b4","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 2","Jumpform Post Climb"
"217e17e7-5c67-4c03-8e28-1c931076fe9c","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 2","Jumpform Formwork Handover"
"b565befb-af4e-423e-b0be-57020bfc01e6","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Level 3"
"c87d8c7d-cf81-486d-852f-d495eac92cee","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 3","Pre Pour"
"39a1d3ad-427d-40ca-b5ff-c2fe111a8084","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 3","Formwork"
"2818a741-b86e-4b1b-b57f-9b405980b84f","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School","Level 4"
"85a54e28-8411-4a4a-94c6-f641453e23df","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","School","Level 4","Jumpform Pre Climb"
"5e57e358-215d-4ae7-876e-683135aff0bf","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 4","Jumpform Post Climb"
"91a273bd-1416-4748-a645-8245f82ba6a8","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 4","Jumpform Formwork Handover"
"4be846b0-3066-42c2-84dc-6219990a81b5","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish"
"2379c33d-3552-42db-adc5-7b0a2674bc46","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Lower Ground"
"e0db3e5f-3cbd-4dce-b560-2f2e9f6bd3c5","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lower Ground","Pre Pour"
"bde9b366-8abb-4195-a79e-00690e5c1b95","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lower Ground","Formwork"
"4cb40242-bfe0-4147-bc1f-e22827f14565","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Upper Ground"
"a471e970-fb1c-485f-a0b7-0266701d7d45","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Upper Ground","Pre Pour"
"1965d512-bd86-4461-8d0d-2fce4bd4759a","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Upper Ground","Formwork"
"0e4437c7-7e7c-415b-86e0-9ec79657327f","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Level 1"
"4df41fa2-2408-4270-a1e7-c89359e2e568","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 1","Pre Pour"
"0a712c17-f800-47bc-a00e-d5465a77322c","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 1","Formwork"
"9bb06033-0f0b-44dc-acba-282d2bf8d101","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Level 2"
"477bd66c-2ea9-43e4-a2df-19562b90de4f","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 2","Pre Pour"
"401bdab4-f512-4c73-89bf-53b8b56d6347","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 2","Formwork"
"134d8f73-c563-43f4-803d-4025837bc8ef","","checklist-flat","","Formwork Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 2","Formwork Handover lift"
"20e970f9-dc0b-4821-a7e3-f9ebeb4e5e3a","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Level 3"
"f422604f-f7ef-4b2d-81fc-d820582979b7","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 3","Pre Pour"
"3b19cfd8-bbb9-43b2-a85c-d142c9c230e8","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 3","Formwork"
"cea0c566-9f78-4d78-a5df-35977fd8ea7f","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish","Lower Ground Walls (LG to UG)"
"73f3efba-6cde-43e8-8ae2-f9d63d8cb252","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lower Ground Walls (LG to UG)","Pre Pour"
"ef7957a4-6b56-4bb8-877e-c2307a938d2f","","checklist-flat","","Formwork Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lower Ground Walls (LG to UG)","Formwork Handover"
"ef10f3e8-bf09-49c2-93ef-c21c6c4ed81e","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs"
"7af359a4-c7b0-4ec3-a772-22d5fc336d1b","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)"
"e67f7c94-2d8a-4c6a-addc-3f5435de730b","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 2"
"6d5e3cf6-6c80-40d1-bf54-477bcc714ab1","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 2","Pre Pour"
"8b623060-32fd-4a7e-8f92-1e10c867b05e","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 2","Formwork"
"8f6181da-1e8a-4d5f-86fa-dcc952c53777","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 2","Stair"
"0bdf7870-44f4-4f8a-9713-3abe8d37cb08","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 1"
"db7c33fa-3958-42f7-a9aa-bdb35bb0ab3a","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 1","Pre Pour"
"a4af6e65-9f84-4722-bc3a-122cc35d293d","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 1","Formwork"
"11b4366f-57b0-456f-a2f7-1f78298dbf18","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 1","Stairs"
"f3df2e6e-5ec2-4ac3-9e93-2fdce4ecfe67","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Lower Ground"
"57d2e7d2-ce97-41a0-9af3-a8aab9204f41","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Lower Ground","Pre Pour"
"707cefdd-e6fb-4ac5-b8d7-feaae910a2a8","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Lower Ground","Formwork"
"eb5f1118-b34c-4c6e-bf15-757cbe5efa68","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Lower Ground","Stairs"
"ecb11cad-08ba-441b-b820-bfe63381ee73","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Upper Ground"
"f59d42ed-4c22-4f94-976a-0c0a0d78ac38","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Upper Ground","Pre Pour"
"a9dc6812-a476-48cd-a210-2b9b0d03de82","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Upper Ground","Formwork"
"dd6e983b-1756-4d25-953e-c84aa7ed2d8b","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Upper Ground","Stairs"
"47b5baeb-ef5d-4dd5-9d37-35723b2938ba","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 1"
"1f13e7ec-7183-4ab0-9318-a6dd29cb36ab","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 1","Pre Pour"
"bd63ec76-d639-48a0-80b7-a06f2c8735a7","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 1","Formwork"
"ed5ab676-44f4-4dfa-a35f-a97faac72f6f","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 1","Stairs"
"868dde1b-c9fe-4b42-9d01-b44ea4f7f37a","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 2"
"bfe8cd77-2f24-483c-8011-c96c67eb59d0","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 2","Pre Pour"
"3457b8f2-4521-4d87-97e3-2c9251d52cfc","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 2","Formwork"
"2e972e52-2f7d-4c1f-a24c-b55088398412","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 2","Stairs"
"26f66c64-7c08-4fcb-a0cd-a0b5540e30c4","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 3"
"00c00869-f029-495e-a18c-a737137929b0","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 3","Pre Pour"
"4e4031ba-7d7e-43d3-8153-f939b65c4f23","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 3","Formwork"
"d8d5412e-36ba-4ad7-a128-3c5429c02d57","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 3","Stairs"
"32a43e28-a2fa-4796-bf75-3381e84f2ae0","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 4"
"45c2a284-757c-4bd3-96e8-21e0d3a78805","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 4","Pre Pour"
"9fd210ca-16fe-4979-b46d-3b20a9be6df9","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 4","Formwork"
"7bf09e3c-3af6-42f8-93e1-74e1ca052c51","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 4","Stairs"
"b4e4b208-8534-4329-a852-1964e903a73d","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 5"
"7d8e6fc8-bb79-44fa-bac7-77b0018cccd4","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 5","Pre Pour"
"3bce2155-1126-47d5-9b70-0e00cf8ee619","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 5","Formwork"
"4c811021-5ad7-47bb-ac6b-3f450545fd8f","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 5","Stairs"
"ee973e00-b23c-4af8-8d82-674c13b9e565","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 6"
"0260076a-184f-4050-ab92-144a829f16dc","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 6","Pre Pour"
"8a1b8887-caa0-40b0-b0da-2d6c6714450d","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 6","Formwork"
"d37934de-0f40-4548-87ae-c442e429a84b","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 6","Stairs"
"c7dc5644-80f6-4d13-b17a-bf006cdc54a3","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 7"
"2d1c7463-885f-4082-b51c-c691fdaf70d6","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 7","Pre Pour"
"04d188db-f60c-41de-ad0c-ebbb9b066141","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 7","Formwork"
"508483d6-0dc6-4721-a928-96867ea1efac","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 7","Stairs"
"e622c20e-ae6f-4e3c-a262-c380c2891c3b","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 8"
"2e2e6845-d6c4-4189-9a33-71b10a82355d","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 8","Pre Pour"
"fffef923-dbeb-49d1-bb67-97e590515b9d","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 8","Formwork"
"9179f8b3-4e55-4c29-99d6-5985798a10f5","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 8","Stairs"
"34cf704a-df4e-422d-b9f5-958b635cdcd9","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 9"
"9736dd87-f14c-4e37-bd42-ff841d4ca39d","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 9","Pre Pour"
"2fc768b3-bfc5-455f-b421-b454be5d7bf1","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 9","Formwork"
"d31b9d48-4e39-473b-93aa-8017b2c4c068","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 9","Stairs"
"c4f4f44b-fe94-4152-9736-8b5a393290cf","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 10"
"fe843cce-95e2-40a0-8650-0682c654bdb7","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 10","Pre Pour"
"58838adf-6c36-4b19-96bb-d583250b2548","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 10","Formwork"
"645701ef-ad3f-46ed-9d5f-8e35174bbc3c","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 10","Stairs"
"3d4565ef-4fff-4eb6-bad9-00d8d521419b","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 11"
"02962367-d198-48ae-a3e7-e1d8b5f8bb26","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 11","Pre Pour"
"a82cfcf3-fee1-4997-b999-a45ff2659d1f","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 11","Formwork"
"1f4711bc-94db-47ea-875c-155e8d89c865","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 11","Stairs"
"9a964a99-550c-4205-98aa-31b7dff85090","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 12"
"94ea9a16-0ddf-4094-8f46-b3f8707a6278","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 12","Pre Pour"
"9d0602a0-aef4-4910-afeb-fd879281cbdf","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 12","Formwork"
"ade5756c-4482-4225-ab50-e11c4ea0d766","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 12","Stairs"
"e695ee94-a279-4203-96a7-27bcf7b1ff3d","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 13"
"25c0e893-845a-4be8-8b63-2e77c45653ed","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 13","Pre Pour"
"2b5f1c9d-b4f5-4ae1-9efc-c7408d00f839","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 13","Formwork"
"1c502734-5c8c-4368-af1d-eea5bd491230","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 13","Stairs"
"eb5701b0-f74f-4be7-82da-17ff7eaa6c70","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 14"
"ab220299-d27c-44d3-919b-25e6f5789d92","","checklist-flat","","Pre Pour Checklist - Walls","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 14","Pre Pour"
"7d891494-c476-4d3b-9d54-25598629f7a5","","checklist-flat","","Reinforced In-Situ Concrete – Concrete Formwork","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 14","Formwork"
"9d9ec644-8e58-41af-acc5-fbc203c259c8","","checklist-flat","","Stairs","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 14","Stairs"
"ed0c41d6-03cd-45e4-b277-b70bb38f966d","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 15"
