type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,
checklist,Insulation,,,,,,Insulation Checklist - Stair Core (Roof - Stair Core),,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Insulation: 130mm glasswool on medium sarking,,,,,,,,,,,,
checkpoint,Thermal spacer: 120mm spacer,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Insulation to entire roof area,,,,,,,,,,,,
checkpoint,Correctly lapped and joined,,,,,,,,,,,,
checkpoint,No over hang into gutters,,,,,,,,,,,,
checkpoint,Manufacturers recommendations.,,,,,,,,,,,,
checkpoint,Thermal Spacer Located correctly,,,,,,,,,,,,
checkpoint,insulation below box gutter lapped at joins,,,,,,,,,,,,
checkpoint,insulation cut back at sumps,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition with no tears,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Insulation,,,,,,Insulation Checklist - Stair Core (Roof - Loading canopy),,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Insulation: 60mm glasswool on medium sarking,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Insulation to entire roof area,,,,,,,,,,,,
checkpoint,Correctly lapped and joined,,,,,,,,,,,,
checkpoint,No over hang into gutters,,,,,,,,,,,,
checkpoint,Manufacturers recommendations.,,,,,,,,,,,,
checkpoint,Thermal Spacer Located correctly,,,,,,,,,,,,
checkpoint,insulation below box gutter lapped at joins,,,,,,,,,,,,
checkpoint,insulation cut back at sumps,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition with no tears,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation checklist - Canopy Roof 2,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Box Gutter Brackets: #1,,,,,,,,,,,,
checkpoint,Insulation under gutter: 60mm Glasswool,,,,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,,,,
checkpoint,Box Gutter: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,,,
checkpoint,Inline Sump & High Capacity Overflow,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation checklist - Canopy Roof 1,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Box Gutter Brackets: #2,,,,,,,,,,,,
checkpoint,Insulation under gutter: 60mm Glasswool,,,,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,,,,
checkpoint,Box Gutter: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,,,
checkpoint,Inline Sump & High Capacity Overflow,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
