Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,,,
,,ITC-216.1 Level 2 Pour 2,,ITC-216.1 Level 2 Pour 2,,,,,,,,,,,,,
,,ITC-216.1 Level 2 Pour 2 Columns,,ITC-216.1 Level 2 Pour 2 Columns,,,,,,,,,,,,,
,,ITC-216.1 Level 2 Pour 3 ,,ITC-216.1 Level 2 Pour 3 ,,,,,,,,,,,,,
,,ITC-216.1 Level 2 Pour 3 Columns,,ITC-216.1 Level 2 Pour 3 Columns,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Core 1,,ITC-216.1 Level 3 Core 1,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Pour 1,,ITC-216.1 Level 3 Pour 1,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Pour 1 Columns,,ITC-216.1 Level 3 Pour 1 Columns,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Pour 2,,ITC-216.1 Level 3 Pour 2,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Pour 3,,ITC-216.1 Level 3 Pour 3,,,,,,,,,,,,,
,,ITC-216.1 Level 3 Pour 4 Columns,,ITC-216.1 Level 3 Pour 4 Columns,,,,,,,,,,,,,
,,ITC-216.1 Zone 1. Columns,,ITC-216.1 Zone 1. Columns,,,,,,,,,,,,,
,,ITP-212 – Testing and Commissioning,,ITP-212 – Testing and Commissioning,,,,,,,,,,,,,
,,ITP-216 – Core 1 Pour 3,,ITP-216 – Core 1 Pour 3,,,,,,,,,,,,,
,,ITP-216 – In-Slab Works Installation,,ITP-216 – In-Slab Works Installation,,,,,,,,,,,,,
,,ITP-216 – In-Slab Works Installation - Level 1 - Pour 2,,ITP-216 – In-Slab Works Installation - Level 1 - Pour 2,,,,,,,,,,,,,
,,ITP-216 Core 1 - Pour 2,,ITP-216 Core 1 - Pour 2,,,,,,,,,,,,,
,,ITP-216 Core 1 Level 3 Landing,,ITP-216 Core 1 Level 3 Landing,,,,,,,,,,,,,
,,ITP-216 Core 1 Pour 5,,ITP-216 Core 1 Pour 5,,,,,,,,,,,,,
,,ITP-216 Core 1 Pour 6,,ITP-216 Core 1 Pour 6,,,,,,,,,,,,,
,,ITP-216 Core 2 Pour 3,,ITP-216 Core 2 Pour 3,,,,,,,,,,,,,
,,ITP-216 Core 2 Pour 4,,ITP-216 Core 2 Pour 4,,,,,,,,,,,,,
,,ITP-216 Core 2 Pour 5,,ITP-216 Core 2 Pour 5,,,,,,,,,,,,,
,,ITP-216 Core 2 Pour 6,,ITP-216 Core 2 Pour 6,,,,,,,,,,,,,
,,ITP-216 In-Slab Level 2 Pour 2,,ITP-216 In-Slab Level 2 Pour 2,,,,,,,,,,,,,
,,ITP-216 In-Slab Works Installation Core 2 Level 8 Landing,,ITP-216 In-Slab Works Installation Core 2 Level 8 Landing,,,,,,,,,,,,,
,,ITP-216 In-Slab Works Installation Level 2 Core 1 Landing,,ITP-216 In-Slab Works Installation Level 2 Core 1 Landing,,,,,,,,,,,,,
,,ITP-216 In-Slab Works Installation Level 2 Core 2 Landing,,ITP-216 In-Slab Works Installation Level 2 Core 2 Landing,,,,,,,,,,,,,
,,ITP-216 In-Slab Works Installation Level 3 Core 1 Landing,,ITP-216 In-Slab Works Installation Level 3 Core 1 Landing,,,,,,,,,,,,,
,,ITP-216 In-Slab Works Installation Level 3 Core 2 Landing,,ITP-216 In-Slab Works Installation Level 3 Core 2 Landing,,,,,,,,,,,,,
,,ITP-216 In-Slab Works MDCP Level 1 Core 3 Infill Slab,,ITP-216 In-Slab Works MDCP Level 1 Core 3 Infill Slab,,,,,,,,,,,,,
,,ITP-216 Level 1 Core 1 Landing,,ITP-216 Level 1 Core 1 Landing,,,,,,,,,,,,,
,,ITP-216 Level 1 Landing,,ITP-216 Level 1 Landing,,,,,,,,,,,,,
,,ITP-216 Level 1 Pour 2 Columns ,,ITP-216 Level 1 Pour 2 Columns ,,,,,,,,,,,,,
,,ITP-216 Level 1 Pour 3,,ITP-216 Level 1 Pour 3,,,,,,,,,,,,,
,,ITP-216 Level 1 Pour 4,,ITP-216 Level 1 Pour 4,,,,,,,,,,,,,
,,ITP-216 Level 1 Pour 4 Columns,,ITP-216 Level 1 Pour 4 Columns,,,,,,,,,,,,,
,,ITP-216 Level 1 Pour 6,,ITP-216 Level 1 Pour 6,,,,,,,,,,,,,
,,ITP-216 Level 1 Zone 1 Columns,,ITP-216 Level 1 Zone 1 Columns,,,,,,,,,,,,,
,,ITP-216 Level 2 Pour 1 Columns,,ITP-216 Level 2 Pour 1 Columns,,,,,,,,,,,,,
,,ITP-216 Level 2 Pour 2,,ITP-216 Level 2 Pour 2,,,,,,,,,,,,,
,,ITP-216 Level 2 Pour 2 Columns,,ITP-216 Level 2 Pour 2 Columns,,,,,,,,,,,,,
,,ITP-216 Level 2 Pour 3,,ITP-216 Level 2 Pour 3,,,,,,,,,,,,,
,,ITP-216 Level 2 Pour 3 Columns,,ITP-216 Level 2 Pour 3 Columns,,,,,,,,,,,,,
,,ITP-216 Level 3 Core 1,,ITP-216 Level 3 Core 1,,,,,,,,,,,,,
,,ITP-216 Level 3 Pour 1,,ITP-216 Level 3 Pour 1,,,,,,,,,,,,,
,,ITP-216 Level 3 Pour 1 Columns,,ITP-216 Level 3 Pour 1 Columns,,,,,,,,,,,,,
,,ITP-216 Level 3 Pour 2,,ITP-216 Level 3 Pour 2,,,,,,,,,,,,,
,,ITP-216 Level 3 Pour 3,,ITP-216 Level 3 Pour 3,,,,,,,,,,,,,
,,ITP-216 Level 3 Pour 4 Columns,,ITP-216 Level 3 Pour 4 Columns,,,,,,,,,,,,,
,,ITP-222 – Horizontal Cabling,,ITP-222 – Horizontal Cabling,,,,,,,,,,,,,
,,ITP-226 – Fibre Optic Cabling,,ITP-226 – Fibre Optic Cabling,,,,,,,,,,,,,
,,ITP-227 – Backbone Cabling,,ITP-227 – Backbone Cabling,,,,,,,,,,,,,
,Columns,,,,,,,,,,,,,,,,
,,Level 1,,Level 1,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 2,,Level 2,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 3,,Level 3,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 4,,Level 4,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 5,,Level 5,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 6,,Level 6,Multi-Deck Car Park,,,,,,,,,,,,
,,Level 7,,Level 7,Multi-Deck Car Park,,,,,,,,,,,,
,,Core 1,,Core 1,Multi-Deck Car Park,,,,,,,,,,,,
,,Core 2,,Core 2,Multi-Deck Car Park,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
