"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9aeeb75e-2990-4433-abb7-04b602991abd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park"
"ac62c71a-1631-46a1-bcff-3e4936234cdb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park","Level 1"
"131c15a9-6a27-4bbf-a72a-2c8cf5f13f4f","","checklist-sectioned","not-started","ITP-212 Testing and Commissioning","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning"
"4b34daeb-291a-5a8a-a866-bf29b0457a8f","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety"
"0e55970c-236b-54d0-ba8e-8220a9127472","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Earthing"
"a556f25b-255d-5c9c-8a78-8fc2e30b6f52","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Earthing","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"cc085e4e-6146-584a-a3c6-3d48f317e910","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Concrete Pour"
"4d754f2d-0928-5c82-bcdd-d41ca314cbe0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Concrete Pour","Observe concrete pour with particular attention to critical area"
"ba91e81c-c490-58cc-a619-43048d9ffbf4","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Final Inspection"
"9a9ae737-760a-535b-abf4-34c40e39359c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Final Inspection","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"cdff2e63-147a-5f4a-8807-f1b121230ae9","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4","Final Inspection","Cross check and verify that the As Built Drawings are Complete and Correct"
"ac3f4c2e-ac39-4a86-8aaf-17c2e86d31e8","","checklist-flat","pass","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5"
"978169cf-7c63-5f35-8d62-51b1c3c70de0","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Attach any relevant photos & documents"
"38f0afd2-4279-5ac1-b01a-8ee455187611","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","No Structural Implications"
"53ff15b4-20cc-5b35-8af1-d711ea0e734f","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Marked Out Correctly"
"7764819a-5032-5412-a534-13fcf62756f6","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Glued & Tied Securely"
"5447a675-a93f-5727-97b1-6447e57feec5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","As Installed Drawing Attached"
"ed26032f-b9cd-53e2-99f7-cceb7274be7c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Conduit Ends Capped"
"56d76375-8a1f-5cda-874c-84f12b91dadf","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Signed By Installing Tradesman"
"366b2211-fd88-5425-994a-6437214996d8","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 Pour 5","Ensure photos are taken"
"8fbc7e2e-641d-4bcf-b9f6-c6d544f4ca8a","","checklist-sectioned","pass","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5"
"6dd1c51c-1df7-544a-bb81-61dd2970fda5","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Coordination"
"570c8cae-c134-518f-85e5-c5d0d9e83299","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Coordination","Ensure that all new installations have been coordinated with other services, both new and existing"
"30a40b75-bef7-5340-8429-380e515825d1","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Coordination","Prior to installation submit conduit shop drawing for review to the satisfaction of structural engineer"
"441fec79-4884-51cf-83ae-e8ec2bba1a42","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Metering / Setting Out"
"9449cfec-8f92-5075-913a-69fb848685a0","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Metering / Setting Out","Ensure that the latest service drawings are being referenced"
"0c83309b-f264-5c36-adec-f02a79ad4592","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Metering / Setting Out","Ensure that the latest coordinated drawings are being referenced"
"7ccca310-d19e-5f05-801e-5e72d2d0c7cf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Metering / Setting Out","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"104f1ffb-1f06-54a0-80f0-8d592c877ac1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Metering / Setting Out","Engage certified surveyor for critical set out works"
"f447c4a1-d41d-52f1-802d-1b31f917a23d","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Selection"
"79fddc34-6f10-565c-9f5e-116e82a54346","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Selection","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"5524fc35-673b-5307-ad68-c056ac162148","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (General)"
"f79871bd-8269-5a56-89cc-cc083a02a3d4","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (General)","Conduit to be measured and cut using correct tools"
"f0bbff06-d3bd-5797-bfc2-331990b7b38d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (General)","All conduit bends to be sweeping using bending spring. Or large sweeping proprietary bends"
"cb49249c-8504-5138-8504-dfd1da040097","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (General)","All joins to be glued using PVC jointing cement"
"f8393f4f-48d1-5510-b4d3-67852d7bf2e1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (General)","All conduit boxes to be correct type with correct number of entry points i.e. 2way, 3 way T, 4way"
"85ecf2d3-1d25-5f07-b917-2181b6eb3c04","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Fixing)"
"59157b47-8fb0-56e1-9741-b031db175510","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Fixing)","Ensure entire conduit installation is fixed to steel work using tie wire"
"5a7a2b92-9936-5c94-8334-01a2832d56d6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Fixing)","Conduit should be tied to bottom mat of steel"
"a8ee45ab-5206-5c1b-af0d-2884e768f64b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Fixing)","Ensure conduit installation is supported from deck over entire length"
"62eb7328-0dad-5746-9239-ed43f10d93f3","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Cast In Items"
"303d3590-1168-5019-a52f-f509f24bc462","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Cast In Items","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"26f4b94e-f7d4-5434-8c7f-3a080eb97385","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Covering)"
"c78b7c6a-8385-5f82-b2bc-b638d7ca9343","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Conduit Installation (Covering)","Ensure sufficient concrete cover can be achieved"
"be6b9f62-2029-5d5b-b39f-805244461c4e","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Earthing"
"13362211-3ed6-543d-85c0-e5b3f529cfaf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Earthing","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"ee738b13-cab7-5c3d-ba96-856c72c19d99","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Concrete Pour"
"f778640f-cff4-5fd9-8c51-f945ab773092","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Concrete Pour","Observe concrete pour with particular attention to critical area"
"4350bc9f-35fd-5d92-b762-d68784e4f610","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Final Inspection"
"374cb0e1-56a5-59a5-aaa3-0d3a4f63381c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Final Inspection","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"ab408494-bb1f-513c-928a-c452d83084a6","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 Pour 5","Final Inspection","Cross check and verify that the As Built Drawings are Complete and Correct"
"b2bedeb7-fd20-4c6e-9316-63a0025f316f","","checklist-flat","pass","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns"
"3cea2292-4641-5d52-bab2-3e4ed7c95f64","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Attach any relevant photos & documents"
"b87ffeef-65e4-533f-bf03-1e9f4e638fee","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","No Structural Implications"
"e61289a3-d651-5856-bac3-bc4dcd989bcc","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Marked Out Correctly"
"c49701a1-b633-593e-8fe7-10a7c40e14b5","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Glued & Tied Securely"
"b5206aa5-d6ed-598a-8cfc-4e928d70278b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","As Installed Drawing Attached"
"e3e82581-553b-5720-a179-cfbb70d92ff7","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Conduit Ends Capped"
"8e183c1b-e1bc-5ac9-aeae-44242ad769fe","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Signed By Installing Tradesman"
"0672a805-05d7-58e9-8b25-46617b556a4f","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4 Columns","Ensure photos are taken"
"2ee054ec-5a23-41bd-9ad7-d329ef899bc9","","checklist-sectioned","pass","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns"
"32289c73-b65d-5306-b996-289684638445","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Coordination"
"605fd7a7-80f5-5c39-860c-c52b55ffbf61","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Coordination","Ensure that all new installations have been coordinated with other services, both new and existing"
"9de28661-e6a7-59d9-accf-0dd527ef3341","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Coordination","Prior to installation submit conduit shop drawing for review to the satisfaction of structural engineer"
"ec8cabe3-12c1-5183-bd73-a1702b39db2a","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Metering / Setting Out"
"7995112c-ad94-5e24-a882-1b9ca491543c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Metering / Setting Out","Ensure that the latest service drawings are being referenced"
"4fec6abd-28ab-5657-9284-7e8c8c6c522f","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Metering / Setting Out","Ensure that the latest coordinated drawings are being referenced"
"554ab413-b5ca-5092-a26f-69cedb34c41c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Metering / Setting Out","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"fae97174-a361-5db9-87b6-4febde80bd8a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Metering / Setting Out","Engage certified surveyor for critical set out works"
"e6a69181-bc4b-5ea5-a0c9-aac640f332c2","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Selection"
"ccb1c328-2f5c-5c33-b2ef-da1838e12782","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Selection","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"ca352e63-71da-5f60-8cc1-aa920828577b","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (General)"
"7f09bb90-bbb6-524a-9380-1a5f62338e3e","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (General)","Conduit to be measured and cut using correct tools"
"85d22f08-5683-58dd-89d8-1ce354f8c6b3","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (General)","All conduit bends to be sweeping using bending spring. Or large sweeping proprietary bends"
"c3ec20ee-0b45-5116-8609-59f96442d296","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (General)","All joins to be glued using PVC jointing cement"
"35736f4f-b1ae-5c72-9601-ca3b0cbcd070","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (General)","All conduit boxes to be correct type with correct number of entry points i.e. 2way, 3 way T, 4way"
"0e1bcfca-128b-5da0-b6be-84cee27609f7","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Fixing)"
"a86c4f99-7590-5e08-8d7c-a5d78797f23d","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Fixing)","Ensure entire conduit installation is fixed to steel work using tie wire"
"6934622b-b58e-55c9-b7d6-ae8f7ba07274","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Fixing)","Conduit should be tied to bottom mat of steel"
"13f0ffaa-9cc4-5253-8630-a579e016cb58","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Fixing)","Ensure conduit installation is supported from deck over entire length"
"3afbd2a9-c5f7-5382-beaa-5a2862c5a7e2","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Cast In Items"
"2b82a4a4-ff45-560f-913d-1c60ac85d4f6","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Cast In Items","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"85064a43-41da-5800-b92c-96987eff7636","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Covering)"
"7e6a5ba1-1bea-555a-869b-3df94fdfb3e8","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Conduit Installation (Covering)","Ensure sufficient concrete cover can be achieved"
"315b6544-91d6-59a5-b5c7-ccd958ccac35","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Earthing"
"ed38aa39-d77c-579c-b680-c6e843637e4a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Earthing","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"9b026d76-7315-589d-85fd-ea853ff84add","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Concrete Pour"
"4d4098b9-6eb3-523b-81b0-bd0cfd94e56f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Concrete Pour","Observe concrete pour with particular attention to critical area"
"f4bd9291-31bc-551d-91e5-70fe8b8c38cf","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Final Inspection"
"ac3f80c2-da9e-5603-9a99-db82261e3738","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Final Inspection","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"5ae01d17-9624-5d77-ace3-da6cbbc703f0","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 4 Columns","Final Inspection","Cross check and verify that the As Built Drawings are Complete and Correct"
"3c8d618d-5582-4400-ad09-57378be21b96","","checklist-flat","pass","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing"
"36212c82-d8c2-5d67-b7df-5da45e9e2655","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Attach any relevant photos & documents"
"eb78e020-a9bf-53c4-a552-32414c693ea7","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","No Structural Implications"
"75632a0e-344e-5ac5-97e5-6f1cb27b8b4f","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Marked Out Correctly"
"1b753018-b947-51b3-96f6-5421e09101fc","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Glued & Tied Securely"
"2484c4cf-480f-5a9d-8f1d-0947807487cc","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","As Installed Drawing Attached"
"1de96da2-8f1b-5097-b1c3-db682c7743b3","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Conduit Ends Capped"
"dd65ec35-0fd1-5f3d-8e15-6dbbcca4e386","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Signed By Installing Tradesman"
"91b97949-e0f6-531f-8f68-a306fac7893b","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Core 1 Landing","Ensure photos are taken"
"6f6346a7-e4aa-4cd2-aaee-c6a2322e151e","","checklist-sectioned","pass","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing"
"dca1aaa5-340c-53f8-b220-2387bfdd902f","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Coordination"
"a362d3b9-cec9-5255-be4c-6bbb299581e2","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Coordination","Ensure that all new installations have been coordinated with other services, both new and existing"
"bc8dcfd0-a9ab-55b3-be81-4b0157d0903c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Coordination","Prior to installation submit conduit shop drawing for review to the satisfaction of structural engineer"
"1162ff27-ec8e-5c78-9d87-a3490c8f0781","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Metering / Setting Out"
"3171aed0-7b29-5494-bb5d-6c99075a6232","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Metering / Setting Out","Ensure that the latest service drawings are being referenced"
"cdabdfdc-8bba-5746-8f3f-57e0e5e8861d","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Metering / Setting Out","Ensure that the latest coordinated drawings are being referenced"
"bedb0aea-6dba-5ad3-8b09-0e044900defd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Metering / Setting Out","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"99419de3-e298-5aec-acbb-84d4db12b682","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Metering / Setting Out","Engage certified surveyor for critical set out works"
"4c2d090b-1460-53da-a56a-77dba323c543","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Selection"
"f5428737-078c-56d7-8b9a-3e006381a077","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Selection","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"f0b1d5f2-b14d-5685-a2a8-b2504a8ee315","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (General)"
"4a7c4a9f-45d5-5992-a855-4444ef08100f","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (General)","Conduit to be measured and cut using correct tools"
"2774b0e3-91bc-5572-bdaa-ec2e2424b421","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (General)","All conduit bends to be sweeping using bending spring. Or large sweeping proprietary bends"
"d015170a-2d6c-5990-9f5e-f755fde0d53c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (General)","All joins to be glued using PVC jointing cement"
"a0171d91-9edc-5883-abca-b646b4146510","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (General)","All conduit boxes to be correct type with correct number of entry points i.e. 2way, 3 way T, 4way"
"6bd018b7-1cb0-5936-a27b-f8abf88fe282","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (Fixing)"
"4e164ba4-52ad-593c-a486-cd7c4fe6b572","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (Fixing)","Ensure entire conduit installation is fixed to steel work using tie wire"
"63e2e52d-7155-52a4-bc82-4a65a0bc103c","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (Fixing)","Conduit should be tied to bottom mat of steel"
"b94d0b71-1284-579b-a47e-452ce355c2b7","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Conduit Installation (Fixing)","Ensure conduit installation is supported from deck over entire length"
"7837b0e0-2c98-5b57-990c-976be75dcf9c","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Core 1 Landing","Cast In Items"
