"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2793d104-8096-4488-97b7-cfe0d7b439cf","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"7d321522-7a02-5d81-b091-e54c960d4be3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"32477aa7-6521-54cb-a261-5ec481244801","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"2c631555-8751-57b9-9490-7ed5a48ef577","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"68710b7d-7182-5ec6-a417-9c1a38e26746","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"2f0f3d98-ce8d-5a07-86ea-b731b5a0cf46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"0eb7569e-810e-58b9-ad27-068363b1d975","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"4df8bc77-76b6-4b3f-aab0-8d414016ea97","","folder-normal","work-in-progress","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA"
"e5b74782-410e-4552-a5aa-975403a4a4ef","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems"
"623a55be-28c7-4ff8-a837-c9b7bf7d13e9","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01"
"ab1184ed-50be-4d9c-98dd-195e95ef4422","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist"
"efc89489-e585-5c5b-9937-bf66a5ae093b","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Pre-Fit Off Checklist","EMAIL PM"
"0547fcb7-bf64-5f40-8cb8-05e1e4e4a989","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"15ae98ee-d81a-504c-a909-79de6d82e1bf","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Pre-Fit Off Checklist","Photos taken"
"34c25499-aa14-4a45-bb92-a34a7b402fa0","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09"
"7695a6aa-424c-5bf8-a996-854f1b59158a","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Confirm the structure is in accordance with the details supplied by PBI"
"3e828a85-b690-5c97-b52b-0aa7c8b13a32","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","EMAIL PM"
"baedcdd0-8e67-5571-ac92-4e510eced228","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Photo taken of line pull test - 4 photos required"
"b7301a97-53f5-5f22-b433-8af43a86bf17","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Photo taken of Swages - 12 photos required"
"f57823d1-8540-5287-8130-39902585d457","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Photo taken of Engraved Line Plate / ID Tag"
"9eea627e-03e2-5014-9849-e44a49a78fd3","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Video taken of system"
"109c6ef9-fa84-5cc6-b2c1-ab4c9b1f08a8","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Fit Off Checklist - Line 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"e70d357a-7fdd-40d6-a6aa-f092d10e245a","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10"
"7998b975-e103-4d6c-a571-152d0cebcdd4","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Pre-Fit Off Checklist"
"b5b1d331-3fc7-5d35-b377-31bc4acdbd1a","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"648f92de-2fe0-5b93-afd8-f73493132336","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Pre-Fit Off Checklist","EMAIL PM"
"12bfc31e-b663-589b-a3de-344870986f06","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"41f16420-3cd3-5eb5-978d-045fdd248d4f","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Pre-Fit Off Checklist","Photos taken"
"2dabb385-3ca4-4c1c-b27f-fdef050906f1","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10"
"9e2068fc-6c6b-5544-82a7-85fa010547c1","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Confirm the structure is in accordance with the details supplied by PBI"
"4229036d-496d-5135-9a2a-c4fe7e536bc5","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","EMAIL PM"
"78d7e872-5fb1-5ecc-b262-4d1a33ca7c81","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Photo taken of line pull test - 4 photos required"
"f35b2472-3404-566c-b67c-d6c8554a2028","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Photo taken of Swages - 12 photos required"
"5061c829-0109-557b-bbfc-8f7ff9cad914","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Photo taken of Engraved Line Plate / ID Tag"
"d838a909-4db3-5e4e-bad9-c901914fe724","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Video taken of system"
"fa0cef7f-93e6-5457-b369-5563d3da5260","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 10","Fit Off Checklist - Line 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"497852a7-11df-4e3c-8597-8aa87af2a63d","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11"
"32361b66-579e-43a5-8a14-96a513c3706a","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Pre-Fit Off Checklist"
"611e3bfa-00d2-5af7-988c-f00c75945f23","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"7bec680e-5574-542a-8b35-057ef1e05230","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Pre-Fit Off Checklist","EMAIL PM"
"6cc41127-0c40-5a03-93dd-6dceedba3c77","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"738e54b2-ec7f-5405-a0da-74702c20c67c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Pre-Fit Off Checklist","Photos taken"
"47a822f8-decb-4a90-838e-f3e2fdbe72cb","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11"
"82343604-5708-53ed-a4a0-658d6a47636b","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Confirm the structure is in accordance with the details supplied by PBI"
"0f416bf0-3e5c-59a4-aeab-11ae2e06a6cf","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","EMAIL PM"
"00407096-52a6-5461-8dc7-161b66595ab1","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Photo taken of line pull test - 4 photos required"
"1bd7c61c-54f0-54b7-9262-de846a9a46b3","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Photo taken of Swages - 12 photos required"
"66ec175b-c8cd-5e1f-b138-c5cbd9f2864e","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Photo taken of Engraved Line Plate / ID Tag"
"8b0bdf62-a07d-505d-9f8c-7ad418a58a77","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Video taken of system"
"2d52c2bc-15c9-5388-a851-b8767c713b68","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 11","Fit Off Checklist - Line 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"5c3da887-074e-4e16-9eb4-740da56f5c36","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13"
"d2f989b8-3cea-409d-9aa2-9733801658a0","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Pre-Fit Off Checklist"
"63fb6046-0bf6-5da3-a83e-361e563ec1b2","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"802d1321-810e-54b3-b1b5-5b58a0076f05","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Pre-Fit Off Checklist","EMAIL PM"
"0dc3ebac-d0f5-547c-82dc-05e430206568","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"714c719d-d640-5fe2-9943-c6bcdc67eaf4","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Pre-Fit Off Checklist","Photos taken"
"c6cc534c-ccba-4d9e-a437-d25534b1c0a4","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13"
"5cd6ba91-2c69-503b-9815-9b91a56fc4ae","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Confirm the structure is in accordance with the details supplied by PBI"
"dba7f778-2a03-5b0f-a7a1-c26e98a15b4e","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","EMAIL PM"
"1607eb04-425d-5a27-911f-93914e825f2c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Photo taken of line pull test - 4 photos required"
"c1c3de9d-bc55-56a5-ba48-0c04ad1c04ee","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Photo taken of Swages - 12 photos required"
"a6506928-eedb-5a66-a592-8dff75c6bfa3","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Photo taken of Engraved Line Plate / ID Tag"
"abf658f6-35ea-5da6-bf9a-9eecb368a0ac","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Video taken of system"
"eb1ed848-15c0-5b7f-95c4-d16d1bc67a6b","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 73m - Line 13","Fit Off Checklist - Line 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"89770515-b564-4efe-8f23-0961bd027087","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)"
"d1813e26-35f3-441f-b025-837e09df4295","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Pre-Fit Off Checklist"
"d5f9b261-72b6-57c3-b584-0c1bed060d6c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"ed04c9e8-222b-54b3-8bfc-67c86531d707","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Pre-Fit Off Checklist","EMAIL PM"
"846601b4-e0eb-5124-afbb-5c3d779fda60","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"68c7ce3b-14f7-58ee-99de-e0936e5e7a4c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Pre-Fit Off Checklist","Photos taken"
"d100b72c-eb9d-42d9-8cbb-0da68a892d2e","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14"
"404cb2c3-b916-5505-a758-f958485706c5","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Confirm the structure is in accordance with the details supplied by PBI"
"c7208645-abee-55b5-b866-8ded9e39c461","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","EMAIL PM"
"8a325cba-fff7-5ff1-b841-ca12d81fd785","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Photo taken of line pull test - 4 photos required"
"9580e317-723e-5fdb-bfd5-94d8560e8237","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Photo taken of Swages - 12 photos required"
"93677803-185a-5bc2-85b7-b3eaa18fec03","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Photo taken of Engraved Line Plate / ID Tag"
"13a13879-2598-5c36-99cc-52299d6ef5d5","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Video taken of system"
"8ef4a4d1-c3c2-569a-a93d-4c517335fcd5","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 14 (part of Line 01)","Fit Off Checklist - Line 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"39e7dc9d-485b-4713-b1d1-57e470cacf68","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems"
"b95dd563-4516-4e15-b904-c7d71b0cbd2f","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01"
"8340e4c4-5a27-43e0-9729-538304c1ca42","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Pre-Fit Off Checklist"
"9ed6b370-a1ab-5459-90da-ed7ca0ec2990","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"8e17ee13-5bdb-5cbf-9f4f-323c5f7dd5ad","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Pre-Fit Off Checklist","EMAIL PM"
"763cb168-4f68-59f7-8cf4-7134f5a1c435","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"a004da87-11fe-5eb8-bd2d-cd6a6f1e6d33","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Pre-Fit Off Checklist","Photos taken"
"e86090a8-bc91-4192-9d1a-5af6451cfac4","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01"
"30fce50a-3925-526e-bfd0-0fc3c2a3da7b","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"9457231b-9c48-5560-aea4-23a8471600fe","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","EMAIL PM"
"74223d1e-712c-5aed-84c7-dd24c098f966","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Photo taken of line pull test - 4 photos required"
"7400f2af-b186-5f47-9479-35ba271119b0","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Photo taken of Swages - 12 photos required"
"5a878e63-6d7b-5c7b-9395-1c69dd508948","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Photo taken of Engraved Line Plate / ID Tag"
"62efcd49-b498-53fa-a53d-92e131ca1346","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Video taken of system"
"d115083b-62ab-5fa1-9812-db0eee3ae8a2","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01","Fit Off Checklist - HLL Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"948ab29d-48ad-4a7d-a566-ff2c872e88ca","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02"
"cf78e268-14c1-4ec8-b722-26d3b054340e","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Pre-Fit Off Checklist"
"fb51ba94-e71b-5e78-9e0c-ca5952d43373","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a2c11b78-477c-5800-9412-61d5469fcb5f","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Pre-Fit Off Checklist","EMAIL PM"
"36d42408-87d1-5f11-a079-2b6ce4aca10f","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"836d9fd8-684d-55de-8250-843c54d42cc5","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Pre-Fit Off Checklist","Photos taken"
"51e3bd02-50b0-478e-95d8-27c09bbe909a","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","8mm Horizontal Lifeline Cable Systems","1No 8mm Horizontal Lifeline Cable System @ 2.7m - HLL Line 02","Fit Off Checklist - HLL Line 02"
