"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aedc3686-8bc6-4aa8-a885-f82f6d643319","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"af11d9ce-762a-50b7-844f-5566b82978c1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"bafcc70f-08f3-4d78-8bc4-b55b930ecc7e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"1a39be66-eb87-4e74-a29c-706688e2ee27","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"881fc2f7-4624-56d5-9fe5-7055b7581f7d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"ea7f4ad4-bffd-52af-9c67-f8eeef48f33d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"827675aa-3982-5083-b119-c9b76b38d07f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"93529ee4-6443-5c7e-8fc2-54a1d59d0bc8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"9d8622e4-44ed-41fa-b549-4ebc86b9c5ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 30"
"0880abe4-1680-46d9-8392-b59e4af53caa","","checklist-sectioned","not-started","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -1"
"b34683d2-3c28-576b-8188-83c8add0bd68","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check"
"7b9a9364-5aa9-5e29-a81e-16919d681ffb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check"
"4bbe9ca9-ec1e-5ffe-870c-caac06b4cd23","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Dimensions"
"a2f7d42c-1a09-55db-8184-96f63e3931d1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Mould Clean"
"35f4b392-92c8-54c0-b93b-9e7a2528277b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Mould Oiled"
"eff8dedc-ecf9-5402-92b3-e08792e86899","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Mould - Workmanship"
"68cd8555-00ee-57e9-842a-1cc3be6186e5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Reinforcing"
"79354a49-d867-5157-93e3-575f8b5d9aba","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Cast In Items"
"46e96791-04a1-54db-bbb4-801c8d9f4026","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Marker Position and No."
"c7239e10-0739-5780-a78d-b3959b44fd4e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Pre-Pour Check","Make mould to Green Status"
"2342a697-4f42-5603-8b2b-9dfe27ce04fb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Concrete Works"
"7fec42c7-b395-5cdf-a6d7-b69d62bddf30","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Concrete Works","Concrete Works Details"
"28f7d11e-491a-5efa-8f3b-2e16eb89fef3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Concrete Works","Wilco Sample Taken"
"c607091d-67f5-5c7a-b8e6-a28fac618b25","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Concrete Works","Bridgeman Sample Taken"
"e2e3c7bc-8183-5874-b92a-78efa5d6384e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Concrete Works","Supervisor Approval"
"0382df1b-8549-593a-b0ef-427f03cb9e3c","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Post Pour Check"
"97555611-7ea6-548d-b957-2dcb0805f0ff","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Post Pour Check","Edge Detail"
"3fafa82c-a1ff-597c-8717-e3540d685366","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Post Pour Check","Bar Projections"
"ceb1f0c3-ffcf-5746-bcd0-a6e2b20c2fec","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Post Pour Check","Cast in items"
"94831d6c-006d-5968-802f-3324e360ac2e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Stripping and Stacking"
"f7a9b29a-9277-5b15-9979-ad57d6944e38","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -29","Stripping and Stacking","Stripping & Stacking"
"e4abcb0b-c7fc-42ba-b7d4-91d03b4a43b7","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -30"
"cf3f2d1d-6f01-518c-b810-3e84c6bd5b50","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check"
"39be0d15-31cc-5f22-89c8-18b5bce51748","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Dimensions"
"7b4e2a24-175b-53fd-9546-9884fe539af0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Mould Clean"
"a9ab88cd-9749-5c4d-87f7-776c54e9222f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Mould Oiled"
"600d7c7b-fc67-57b3-b97c-53bdf13070ca","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Mould - Workmanship"
"f479243a-7448-5b4a-b68d-690fdb968203","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Reinforcing"
"d77e25e5-fe47-56e0-bd5e-a2bbe5b61297","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Cast In Items"
"29e18ec0-cc10-5d15-bb81-c91c73014aa3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Marker Position and No."
"df3c30f5-1754-5ff0-bd9d-ddd4d4985270","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Pre-Pour Check","Make mould to Green Status"
"56fb5e48-70a0-5649-978c-09dad37f6dd3","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Concrete Works"
"cd7f67e8-bcf2-575a-9d44-e9c4b98055a2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Concrete Works","Concrete Works Details"
"69904f35-b230-53da-a7bd-6802ba8638a3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Concrete Works","Wilco Sample Taken"
"ca7019d8-ceb5-5f49-844a-216d26beb919","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Concrete Works","Bridgeman Sample Taken"
"66d03b95-47ae-5fb0-9db0-a99f37c37691","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Concrete Works","Supervisor Approval"
"cec78298-f548-5e92-a782-2554d334eb69","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Post Pour Check"
"9259c392-ff02-5489-9e8c-cafb7363f97a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Post Pour Check","Edge Detail"
"530b9270-ec64-5edc-b5ea-71d1a81d45a0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Post Pour Check","Bar Projections"
"bea95ee6-31ae-5d22-a81a-a72877e19534","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Post Pour Check","Cast in items"
"d319b62d-a134-5ef2-86c7-86c3ff4b78be","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Stripping and Stacking"
"2779a090-4471-5e2c-bb7b-2a3c03a76420","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -30","Stripping and Stacking","Stripping & Stacking"
"13fae06c-3de5-4c21-979e-f570580bd371","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 31 - 60"
"47cc4370-771a-45d9-83d3-54a8d5fe0ba6","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 31 - 60","Panel -31"
"a04e5619-581e-50d1-8b7b-36fa435def9a","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check"
"243f8ec8-83b9-54ab-b38d-dcbea02e9d72","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Dimensions"
"d800af42-78b5-5771-a6e5-e1482cd760ba","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Mould Clean"
"9ec3dda1-0adf-5670-93b7-2f23aad21ce4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Mould Oiled"
"1ff6fc32-a9d5-5f4b-826d-7334b7c70a8e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Mould - Workmanship"
"686cd449-ee23-5c4a-998e-3ad7d342a2b7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Reinforcing"
"088ca60e-6dd6-567a-ba63-ce3d1e99325e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Cast In Items"
"ec734869-092a-5215-88c4-9622fc0a2e0c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Marker Position and No."
"ea4ae429-d929-5c5b-987f-11144fd88039","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Pre-Pour Check","Make mould to Green Status"
"ac9d0c80-ba72-5da8-ab69-9daa1cad5db8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Concrete Works"
"4bbd0c68-963b-56b2-a8cc-6400bd1cb842","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Concrete Works","Concrete Works Details"
"8b96b26f-2f6d-5731-8ddc-35f384b07572","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Concrete Works","Wilco Sample Taken"
"6f15a917-aea2-5780-bd37-a20f906ecf2b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Concrete Works","Bridgeman Sample Taken"
"f848a840-8c98-540a-baea-5a741422a275","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Concrete Works","Supervisor Approval"
"d5472ab5-443a-55ab-a3b2-e07ca509ebfd","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Post Pour Check"
"67e1a5f7-0847-5ace-8c58-d16776552f66","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Post Pour Check","Edge Detail"
"c84c9231-6927-5fd1-b621-771143d2346b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Post Pour Check","Bar Projections"
"fd9815d0-8380-50fa-a0b4-05bc6dd29f90","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Post Pour Check","Cast in items"
"b56f9692-7611-5ee3-83ec-b4768ec983eb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Stripping and Stacking"
"1624d877-229a-52d5-9b3f-0e68e634bd04","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -31","Stripping and Stacking","Stripping & Stacking"
"34137874-e8c2-4b8d-b1c9-ab3cc156166b","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 31 - 60","Panel -32"
"b69a6f46-a303-53cd-ba00-d35bf9ad916f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check"
"7c90cc97-624a-5647-bf5b-947e9d36d1ee","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Dimensions"
"a22a1df0-ad74-5309-999b-4de2da168de9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Mould Clean"
"3270ed8e-4381-5c00-94f3-9f490a595cff","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Mould Oiled"
"213ecf31-41f3-5b7a-929f-e074b3831444","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Mould - Workmanship"
"be5a0ea0-df2c-5d2f-802d-89a2806796e7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Reinforcing"
"d2db4447-b4c5-5e19-934c-cef3d5b4802a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Cast In Items"
"f6862d73-45b6-54ce-a2ec-1fdb9a0145a0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Marker Position and No."
"81c66547-29d8-50dc-992b-e802113f27e3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Pre-Pour Check","Make mould to Green Status"
"56905003-fdeb-55f2-96a9-d16b6e6c0ed0","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Concrete Works"
"38e17fd2-ff8a-5435-bd53-622ea5020035","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Concrete Works","Concrete Works Details"
"cc2ccdcd-129e-5c1c-9e55-3e2dcc3f8f99","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Concrete Works","Wilco Sample Taken"
"970fc776-4e90-58b3-9aa7-c4afa0668e71","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Concrete Works","Bridgeman Sample Taken"
"f44ac2e3-18de-5274-a710-abc07572ee6d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Concrete Works","Supervisor Approval"
"2bd87d03-278b-5cab-9c3f-4a6c5f137eb7","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Post Pour Check"
"7fd17b87-b746-58c0-b509-6e7c777484ab","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Post Pour Check","Edge Detail"
"3a7d5b9d-03bb-592f-8599-5775d2b1f066","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Post Pour Check","Bar Projections"
"94f5743c-df8f-5435-abe4-6c8d5b52d335","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Post Pour Check","Cast in items"
"ea340486-cb06-59f3-8be9-cbafd28047eb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Stripping and Stacking"
"247d3e70-2c12-5a05-8fa0-513d9168b8bb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -32","Stripping and Stacking","Stripping & Stacking"
"4cdba88b-9ee2-4761-b38e-b29c1a3b11cc","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 31 - 60","Panel -33"
"b4045fa1-9196-5508-a721-63bf227dca1a","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check"
"4378d892-036d-5ae3-b4ca-437b62565195","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Dimensions"
"5e08d82e-9c12-5f58-87c3-020034994494","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Mould Clean"
"f7d024a7-3621-50f0-bdbb-d5b4a4d3774c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Mould Oiled"
"2655f06e-3967-521a-907f-ce40342927e5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Mould - Workmanship"
"e6fc60bc-f9c8-5b18-b8bb-19ca1bc8c2f4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Reinforcing"
"3bc8a767-3924-518a-b926-87334d03eb54","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Cast In Items"
"c090a056-13fd-5f22-a75d-eb6577f1a45c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Marker Position and No."
"f830fbee-f886-5e05-8c72-d02bc8cbf2f9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Pre-Pour Check","Make mould to Green Status"
"8bd0ce18-39dc-5527-a353-4d749637d042","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Concrete Works"
"d372b28f-56d9-560f-afaa-cc0e7300a404","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Concrete Works","Concrete Works Details"
"de44fc0d-a23e-518a-8c1c-9a85de780985","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Concrete Works","Wilco Sample Taken"
"812255c7-4016-5170-99af-6aad5521f6b3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Concrete Works","Bridgeman Sample Taken"
"e912b406-b971-5c20-8c99-3f89dfcf7c40","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Concrete Works","Supervisor Approval"
"979fac48-c0af-59bc-8020-08605d770759","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Post Pour Check"
"8a024568-085e-5e1b-9875-cedff64f9df7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Post Pour Check","Edge Detail"
"00966922-18d8-5185-97ed-8a91fd1f2fc0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Post Pour Check","Bar Projections"
"592cfcf3-ac88-5417-b367-72efc03cd282","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Post Pour Check","Cast in items"
"6ed7ce82-6a5c-510f-be6a-b7fafe8725d8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Stripping and Stacking"
"a531929a-21d7-5574-8e8c-7c3b1f1e0516","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -33","Stripping and Stacking","Stripping & Stacking"
"e7959ee9-3590-4c10-b7f8-f8464ebf73ef","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 31 - 60","Panel -34"
"4973f6e3-b07c-5721-befc-4e87c3aa7550","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check"
"811adeeb-de09-5134-8c0d-a875a7c213d0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Dimensions"
"23fbc0b7-7d73-55a4-954b-2f9649c1ba9a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Mould Clean"
"f81f73b9-ccae-570f-ad2f-1b25acdbb167","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Mould Oiled"
"44959272-7246-5aa1-b05a-77dfa5e75a21","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Mould - Workmanship"
"61a5824b-46e4-55fb-a11c-f5b6d7656f4f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Reinforcing"
"951540c7-9194-5c22-b329-bbaf11ca02a7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Cast In Items"
"6bcbe072-e0ff-5334-b2d7-e7ed124c434e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Marker Position and No."
"a534c587-9600-54ea-8e18-9aef4cf5b45a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Pre-Pour Check","Make mould to Green Status"
"b0afdebd-ba70-535a-a72a-328685b4c3e7","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Concrete Works"
"2f9194d5-650e-5fec-b427-16336f339381","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Concrete Works","Concrete Works Details"
"97a690c9-7dfd-5810-bc26-bcf007b99d61","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Concrete Works","Wilco Sample Taken"
"ca9e6c21-ed8e-5785-b881-c8b081a63a56","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Concrete Works","Bridgeman Sample Taken"
"8f5d2bbe-c6db-5307-b97f-6c5503fbd939","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Concrete Works","Supervisor Approval"
"4ddb23e9-38ab-5f4a-899b-c76cc9d27004","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Post Pour Check"
"37c60515-1a6b-5e04-a0ae-faae29468303","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Post Pour Check","Edge Detail"
"668d853c-1418-51d1-ada1-ba6329a655ce","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Post Pour Check","Bar Projections"
"e864787b-e553-52b8-adc1-711ba407f8ea","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Post Pour Check","Cast in items"
"54acb4cc-5abd-5df0-9f3c-38aad4c706cb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Stripping and Stacking"
"27dfceb3-c4ba-5921-b458-0240aaa6b1d8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -34","Stripping and Stacking","Stripping & Stacking"
"5d2834de-119e-40a3-86dc-91727b896d6d","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 31 - 60","Panel -35"
"a342ce10-4057-53e7-ae9a-a8de68ff8149","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check"
"a05bc94b-0724-5f2d-9be8-d5436ddec390","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Dimensions"
"3cc20f11-5f7f-5e5b-b433-8272ca586d97","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Mould Clean"
"2d963599-59ae-5124-aa63-99becaec7fe5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Mould Oiled"
"938e207e-0466-58fe-acd7-056db41b438e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Mould - Workmanship"
"04253efc-e372-5721-b6a7-a49350f6056c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Reinforcing"
"3e1de28f-2bb9-5646-835d-766c929fe858","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Cast In Items"
"813e4c3e-5b19-5257-93d9-ee9f9dfb953b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Marker Position and No."
"981db19c-23b7-54ed-8eed-789784eb84f1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Pre-Pour Check","Make mould to Green Status"
"b034a82d-3a8c-55ef-b9a7-2e5eab448fe9","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Concrete Works"
"5d6f0506-eda1-5d51-84fb-04d29f2aad2a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Concrete Works","Concrete Works Details"
"747731ba-1db2-5341-94fa-b668f10a121d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 31 - 60","Panel -35","Concrete Works","Wilco Sample Taken"
