"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7920ef75-a4c1-4a8c-9157-82f19b1f1f52","","checklist-flat","","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"97a3ae05-9161-4a71-a183-dcf378c7e4b2","","folder-normal","","","step","TRUE","FALSE"," QA"
"b42ad035-2ee4-4c05-9144-0f52f74cb494","","folder-normal","","","step","TRUE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)"
"061b0bc2-c2bc-4c68-8efa-ed53dc7352e8","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 23m - Line 03","Pre-Fit Off Checklist - Line 03"
"e05a7cfc-d30c-4ed0-9b57-54edc1b27f83","","checklist-flat","","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 23m - Line 03","Fit Off Checklist - Line 03"
"8f504b22-fb7f-42e0-99ef-34476070eb9b","","folder-normal","","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 20m - Line 04"
"e14abf2f-0cb0-4514-ae37-e050e42ad8d2","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 20m - Line 04","Pre-Fit Off Checklist - Line 04"
"578da0f5-8748-4bf0-af5c-0c21c31e6468","","checklist-flat","","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 20m - Line 04","Fit Off Checklist - Line 04"
"0c8110ef-bbe3-4889-acc3-2baa8fe27355","","folder-normal","","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 21m - Line 05"
"8e9f0166-f1bf-4378-a5f1-78069d8301e9","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 21m - Line 05","Pre-Fit Off Checklist - Line 05"
"17cb91a6-52b6-406b-8d5f-d2ec2ef277cc","","checklist-flat","","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 21m - Line 05","Fit Off Checklist - Line 05"
"448e6885-f94c-4310-bdfc-99009512647a","","folder-normal","","","step","TRUE","FALSE"," QA","7No AP Type 02"
"89c10f2f-010f-4569-9f4e-f3cbd903c768","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Pre-Fit Off Checklist"
"991f5afe-81da-4676-b741-92d3d4429849","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 56"
"87e5c4f1-e986-4012-9dd1-a686e3b3d2c2","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 57"
"0d034bda-0ed0-4b79-9190-6cde2313e61f","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 58"
"d485902f-1e81-4893-a005-0ec6f3e2a0c7","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 59"
"e433cd9b-3763-4923-bc08-0892d76f761d","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 60"
"31712255-77c3-4ce4-8c6d-1f6ebe8578e8","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 65"
"ccd89c81-fdee-4058-a501-e2d0d15cc345","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Fit Off Checklist - Anchor 66"
"ba1b2a92-ffea-4ccc-8fa6-807644fe4924","","checklist-flat","","Data Plate, Access Point & Carriages/Travellers","checklist-flat","FALSE","FALSE"," QA","7No AP Type 02","Data Plate, Access Point & Carriages/Travellers"
"45959efb-3ea5-489e-8a92-3b50ed97ac70","","folder-normal","","","step","TRUE","FALSE"," QA","2No AP Type 03"
"7b7ee5b7-67d5-4e4d-aaca-c854129d3ca4","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","2No AP Type 03","Pre-Fit Off Checklist"
"44e05099-bb01-44c6-8ba8-61b82d06ed0b","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","2No AP Type 03","Fit Off Checklist - Anchor 17"
"9fcb5eb7-0f72-4360-ab84-880bfd2b999b","","checklist-flat","","564e50cc516600a720ac33cf0a6817e70cfbd74d312f14033c13f60aa77b324e","checklist-flat","FALSE","FALSE"," QA","2No AP Type 03","Fit Off Checklist - Anchor 18"
"009c20ad-3fe5-43a8-8c31-e8e964c6ba5d","","checklist-flat","","Data Plate, Access Point & Carriages/Travellers","checklist-flat","FALSE","FALSE"," QA","2No AP Type 03","Data Plate, Access Point & Carriages/Travellers"
"181e6f01-06ba-4f64-83ed-973960b15d6c","","folder-normal","","","step","TRUE","FALSE","Roof Access Requirements"
"04b6c9c5-4c99-4b84-8423-5fdd5dd99b58","","checklist-flat","","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"fbf75df7-19bf-4e4b-81f9-9b4814f8c590","","checklist-flat","","Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
