"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8bc81eb0-31ac-4810-a97c-b025c096caec","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0e0ea333-76b3-5030-8667-e5581490185f","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"5557a69d-7220-4851-953f-d10c35237d65","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"77af0970-ddfb-4915-9fe2-843eb5506f4d","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"19e38baa-9749-4ea9-9357-817654029a3c","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P1"
"95250c91-a5db-5452-8ae4-872b711f42ed","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Precast Element Details"
"192d8dc5-e6c7-57fa-8ec0-b44283858d5b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"5fb56a0b-6dc1-5f7d-bae5-37534a727d8c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"f2fe17ed-60b5-584d-9415-cf09c46633e7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Lifters"
"b3f5c3c7-ad43-5e4d-a921-c999e6a2093e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Tie wire Trimmed"
"74330274-f3f8-5c49-9d6f-69711c8e5a4a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Panel fully clean"
"bea76d55-aef6-5b7a-96b6-62c2c616f04f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","General Photos Attached"
"0fabde1a-f041-5b83-a773-125041be86e4","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"ef69a987-5b1f-52c4-9d36-c3f7b8137434","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Demould Inspection"
"517aa2a9-13c5-5e61-9e5d-fd0c2a91db6c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Demould Inspection","Demould Inspection complete"
"63d7de21-d80d-5327-af09-525a8cb096d8","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Loading Out"
"8761aaed-5618-544a-a1ad-4acfb32f94fd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Loading Out","Photo take of Panel on Truck"
"47f0216b-54bf-5972-a979-f220c764d70d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Loading Out","No remedial work required on site"
"d4a6c0dc-395a-5b42-a590-9c99640677f7","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Test Results, Certificates and Documentation"
"8977c473-1d4b-5719-8a16-420da0ee9139","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"856bab22-11b4-515a-adac-ee3a12efd8ab","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Test Results, Certificates and Documentation","Concrete Docket Attached"
"04525d68-ba6d-5fc5-9ae0-9b07457dd00c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Test Results, Certificates and Documentation","Upload Concrete test results"
"b3014dc7-b3ea-5770-a538-246bfb9be375","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"3dff2494-42e4-525b-9af9-67d8abf775dc","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Test Results, Certificates and Documentation","Upload Lift Designs"
"59b1f7a3-2c7f-4e2d-81e7-adabb004f39f","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P6"
"ffa005db-66c7-5fa9-b22e-e05de96edb3e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Precast Element Details"
"eb85a6ef-47c6-5417-bb03-52d118cf4d9b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Precast Element Details","Concrete Details Complete"
"e3126923-4acd-583c-b20f-8b56d4075eb4","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Formwork Set Up Checks"
"63879638-9f2f-5461-b1a5-02e0daa7be1b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"2f383501-8eb1-5dba-835d-67b713cdd3c3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","Edge Details & Rebates"
"20055b61-bddf-5563-8fac-6edf286788cf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"7e5fa96d-8da4-50c4-9a27-5b94abd25ba9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","MF roughening's"
"9745d162-b772-5a97-bbb9-ac0f8a8c6214","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"519aacf0-7a88-5a4e-b72a-6a614bcb6469","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Formwork Set Up Checks","Mould Face Clean"
"932b6242-4158-54c8-8d48-3f8c2721ef85","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Prepour Checks"
"1155ae3f-dee0-5ad7-b1bb-2348ef9baf08","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Mould Cleaned & Oiled"
"9f98598c-b385-5045-851c-1aa4b2ced6a7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"42bf67f0-bddd-577c-92a3-943603cdc8ca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Check covers on all sides, MF and TF"
"61f3fafa-e4ff-5bdf-b368-f08898d64265","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"3ea8035a-994d-5397-972e-9e8f29ddda70","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"3a86dd33-5600-5724-9c38-6da6d2533ede","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"af433377-b348-558d-8124-d00d557a2e51","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Lifters"
"a00a362c-75cd-537e-b700-785fe4a8e934","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Tie wire Trimmed"
"0df9e22a-171a-5bf7-9381-6b479f78cff5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Panel fully clean"
"0827b693-f3f0-5a4f-8d78-a19a60ae0108","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","General Photos Attached"
"d665b256-6f1a-50f0-8593-02089cde27ea","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"031796ae-8933-5485-aaf7-bbf4eeee64f8","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Demould Inspection"
"0e42d45a-ee7a-57c2-94d8-673fbe1aac4c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Demould Inspection","Demould Inspection complete"
"52f1feb2-b05f-5c67-8075-76de36540c22","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Loading Out"
"b973098b-9f50-519b-be60-c6c1d1b52521","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Loading Out","Photo take of Panel on Truck"
"c2e2afa2-4061-546c-8128-381d5278fb32","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Loading Out","No remedial work required on site"
"93c88acc-ab85-50b4-b5a5-428b2fab5e94","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P6","Test Results, Certificates and Documentation"
"b9cb89e4-f52d-51d2-a315-cb58ee7b1276","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"10f55721-92a4-54a7-a38d-d9affe38eda8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Test Results, Certificates and Documentation","Concrete Docket Attached"
"d19ea15e-ebb4-5bce-9764-db4be90803ae","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Test Results, Certificates and Documentation","Upload Concrete test results"
"e98b5bc9-e0cd-5e02-903f-ceaef82011d8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"76032a18-9b8f-5c4e-a676-db260bd2cb9a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P6","Test Results, Certificates and Documentation","Upload Lift Designs"
