"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"70513420-2675-400f-865a-e38ff25d6488","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation"
"d0a0d546-66a9-4bf2-99d5-496a00b2e3a6","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater"
"aa993fa1-58eb-4e0a-9e7e-614d53ca03c3","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)"
"f62772cd-967b-4e73-8b20-fe4ea42b9a99","","checklist-sectioned","not-started","Stormwater- Pipeline Installation Checklist","checklist","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist"
"d1c909f9-ae57-5673-98cd-9176fe03d82b","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca","","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying"
"c1136e48-55ab-501a-bb97-8ac15653d86e","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:34ed79c2-51f2-41b0-8c7d-707a4472065a","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Risers Installed (if applicable)"
"f32105ea-936b-5bab-ad59-913180962366","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:d4813821-e51d-4537-8278-8bef6a8bfbc3","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Joints & connections correctly sealed as specified"
"6aaa9a7c-2448-532e-b4e5-c2375f256e00","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:908437b8-5111-43ba-b1a0-dea6f1ec3041","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Soakpit benching completed and acceptable"
"e3f97d6e-5ee5-5a27-b519-f58c4935405e","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:7dff9e22-46aa-4598-98cf-87ff89670be5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Concrete Lid Installed and sitting appropriately"
"c2fb87af-fb72-530f-8212-dd52dbfde6ff","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:920f1501-075f-4ec2-a2ad-5151fc19e2f7","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Cast Iron Lid Installed and sitting flush"
"bd76391a-08f3-5926-a2c2-8559445b7bf3","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:3511c752-109c-4ca5-8b09-26c6cb7650ba","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Soakpit Install","Signoff on Completed Work (Council etc)"
"bcf1e412-388d-55e4-95be-a85732469176","","checkpoint-group","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c","","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill"
"edaf6713-4e2a-5c5e-8ed8-e5e5ffda5250","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:703d9d9a-9a4d-408f-a6c0-f9ae40b5e08c","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","Backfill methodology and material confirmed"
"c26eb931-6ad9-5276-a1c2-90ee436624cb","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:946595d8-eb21-415f-99db-5ce5a55f5b2b","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","Any formwork/ debris removed from area"
"16f1613f-2d3b-5d77-9132-608c723a21ef","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:3bece902-9f31-4dbe-a81f-cbea05ba5048","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","Any waterproofing/ drainage / service requirements completed and inspected"
"926b5289-4ac1-5f75-ba46-6e9a22d5e9c2","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:f507f3b8-62f1-4eb4-ada2-dba0e99a480b","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","Approval given to commence backfill - attach any other relevant inspections and observations closedout"
"4daaa0d6-297d-57c2-bca6-3d8224a33642","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:4e402f1b-2f42-497f-9500-bb027bd2a73f","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","General photos and observations during backfill"
"11fe242b-0c43-5a00-8377-efcddea1607f","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:bd6fe07b-992c-4349-8435-d8cd2766531c:d2246ea0-1593-4b63-9313-877bf5a83229","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater private connection1(SWPC1) to Stormwater Soakpit 2(SWSP2)","Drainage - Soakpit Install Checklist","Backfill","Backfill completed correctly and heights checked/ correct"
"d7e68f3f-3e3c-49e7-9bd9-8139a212dccb","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)"
"38425ca4-8165-4553-b597-df60beb32c82","","checklist-sectioned","not-started","Stormwater- Pipeline Installation Checklist","checklist","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist"
"e1c5e05f-02a2-548d-904b-c3c5f1780ff6","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca","","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying"
"7e79e448-e6b5-5de4-9372-18ebefebee29","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:0e7aaaa3-b759-4859-b836-2d8db0e93825","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Latest consented drawings"
"1a3759fc-357c-5b4b-8ed8-a0a346ee60f5","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:48b9b4e0-5649-4bc9-87a0-b179262693cc","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Setout completed checked and accurate"
"ede47c2d-5ce7-590c-8c50-52891340d9a4","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:e3b4f544-f151-4f36-8301-84ac59ec0f67","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Excavation Accurate - Location & Depth"
"12110b17-1600-591d-ae80-8964a3175aaa","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:3b5b1990-1547-45ca-a0fc-7c2dada5ce89","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Ground Conditions Checked & Acceptable"
"afa1be58-5526-536e-92cf-2b1f7d867a3f","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:f4c14850-749f-415e-ad60-4ac5d54034f9","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Bedding depth and material correct"
"7425818b-c4f5-5ab1-a32d-f2cc15d303ca","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:49164952-313a-4b22-92ab-3b847456b693","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Correct pipe laid to specified level and grade (all joints sealed correctly as specified)"
"07a1e965-c175-53c7-9783-64ea84bf2a0f","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:d27c0140-2652-49c4-b093-b61ea6421f8a","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Connections to manholes complete and approved"
"7f10edd5-4b20-566e-b83a-356a4baad5c5","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:9f1341e4-974b-446c-82c5-1c365476fdba","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","All Downpipes have been checked, installed and approved"
"1ad0f2da-35da-5d70-b09a-63f8db7a8889","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:66273d08-a3ff-40b9-bb80-476c78573c3f","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Location confirmed"
"e0d43baf-9f2b-533d-94ee-8419a488720c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:c8e8b675-41b0-4bd4-ba43-7d4ad4ea7bdc","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Heights are correct"
"4278963d-cd44-5b0b-b908-40d287192c7c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:2d7339b5-9c3c-472e-88be-1274d95fae9d","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
"c03b645e-a201-5545-8f2c-993634af3522","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:0961e97c-8ada-404c-ad74-2904d17d1402","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","All Cess Pitts have been checked, installed and approved"
"950b1d28-9f55-54bb-a427-0a5a810ea399","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:3a50c613-e53a-450c-80ee-79d3b5fdbf55","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Location confirmed"
"5278d863-52c2-5253-a28f-0717c2c4e7d7","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:a7af3f46-3793-48a3-8c2e-e30ac62b04b5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Heights are correct"
"0aa000c9-9ff1-550e-aba0-acf8b5db1a05","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:cb9aae7e-d22c-4433-b2f9-441e783eb6c8","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
"0a537887-c9de-59fa-90b3-73d133dad72c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:5c517e65-621c-49c1-ac0f-1487bcf6d65c","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Pipe Laying Completed"
"4c9e9bac-2156-5483-a799-60261c69440b","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:bd0edfc9-e6fb-42a4-bf63-bddc0ae5358b","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Bedding Sound"
"0e98e6da-9597-5edb-9d1a-b094053992a4","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:7a3633d0-cb1d-4456-aa88-e669f9ab1678","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Soil Removed"
"e59ac6c4-9555-585b-b257-c9ebdcb57622","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:e2eee042-ea5b-4720-bd88-396227607c17","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Trench Compacted"
"31080a16-ddcc-5b2c-8d59-6e0916b0127a","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:972937fa-1913-4765-a4d9-fca9bf01efc1","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Hard Filled"
"0cb97fce-e936-5283-8b7f-5edf4518af50","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:ea1108a1-ab36-44be-b4b0-f8ba8a655b54","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Install Tests completed, reviewed & approved"
"a6756b8b-cb59-5a5f-9681-82ecfb84c87c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:8d403cc0-6693-4a14-896c-fcbfa116a6d9","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Local Authority Inspection Passed"
"7b31fed3-698f-5c29-ad54-3b986a51c8c7","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:71b6e6bc-2d00-4ab8-a1fc-379a04914c72","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Area of Work Inspection Completed & Sign Off"
"1c7f5f3b-b113-5f76-acac-09911ad8d238","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9","","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill"
"aa286e89-af5e-5b1b-a473-c9a17f4119d3","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:5189e464-7ecd-4c78-8d87-06a10c81f1e8","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","Backfill methodology and material confirmed"
"802c755b-204e-5be1-97ec-ad3d6806e569","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e8233221-50c5-4e57-80da-b6247bc47cdb","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","Any formwork/ debris removed from area"
"401f09fe-dc0d-5194-ae14-d7fd39e4ea13","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:88e16a35-9b12-408f-abe1-0d72356f8ac5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","Any waterproofing/ drainage / service requirements completed and inspected"
"11521432-2671-592d-bbf5-0983bdb2ab77","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:2be963c6-9cac-4fda-b7ed-5911896e1d34","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","Approval given to commence backfill - attach any other relevant inspections and observations closedout"
"354ac522-1ab8-50ac-923b-5c7946d57d48","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e3fbc0b4-b1ef-444d-bf09-7fc7dca2dfe3","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","General photos and observations during backfill"
"956e4e4f-64f0-52ff-8e6d-3648b72fe31a","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e63cdfb5-e127-4e8a-922a-c3874991123d","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Stormwater- Pipeline Installation Checklist","Backfill","Backfill completed correctly and heights checked/ correct"
"8b0f6ac1-0a82-48ae-be50-206a010fdeaf","","checklist-flat","not-started","Cesspit Installation","checklist-flat","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation"
"a7e90584-6471-57b0-a572-870bc3bdf91b","","checkpoint-status","not-started","Cesspit Installation:d73c2ce4-128f-4992-924c-a0a0238009a4","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Setout & position checked and confirmed"
"22a1c512-f592-5716-b839-83d394cd356d","","checkpoint-status","not-started","Cesspit Installation:195f701e-2691-4cc9-8f5c-8dc05f8e03b0","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Cesspit installed as per standards"
"e2d611bb-1fdc-5a35-938e-9410f3b7c061","","checkpoint-status","not-started","Cesspit Installation:c30d625c-311f-4e29-8873-a7f1db5e33f4","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Setout & position checked and confirmed"
"9482a428-1d57-5fb6-9139-9dea8b2e0eeb","","checkpoint-status","not-started","Cesspit Installation:22381c22-dd1a-4e61-bd50-63bf2d639ade","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","All cut pipes epoxied"
"dbfecc14-e4c5-5fdf-b7a9-a36afc5eb4f0","","checkpoint-status","not-started","Cesspit Installation:7ef0f2ab-def2-4daf-9054-953764f196a5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Confirm Levels Correct"
"6a202d5d-dec8-54db-a58c-16f2c80e08fc","","checkpoint-status","not-started","Cesspit Installation:2c74ef9d-221e-41f3-9714-39222e5ce1f5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Cesspit cleaned of all Debris"
"ebdb2dea-d13b-5210-a878-4be3ffb4fc36","","checkpoint-status","not-started","Cesspit Installation:3cde5380-62b9-48e1-83a0-132b94b70f53","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Concrete Apron installed (if required)"
"5607ff75-d9bb-5f44-9067-cf1406044e12","","checkpoint-status","not-started","Cesspit Installation:66a7aa5c-29e4-4839-85a9-6fbead1374d1","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Frame & Grate alignment checked"
"9ca3b013-0b01-5fc6-8ce3-5ab2c06611e8","","checkpoint-status","not-started","Cesspit Installation:527a27ad-8dfa-4f4c-8b45-82f9f82ab72f","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Minimum sump depth checked"
"e4db0aa9-ad26-5184-82ef-1a4489a18a3d","","checkpoint-status","not-started","Cesspit Installation:88778cc2-035f-4c47-96d3-1b89896cf99a","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Captive Grates installed (if required)"
"78aa8f11-97f5-5e37-a1ea-b0b6edb06dce","","checkpoint-status","not-started","Cesspit Installation:9422dc07-0fb6-4a4b-9bcf-5b5dd4ceb0ec","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Cesspit Installation","Cesspit complete & ready for sign off"
"4e87acc7-6f00-4c86-831e-96ca5a67d043","","checklist-sectioned","not-started","Drainage - Soakpit Install Checklist","checklist","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist"
"fe6f59c2-2e4e-5e67-adbf-594ce3c69c45","","checkpoint-group","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb","","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install"
"17cde901-d767-5441-9ab5-b10911b7f411","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:db727cb6-74fd-4982-a20e-4a9d49b90451","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install","Latest consented drawings"
"c0e1c38b-e2b5-56b5-a074-b525504989aa","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:c7c1e6ca-0aa9-45ca-ae44-f52b11615248","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install","Setout Completed checked and accurate"
"9c6da5fa-708b-53e3-8da9-59ff211d0679","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:e66fcc7b-ce75-403b-b734-0f1e981914ae","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install","Excavation Accurate - Location & Depth"
"b06a4362-d035-56e4-ab92-57a92063c313","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:941a9c44-6260-4135-a79a-171a7c3a076f","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install","Ground conditions checked & acceptable"
"5d93a2c7-6f87-5022-9b18-35702351d796","","checkpoint-status","not-started","Drainage - Soakpit Install Checklist:ffba0fce-1e87-443e-84de-36a15035f9fb:e5d7856d-e723-40b9-9c7c-4dd60efda0de","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 2(SWSP2) to Catchpit standard single 2A (SWCP 2A)","Drainage - Soakpit Install Checklist","Soakpit Install","Bedding depth and material correct & compacted"
