"Warnings","Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"","textbox","f7aadbe4-bd83-484c-92f2-1420b81e75c8","Date of approval / acceptance",,,,
"","textbox","d5b1824d-d66e-41a8-953e-7d5759affa90","How was the amendment approved? e.g. email from council, site meeting etc",,,,
"","tickbox","b919d047-81f4-483a-a98b-7655bddda5e9","Council approval of amendment attached",,,,
"","textbox","828274cd-74c3-4f32-baeb-614afdf4064d","Update building consent number (including amendment)",,,,
"","tickbox","3800231c-74fa-4e51-a23b-0fdbb73d0f16","Latest building consent including amendment has been attached in the ""Latest Building Consent"" folder to superseed the previous consent",,,,
"","note","c93744fa-e3ba-44dc-903a-441321ca4ec9","Ensure this amendment and respective changes are communicated to any relevant parties",,,,

"","checklist-flat",,"Add Council BC Upload Checklist (V3)","","Building Consent -",0,"84eb61bc-bf6e-4f9b-b1a8-f5c8c6ab87bd"
"","checkpoint",,"Latest building consent attached (superseded and attached as required)",,,,
"","note","a9de507b-5933-4720-b76c-375bcb740674","If a new building consent is issued as a result of an amendment upload here",,,,

"","checklist-flat",,"Curtain Wall Timber Framing","","Curtain Wall Timber Framing",7,"89d15098-ce2c-4b55-a8e5-26872b7274f2"
"","checkpoint",,"Set out from gridline correct",,,,
"","checkpoint",,"Dimension of wall opening correct",,,,
"","checkpoint",,"DPM installed where required",,,,
"","checkpoint",,"Timber frames type as per specification",,,,
"","checkpoint",,"Frame square and plumb",,,,
"","dropdown","f412ae3c-a205-51ca-8fd4-990163c48013","Council inspection done. Preline","Pass, Fail, Partial Pass, Completed, N/A",,,
"","checkpoint",,"Board type (RAB) as per drawing",,,,
"","checkpoint",,"Fixing used as per specification",,,,
"","checkpoint",,"Fixing spacing and edge distance correct",,,,
"","checkpoint",,"Board no damage and in good condition",,,,
"","dropdown","780342de-9ddb-509e-a5e8-3895624b67cc","Council inspection done. Postline","Pass, Fail, Partial Pass, Completed, N/A",,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"QA - Backfill Checklist (V1)","","Backfill -",4,"8c2ce3d1-5608-4958-b64f-f1bf64637f84"
"","checkpoint",,"Backfill methodology and material confirmed",,,,
"","checkpoint",,"Any formwork/ debris removed from area",,,,
"","checkpoint",,"Any waterproofing/ drainage / service requirements completed and inspected",,,,
"","checkpoint",,"Approval given to commence backfill - attach any other relevant inspections and observations closeout",,,,
"","checkpoint",,"General photos and observations during backfill",,,,
"","checkpoint",,"Backfill completed correctly and heights checked/ correct - desired compaction achieved",,,,
"","note","17bdc79c-e784-452a-99a4-fb83371c3f0c","FINAL - Pass when work(s) are completed, area clean & tidy (any issues please comment below)",,,,
"","tickbox","06086830-9801-49e2-a664-44ca3869ec91","Trades QA received & attached as applicable",,,,

"","checklist-flat",,"Nuraply Waterproofing Membrane at Green Roof","","Nuraply Waterproofing Membrane at Green Roof",2,"9188e00f-4709-47e1-af42-ff93fda119f5"
"","checkpoint",,"All surface is clean, dry, free from sharp edges, oil, grease or other materials that my affect adhesion",,,,
"","checkpoint",,"Nuralite bitumen LM fillet at internal corners",,,,
"","checkpoint",,"5mm fillet radius at external corners",,,,
"","checkpoint",,"Worker is approved applicator to do the job",,,,
"","checkpoint",,"Nuralite Nuraflux primer installed continuously to cover whole area",,,,
"","checkpoint",,"Nuraply 3PB-SA installed continuously without any damage",,,,
"","checkpoint",,"Nuraply 3PB membrane installed continuously without any damage installed in accordance to specification",,,,
"","checkpoint",,"Nuralite aluminium tape to separate sealant and membrane",,,,
"","checkpoint",,"Nuraply base sheet reinforcing strip on primer installed at precast joint",,,,
"","checkpoint",,"Termination bar mechanically fixed as per manufacturers manual",,,,
"","checkpoint",,"No visible cracks, holes, damages into the membrane",,,,
"","checkpoint",,"Joint overlapping fully welded",,,,
"","checkpoint",,"Double thickness application at all internal and external corner",,,,
"","checkpoint",,"Pipe penetration done with ring clamp",,,,
"","checkpoint",,"All penetration done properly",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Villaboard Soffit Lining","","Villaboard Soffit Lining",0,"9746d6d6-570f-4002-aae8-1516b77aa700"
"","checkpoint",,"Correct timber framing installed with 600 c/c stud spacing and max 1200 frame",,,,
"","checkpoint",,"Correct type of fixing used and not overdriving",,,,
"","checkpoint",,"Correct spacing for fixings. 70mm at corners, 200mm C/C at edge, 300mm C/C at internal studs, 12mm edge distance",,,,
"","checkpoint",,"Sheets rebated at joints with 1-2mm gap each joint",,,,
"","checkpoint",,"Minimum 6mm gap to soffit edge structure",,,,
"","checkpoint",,"Inseal tape along the edge",,,,
"","checkpoint",,"All site cut and recessed must to sealed as specified",,,,
"","checkpoint",,"Perforated paper tape applied at joint rebate as necessary during plaster",,,,
"","checkpoint",,"Control joints if specified, has been done as per specification",,,,
"","checkpoint",,"Edge of the soffit straight",,,,
"","checkpoint",,"Paint done properly with correct colour as specified",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Nuwall Soffit Lining","","Nuwall Soffit Lining",7,"994dd3b9-5a2a-4f61-9313-7ec18bdcf5b6"
"","checkpoint",,"Timber framing using 90x45 SG8 with 600 C/C spacing",,,,
"","dropdown","3ddaba91-86aa-507c-b0da-30666b62f0e1","Council inspection done. Preline","Pass, Fail, Partial Pass, Completed, N/A",,,
"","checkpoint",,"RAB exposed cut edge to be primed",,,,
"","checkpoint",,"2-4mm gap in between joints",,,,
"","checkpoint",,"Nail with 12mm edge distance and 200mm c/c minimum spacing",,,,
"","checkpoint",,"Nail flush with board surface",,,,
"","checkpoint",,"RAB Joints and corner sealed with 75mm wide tape",,,,
"","checkpoint",,"RAB free of dust, oil, grease, etc",,,,
"","dropdown","5a8d3f2c-156c-54db-a994-11fef4a26ff8","Council inspection done. Postline","Pass, Fail, Partial Pass, Completed, N/A",,,
"","checkpoint",,"Flashings needed installed before batten if required",,,,
"","checkpoint",,"20mm H3.2 castellated cavity batten at 600 c/c spacing. Castellation againts RAB",,,,
"","checkpoint",,"Castellated cavity batten fixed to timber frame with 40x12mm SS flat head nail 800 c/c",,,,
"","checkpoint",,"Nuwall type and colour as specified. Mono 200 with Dulux eternity metro silver pearl kinetic",,,,
"","checkpoint",,"Orientation as per drawing",,,,
"","checkpoint",,"10g SS fixing screw with 30mm min embedment to timber structure",,,,
"","checkpoint",,"Isolator strip to underside of all castellated soffit battens by Nuwall",,,,
"","checkpoint",,"End Cap installed at all edges p.c. to match soffit",,,,
"","checkpoint",,"Soffit Lining free from scratches, dents and damages.",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"Warehouse Roof","","Warehouse Roof",1,"9c833457-32b0-47bd-94dc-32e9e3e5c9c4"
"","section",,"Metal Roofing",,,,
"","checkpoint",,"Metal roof type and colour as per specification. ST963 Gull Grey both sides",,,,
"","checkpoint",,"Galvanized fixing screw neoprene washer with epdm seals rip fixed",,,,
"","checkpoint",,"Metal roof free from scratches, dents and holes",,,,
"","checkpoint",,"Fixings not over or underdriven to roof sheet and with enough embedment to structure",,,,
"","checkpoint",,"Thermakraft Thermabar 397 FRR roofing underlay installed without damange",,,,
"","checkpoint",,"Thermakraft Ausmesh mesh installed as per specification fixed at 600 c/c",,,,
"","checkpoint",,"Sika expansion tape 600 installed at the top of precast",,,,
"","checkpoint",,"Colorsteel eaves flashing installed as per drawing fixed at 600",,,,
"","checkpoint",,"Vermin flashing insalled hard up the the gap",,,,
"","checkpoint",,"Apron flashing as per detail and sufficient amount of fixing. Screws oversealed and birdproof. 200mm width",,,,
"","checkpoint",,"Apron flashing minimum upstand 110mm. Continues sealed and with compressible foam seal",,,,
"","checkpoint",,"Secondary apron flashing with continuous compressible foam and seal",,,,
"","checkpoint",,"Secondary apron flashing fixing at 600mm c/c oversealed",,,,
"","section",,"Roof penetration",,,,
"","checkpoint",,"Conduit penetration to roof with Dektite EPDM boot in diamond layout",,,,
"","checkpoint",,"Dektite screwed and sealed properly as per manufactorers detail",,,,
"","section",,"Gutter and downpipe",,,,
"","checkpoint",,"Gutter straight and with enough slop towards downpipe",,,,
"","checkpoint",,"Gutter secure, undamaged and free from any debris",,,,
"","checkpoint",,"Downpipe location as per drawing",,,,
"","checkpoint",,"Downpipe free from dents, leaks and damages",,,,
"","checkpoint",,"Downpipe plumb with clips and fixing spacing as per specification",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Sika 740W Spray on Paint","","Sika 740W Spray on Paint",1,"a25c556a-8b93-4009-b643-5eba1b43f100"
"","checkpoint",,"Surface free of dust, oil, efflorescence and paint coatings",,,,
"","checkpoint",,"Damage of concrete if any, have been patched",,,,
"","dropdown","f64073cd-1c33-59cf-8447-dbb854de7119","Consultant/Client Inspection","Pass, Fail, Partial Pass, N/A",,,
"","checkpoint",,"Surface is dry and no damp patches",,,,
"","checkpoint",,"Windows and curtain wall installed and well protected especially along the sealant area",,,,
"","checkpoint",,"2-3 coats applied wet-wet bottom-up without letting the product run into the surface",,,,
"","checkpoint",,"Area is protected from rain for at least 6 hours",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Aluminium Battened Soffit","","Aluminium Battened Soffit",0,"a2b28bd5-6102-4dfc-a1e1-b0e194ba1c87"
"","checkpoint",,"50x50 aluminium box powder coated with Dulux Eternity Metro Silver Pearl Kinetic",,,,
"","checkpoint",,"Spacing as per drawing",,,,
"","checkpoint",,"Alignment as per drawing",,,,
"","checkpoint",,"Batten adequately fixed and no damage",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"QA - Concrete Pour FOUNDATION Checklist (V1)","","Concrete Pour -",12,"a473598c-3f59-4454-8d35-97034f975163"
"","section",,"Concrete - Pre Pour",,,,
"","checkpoint",,"Area Accessible & Approval to start",,,,
"","checkpoint",,"Formwork - Correct Dimensions & Heights",,,,
"","checkpoint",,"Formwork cleaned, oiled and braced sufficiently",,,,
"","checkpoint",,"Any/All cast in items checked / correct (location and size)",,,,
"","checkpoint",,"Penetrations correctly formed/located, checked and accurate",,,,
"","checkpoint",,"Reinforcing checked and correct",,,,
"","button","e4c2dec8-ae7c-4dfe-b825-d3428fd0612a","Size and type correct to specification","Yes, N/A",,,
"","tickbox","704b0cf7-319f-4fde-a9a9-69b6f130fe04","Reinforcing spacing and location correct",,,,
"","tickbox","3d3193fa-0ccd-43bf-8af1-048f37f7b9ee","Specified covers checked/correct",,,,
"","tickbox","53f05949-f284-473a-8971-88ccad352568","Splice laps checked/correct",,,,
"","tickbox","0e615d2a-4bb1-44b9-b269-437eb0872ec1","Any starter bars are installed correctly (location, size and spacing )",,,,
"","tickbox","2ebffacc-3a83-418c-8b81-4b139d0cea0a","Any additional items installed/ completed (trimmer bars etc) and excess reinforcing removed",,,,
"","checkpoint",,"Waterproofing (checked and correct)",,,,
"","checkpoint",,"Bottom of concrete pour is clean and free of debris/roughened",,,,
"","checkpoint",,"Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)",,,,
"","signoff",,"Request Signoff",,,,
"","section",,"Concrete - Pour /Post Pour",,,,
"","checkpoint",,"Concrete checked on arrival & correct (slump, MPa etc)",,,,
"","tickbox","b6373989-333f-475a-ac74-24e2d76a699b","All concrete dockets photographed/attached here",,,,
"","checkpoint",,"General photos/comments/observations during placement",,,,
"","checkpoint",,"Concrete surface finish to specifications",,,,
"","checkpoint",,"Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)",,,,
"","note","d8280fe4-960c-4214-82de-2808b94d159a","FINAL - Pass when work(s) are completed, area clean & tidy (any issues please comment below)",,,,
"","tickbox","ce508a38-d6ff-4593-a9dd-a47094abe648","Trades QA received & attached as applicable",,,,

"","checklist-flat",,"Flashing QA","","Flashing QA",9,"ac4dcb4c-b155-4f37-a89d-af43a9efc8f6"
"","checkpoint",,"Flashing material and color as specified",,,,
"","dropdown","3934dd4f-c4ae-527f-9574-102dff354d4b","Flashing Type","Sill flashing, Jamp flashing, Head flashing, Cap flashing, Soffit flashing, Other type",,,
"","checkpoint",,"Flashing height, depth, width as per drawing",,,,
"","checkpoint",,"Flashing fixed with appropriate fixing type and cetre-centre spacing",,,,
"","checkpoint",,"Flashing joints done with enough overlapping/soaker legth and as per drawing",,,,
"","checkpoint",,"Flashing cavity or space between structure/frame as per drawing",,,,
"","checkpoint",,"Screw oversealed if necessary",,,,
"","checkpoint",,"Enough fall",,,,
"","checkpoint",,"Staight and plumb",,,,
"","checkpoint",,"Upstand height as per drawing",,,,
"","checkpoint",,"Flashing tape applied as necessary",,,,
"","checkpoint",,"No scartches, dents and any damages",,,,
"","checkpoint",,"Flashing protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"Add CCC Code Compliance Certificate Checklist (V3)","","Code Compliance Certificate - BC0 -",0,"b01340bf-8996-47c7-813d-163150838ebe"
"","section",,"Code Compliance Certificate Lodgement",,,,
"","checkpoint",,"Code Compliance Certificate lodgement form completed/received and attached",,,,
"","note","e1d54ab8-482b-427f-b519-9161821ddbcd","Attach confirmation of CCC lodgement and PASS above checkpoint when CCC has been applied for",,,,
"","checkpoint-no-value",,"Code Compliance Certificate RFI's",,,,
"Not allowed as a child of checklist-sectioned.","folder-normal",,"Code Compliance Certificate RFI's",,,,
"","section",,"Code Compliance Certificate Approval",,,,
"","checkpoint",,"Final Code Compliance Certificate (approved & attached)",,,,
"","section",,"Code Compliance Certificate Approval",,,,
"","checkpoint",,"Final Code Compliance Certificate (approved & attached)",,,,
"","note","339edcee-2b88-4e6d-abc0-6eb47f59ca1d","Attach approved Code Compliance Certificate and PASS above checkpoint when CCC has been approved",,,,

"","checklist",,"Terrace Tiled Flooring","","Terrace Tiled Flooring",1,"b9f96958-926d-435d-81f9-1c495e5d4ae7"
"","section",,"Nuraply waterproofing membrane",,,,
"","checkpoint",,"All surface is clean, dry, free from sharp edges, oil, grease or other materials that my affect adhesion",,,,
"","checkpoint",,"Surface screed slop to drain as per drawing",,,,
"","checkpoint",,"Worker is approved applicator to do the job",,,,
"","checkpoint",,"Nuralite Nuraply 3PM double layer torch on system installed continuously",,,,
"","checkpoint",,"No visible cracks, holes, damages into the membrane",,,,
"","checkpoint",,"Joint overlapping fully welded",,,,
"","checkpoint",,"Sheets fully adhered to surface",,,,
"","checkpoint",,"Double thickness application at all internal and external corner",,,,
"","checkpoint",,"Pipe penetration done with ring clamp",,,,
"","checkpoint",,"Termination bar mechanically fixed as per manufacturers manual",,,,
"","section",,"Tiled Flooring",,,,
"","checkpoint",,"Nurajack start T installed as per manufacturers manual",,,,
"","checkpoint",,"Nurajck levellers installed as per manufacturers manual",,,,
"","checkpoint",,"Nurapoxy tg applied at raised concrete when necessary",,,,
"","checkpoint",,"Outdure Qwickbuild aluminium support frame system installed on top of nurajack",,,,
"","checkpoint",,"Selected R11 non-slip 302x604x20 think porcelain tile installed, level and without damage",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Add Drawings & Programme Checklist (V1)","","Drawings & Programme",0,"ba496c6a-d1a4-45ed-8dba-ed2acabf5615"
"","checkpoint",,"Relevant Drawings Uploaded",,,,
"","checkpoint",,"Construction Programme Uploaded",,,,

"","checklist-flat",,"Flat Slab Placement","","Flat Slab Placement",9,"bbe48d53-d902-48a8-a399-a67483dc6821"
"","checkpoint",,"Check RL of landing place",,,,
"","checkpoint",,"Mark out flat slab layout on site",,,,
"","checkpoint",,"Install bearing strip",,,,
"","checkpoint",,"Set heights for midspan",,,,
"","checkpoint",,"Check dimensions of the panel - on delivery",,,,
"","button","62ab6a79-7faf-5d01-af19-9cc327cb7b18","If applicable cut flat slab","Yes,No",,,
"","checkpoint",,"Place flat slab",,,,
"","checkpoint",,"Photos and observations",,,,

"","checklist",,"Add CCC RFI Checklist (V3)","","RFI -",0,"c58de946-dbb5-4dfb-9b71-454762b91047"
"","section",,"RFI Status",,,,
"","checkpoint",,"RFI Status - Pass once approved by Council",,,,
"","note","c3c60ca2-29d0-4391-a572-3d5f30a041b1","Use the ""RFI Management of Individual Items"" folder to manage and close out the individual RFI items",,,,
"","note","6be915f4-b900-42f5-8690-eb77aaa4cab3","Final ""PASS"" once all RFI items have been responded to/actioned and approved",,,,
"","textbox","9c2c1506-cf20-4bdf-973e-807e089ebba7","Date RFI was received from Auckland Council",,,,
"","tickbox","2164cf0e-1749-4ccd-ae2a-7fe3311404e6","RFI Attached",,,,
"","textbox","7b4124fa-1949-44ae-87c5-c39734267641","Date Main Contractor/Builder sent response to RFI",,,,
"","textbox","f6d690e7-d406-4c0b-b07b-2a29d56227b9","Date of response/approval from Council",,,,
"Not allowed as a child of checklist-sectioned.","folder-normal",,"RFI Management of Individual Items",,,,

"","checklist-flat",,"Add CCC RFI Individual Item Checklist (V3)","","Individual RFI -",0,"c6210e0b-acd9-4949-911f-970573160ebc"
"","checkpoint",,"RFI Item Status - pass once answered/actioned",,,,
"","textbox","3e4ddc18-d0a7-4ad1-a02f-d6ad4683ba1b","Description of RFI Item",,,,
"","textbox","7c142801-2bc7-4643-9829-8403d6028ee0","Action Required",,,,
"","note","51ac393b-9522-4cf5-bf29-8c4f224ebdfe","Relevant documentation / close out evidence attached",,,,

"","checklist-flat",,"QA - Waterproofing Checklist (V1)","","Waterproofing Checklist -",2,"c888aabb-7390-4a7a-ae87-215944b99d7f"
"","checkpoint",,"Preparation / Substrate acceptable",,,,
"","checkpoint",,"Correct product delivered and checked - approval given to install",,,,
"","checkpoint",,"General photos/comments during install",,,,
"","checkpoint",,"Any inspections / observations documented, reviewed and closed out",,,,
"","checkpoint",,"Waterproofing install completed, reviewed and approved to meet required specifications",,,,
"","note","954cb805-cfd4-46ea-94f8-c2f061ec1b97","FINAL - Pass when work(s) are completed, area clean & tidy (any issues please comment below)",,,,
"","tickbox","8d7ba9b9-a9e1-4d4b-bbb6-364cdc1d324a","Trades QA received & attached as applicable",,,,

"","checklist",,"Insitu Concrete Inspection","","Insitu Concrete for area:",11,"cfde5b5b-cee7-4589-b1fc-824f5a87a9f5"
"","section",,"Formwork",,,,
"","checkpoint",,"Installed as per formwork design",,,,
"","checkpoint",,"Dimensions correct",,,,
"","checkpoint",,"Position and orientation correct",,,,
"","checkpoint",,"Forms vertical, plumb and true",,,,
"","checkpoint",,"Forms coated with release agent",,,,
"","checkpoint",,"Forms clean and clear of debris",,,,
"","checkpoint",,"Joints sealed",,,,
"","checkpoint",,"Pour level marks",,,,
"","section",,"Reinforcement",,,,
"","checkpoint",,"Starters bars included if required",,,,
"","checkpoint",,"Refer to Brilliance Steel QA",,,,
"","checkpoint",,"All Cast in elements checked and correct",,,,
"","checkpoint",,"Penetrations checked and correct",,,,
"","section",,"Construction Joints",,,,
"","checkpoint",,"Correct location",,,,
"","checkpoint",,"Adequately prepped",,,,
"","checkpoint",,"Joint board installed",,,,
"","section",,"Concrete Orderd",,,,
"","checkpoint-no-value",,"Details",,,,
"","textbox","7127c40a-69b5-5c10-bd86-34f1389db71b","Mix Type",,,,
"","textbox","5e7fb3c2-b9db-5d94-a7e0-08a917ada65c","Volume",,,,
"","section",,"Post Pour",,,,
"","checkpoint",,"General photos/comments/observations",,,,

"","checklist-flat",,"Curtain Wall Steel Post","","Curtain Wall Steel Post",7,"d076f3d8-4f45-4ff5-bfb0-0e4595cb0b6e"
"","checkpoint",,"Post location correct",,,,
"","checkpoint",,"Post welding to cast in plate done properly",,,,
"","checkpoint",,"Steel fin straight and not bent",,,,
"","checkpoint",,"Bolts and nuts used as per detail",,,,
"","checkpoint",,"Minimum 20mm gap at top and joint of the fin",,,,
"","dropdown","4a8dd184-308e-58db-9ff3-e2ba1c9d07e2","Intumescent paint applied","Completed, Not completed, N/A",,,
"","checkpoint",,"Paint colour as per specification",,,,
"","checkpoint",,"Paint undamaged",,,,
"","tickbox","420fe702-c83e-59b5-8653-a4998d1e48c7","Protection around post is installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Seismic Gap DM Series with Vapour Barrier","","Seismic Gap DM Series with Vapour Barrier",4,"d7329d22-c474-49d6-bcc0-3bdc85856fc5"
"","checkpoint",,"Concrete haunching done on the floor slab with slop to outside slab",,,,
"","checkpoint",,"Vapour barrier fixed from top to bottom without damage",,,,
"","checkpoint",,"DMS framing fixed to concrete wall straight and plumb and in good condition",,,,
"","checkpoint",,"Conc-conc joint +/- 150mm",,,,
"","checkpoint",,"Frame-frame gap +/- 127mm centred to the concrete gap fix with screw at 450mm c/c, 150mm start and end",,,,
"","checkpoint",,"Center plate/ cover plate surface finish as per specification (PC Dulux Gunmetal Kinetic Matt)",,,,
"","checkpoint",,"Center plate/ cover plate resting firmly against the gasket of the framing",,,,
"","checkpoint",,"Center plate screw tight and secured to centering bar: Cover against the concrete structure",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Staircase Glass Balustrade","","Staircase Glass Balustrade",2,"d76fe13c-069e-40d7-85f8-5e673a2ded0c"
"","checkpoint",,"125x100x75 10tk Bottom plate rebated into precast concrete",,,,
"","checkpoint",,"50x25mm metal post balustade plumb and straight",,,,
"","checkpoint",,"50mm metal handrail installed at 900mm ht",,,,
"","checkpoint",,"Spider fixing secured and no damage",,,,
"","checkpoint",,"10mm balustrade glass installed as per layout and with 1100mm ht",,,,
"","checkpoint",,"Handrail and glass gap at 50mm",,,,
"","checkpoint",,"Glass free from scratch, chips or any damages",,,,
"","checkpoint",,"Glass protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"James Hardie Easylap Cladding at L1 Terrace Canopy Area","","James Hardie Easylap Cladding at L1 Terrace Canopy Area",1,"e4d95f95-25b9-455a-9f60-78f5901fdf0e"
"","checkpoint",,"Timber framing using 90x45 SG8 with 600 C/C spacing",,,,
"","checkpoint",,"Wall Therman Insulation R2.9 140mm Greenstuff thermal blanket fitted into wall",,,,
"","checkpoint",,"Council inspection done. Preline",,,,
"","checkpoint",,"RAB exposed cut edge to be primed",,,,
"","checkpoint",,"2-4mm gap in between joints",,,,
"","checkpoint",,"Nail with 12mm edge distance and 200mm c/c minimum spacing",,,,
"","checkpoint",,"Nail flush with board surface",,,,
"","checkpoint",,"RAB free of dust, oil, grease, etc",,,,
"","checkpoint",,"Steel plate dressed properly with aluminium saddle flashing with continuous sealant to plate",,,,
"","checkpoint",,"Council inspection done. Postline",,,,
"","checkpoint",,"Revealshield done as per specification",,,,
"","checkpoint",,"Curtain wall head flashing installed in good condition",,,,
"","checkpoint",,"JH PVC vent strip installed at the bottom with 600mm c/c max",,,,
"","checkpoint",,"Cavity batten fixed at 600 c/c apart with 250mm c/c nail fixing to the structure",,,,
"","checkpoint",,"Easylap edges is sealed",,,,
"","checkpoint",,"11 FC sealant is applied at the cavity batten before the Easylap panel is installed",,,,
"","checkpoint",,"Panel is fixed with SS fixing at 150mm C/C flush to the face",,,,
"","checkpoint",,"Painted as per specification",,,,

"","checklist-flat",,"Facia Plate","","Facia Plate",6,"f45702c5-7856-48d8-88c0-4e21e33cb80d"
"","checkpoint",,"Waterproofing QA done bafore start work",,,,
"","checkpoint",,"Plate using 6mm 5052 aluminium powder coated plate with countersunk fixing",,,,
"","checkpoint",,"Powdercoated Dulux eternity metro silver pearl kinetic",,,,
"","checkpoint",,"Max edge distance 100mm of fixing",,,,
"","checkpoint",,"10mm gap at joints with 150mm joint at seismic gap",,,,
"","checkpoint",,"Fixing 2x 10g countersunk s/s screws with 75mm embedment at 600mm c/c spacing",,,,
"","checkpoint",,"Plate spaced of structure with 2 50x50x6 SS washer with 6mm EPDM washer maintaining 12mm min clear gap",,,,
"","checkpoint",,"Normal length 2.4m per sheet",,,,
"","checkpoint",,"Facia overall depth covers all of facia structure",,,,
"","checkpoint",,"Facia align to each other",,,,
"","checkpoint",,"No scratches, dents or damages",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"QA - Underslab Services Install Checklist (V1)","","Underslab Services -",1,"fdf6d07a-ee49-48ff-aeb7-c869d5ecbc53"
"","checkpoint",,"ELECTRICAL services/ conduits installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"HYDRAULIC services installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"GAS services installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"MECHANICAL services installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"DATA/COMMS services installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"Any other services installed, fixed in correct location, backfilled and correct as per design",,,,
"","checkpoint",,"Underslab Services completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)",,,,
"","note","7a46d5a6-661d-43a6-9bc4-0d745305036d","FINAL - Pass when work(s) are completed, area clean & tidy (any issues please comment below)",,,,
"","tickbox","778fcbab-dab2-4a0c-9f65-3e7539e33f4e","Trades QA received & attached as applicable",,,,

