"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b683adb2-4923-4991-8a13-a5722e04e8bb","","folder-normal","not-started","","step","TRUE","FALSE","B01"
"68495235-ead8-4a9c-a54f-0e3be05f8e13","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor"
"672784cb-4846-4708-b435-d0ce2f173184","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care"
"82b6aa77-7cb9-4db1-9709-c2e426e2349a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)"
"86cf3b3f-196e-4711-8609-fe4e91285300","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Concierge","Rough In (Cavity Pockets & PMJ)"
"20b1b26e-e704-472f-b707-851178be438c","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Concierge","Common Area Checklist"
"d9818b89-08b2-4eb0-9157-a40b70b29b5e","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Lift Lobby 1"
"9da66e74-9f63-4315-ba81-649e377645fe","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lift Lobby 1","Rough In (Cavity Pockets & PMJ)"
"437e04d8-3ebf-44aa-81a5-a907b3f27e2a","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lift Lobby 1","Common Area Checklist"
"37d301ee-5d45-4261-aa07-1a2da21232fd","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1 Lobby"
"66764e3a-2e8e-4b4a-b8ba-4ab9f76ca58c","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1 Lobby","Rough In (Cavity Pockets & PMJ)"
"0dca5e2f-0d7f-439d-afbf-141a48f76d3d","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1 Lobby","Common Area Checklist"
"9515213b-21f4-41bf-8794-af0d1d669efe","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1"
"aac6afb5-8fef-4761-aa41-55c5016abbf1","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1","Rough In (Cavity Pockets & PMJ)"
"2694fd49-dee4-41a8-bded-01bd87c225e5","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 1","Common Area Checklist"
"5f3735c1-7ad3-429e-9d29-c3296c874934","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Dining Servery"
"9bdfd31b-c6f5-4da1-99af-afcfabcf9682","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dining Servery","Rough In (Cavity Pockets & PMJ)"
"cd843aa8-545e-476d-b679-fc2042db3950","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dining Servery","Common Area Checklist"
"b2ff5eb9-52f3-43ef-b496-4efb03edc26b","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Dining"
"a7d2bdd5-1c0e-4f84-b9df-7e1907a99f83","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dining","Rough In (Cavity Pockets & PMJ)"
"2c7ff112-f2bb-4ea0-aaae-d707e8219056","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dining","Common Area Checklist"
"12257f66-a3e7-4670-befe-d75b8f6900ca","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Bar"
"efe14ecd-9a83-4d23-8962-e40cb7547d6b","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Bar","Rough In (Cavity Pockets & PMJ)"
"49e6e2a2-5bbf-49d7-a576-eb47440e4d9b","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Bar","Common Area Checklist"
"3e822df6-9194-45c1-9376-6a0890ff8214","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Bar Store"
"1f38866d-aa7d-4733-962a-6b6fa603a364","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Bar Store","Rough In (Cavity Pockets & PMJ)"
"623eba03-4a51-4156-b9ee-dee91c84ac5d","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Bar Store","Common Area Checklist"
"63a9cee8-555a-4550-a60b-aa91e5318311","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1"
"9b0a4110-33a4-4fa7-bfb1-9f25d55f97e2","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments"
"3bfaea30-e9e6-4df6-a0c9-2cadb8b10b5f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 101 - Accessible"
"41608914-6367-4eb7-afd2-55037e7e066d","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 101 - Accessible","Rough In"
"11508ac1-3ea3-42ee-9058-16fbb358b1e7","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 101 - Accessible","Installation"
"e88f6c14-93d9-45a7-a4c8-d3eb72f98c84","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 101 - Accessible","Care/ALS Fit Off Checklist"
"9bd3687f-1830-4f8f-ac5a-d85769b2da38","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 102"
"b7af91bd-3829-4b8c-a5b6-e61827e1a9fc","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 102","Rough In"
"bc5c3d7f-761d-452d-a001-a05dc48aa8f2","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 102","Installation"
"08bd4988-85f2-41b4-ac19-b3bb25f24aaa","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 102","Care/ALS Fit Off Checklist"
"ae1a2ce3-073f-4681-b924-2f9aae983932","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 103 - Accessible"
"851c0960-c278-461f-95d3-8147095e453e","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 103 - Accessible","Rough In"
"e6ce7a92-18d5-44f6-bddb-6c019e9395c9","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 103 - Accessible","Installation"
"0295d03a-7597-4c60-bd05-54b50a6df6fa","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 103 - Accessible","Care/ALS Fit Off Checklist"
"64e61ddd-c92a-4024-b35e-3dd1706eb938","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 104"
"dfe4d300-9151-4bee-803e-17b9b111a551","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 104","Rough In"
"3e80d9c6-bb17-4dc2-8f1c-9050b22351c4","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 104","Installation"
"86b9a627-5e51-4d30-ae1a-8889267635d0","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 104","Care/ALS Fit Off Checklist"
"4fe7f248-981e-4881-9835-540574969056","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 105"
"de4ed53c-e4b0-4b3f-98fd-70aad5f484b6","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 105","Rough In"
"67dd0710-8c5d-4780-bf39-8b3d2bf895f9","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 105","Installation"
"5b931d88-a2e5-4ba0-86cd-9269ae731369","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 105","Care/ALS Fit Off Checklist"
"1f45df47-f476-4a5c-b606-cd3c0d055332","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 106"
"3164d03d-9560-4cff-b7e4-748b558deeea","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 106","Rough In"
"dd56bdc0-974c-4b0b-8ae9-04fb410af59d","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 106","Installation"
"f13f6868-6f0b-4c67-bc9b-81c8b52a7a67","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 106","Care/ALS Fit Off Checklist"
"c0594ff1-4243-4b4b-ad38-3568f01f5f5a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 107"
"c46e86f1-9ecc-4715-8165-a4becef61f5f","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 107","Rough In"
"54246dab-84ae-4947-8255-61d05a244463","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 107","Installation"
"08a3600f-7548-41ff-be0d-152b99bcc385","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 107","Care/ALS Fit Off Checklist"
"3778b61f-a9b1-4f80-972c-2b9feeee8644","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 108"
"f97a7302-5f48-4618-8396-f1590c3beb27","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 108","Rough In"
"979009f4-1410-4e17-a2f2-240d3cbadd68","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 108","Installation"
"4ce973e7-5615-44cd-a70b-38e83d957dc4","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 108","Care/ALS Fit Off Checklist"
"b5287506-b4c7-4e9c-83d7-07a2cdeeaf6f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 109"
"a053de18-0d62-48f5-8d77-6d938af834fd","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 109","Rough In"
"ec91feaa-68f7-468a-8e61-b7a40f9dd9aa","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 109","Installation"
"02276848-b405-4f2e-8100-316a3272185a","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 109","Care/ALS Fit Off Checklist"
"dbeba4f2-63d6-436c-9a82-8ae823eded48","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 110"
"c93acb28-3fef-4634-9ae2-6f334e237e17","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 110","Rough In"
"76486757-aa87-4dee-9afb-436fd8321bc5","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 110","Installation"
"e14476ad-feb4-438d-93ae-24dbfcc24464","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 110","Care/ALS Fit Off Checklist"
"a408c074-4065-42aa-a6ae-7cb4aa077b00","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 111"
"014ebe0f-223c-4adf-a790-acb1598f224b","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 111","Rough In"
"fc574bd7-0460-49b3-b017-5b61697c023a","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 111","Installation"
"51ef0b9b-b46b-4c2e-a36f-6225160495b2","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 111","Care/ALS Fit Off Checklist"
"523a6a59-8522-40cc-af6d-47030fdc9968","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 112"
"0f6ae556-fe94-4733-8939-ee276e4d991c","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 112","Rough In"
"8d5bdf93-efa7-4707-bf64-cd90175247f0","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 112","Installation"
"a4615aa4-5665-439e-b0f6-f54bee99e085","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 112","Care/ALS Fit Off Checklist"
"f8e7a03f-857c-4ae8-af40-27cc5e74a039","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 113"
"ed6d9e7d-dcbc-4545-99d5-edf78b8744b1","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 113","Rough In"
"b7f67360-ec2b-4c8b-832d-da834ed65fc8","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 113","Installation"
"1a4287ca-7e07-4779-8d34-345f6e8cc7ef","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 113","Care/ALS Fit Off Checklist"
"94d99178-8522-4330-ab0f-f4f7842a8a8d","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 114"
"550ce0c1-f1e3-4b9e-a42e-252447d04dc8","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 114","Rough In"
"ab85e542-9cc5-4eb2-825a-47c159d9a87d","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 114","Installation"
"c751464c-62f8-49f0-88dd-4e3e38ed6658","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 114","Care/ALS Fit Off Checklist"
"759843f5-a3fb-46d7-8c21-eb7bc37e088f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Apartments","Care 115"
"9b10fb10-8a6e-4b55-a5f8-5e67ede78033","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 115","Rough In"
"68affcd2-0d83-4af6-aa0a-8064d01b6ac4","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 115","Installation"
"3f94cac9-bf1b-45dd-9e10-86cd92b9408b","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Apartments","Care 115","Care/ALS Fit Off Checklist"
"5f4fc207-a748-47d7-a4ab-2bfa9ca31a81","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas"
"dffc295d-5a31-45e6-8825-1b62da139388","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Care Manager Office"
"aa8e7c07-5284-4826-8ad4-0b7cb852f621","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Care Manager Office","Rough In (Cavity Pockets & PMJ)"
"b4e90457-f95c-4f24-94be-9a2423caa1dc","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Care Manager Office","Common Area Checklist"
"26a969ca-d866-4bd5-8e00-51b183e7f094","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Corridor"
"bdfaaa29-6e01-4d68-92bc-fcf4ee7f893b","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Corridor","Rough In (Cavity Pockets & PMJ)"
"3528b6ff-7c69-4c9f-a862-e72b891edd8e","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Corridor","Common Area Checklist"
"4f8a6bed-e815-464a-83df-c6555f79b769","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Stair 3"
"6000ce9a-4b76-4151-9555-32448295ca1e","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Stair 3","Rough In (Cavity Pockets & PMJ)"
"e543b7e9-3d79-4dac-9c13-e6c16a42eb89","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Stair 3","Common Area Checklist"
"73c75e86-6723-4145-9bea-ab0e00cc4482","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Sluice Room"
"3db64118-ebef-4ef3-89d7-5c6392541eea","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Sluice Room","Rough In (Cavity Pockets & PMJ)"
"5afae4b4-28b5-43a7-a24c-f205cd85d3e9","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Sluice Room","Common Area Checklist"
"ba341ba9-bb25-469d-a239-d3de0a3408ee","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Pivot Doors"
"d2372c01-5dec-4f00-8644-87f9903e2b0d","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Pivot Doors","Rough In (Cavity Pockets & PMJ)"
"f8648f95-746d-4ff1-b9c6-5cd75ca2560f","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Pivot Doors","Common Area Checklist"
"13cba988-72cc-4a7b-8611-6e88601aa7ea","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Second Lounge"
"65c5f93e-3c74-49c7-b48c-7a6f2aa7f60c","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Second Lounge","Rough In (Cavity Pockets & PMJ)"
"15df49e6-5b49-4d08-8c4d-929659cd6a89","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Second Lounge","Common Area Checklist"
"7400500f-a6c6-4af9-afe4-b0ec2515bf39","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area A - Common Areas","Treatment Room"
"8cd0bbcb-275b-4080-9803-7596e1f42b95","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Treatment Room","Rough In (Cavity Pockets & PMJ)"
"6bbb7810-ea77-4ea4-9cb4-80e795d0d918","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area A - Common Areas","Treatment Room","Common Area Checklist"
"0c5d71d4-4534-41b4-9c02-26682a72d180","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments"
"f5300f14-fa21-4f91-a8ef-762a273ec12a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 116"
"60d11b7d-731b-4a38-be8c-efc1cd239862","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 116","Rough In"
"8c5b3b8d-0288-48eb-9a56-00cc877aa85a","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 116","Installation"
"2860e3b9-cb0b-4b23-a08d-97218dc99401","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 116","Care/ALS Fit Off Checklist"
"9c157782-10e8-4687-9ba2-3ce04289abd2","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 117"
"759c7e67-0be7-42fe-b4ef-4911f7ffbf85","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 117","Rough In"
"deb89cd1-2ac8-44ea-a9ab-222e28ad7726","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 117","Installation"
"93678ff4-13e4-4c7e-9430-a53da2bb5fac","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 117","Care/ALS Fit Off Checklist"
"5451dc1a-a59b-4004-848f-97545dd5163b","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 118"
"a932a06d-085a-4dd7-b1e4-9e0af3ae4eff","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 118","Rough In"
"8ccc583b-8b59-4575-83d7-4b1d9eef9af7","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 118","Installation"
"f2be4afd-6fe4-4f5b-a5ea-c6eab6728208","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 118","Care/ALS Fit Off Checklist"
"488b3d86-7656-4592-81f9-116b494cf7c9","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 119"
"5739e672-8a82-4912-845c-42058cde1a55","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 119","Rough In"
"000fb5ac-b07b-4480-9b4b-b792b75f7736","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 119","Installation"
"3d8d3e3b-c0a6-4ae6-90d7-8afe91f2e795","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 119","Care/ALS Fit Off Checklist"
"aeff9268-2401-45c3-9cc0-c74453604a47","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 120"
"39e94067-d60d-4a92-b55f-029057637f26","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 120","Rough In"
"6fd18644-a180-42e5-ae55-b29e6b615f4d","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 120","Installation"
"411c1a79-1d16-49db-8f4a-f49e2c7de84e","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 120","Care/ALS Fit Off Checklist"
"39b6d1c7-0b9a-4147-aea0-a5339b99228e","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 121"
"4008ac11-7b70-4c72-b93d-f56c08c4734e","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 121","Rough In"
"7cc1882d-3a9f-4d15-942b-37bacb0e8de0","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 121","Installation"
"c35841ef-dae1-4b60-819b-25fbc400c962","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 121","Care/ALS Fit Off Checklist"
"825a7021-613a-4982-bd86-0fd2910ed94d","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 122"
"e45be61b-9638-4fbf-b9a3-03dea9bb75c5","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 122","Rough In"
"11271e5d-6cd5-4c51-a86c-b260bb5a4e0f","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 122","Installation"
"086a7bff-a89c-41ae-9ff0-529fd1d4bb0b","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 122","Care/ALS Fit Off Checklist"
"4b0ea9a8-fc22-4890-84a6-f81f8dd416ec","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 123"
"1818f365-ae67-44e1-919d-1313e7024122","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 123","Rough In"
"22d9ea63-cf0b-4b2a-a7f9-030b2bbe3082","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 123","Installation"
"ebf493db-26b1-4225-a7f9-a91f3ed276f4","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 123","Care/ALS Fit Off Checklist"
"e52f86da-0880-4f43-abcd-8774683746e8","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 124"
"ac13d406-9326-4624-97f5-0052cef37aee","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 124","Rough In"
"e211e9d1-bef7-4915-b04a-5cc823f8eed0","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 124","Installation"
"7186c54e-fa02-4a41-8089-261542b5db4d","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Level 1","Area B - Apartments","Care 124","Care/ALS Fit Off Checklist"
"7f0158c6-3b34-4a95-86b1-6654dd1d7be7","","folder-normal","not-started","","step","TRUE","FALSE","B01","Level 1","Area B - Apartments","Care 125"
